Datetime,UTXO Count
2026-04-10T00:00:00Z,165163819
2026-04-09T00:00:00Z,165161857
2026-04-08T00:00:00Z,165129822
2026-04-07T00:00:00Z,165110595
2026-04-06T00:00:00Z,165069925
2026-04-05T00:00:00Z,165105841
2026-04-04T00:00:00Z,165132068
2026-04-03T00:00:00Z,165152489
2026-04-02T00:00:00Z,165184199
2026-04-01T00:00:00Z,165155286
2026-03-31T00:00:00Z,165150114
2026-03-30T00:00:00Z,165143504
2026-03-29T00:00:00Z,165155789
2026-03-28T00:00:00Z,165141573
2026-03-27T00:00:00Z,165143837
2026-03-26T00:00:00Z,165087351
2026-03-25T00:00:00Z,165052998
2026-03-24T00:00:00Z,165045561
2026-03-23T00:00:00Z,165042019
2026-03-22T00:00:00Z,164976559
2026-03-21T00:00:00Z,164896365
2026-03-20T00:00:00Z,164864413
2026-03-19T00:00:00Z,164980376
2026-03-18T00:00:00Z,164906195
2026-03-17T00:00:00Z,164882226
2026-03-16T00:00:00Z,165067565
2026-03-15T00:00:00Z,165051357
2026-03-14T00:00:00Z,164966466
2026-03-13T00:00:00Z,164902894
2026-03-12T00:00:00Z,164878908
2026-03-11T00:00:00Z,164856162
2026-03-10T00:00:00Z,164964307
2026-03-09T00:00:00Z,164962404
2026-03-08T00:00:00Z,164989408
2026-03-07T00:00:00Z,164928584
2026-03-06T00:00:00Z,164841450
2026-03-05T00:00:00Z,164882157
2026-03-04T00:00:00Z,164900144
2026-03-03T00:00:00Z,164903937
2026-03-02T00:00:00Z,164924946
2026-03-01T00:00:00Z,164856626
2026-02-28T00:00:00Z,164798127
2026-02-27T00:00:00Z,164786720
2026-02-26T00:00:00Z,164699857
2026-02-25T00:00:00Z,164639213
2026-02-24T00:00:00Z,164559514
2026-02-23T00:00:00Z,164469866
2026-02-22T00:00:00Z,164507336
2026-02-21T00:00:00Z,164605785
2026-02-20T00:00:00Z,164589222
2026-02-19T00:00:00Z,164501540
2026-02-18T00:00:00Z,164423097
2026-02-17T00:00:00Z,164347742
2026-02-16T00:00:00Z,164257562
2026-02-15T00:00:00Z,164297902
2026-02-14T00:00:00Z,164418536
2026-02-13T00:00:00Z,164437901
