Datetime,Difficulty
2026-04-10T00:00:00Z,138966872071213.2
2026-04-09T00:00:00Z,138966872071213.2
2026-04-08T00:00:00Z,138966872071213.2
2026-04-07T00:00:00Z,138966872071213.2
2026-04-06T00:00:00Z,138966872071213.2
2026-04-05T00:00:00Z,138966872071213.2
2026-04-04T00:00:00Z,138966872071213.2
2026-04-03T00:00:00Z,136967932957976.9
2026-04-02T00:00:00Z,133793147307542.8
2026-04-01T00:00:00Z,133793147307542.8
2026-03-31T00:00:00Z,133793147307542.8
2026-03-30T00:00:00Z,133793147307542.8
2026-03-29T00:00:00Z,133793147307542.8
2026-03-28T00:00:00Z,133793147307542.8
2026-03-27T00:00:00Z,133793147307542.8
2026-03-26T00:00:00Z,133793147307542.8
2026-03-25T00:00:00Z,133793147307542.8
2026-03-24T00:00:00Z,133793147307542.8
2026-03-23T00:00:00Z,133793147307542.8
2026-03-22T00:00:00Z,133793147307542.8
2026-03-21T00:00:00Z,133793147307542.8
2026-03-20T00:00:00Z,143950842771681.38
2026-03-19T00:00:00Z,145042165424853.3
2026-03-18T00:00:00Z,145042165424853.3
2026-03-17T00:00:00Z,145042165424853.3
2026-03-16T00:00:00Z,145042165424853.3
2026-03-15T00:00:00Z,145042165424853.3
2026-03-14T00:00:00Z,145042165424853.3
2026-03-13T00:00:00Z,145042165424853.3
2026-03-12T00:00:00Z,145042165424853.3
2026-03-11T00:00:00Z,145042165424853.3
2026-03-10T00:00:00Z,145042165424853.3
2026-03-09T00:00:00Z,145042165424853.3
2026-03-08T00:00:00Z,145042165424853.3
2026-03-07T00:00:00Z,145042165424853.3
2026-03-06T00:00:00Z,145042165424853.3
2026-03-05T00:00:00Z,144553525351053.28
2026-03-04T00:00:00Z,144398401518100.9
2026-03-03T00:00:00Z,144398401518100.9
2026-03-02T00:00:00Z,144398401518100.9
2026-03-01T00:00:00Z,144398401518100.9
2026-02-28T00:00:00Z,144398401518100.9
2026-02-27T00:00:00Z,144398401518100.9
2026-02-26T00:00:00Z,144398401518100.9
2026-02-25T00:00:00Z,144398401518100.9
2026-02-24T00:00:00Z,144398401518100.9
2026-02-23T00:00:00Z,144398401518100.9
2026-02-22T00:00:00Z,144398401518100.9
2026-02-21T00:00:00Z,144398401518100.9
2026-02-20T00:00:00Z,144398401518100.9
2026-02-19T00:00:00Z,129128405963274.08
2026-02-18T00:00:00Z,125864590119494.3
2026-02-17T00:00:00Z,125864590119494.3
2026-02-16T00:00:00Z,125864590119494.3
2026-02-15T00:00:00Z,125864590119494.3
2026-02-14T00:00:00Z,125864590119494.3
2026-02-13T00:00:00Z,125864590119494.3
2026-02-12T00:00:00Z,125864590119494.3
2026-02-11T00:00:00Z,125864590119494.3
2026-02-10T00:00:00Z,125864590119494.3
2026-02-09T00:00:00Z,125864590119494.3
2026-02-08T00:00:00Z,125864590119494.3
2026-02-07T00:00:00Z,135289579351472.17
2026-02-06T00:00:00Z,141668107417558.2
2026-02-05T00:00:00Z,141668107417558.2
2026-02-04T00:00:00Z,141668107417558.2
