Datetime,Hashrate
2026-04-10T00:00:00Z,863510085030.7819
2026-04-09T00:00:00Z,994763617955.4608
2026-04-08T00:00:00Z,1022395940676.4459
2026-04-07T00:00:00Z,953315133873.9833
2026-04-06T00:00:00Z,884234327071.5208
2026-04-05T00:00:00Z,1098384828159.1547
2026-04-04T00:00:00Z,828969681629.5507
2026-04-03T00:00:00Z,911866649792.5059
2026-04-02T00:00:00Z,964379546951.9326
2026-04-01T00:00:00Z,1077444735215.2626
2026-03-31T00:00:00Z,904521506106.6403
2026-03-30T00:00:00Z,904521506106.6403
2026-03-29T00:00:00Z,957728653524.678
2026-03-28T00:00:00Z,1157255456342.3193
2026-03-27T00:00:00Z,1010935800942.7156
2026-03-26T00:00:00Z,1097397415497.0267
2026-03-25T00:00:00Z,1017586694369.9703
2026-03-24T00:00:00Z,831361678406.8385
2026-03-23T00:00:00Z,1064142948360.7533
2026-03-22T00:00:00Z,1077444735215.2626
2026-03-21T00:00:00Z,917823292961.1495
2026-03-20T00:00:00Z,891219719252.1307
2026-03-19T00:00:00Z,966151410225.2635
2026-03-18T00:00:00Z,1002201835979.9375
2026-03-17T00:00:00Z,915680814168.72
2026-03-16T00:00:00Z,901260643866.8502
2026-03-15T00:00:00Z,901260643866.8502
2026-03-14T00:00:00Z,922890899319.6547
2026-03-13T00:00:00Z,872420303263.1111
2026-03-12T00:00:00Z,930100984470.5894
2026-03-11T00:00:00Z,1002201835979.9375
2026-03-10T00:00:00Z,994991750829.0027
2026-03-09T00:00:00Z,994991750829.0027
2026-03-08T00:00:00Z,966151410225.2635
2026-03-07T00:00:00Z,951731239923.3939
2026-03-06T00:00:00Z,1052672432036.4812
2026-03-05T00:00:00Z,1196874135055.177
2026-03-04T00:00:00Z,933150851561.801
2026-03-03T00:00:00Z,961863185456.0104
2026-03-02T00:00:00Z,976219352403.1151
2026-03-01T00:00:00Z,1069534437559.2952
2026-02-28T00:00:00Z,1026465936717.9812
2026-02-27T00:00:00Z,1012109769770.8767
2026-02-26T00:00:00Z,1004931686297.3243
2026-02-25T00:00:00Z,1119781021874.1614
2026-02-24T00:00:00Z,1184383773136.1323
2026-02-23T00:00:00Z,1062356354085.7429
2026-02-22T00:00:00Z,1177205689662.5798
2026-02-21T00:00:00Z,854191933352.7257
2026-02-20T00:00:00Z,983397435876.6672
2026-02-19T00:00:00Z,1141315272294.8184
2026-02-18T00:00:00Z,957284694884.4205
2026-02-17T00:00:00Z,1032365847424.3751
2026-02-16T00:00:00Z,1094933474541.0038
2026-02-15T00:00:00Z,1232582254197.5872
2026-02-14T00:00:00Z,1038622610136.0378
2026-02-13T00:00:00Z,944771169461.0947
2026-02-12T00:00:00Z,1107446999964.3296
