Datetime,Block Size (Mean)
2026-04-10T00:00:00Z,1672317.8
2026-04-09T00:00:00Z,1672366.34027778
2026-04-08T00:00:00Z,1704851.16216216
2026-04-07T00:00:00Z,1614333.6884058
2026-04-06T00:00:00Z,1784159.1640625
2026-04-05T00:00:00Z,1540044.62264151
2026-04-04T00:00:00Z,1757378.29166667
2026-04-03T00:00:00Z,1650834.3030303
2026-04-02T00:00:00Z,1742954.22758621
2026-04-01T00:00:00Z,1661846.65432099
2026-03-31T00:00:00Z,1616161.61764706
2026-03-30T00:00:00Z,1626000.15441176
2026-03-29T00:00:00Z,1528247.38888889
2026-03-28T00:00:00Z,1474969.72413793
2026-03-27T00:00:00Z,1557898.99342105
2026-03-26T00:00:00Z,1602988.3030303
2026-03-25T00:00:00Z,1550935.49019608
2026-03-24T00:00:00Z,1594331.592
2026-03-23T00:00:00Z,1621636.6875
2026-03-22T00:00:00Z,1458155.85802469
2026-03-21T00:00:00Z,1562198.73188406
2026-03-20T00:00:00Z,1569588.20895522
2026-03-19T00:00:00Z,1550197.76119403
2026-03-18T00:00:00Z,1493436.61870504
2026-03-17T00:00:00Z,1679497.92125984
2026-03-16T00:00:00Z,1566074.392
2026-03-15T00:00:00Z,1442389.44
2026-03-14T00:00:00Z,1549566.671875
2026-03-13T00:00:00Z,1584498.33057851
2026-03-12T00:00:00Z,1615177.55813954
2026-03-11T00:00:00Z,1703326.97122302
2026-03-10T00:00:00Z,1668502.34782609
2026-03-09T00:00:00Z,1521466.56521739
2026-03-08T00:00:00Z,1536233.11940299
2026-03-07T00:00:00Z,1581829.61363636
2026-03-06T00:00:00Z,1492677.71232877
2026-03-05T00:00:00Z,1683653.25903614
2026-03-04T00:00:00Z,1548918.72307692
2026-03-03T00:00:00Z,1757448.35074627
2026-03-02T00:00:00Z,1495346.16911765
2026-03-01T00:00:00Z,1556138.24832215
2026-02-28T00:00:00Z,1555100.46853147
2026-02-27T00:00:00Z,1503103.0212766
2026-02-26T00:00:00Z,1496332.15
2026-02-25T00:00:00Z,1485423.35897436
2026-02-24T00:00:00Z,1488797.09090909
2026-02-23T00:00:00Z,1464002.47972973
2026-02-22T00:00:00Z,1489693.79878049
2026-02-21T00:00:00Z,1569643.61344538
2026-02-20T00:00:00Z,1517235.71532847
2026-02-19T00:00:00Z,1571366.25786164
2026-02-18T00:00:00Z,1564301.7254902
2026-02-17T00:00:00Z,1536556.95151515
2026-02-16T00:00:00Z,1631463.91428571
2026-02-15T00:00:00Z,1557385.25888325
2026-02-14T00:00:00Z,1653439.89156627
2026-02-13T00:00:00Z,1578803.19205298
2026-02-12T00:00:00Z,1580744.43502825
2026-02-11T00:00:00Z,1711090.8343949
2026-02-10T00:00:00Z,1765306.02083333
2026-02-09T00:00:00Z,1671025.86503068
2026-02-08T00:00:00Z,1440529.27058824
2026-02-07T00:00:00Z,1535928.36144578
2026-02-06T00:00:00Z,1647127.9862069
2026-02-05T00:00:00Z,1601088.86614173
2026-02-04T00:00:00Z,1728706.26056338
2026-02-03T00:00:00Z,1637475.01515152
2026-02-02T00:00:00Z,1551535
2026-02-01T00:00:00Z,1530271.86554622
2026-01-31T00:00:00Z,1566354.2173913
2026-01-30T00:00:00Z,1684944.70229008
2026-01-29T00:00:00Z,1593550.8828125
2026-01-28T00:00:00Z,1623837.41818182
2026-01-27T00:00:00Z,1591673.13114754
2026-01-26T00:00:00Z,1676221.34677419
2026-01-25T00:00:00Z,1634420.9537037
2026-01-24T00:00:00Z,1503505.7244898
2026-01-23T00:00:00Z,1581108.51428571
2026-01-22T00:00:00Z,1642816.60248447
2026-01-21T00:00:00Z,1604680.7080292
2026-01-20T00:00:00Z,1657195.88721805
2026-01-19T00:00:00Z,1825204.24
2026-01-18T00:00:00Z,1497708.38571429
2026-01-17T00:00:00Z,1471329.95973154
2026-01-16T00:00:00Z,1535359.63846154
2026-01-15T00:00:00Z,1538970.33093525
2026-01-14T00:00:00Z,1722962.66935484
2026-01-13T00:00:00Z,1481805.71111111
2026-01-12T00:00:00Z,1556101.6971831
2026-01-11T00:00:00Z,1734302.67213115
2026-01-10T00:00:00Z,1494808.09876543
2026-01-09T00:00:00Z,1623153.4084507
2026-01-08T00:00:00Z,1611304.18939394
2026-01-07T00:00:00Z,1606394.89795918
2026-01-06T00:00:00Z,1635321.89230769
2026-01-05T00:00:00Z,1582298.53787879
2026-01-04T00:00:00Z,1498825.93793103
2026-01-03T00:00:00Z,1473210.67096774
2026-01-02T00:00:00Z,1483010.40277778
2026-01-01T00:00:00Z,1441710.19205298
2025-12-31T00:00:00Z,1524640.13533835
2025-12-30T00:00:00Z,1549636.75630252
2025-12-29T00:00:00Z,1564140.2987013
2025-12-28T00:00:00Z,1489781.88387097
2025-12-27T00:00:00Z,1576577.27205882
2025-12-26T00:00:00Z,1472723.48717949
2025-12-25T00:00:00Z,1550937.13043478
2025-12-24T00:00:00Z,1588491.08805031
2025-12-23T00:00:00Z,1476430.55862069
2025-12-22T00:00:00Z,1490567.95683453
2025-12-21T00:00:00Z,1466263.86956522
2025-12-20T00:00:00Z,1491643.27891156
2025-12-19T00:00:00Z,1537068.1862069
2025-12-18T00:00:00Z,1543872.63194444
2025-12-17T00:00:00Z,1510442.15942029
2025-12-16T00:00:00Z,1486212.02721088
2025-12-15T00:00:00Z,1529194.19402985
2025-12-14T00:00:00Z,1449261.421875
2025-12-13T00:00:00Z,1586394.18881119
2025-12-12T00:00:00Z,1597767.14482759
2025-12-11T00:00:00Z,1547940.2125
2025-12-10T00:00:00Z,1526232.2
2025-12-09T00:00:00Z,1571898.79069767
2025-12-08T00:00:00Z,1535843.73648649
2025-12-07T00:00:00Z,1519329.1
2025-12-06T00:00:00Z,1432120.24539877
2025-12-05T00:00:00Z,1572362.96638655
2025-12-04T00:00:00Z,1558936.99242424
2025-12-03T00:00:00Z,1510216.26515152
2025-12-02T00:00:00Z,1590413.23622047
2025-12-01T00:00:00Z,1568372.96240602
2025-11-30T00:00:00Z,1609699.91017964
2025-11-29T00:00:00Z,1593507.53284672
2025-11-28T00:00:00Z,1534037.86666667
2025-11-27T00:00:00Z,1548441.97202797
2025-11-26T00:00:00Z,1604467.84146341
2025-11-25T00:00:00Z,1578018.59130435
2025-11-24T00:00:00Z,1576091.28671329
2025-11-23T00:00:00Z,1584971.36619718
2025-11-22T00:00:00Z,1493889.38461538
2025-11-21T00:00:00Z,1549934.67549669
2025-11-20T00:00:00Z,1642247.40458015
2025-11-19T00:00:00Z,1553852.82481752
2025-11-18T00:00:00Z,1542071.69924812
2025-11-17T00:00:00Z,1629632.7983871
2025-11-16T00:00:00Z,1547019.20125786
2025-11-15T00:00:00Z,1582198.96503497
2025-11-14T00:00:00Z,1573851.07638889
2025-11-13T00:00:00Z,1492847.97333333
2025-11-12T00:00:00Z,1518468.04255319
2025-11-11T00:00:00Z,1502204.18300654
2025-11-10T00:00:00Z,1523703.28571429
2025-11-09T00:00:00Z,1492776.15602837
2025-11-08T00:00:00Z,1489908.51666667
2025-11-07T00:00:00Z,1570649.02112676
2025-11-06T00:00:00Z,1454764.38571429
2025-11-05T00:00:00Z,1566430.23913043
2025-11-04T00:00:00Z,1516409.9389313
2025-11-03T00:00:00Z,1566939.33098592
2025-11-02T00:00:00Z,1513470.98064516
2025-11-01T00:00:00Z,1666406.46376812
2025-10-31T00:00:00Z,1563611.03571429
2025-10-30T00:00:00Z,1459125.1375
2025-10-29T00:00:00Z,1494957.92682927
2025-10-28T00:00:00Z,1487130.82716049
2025-10-27T00:00:00Z,1548515.99319728
2025-10-26T00:00:00Z,1450812.16326531
2025-10-25T00:00:00Z,1544933.2875
2025-10-24T00:00:00Z,1415097.2122905
2025-10-23T00:00:00Z,1477101.00704225
2025-10-22T00:00:00Z,1453998.51633987
2025-10-21T00:00:00Z,1486426.88666667
2025-10-20T00:00:00Z,1480019.3557047
2025-10-19T00:00:00Z,1529612.02158273
2025-10-18T00:00:00Z,1466007.15151515
2025-10-17T00:00:00Z,1416482.6163522
2025-10-16T00:00:00Z,1488770.18954248
2025-10-15T00:00:00Z,1441111.72222222
2025-10-14T00:00:00Z,1422467.56804734
2025-10-13T00:00:00Z,1477894.38157895
2025-10-12T00:00:00Z,1476928.60689655
2025-10-11T00:00:00Z,1529557.62585034
2025-10-10T00:00:00Z,1544648.96212121
2025-10-09T00:00:00Z,1489170.48333333
2025-10-08T00:00:00Z,1490948.75
2025-10-07T00:00:00Z,1625131.70289855
2025-10-06T00:00:00Z,1535898.86178862
2025-10-05T00:00:00Z,1456114.88590604
2025-10-04T00:00:00Z,1464861.70895522
2025-10-03T00:00:00Z,1583031.88983051
2025-10-02T00:00:00Z,1451698.94117647
2025-10-01T00:00:00Z,1515646.8013245
2025-09-30T00:00:00Z,1421767.8447205
2025-09-29T00:00:00Z,1424506.32142857
2025-09-28T00:00:00Z,1394647.62424242
2025-09-27T00:00:00Z,1445749.01290323
2025-09-26T00:00:00Z,1510291.95454545
2025-09-25T00:00:00Z,1472751.42553192
2025-09-24T00:00:00Z,1435631.00653595
2025-09-23T00:00:00Z,1531009.36111111
2025-09-22T00:00:00Z,1569504.03333333
2025-09-21T00:00:00Z,1410253.59259259
2025-09-20T00:00:00Z,1485395.81699346
2025-09-19T00:00:00Z,1513931.48214286
2025-09-18T00:00:00Z,1484959.36708861
2025-09-17T00:00:00Z,1513862.1484375
2025-09-16T00:00:00Z,1576684.18125
2025-09-15T00:00:00Z,1489504.59509202
2025-09-14T00:00:00Z,1630762.8496732
2025-09-13T00:00:00Z,1588656.29787234
2025-09-12T00:00:00Z,1622331.6
2025-09-11T00:00:00Z,1500241.31333333
2025-09-10T00:00:00Z,1526476.30588235
2025-09-09T00:00:00Z,1458394.33532934
2025-09-08T00:00:00Z,1525031.65
2025-09-07T00:00:00Z,1545642.94155844
2025-09-06T00:00:00Z,1514811.75714286
2025-09-05T00:00:00Z,1563669.02797203
2025-09-04T00:00:00Z,1522612.44285714
2025-09-03T00:00:00Z,1553846.9270073
2025-09-02T00:00:00Z,1551257.8404908
2025-09-01T00:00:00Z,1612232.1863354
2025-08-31T00:00:00Z,1395355.68181818
2025-08-30T00:00:00Z,1456671.37341772
2025-08-29T00:00:00Z,1511100.27272727
2025-08-28T00:00:00Z,1577044.37106918
2025-08-27T00:00:00Z,1587194.12666667
2025-08-26T00:00:00Z,1642318.6
2025-08-25T00:00:00Z,1599979.13475177
2025-08-24T00:00:00Z,1577254.28658537
2025-08-23T00:00:00Z,1585786.625
2025-08-22T00:00:00Z,1632662.84931507
2025-08-21T00:00:00Z,1598563.13422819
2025-08-20T00:00:00Z,1609660.63120567
2025-08-19T00:00:00Z,1739985.73134328
2025-08-18T00:00:00Z,1562829.32467532
2025-08-17T00:00:00Z,1523958.68421053
2025-08-16T00:00:00Z,1665970.48026316
2025-08-15T00:00:00Z,1593813.84328358
2025-08-14T00:00:00Z,1587933.43827161
2025-08-13T00:00:00Z,1558119.73076923
2025-08-12T00:00:00Z,1570782.57664234
2025-08-11T00:00:00Z,1660835.37414966
2025-08-10T00:00:00Z,1682989.63703704
2025-08-09T00:00:00Z,1607773.35344828
2025-08-08T00:00:00Z,1539645.4379562
2025-08-07T00:00:00Z,1618967.65838509
2025-08-06T00:00:00Z,1514203.52083333
2025-08-05T00:00:00Z,1662938.97826087
2025-08-04T00:00:00Z,1555663.01754386
2025-08-03T00:00:00Z,2026589.4
2025-08-02T00:00:00Z,2202759.84137931
2025-08-01T00:00:00Z,1785556.94701987
2025-07-31T00:00:00Z,1620939.72077922
2025-07-30T00:00:00Z,1597391.15328467
2025-07-29T00:00:00Z,1627100.02678571
2025-07-28T00:00:00Z,1635249.51034483
2025-07-27T00:00:00Z,1661527.35766423
2025-07-26T00:00:00Z,1697726.97385621
2025-07-25T00:00:00Z,1637612.775
2025-07-24T00:00:00Z,1478335.06802721
2025-07-23T00:00:00Z,1564727.33571429
2025-07-22T00:00:00Z,1496227.56666667
2025-07-21T00:00:00Z,1452639.78666667
2025-07-20T00:00:00Z,1402411.24832215
2025-07-19T00:00:00Z,1480366.76760563
2025-07-18T00:00:00Z,1562920.81944444
2025-07-17T00:00:00Z,1527159.31617647
2025-07-16T00:00:00Z,1441360.95419847
2025-07-15T00:00:00Z,1401869.95121951
2025-07-14T00:00:00Z,1574145.79310345
2025-07-13T00:00:00Z,1454476.72992701
2025-07-12T00:00:00Z,1484081.06711409
2025-07-11T00:00:00Z,1524256.56666667
2025-07-10T00:00:00Z,1448513.29239766
2025-07-09T00:00:00Z,1457728.9695122
2025-07-08T00:00:00Z,1473559.85211268
2025-07-07T00:00:00Z,1263031.73509934
2025-07-06T00:00:00Z,1514304.95625
2025-07-05T00:00:00Z,1305960.64968153
2025-07-04T00:00:00Z,1274989.77987421
2025-07-03T00:00:00Z,1494886.84768212
2025-07-02T00:00:00Z,1372175.81699346
2025-07-01T00:00:00Z,1470584.01492537
2025-06-30T00:00:00Z,1377226.25517241
2025-06-29T00:00:00Z,1304102.63313609
2025-06-28T00:00:00Z,1714430.92413793
2025-06-27T00:00:00Z,1583705.31304348
2025-06-26T00:00:00Z,1534301.94267516
2025-06-25T00:00:00Z,1590905.87412587
2025-06-24T00:00:00Z,1477947.52991453
2025-06-23T00:00:00Z,1457312.77570093
2025-06-22T00:00:00Z,1416552.51401869
2025-06-21T00:00:00Z,1310981.60283688
2025-06-20T00:00:00Z,1439421.14569536
2025-06-19T00:00:00Z,1580072.77952756
2025-06-18T00:00:00Z,1510715.60714286
2025-06-17T00:00:00Z,1513460.45762712
2025-06-16T00:00:00Z,1280749.26027397
2025-06-15T00:00:00Z,1143612.36029412
2025-06-14T00:00:00Z,1100952.47019868
2025-06-13T00:00:00Z,1426596.55172414
2025-06-12T00:00:00Z,1494508.43243243
2025-06-11T00:00:00Z,1575378.39716312
2025-06-10T00:00:00Z,1427166.20710059
2025-06-09T00:00:00Z,1363472.27142857
2025-06-08T00:00:00Z,1330466.41830065
2025-06-07T00:00:00Z,1175063.11188811
2025-06-06T00:00:00Z,1576928.58955224
