Datetime,Average Dormancy
2026-04-10T00:00:00Z,7.27837612
2026-04-09T00:00:00Z,9.01722575
2026-04-08T00:00:00Z,5.59495879
2026-04-07T00:00:00Z,8.40309352
2026-04-06T00:00:00Z,9.19079973
2026-04-05T00:00:00Z,32.16182743
2026-04-04T00:00:00Z,5.71494156
2026-04-03T00:00:00Z,6.06140945
2026-04-02T00:00:00Z,7.28286194
2026-04-01T00:00:00Z,7.77073162
2026-03-31T00:00:00Z,31.33646905
2026-03-30T00:00:00Z,7.85198789
2026-03-29T00:00:00Z,5.5952427
2026-03-28T00:00:00Z,8.86010147
2026-03-27T00:00:00Z,7.05199659
2026-03-26T00:00:00Z,10.30629021
2026-03-25T00:00:00Z,8.42619028
2026-03-24T00:00:00Z,15.52861542
2026-03-23T00:00:00Z,12.16420121
2026-03-22T00:00:00Z,56.20524445
2026-03-21T00:00:00Z,4.54178658
2026-03-20T00:00:00Z,22.86314671
2026-03-19T00:00:00Z,8.33693796
2026-03-18T00:00:00Z,6.3229118
2026-03-17T00:00:00Z,10.31937911
2026-03-16T00:00:00Z,11.27927976
2026-03-15T00:00:00Z,4.7310761
2026-03-14T00:00:00Z,7.56756257
2026-03-13T00:00:00Z,9.86429201
2026-03-12T00:00:00Z,21.34543325
2026-03-11T00:00:00Z,13.07165418
2026-03-10T00:00:00Z,5.29113671
2026-03-09T00:00:00Z,12.36984417
2026-03-08T00:00:00Z,8.68810918
2026-03-07T00:00:00Z,6.00197341
2026-03-06T00:00:00Z,12.93336426
2026-03-05T00:00:00Z,8.05326354
2026-03-04T00:00:00Z,6.73942492
2026-03-03T00:00:00Z,5.9806468
2026-03-02T00:00:00Z,6.48432529
2026-03-01T00:00:00Z,4.87633117
2026-02-28T00:00:00Z,4.40718715
2026-02-27T00:00:00Z,7.58231266
2026-02-26T00:00:00Z,9.09367956
2026-02-25T00:00:00Z,6.5633756
2026-02-24T00:00:00Z,11.53047103
2026-02-23T00:00:00Z,11.85753886
2026-02-22T00:00:00Z,4.3166222
2026-02-21T00:00:00Z,9.07824734
2026-02-20T00:00:00Z,8.60887413
2026-02-19T00:00:00Z,11.45980135
2026-02-18T00:00:00Z,17.35506103
2026-02-17T00:00:00Z,7.02385376
2026-02-16T00:00:00Z,6.41505505
2026-02-15T00:00:00Z,4.28734495
2026-02-14T00:00:00Z,5.22434748
2026-02-13T00:00:00Z,21.44865268
2026-02-12T00:00:00Z,9.53678382
2026-02-11T00:00:00Z,9.03965364
2026-02-10T00:00:00Z,20.51216292
2026-02-09T00:00:00Z,8.13181719
2026-02-08T00:00:00Z,6.88501408
2026-02-07T00:00:00Z,7.58162805
2026-02-06T00:00:00Z,14.40048943
2026-02-05T00:00:00Z,19.40966068
2026-02-04T00:00:00Z,13.05501193
2026-02-03T00:00:00Z,11.34992148
2026-02-02T00:00:00Z,17.62028433
2026-02-01T00:00:00Z,11.75925109
2026-01-31T00:00:00Z,11.5692594
2026-01-30T00:00:00Z,12.15015301
2026-01-29T00:00:00Z,8.25103178
2026-01-28T00:00:00Z,9.32030394
2026-01-27T00:00:00Z,7.9351968
2026-01-26T00:00:00Z,10.0273497
2026-01-25T00:00:00Z,6.56501316
2026-01-24T00:00:00Z,8.46968377
2026-01-23T00:00:00Z,30.78573343
2026-01-22T00:00:00Z,24.30767946
2026-01-21T00:00:00Z,9.64626714
2026-01-20T00:00:00Z,12.46228384
2026-01-19T00:00:00Z,15.41644835
2026-01-18T00:00:00Z,8.65124357
2026-01-17T00:00:00Z,15.1664354
2026-01-16T00:00:00Z,8.20973495
2026-01-15T00:00:00Z,8.94712006
2026-01-14T00:00:00Z,8.47685069
2026-01-13T00:00:00Z,13.98129101
2026-01-12T00:00:00Z,17.89537896
2026-01-11T00:00:00Z,9.15331964
2026-01-10T00:00:00Z,40.42289919
2026-01-09T00:00:00Z,13.22552016
2026-01-08T00:00:00Z,12.11325377
2026-01-07T00:00:00Z,34.46182808
2026-01-06T00:00:00Z,9.42699829
2026-01-05T00:00:00Z,12.86464475
2026-01-04T00:00:00Z,6.11343856
2026-01-03T00:00:00Z,5.28279768
2026-01-02T00:00:00Z,7.60650257
2026-01-01T00:00:00Z,18.17488777
2025-12-31T00:00:00Z,21.11561328
2025-12-30T00:00:00Z,14.91458432
2025-12-29T00:00:00Z,9.44680041
2025-12-28T00:00:00Z,10.56329345
2025-12-27T00:00:00Z,8.52937481
2025-12-26T00:00:00Z,12.77894766
2025-12-25T00:00:00Z,7.82571295
2025-12-24T00:00:00Z,9.00951488
2025-12-23T00:00:00Z,26.1068701
2025-12-22T00:00:00Z,11.89556755
2025-12-21T00:00:00Z,8.00707743
2025-12-20T00:00:00Z,27.99993192
2025-12-19T00:00:00Z,16.71592824
2025-12-18T00:00:00Z,8.40671707
2025-12-17T00:00:00Z,15.95361052
2025-12-16T00:00:00Z,34.12807636
2025-12-15T00:00:00Z,14.34538487
2025-12-14T00:00:00Z,7.3147008
2025-12-13T00:00:00Z,13.14563103
2025-12-12T00:00:00Z,19.81143303
2025-12-11T00:00:00Z,13.25663826
2025-12-10T00:00:00Z,33.61039288
2025-12-09T00:00:00Z,18.26002699
2025-12-08T00:00:00Z,40.51966467
2025-12-07T00:00:00Z,13.95640116
2025-12-06T00:00:00Z,12.82967453
2025-12-05T00:00:00Z,32.29293694
2025-12-04T00:00:00Z,12.13117683
2025-12-03T00:00:00Z,24.97978967
2025-12-02T00:00:00Z,10.95763467
2025-12-01T00:00:00Z,30.08293121
2025-11-30T00:00:00Z,7.34422314
2025-11-29T00:00:00Z,4.42771703
2025-11-28T00:00:00Z,9.46746123
2025-11-27T00:00:00Z,9.26467321
2025-11-26T00:00:00Z,48.88005145
2025-11-25T00:00:00Z,19.84654247
2025-11-24T00:00:00Z,14.97097841
2025-11-23T00:00:00Z,275.92014375
2025-11-22T00:00:00Z,236.99749128
