Datetime,Realized Price
2026-04-10T00:00:00Z,54164.6072748
2026-04-09T00:00:00Z,54153.10812527
2026-04-08T00:00:00Z,54152.57039871
2026-04-07T00:00:00Z,54139.02904906
2026-04-06T00:00:00Z,54142.76183375
2026-04-05T00:00:00Z,54139.49470925
2026-04-04T00:00:00Z,54126.29437272
2026-04-03T00:00:00Z,54127.93092556
2026-04-02T00:00:00Z,54138.42008785
2026-04-01T00:00:00Z,54172.90324657
2026-03-31T00:00:00Z,54173.92276243
2026-03-30T00:00:00Z,54178.15131709
2026-03-29T00:00:00Z,54212.11501283
2026-03-28T00:00:00Z,54218.22061163
2026-03-27T00:00:00Z,54233.14189339
2026-03-26T00:00:00Z,54286.17224374
2026-03-25T00:00:00Z,54301.83891987
2026-03-24T00:00:00Z,54314.78666791
2026-03-23T00:00:00Z,54357.63275156
2026-03-22T00:00:00Z,54358.71706786
2026-03-21T00:00:00Z,54338.01564098
2026-03-20T00:00:00Z,54338.20283108
2026-03-19T00:00:00Z,54351.88360209
2026-03-18T00:00:00Z,54374.71932805
2026-03-17T00:00:00Z,54400.87475186
2026-03-16T00:00:00Z,54401.93261125
2026-03-15T00:00:00Z,54382.45181992
2026-03-14T00:00:00Z,54376.6477369
2026-03-13T00:00:00Z,54393.08405544
2026-03-12T00:00:00Z,54386.99931932
2026-03-11T00:00:00Z,54404.10705798
2026-03-10T00:00:00Z,54461.57578484
2026-03-09T00:00:00Z,54461.14028744
2026-03-08T00:00:00Z,54470.16413742
2026-03-07T00:00:00Z,54475.51443364
2026-03-06T00:00:00Z,54486.42389303
2026-03-05T00:00:00Z,54539.09254717
2026-03-04T00:00:00Z,54553.3805744
2026-03-03T00:00:00Z,54544.9919126
2026-03-02T00:00:00Z,54555.27520428
2026-03-01T00:00:00Z,54560.60133908
2026-02-28T00:00:00Z,54567.41841896
2026-02-27T00:00:00Z,54576.96411544
2026-02-26T00:00:00Z,54610.68935158
2026-02-25T00:00:00Z,54618.58743877
2026-02-24T00:00:00Z,54628.57837664
2026-02-23T00:00:00Z,54699.11331047
2026-02-22T00:00:00Z,54748.11633348
2026-02-21T00:00:00Z,54753.26964437
2026-02-20T00:00:00Z,54752.51528689
2026-02-19T00:00:00Z,54805.46381852
2026-02-18T00:00:00Z,54825.11688448
2026-02-17T00:00:00Z,54864.52667079
2026-02-16T00:00:00Z,54888.21516866
2026-02-15T00:00:00Z,54916.14048585
2026-02-14T00:00:00Z,54918.86816054
2026-02-13T00:00:00Z,54915.58022899
2026-02-12T00:00:00Z,54954.11850286
2026-02-11T00:00:00Z,55019.81951804
2026-02-10T00:00:00Z,55082.77634979
2026-02-09T00:00:00Z,55128.92385962
2026-02-08T00:00:00Z,55178.69573233
2026-02-07T00:00:00Z,55171.32142495
2026-02-06T00:00:00Z,55241.29608005
2026-02-05T00:00:00Z,55321.05464498
2026-02-04T00:00:00Z,55581.86531621
2026-02-03T00:00:00Z,55686.51826538
2026-02-02T00:00:00Z,55787.85106347
2026-02-01T00:00:00Z,55836.68297759
2026-01-31T00:00:00Z,55862.26037846
2026-01-30T00:00:00Z,55908.31002217
2026-01-29T00:00:00Z,55954.46595179
2026-01-28T00:00:00Z,55987.8349831
2026-01-27T00:00:00Z,55990.41654123
2026-01-26T00:00:00Z,55986.92922988
2026-01-25T00:00:00Z,55994.38428834
2026-01-24T00:00:00Z,56004.84982224
2026-01-23T00:00:00Z,56007.37179874
2026-01-22T00:00:00Z,56234.91709215
2026-01-21T00:00:00Z,56243.39555691
2026-01-20T00:00:00Z,56267.21151376
2026-01-19T00:00:00Z,56303.34207056
2026-01-18T00:00:00Z,56305.4556382
2026-01-17T00:00:00Z,56297.83411135
2026-01-16T00:00:00Z,56281.64998074
2026-01-15T00:00:00Z,56271.97504207
2026-01-14T00:00:00Z,56245.39821805
2026-01-13T00:00:00Z,56199.80251747
2026-01-12T00:00:00Z,56159.49199056
2026-01-11T00:00:00Z,56162.65190256
2026-01-10T00:00:00Z,56173.8106298
2026-01-09T00:00:00Z,56172.82942609
2026-01-08T00:00:00Z,56190.98967232
2026-01-07T00:00:00Z,56202.96125762
2026-01-06T00:00:00Z,56190.1262447
2026-01-05T00:00:00Z,56173.6732577
2026-01-04T00:00:00Z,56141.92012003
2026-01-03T00:00:00Z,56134.51105089
2026-01-02T00:00:00Z,56131.5209942
2026-01-01T00:00:00Z,56129.73671931
2025-12-31T00:00:00Z,56132.91199202
2025-12-30T00:00:00Z,56162.80112394
2025-12-29T00:00:00Z,56183.85343602
2025-12-28T00:00:00Z,56190.14971894
2025-12-27T00:00:00Z,56200.54120253
2025-12-26T00:00:00Z,56200.56070697
2025-12-25T00:00:00Z,56245.4657825
2025-12-24T00:00:00Z,56240.72781445
2025-12-23T00:00:00Z,56261.70945252
2025-12-22T00:00:00Z,56267.12849346
2025-12-21T00:00:00Z,56262.13816509
2025-12-20T00:00:00Z,56256.66314955
2025-12-19T00:00:00Z,56289.8091678
2025-12-18T00:00:00Z,56294.58311166
2025-12-17T00:00:00Z,56300.6402283
2025-12-16T00:00:00Z,56324.37438761
2025-12-15T00:00:00Z,56334.10812153
2025-12-14T00:00:00Z,56394.16235543
2025-12-13T00:00:00Z,56399.66640875
2025-12-12T00:00:00Z,56398.32984648
2025-12-11T00:00:00Z,56416.50689004
2025-12-10T00:00:00Z,56421.81869049
2025-12-09T00:00:00Z,56346.16746166
