Datetime,Net Unrealized Loss (NUL)
2026-04-10T00:00:00Z,0.1296695
2026-04-09T00:00:00Z,0.13774642
2026-04-08T00:00:00Z,0.14302375
2026-04-07T00:00:00Z,0.1370439
2026-04-06T00:00:00Z,0.16089442
2026-04-05T00:00:00Z,0.16050757
2026-04-04T00:00:00Z,0.17502356
2026-04-03T00:00:00Z,0.17842413
2026-04-02T00:00:00Z,0.17917639
2026-04-01T00:00:00Z,0.16823958
2026-03-31T00:00:00Z,0.16769097
2026-03-30T00:00:00Z,0.18181576
2026-03-29T00:00:00Z,0.1905391
2026-03-28T00:00:00Z,0.1860853
2026-03-27T00:00:00Z,0.18765409
2026-03-26T00:00:00Z,0.1644089
2026-03-25T00:00:00Z,0.14451495
2026-03-24T00:00:00Z,0.14997497
2026-03-23T00:00:00Z,0.14819043
2026-03-22T00:00:00Z,0.17312949
2026-03-21T00:00:00Z,0.15739775
2026-03-20T00:00:00Z,0.1518353
2026-03-19T00:00:00Z,0.15677671
2026-03-18T00:00:00Z,0.14666435
2026-03-17T00:00:00Z,0.12729517
2026-03-16T00:00:00Z,0.12254641
2026-03-15T00:00:00Z,0.13582295
2026-03-14T00:00:00Z,0.14758347
2026-03-13T00:00:00Z,0.14971141
2026-03-12T00:00:00Z,0.15293342
2026-03-11T00:00:00Z,0.15624835
2026-03-10T00:00:00Z,0.15936845
2026-03-09T00:00:00Z,0.17224649
2026-03-08T00:00:00Z,0.19509461
2026-03-07T00:00:00Z,0.1831026
2026-03-06T00:00:00Z,0.17487772
2026-03-05T00:00:00Z,0.15240807
2026-03-04T00:00:00Z,0.14135836
2026-03-03T00:00:00Z,0.17403243
2026-03-02T00:00:00Z,0.17073001
2026-03-01T00:00:00Z,0.19975501
2026-02-28T00:00:00Z,0.18860383
2026-02-27T00:00:00Z,0.19843321
2026-02-26T00:00:00Z,0.18360852
2026-02-25T00:00:00Z,0.17925086
2026-02-24T00:00:00Z,0.2189798
2026-02-23T00:00:00Z,0.21391942
2026-02-22T00:00:00Z,0.18400182
2026-02-21T00:00:00Z,0.18055304
2026-02-20T00:00:00Z,0.18104472
2026-02-19T00:00:00Z,0.19140931
2026-02-18T00:00:00Z,0.19688609
2026-02-17T00:00:00Z,0.18773871
2026-02-16T00:00:00Z,0.17539231
2026-02-15T00:00:00Z,0.1782926
2026-02-14T00:00:00Z,0.16798613
2026-02-13T00:00:00Z,0.17611861
2026-02-12T00:00:00Z,0.20158168
2026-02-11T00:00:00Z,0.1950432
2026-02-10T00:00:00Z,0.17953319
2026-02-09T00:00:00Z,0.16760307
2026-02-08T00:00:00Z,0.16753541
2026-02-07T00:00:00Z,0.17678744
