Datetime,0 ~ 0.01 BTC (%),0.01 ~ 0.1 BTC (%),0.1 ~ 1 BTC (%),1 ~ 10 BTC (%),10 ~ 100 BTC (%),100 ~ 1K BTC (%),1K ~ 10K BTC (%),10K BTC ~ (%)
2026-04-10T00:00:00Z,0.13452513,0.41089604,1.6972052,5.6883582,25.37582279,21.91482421,22.95298125,21.82538718
2026-04-09T00:00:00Z,0.13460435,0.43883793,2.01605107,6.89174661,26.43700262,23.554148,21.87703164,18.65057779
2026-04-08T00:00:00Z,0.13617488,0.44168541,1.87638685,6.05497668,30.39252211,19.84021866,26.78320712,14.47482828
2026-04-07T00:00:00Z,0.1254891,0.37632248,1.69433725,5.59098167,24.4811519,20.3431038,26.93590644,20.45270737
2026-04-06T00:00:00Z,0.17059115,0.50095497,2.28329532,8.73802092,30.24992805,21.77919337,26.34677829,9.93123793
2026-04-05T00:00:00Z,0.22285805,0.47860802,2.11562797,6.09825655,33.95178854,11.52554984,23.58435383,22.0229572
2026-04-04T00:00:00Z,0.23111307,0.55551433,2.38280466,6.78839853,36.94176805,14.5528914,19.8602064,18.68730357
2026-04-03T00:00:00Z,0.15758277,0.46204802,1.98378472,6.14932364,29.03984444,19.59192268,23.6368466,18.97864713
2026-04-02T00:00:00Z,0.12677747,0.37715938,1.56508551,5.81935359,23.44580314,20.23333812,25.12207244,23.31041036
2026-04-01T00:00:00Z,0.18066681,0.52484502,2.13715973,7.7779658,31.50617679,22.18988177,24.77173041,10.91157366
2026-03-31T00:00:00Z,0.13941249,0.43616933,1.83529073,6.60495196,28.99483849,21.74482855,25.23602865,15.00847981
2026-03-30T00:00:00Z,0.12622567,0.36650585,1.64082269,5.98918097,26.45781228,24.58839115,19.36628254,21.46477884
2026-03-29T00:00:00Z,0.2046027,0.46946102,2.1129449,7.25613994,39.28859655,17.86429938,23.84932178,8.95463373
2026-03-28T00:00:00Z,0.23017517,0.50309029,2.07929222,7.46674197,37.21783787,22.80975775,17.36545583,12.32764889
2026-03-27T00:00:00Z,0.13143376,0.38851268,1.65051437,6.6959326,27.94846212,27.7071637,18.44355152,17.03442925
2026-03-26T00:00:00Z,0.13669571,0.41127192,1.69211549,6.3715041,28.44547253,24.93112339,18.96018709,19.05162978
2026-03-25T00:00:00Z,0.15665702,0.46255384,1.9168901,6.93880806,30.02446259,28.69378857,18.32675646,13.48008335
2026-03-24T00:00:00Z,0.14288462,0.42115768,1.7780624,6.48863431,26.99492874,26.98805959,18.5398063,18.64646637
2026-03-23T00:00:00Z,0.14684144,0.43502481,1.95766016,6.81215825,32.77713093,29.72076161,16.5927124,11.5577104
2026-03-22T00:00:00Z,0.17540917,0.48577523,2.13324397,7.66348564,36.57104487,18.01228784,18.21005455,16.74869874
2026-03-21T00:00:00Z,0.21912803,0.64398762,2.58906686,7.43975308,42.78133139,20.8526129,20.27154938,5.20257074
2026-03-20T00:00:00Z,0.15563853,0.45398096,1.94141244,6.60147876,32.30463223,25.86941465,14.38209603,18.2913464
