Datetime,Exchange Supply Ratio
2026-04-10T00:00:00Z,0.53468868
2026-04-09T00:00:00Z,0.53492395
2026-04-08T00:00:00Z,0.53366109
2026-04-07T00:00:00Z,0.53121181
2026-04-06T00:00:00Z,0.5298632
2026-04-05T00:00:00Z,0.52947362
2026-04-04T00:00:00Z,0.5285016
2026-04-03T00:00:00Z,0.53053132
2026-04-02T00:00:00Z,0.5266254
2026-04-01T00:00:00Z,0.52481482
2026-03-31T00:00:00Z,0.52465114
2026-03-30T00:00:00Z,0.52235219
2026-03-29T00:00:00Z,0.52017999
2026-03-28T00:00:00Z,0.52125356
2026-03-27T00:00:00Z,0.51828601
2026-03-26T00:00:00Z,0.51867304
2026-03-25T00:00:00Z,0.52100176
2026-03-24T00:00:00Z,0.52093074
2026-03-23T00:00:00Z,0.52002385
2026-03-22T00:00:00Z,0.51823961
2026-03-21T00:00:00Z,0.54175554
2026-03-20T00:00:00Z,0.54601466
2026-03-19T00:00:00Z,0.55118607
2026-03-18T00:00:00Z,0.55124085
2026-03-17T00:00:00Z,0.54918101
2026-03-16T00:00:00Z,0.52402442
2026-03-15T00:00:00Z,0.52177107
2026-03-14T00:00:00Z,0.5219058
2026-03-13T00:00:00Z,0.52200422
2026-03-12T00:00:00Z,0.52147801
2026-03-11T00:00:00Z,0.52319345
2026-03-10T00:00:00Z,0.52777917
2026-03-09T00:00:00Z,0.51768868
2026-03-08T00:00:00Z,0.51489142
2026-03-07T00:00:00Z,0.52751045
2026-03-06T00:00:00Z,0.532102
2026-03-05T00:00:00Z,0.5314775
2026-03-04T00:00:00Z,0.53147918
2026-03-03T00:00:00Z,0.53251552
2026-03-02T00:00:00Z,0.53080588
2026-03-01T00:00:00Z,0.53077702
2026-02-28T00:00:00Z,0.5307755
2026-02-27T00:00:00Z,0.52973325
2026-02-26T00:00:00Z,0.52808466
2026-02-25T00:00:00Z,0.52803372
2026-02-24T00:00:00Z,0.52862327
2026-02-23T00:00:00Z,0.52778756
2026-02-22T00:00:00Z,0.52737995
2026-02-21T00:00:00Z,0.53152403
2026-02-20T00:00:00Z,0.53071909
2026-02-19T00:00:00Z,0.53940123
2026-02-18T00:00:00Z,0.53707285
2026-02-17T00:00:00Z,0.53691121
2026-02-16T00:00:00Z,0.53579325
2026-02-15T00:00:00Z,0.53542119
2026-02-14T00:00:00Z,0.53487144
2026-02-13T00:00:00Z,0.53894933
2026-02-12T00:00:00Z,0.53813666
2026-02-11T00:00:00Z,0.54951233
2026-02-10T00:00:00Z,0.54835989
2026-02-09T00:00:00Z,0.53626436
2026-02-08T00:00:00Z,0.53404404
2026-02-07T00:00:00Z,0.53785014
2026-02-06T00:00:00Z,0.54085303
2026-02-05T00:00:00Z,0.5499667
2026-02-04T00:00:00Z,0.5483594
2026-02-03T00:00:00Z,0.55263796
2026-02-02T00:00:00Z,0.55580721
2026-02-01T00:00:00Z,0.55116492
2026-01-31T00:00:00Z,0.54974435
2026-01-30T00:00:00Z,0.54813253
2026-01-29T00:00:00Z,0.54847961
2026-01-28T00:00:00Z,0.55003381
2026-01-27T00:00:00Z,0.54991252
2026-01-26T00:00:00Z,0.54705713
