date,Tokens Transferred (Total)
2017-11-28,100260.0
2017-12-21,20.0
2017-12-27,3.290016
2017-12-28,1671.195827
2017-12-31,867.0
2018-01-10,0.0
2018-01-22,55000593.054366
2018-01-23,2000444.7299
2018-01-24,1340515.775
2018-01-25,4644738.716
2018-01-26,39466010.2258
2018-01-27,28431444.367276
2018-01-28,42483773.49872
2018-01-29,958926.723279
2018-01-30,28836424.615266
2018-01-31,3496321.029878
2018-02-01,1357268.3742
2018-02-02,30498080.468241
2018-02-03,3775708.4847
2018-02-04,5542042.073072
2018-02-05,8672889.1825
2018-02-06,4075690.705514
2018-02-07,2501799.4726
2018-02-08,1299148.06755
2018-02-09,3356741.608624
2018-02-10,939885.65035
2018-02-11,2114990.8428
2018-02-12,437059.75009
2018-02-13,1818271.923738
2018-02-14,2594978.0402
2018-02-15,1372741.3014
2018-02-16,96613.7692
2018-02-17,1142620.5628
2018-02-18,1590479.38986
2018-02-19,600297.4978
2018-02-20,1165690.8164
2018-02-21,4690374.8352
2018-02-22,3319852.649419
2018-02-23,46057.629812
2018-02-24,3122196.112872
2018-02-25,522814.836205
2018-02-26,1147238.67726
2018-02-27,548609.35276
2018-02-28,526811.159625
2018-03-01,3911817.1148
2018-03-02,706066.690697
2018-03-03,690352.2276
2018-03-04,1057861.407934
2018-03-05,421813.373724
2018-03-06,2036401.983622
2018-03-07,2716318.421988
2018-03-08,817115.034498
2018-03-09,736272.008142
2018-03-10,507342.8038
2018-03-11,2234745.899728
2018-03-12,329876.3745
2018-03-13,1961262.739015
2018-03-14,3294485.188904
2018-03-15,5786291.55423
2018-03-16,1814825.76409
2018-03-17,6543880.87665
2018-03-18,7287159.42878
2018-03-19,219368.641
2018-03-20,740054.1793
2018-03-21,1342887.3081
2018-03-22,1463811.341
2018-03-23,3180479.4491
2018-03-24,3189537.5081
2018-03-25,7424268.941
2018-03-26,2701914.03843
2018-03-27,5863067.558768
2018-03-28,1084912.891836
2018-03-29,2448946.4696
2018-03-30,5676102.157347
2018-03-31,208410.825597
2018-04-01,1252036.375
2018-04-02,418993.4858
2018-04-03,1038543.28399
2018-04-04,2061976.1972
2018-04-05,1111599.4586
2018-04-06,1076159.1973
2018-04-07,80353.9628
2018-04-08,252728.03636
2018-04-09,1364955.0555
2018-04-10,2545790.073937
2018-04-11,6010110.501613
2018-04-12,6802708.875255
2018-04-13,3323161.782671
2018-04-14,7624863.434441
2018-04-15,3724333.387582
2018-04-16,2199732.4243
2018-04-17,627204.067017
2018-04-18,1112363.148494
2018-04-19,796503.607512
2018-04-20,2344073.276108
2018-04-21,11254546.588761
2018-04-22,1161596.841848
2018-04-23,11095607.362157
2018-04-24,19625686.132095
2018-04-25,5015978.277119
2018-04-26,3919700.025081
2018-04-27,1913265.683427
2018-04-28,1995237.231161
2018-04-29,3594279.183078
2018-04-30,2419389.619932
2018-05-01,1912810.446497
2018-05-02,1549899.174476
2018-05-03,5750347.726633
2018-05-04,2584573.370972
2018-05-05,6951465.278078
2018-05-06,1173154.286966
2018-05-07,3868689.443345
2018-05-08,5874626.19466
2018-05-09,4499265.900589
2018-05-10,5358994.30303
2018-05-11,13126281.27695
2018-05-12,2019316.475406
2018-05-13,1799604.948874
2018-05-14,676962.022678
2018-05-15,1513500.865346
2018-05-16,1600405.857594
2018-05-17,1502465.083037
2018-05-18,2139319.226407
2018-05-19,1717664.545991
2018-05-20,643424.265661
2018-05-21,501286.276419
2018-05-22,2030784.668197
2018-05-23,2711433.770977
2018-05-24,5147259.245027
2018-05-25,1268435.726812
2018-05-26,543388.610698
2018-05-27,2098825.831783
2018-05-28,2789600.56145
2018-05-29,661321.912
2018-05-30,180161.865762
2018-05-31,771331.351325
2018-06-01,1406430.240549
2018-06-02,618807.819611
2018-06-03,2049962.978317
2018-06-04,666759.917622
2018-06-05,2760896.034062
2018-06-06,539486.335462
2018-06-07,816000.969858
2018-06-08,677801.845559
2018-06-09,746026.058118
2018-06-10,446292.714381
2018-06-11,715912.407368
2018-06-12,20175955.284282
2018-06-13,227951.076397
2018-06-14,491451.025623
2018-06-15,156706.442828
2018-06-16,295025.6183
2018-06-17,40598.290316
2018-06-18,838713.531762
2018-06-19,502076.85174
2018-06-20,218468.95648
2018-06-21,2934140.347012
2018-06-22,1515673.468058
2018-06-23,315423.5878
2018-06-24,9442096.44779
2018-06-25,2915729.648386
2018-06-26,641151.922658
2018-06-27,1238351.689941
2018-06-28,6031508.587959
2018-06-29,10084601.229851
2018-06-30,43662027.091849
2018-07-01,981276.7413
2018-07-02,2030345.437381
2018-07-03,8233950.011732
2018-07-04,1547957.06172
2018-07-05,3756711.154776
2018-07-06,1178551.951501
2018-07-07,6691582.934707
2018-07-08,2807230.715678
2018-07-09,985172.340832
2018-07-10,529196.877303
2018-07-11,1779590.511091
2018-07-12,391576.484683
2018-07-13,249026.930157
2018-07-14,2157010.712438
2018-07-15,320529.483591
2018-07-16,990629.465693
2018-07-17,1112414.192126
2018-07-18,2412987.932446
2018-07-19,2255515.923343
2018-07-20,1392417.029652
2018-07-21,4020771.310122
2018-07-22,530489.780708
2018-07-23,2651089.6813
2018-07-24,9632142.504425
2018-07-25,2498792.555125
2018-07-26,2880650.904279
2018-07-27,721693.967866
2018-07-28,37011374.708571
2018-07-29,1257722.366888
2018-07-30,17992277.097394
2018-07-31,8802176.817203
2018-08-01,3259605.27596
2018-08-02,3260987.671501
2018-08-03,1640025.374971
2018-08-04,666362.183273
2018-08-05,625486.297237
2018-08-06,262659.701685
2018-08-07,1291746.152002
2018-08-08,3397748.184373
2018-08-09,4882628.737674
2018-08-10,2305382.104622
2018-08-11,1756020.516989
2018-08-12,1503310.435145
2018-08-13,5789103.044405
2018-08-14,3246425.561002
2018-08-15,2544312.175102
2018-08-16,249618.692377
2018-08-17,568335.377704
2018-08-18,1507072.580842
2018-08-19,2362094.892105
2018-08-20,600994.926026
2018-08-21,1321277.978782
2018-08-22,313239.477081
2018-08-23,108787.704366
2018-08-24,587345.689616
2018-08-25,248184.38485
2018-08-26,57895.449139
2018-08-27,66202.221778
2018-08-28,1018754.926892
2018-08-29,1117802.667169
2018-08-30,1036212.679781
2018-08-31,311441.955664
2018-09-01,445906.575109
2018-09-02,348784.686398
2018-09-03,3888504.206006
2018-09-04,2380982.250385
2018-09-05,12600009.110603
2018-09-06,3225259.118185
2018-09-07,909305.414892
2018-09-08,804243.944547
2018-09-09,670410.611839
2018-09-10,2297514.943736
2018-09-11,1049759.984279
2018-09-12,2424934.53601
2018-09-13,1485324.109163
2018-09-14,292104.986964
2018-09-15,342779.378412
2018-09-16,1100198.445102
2018-09-17,2167659.821306
2018-09-18,638992.446168
2018-09-19,1340337.409851
2018-09-20,2521430.337692
2018-09-21,1043878.49399
2018-09-22,426738.255343
2018-09-23,795386.722916
2018-09-24,2237406.573888
2018-09-25,836406.57699
2018-09-26,951366.516498
2018-09-27,329956.668662
2018-09-28,1397667.504894
2018-09-29,738937.022098
2018-09-30,410839.688598
2018-10-01,292236.044996
2018-10-02,487260.800682
2018-10-03,14604497.438801
2018-10-04,619156.798302
2018-10-05,8630409.23898
2018-10-06,396508.672185
2018-10-07,835331.052432
2018-10-08,2494126.988569
2018-10-09,3347043.764791
2018-10-10,6308194.603802
2018-10-11,8495692.963363
2018-10-12,2671075.611291
2018-10-13,245755.872376
2018-10-14,1011918.016918
2018-10-15,9278189.334796
2018-10-16,3202188.786876
2018-10-17,1365548.436182
2018-10-18,1172526.829441
2018-10-19,5072727.865705
2018-10-20,3794062.611558
2018-10-21,2236146.462603
2018-10-22,3036486.38407
2018-10-23,2674984.696528
2018-10-24,1409554.844219
2018-10-25,1028391.418323
2018-10-26,2220218.669429
2018-10-27,1652872.964244
2018-10-28,216782.51976
2018-10-29,855976.588793
2018-10-30,1871819.848068
2018-10-31,3399436.097339
2018-11-01,11088911.959385
2018-11-02,528807.830484
2018-11-03,624272.15397
2018-11-04,538025.581665
2018-11-05,941607.355081
2018-11-06,574682.12714
2018-11-07,2797488.017188
2018-11-08,649034.145174
2018-11-09,918056.629725
2018-11-10,283185.751064
2018-11-11,491818.921226
2018-11-12,1898212.502085
2018-11-13,299197.297915
2018-11-14,1169316.447866
2018-11-15,3068284.968301
2018-11-16,1394337.772995
2018-11-17,869216.714019
2018-11-18,835102.22553
2018-11-19,1783286.452246
2018-11-20,6051637.836746
2018-11-21,1270617.450194
2018-11-22,735862.593168
2018-11-23,1811097.564956
2018-11-24,4376748.105768
2018-11-25,854378.434892
2018-11-26,1056039.222459
2018-11-27,2309156.901358
2018-11-28,826742.843284
2018-11-29,1953887.247674
2018-11-30,1752329.345734
