regressor,beta,hac_se,t,p,label,n,r2,adj_r2,hac_lags
const,-0.0016952639742156077,0.0006152325792486576,-2.7554847246319762,0.005860524098765099,hac5,821,0.2365969921062544,0.23285482049893214,5
btc_etf_intensity,2.331522619495443,0.26815123430317284,8.694804726721543,3.4742677127012674e-18,hac5,821,0.2365969921062544,0.23285482049893214,5
spy_ret,0.5728892414300164,0.2021681236794145,2.833726855666268,0.004600863901798629,hac5,821,0.2365969921062544,0.23285482049893214,5
VIXCLS_d1,-0.0030739084189165995,0.0010268930982899494,-2.993406445165009,0.002758820758029068,hac5,821,0.2365969921062544,0.23285482049893214,5
DGS10_d1,0.022122533420646153,0.022529723774174823,0.9819265270355679,0.32613604607999747,hac5,821,0.2365969921062544,0.23285482049893214,5
const,-0.0016952639742156077,0.0005575849295157261,-3.0403690711081075,0.002362884018883248,hac10,821,0.2365969921062544,0.23285482049893214,10
btc_etf_intensity,2.331522619495443,0.25814997676874946,9.031659226465935,1.6908826033538873e-19,hac10,821,0.2365969921062544,0.23285482049893214,10
spy_ret,0.5728892414300164,0.19017858020404932,3.0123752149971006,0.0025921198253871553,hac10,821,0.2365969921062544,0.23285482049893214,10
VIXCLS_d1,-0.0030739084189165995,0.001010345163148094,-3.0424339434047782,0.002346733176463394,hac10,821,0.2365969921062544,0.23285482049893214,10
DGS10_d1,0.022122533420646153,0.021007375832448726,1.0530840975613391,0.2923024505072386,hac10,821,0.2365969921062544,0.23285482049893214,10
const,-0.0016952639742156077,0.0005308261717255935,-3.193632990447128,0.0014049460773500086,hac20,821,0.2365969921062544,0.23285482049893214,20
btc_etf_intensity,2.331522619495443,0.24851287019727977,9.381898883726159,6.479510490571549e-21,hac20,821,0.2365969921062544,0.23285482049893214,20
spy_ret,0.5728892414300164,0.18036378227032265,3.1762986682736054,0.001491672900432277,hac20,821,0.2365969921062544,0.23285482049893214,20
VIXCLS_d1,-0.0030739084189165995,0.0009545569731162142,-3.220246151344558,0.0012808056936627194,hac20,821,0.2365969921062544,0.23285482049893214,20
DGS10_d1,0.022122533420646153,0.02041222758848352,1.0837882991823773,0.278458674339063,hac20,821,0.2365969921062544,0.23285482049893214,20
const,-0.0016952639742156077,0.0005068502959587015,-3.344703530278177,0.0008237056779327342,hac40,821,0.2365969921062544,0.23285482049893214,40
btc_etf_intensity,2.331522619495443,0.2587641053296413,9.010224260143428,2.0563555346276862e-19,hac40,821,0.2365969921062544,0.23285482049893214,40
spy_ret,0.5728892414300164,0.17142113995227318,3.3419987849195225,0.0008317742483424491,hac40,821,0.2365969921062544,0.23285482049893214,40
VIXCLS_d1,-0.0030739084189165995,0.0008015241102717141,-3.8350791692024764,0.0001255238557616142,hac40,821,0.2365969921062544,0.23285482049893214,40
DGS10_d1,0.022122533420646153,0.019147581514702725,1.1553695908623798,0.24793910911344008,hac40,821,0.2365969921062544,0.23285482049893214,40
