date,TVL
2023-02-19,50124865084
2023-02-26,48016589516
2023-03-05,47628464504
2023-03-12,42201017135
2023-03-19,47980040248
2023-03-26,47993591806
2023-04-02,48987576157
2023-04-09,49319571814
2023-04-16,52544998114
2023-04-23,47784026959
2023-04-30,48464794410
2023-05-07,48433104162
2023-05-14,45808224964
2023-05-21,46719796431
2023-05-28,46535584844
2023-06-04,46316565150
2023-06-11,42157835963
2023-06-18,41676528388
2023-06-25,44203959789
2023-07-02,44952908155
2023-07-09,44040770131
2023-07-16,44820054189
2023-07-23,43382797782
2023-07-30,43587430635
2023-08-06,40362548625
2023-08-13,41727934887
2023-08-20,38263943410
2023-08-27,37634960779
2023-09-03,37586968914
2023-09-10,37622527442
2023-09-17,38521684612
2023-09-24,37858433737
2023-10-01,38564250608
2023-10-08,38487078637
2023-10-15,36641742772
2023-10-22,38069118558
2023-10-29,41243799688
2023-11-05,43691190207
2023-11-12,46547821863
2023-11-19,45800034836
2023-11-26,46944464087
2023-12-03,48106188110
2023-12-10,51030052423
2023-12-17,49971620767
2023-12-24,52752098195
2023-12-31,52810902969
2024-01-07,52762612008
2024-01-14,56361177709
2024-01-21,55046829134
2024-01-28,54055575795
2024-02-04,54525686746
2024-02-11,62191699395
2024-02-18,66940306489
2024-02-25,70131613967
2024-03-03,80557951007
2024-03-10,90407579937
2024-03-17,85408588432
2024-03-24,84860848648
2024-03-31,90694121103
2024-04-07,88814703575
2024-04-14,79054320677
2024-04-21,85639865494
2024-04-28,87029704235
2024-05-05,86248536216
2024-05-12,82475206654
2024-05-19,88021021606
2024-05-26,98554101584
2024-06-02,99842540888
2024-06-09,98285470268
2024-06-16,95339320514
2024-06-23,92691848534
2024-06-30,89435995612
2024-07-07,83355544594
2024-07-14,86428480160
2024-07-21,94854512418
2024-07-28,92593798906
2024-08-04,82895929733
2024-08-11,79383567652
2024-08-18,79040800276
2024-08-25,84438667544
2024-09-01,78109441669
2024-09-08,73510723884
2024-09-15,79003284089
2024-09-22,82995139374
2024-09-29,85981815444
2024-10-06,80101594225
2024-10-13,81372509192
2024-10-20,83242004713
2024-10-27,82768210684
2024-11-03,83130417027
2024-11-10,96698487531
2024-11-17,102588915960
2024-11-24,112030553204
2024-12-01,119835468205
2024-12-08,129960818432
2024-12-15,128084481824
2024-12-22,114703757724
2024-12-29,118343999074
2025-01-05,125509086248
2025-01-12,116525386475
2025-01-19,121996324627
2025-01-26,123302001697
2025-02-02,115270117333
2025-02-09,106821583316
2025-02-16,109906722634
2025-02-23,109050575251
2025-03-02,96524193243
2025-03-09,95927862913
2025-03-16,92152447526
2025-03-23,92654132140
2025-03-30,90716753605
2025-04-06,91442335017
2025-04-13,88034454008
2025-04-20,87026768035
2025-04-27,97006191583
2025-05-04,97924344072
2025-05-11,114479370725
2025-05-18,109596796202
2025-05-25,112119150477
2025-06-01,110171396429
2025-06-08,108880072668
2025-06-15,108862772933
2025-06-22,103493723286
2025-06-29,109230286665
2025-07-06,111875250437
