date,binance-cex,okx,bitfinex,bybit,robinhood,bitget,gemini,htx,gate,mexc,deribit,kucoin,crypto-com,hashkey-exchange,bitkub,poloniex,bitstamp,bitmex,swissborg,bingx,osl-hk,korbit,indodax,phemex,nexo
2022-11-12,,2009512288,115636918,,,,,,,,26857596,,,,,,,,,,,,,,
2022-11-13,-485659141,,-79894640,,,,,,,,-26815412,,-130283057,,,,,,,,,,,,
2022-11-14,-1988915325,,-39463155,,,,,,,,-86236358,,-224759778,,,,,,,,,,,,
2022-11-15,1147137398,,224841539,,,,,,,,29014332,,-73982199,,,,,,,,,,,,
2022-11-16,-544168348,,-159327676,,,,,,,,12344953,,160084415,,,,,,,,,,,,
2022-11-17,-834934449,,-195073651,121716034,,,,,,,-52955540,,-20919364,,,,,,,,,,,,
2022-11-18,760197640,,-118633726,-3540032,,,,,,,-9541063,,25778953,,,,,,,,,,,,
2022-11-19,1152966530,,-69753673,-8902796,,,,-39226204,,,17896003,,-12601054,,,,,,,,,,,,
2022-11-20,-349519299,,25330187,22685351,,,,33499590,,,6575417,,3631659,,,,,,,,,,,,
2022-11-21,-165007866,,-143284891,-44404604,,,,-126472360,,,-66435600,,-74335700,,,,,,,,,,,,
2022-11-22,-129206129,,-335301435,-31593296,,,,121645971,,,-34784063,,49427218,,,,,,1796677,,,,,,
2022-11-23,585238566,,322838754,20933895,,,,13943556,,,18471391,,156079766,,,,,,1525856,,,6487480,,,
2022-11-24,2295623498,,-52521903,32407992,,,,126331711,,,28586391,,117936525,,,,,,13776181,,,4424361,,,
2022-11-25,-800696237,,4894101,10496333,,,,47672449,,,-5126776,,69249219,,,,,-7705491,11201656,,,695794,,,
2022-11-26,-217483609,,-63918134,20706630,,,,177847410,,,840266,,19295639,,,,,-21457318,12156654,,,980762,,,
2022-11-27,703429292,,5472040,3016998,,,,86985882,,,-5567976,,87822672,,,,,-6791153,-3767648,,,-1617226,,,
2022-11-28,-380892195,,-47288937,-2974361,,,,-10414070,,,-3918762,,71473083,,,,,-996243,-2549332,,,-276318,,,
2022-11-29,-1163493091,,-98807771,-7322623,,,,-211157470,426127,,-44427033,,227719683,,,,,-10002108,-8089900,,,-5367126,,,
2022-11-30,1421802343,,303231652,48504627,,,,270076740,49730406,,60102868,,334937811,,,,,18086816,32965471,,,13721951,,,
2022-12-01,661918450,,-28147962,69499107,,,,-35875076,16103463,,16944266,,55391913,,,,,9556887,-4405520,,,3440819,,,
2022-12-02,-1067956716,,-47185707,-30486266,,,,-38774424,-8013157,,-33659036,,-39516095,,,,,-24172807,-1296354,,,-2828866,,,
2022-12-03,401380761,,14898565,34500644,,,,13641668,15053566,,5609843,,-18481534,,,,,-1619384,2973489,,,66538,,,
2022-12-04,-470790985,,-60889744,-4293707,,,,-52016540,-13735227,,-26694694,,-40555739,,,,,-4816154,-12772271,,,-3653462,,,
2022-12-05,156193472,,51832858,9697648,,,,7217040,24558706,,31339355,,49939294,,,,,9712075,9698882,,,4897863,,,
2022-12-06,-702823201,,-67315259,-17179853,,,,-16377303,-16278571,,-22702253,,-80636959,,,,,-2724691,-10623673,,,-3705498,,,
2022-12-07,-1137079979,,27285899,-4284499,,,,-27592236,42981,,2016283,,7287603,,,,,-6306353,-4365138,,,1098851,,,
2022-12-08,-830475567,,-114031385,-30354816,,,,-59415483,-24475503,,-23060858,,-76019989,,,,,-8115243,-7337959,,,-4377342,,,
2022-12-09,688892181,,206610093,16594438,,,,70129688,26585190,,40519264,,15214076,,,,,3842641,9762385,,,5535167,,,
2022-12-10,-408657825,,-66729519,-29738777,,,,-3082658,-1184942,,-16204352,,-33232797,,,,,6001298,-4861430,,,-1615062,,,
2022-12-11,1060373209,,28044123,-319354,,,,32514316,7366423,,-2723315,,-17285384,,,,,-2133316,6807489,,,484954,,,
2022-12-12,-507968297,,-51333462,-5795233,,,,-25409771,-5339394,,-11211594,,-30664529,,,,,-5646214,-8618093,,,-2506080,,,
2022-12-13,-1468254534,,-6168691,25851476,,4549360,,-25062705,-641825,,10479040,,-11955423,,,,,4262057,8297951,,,2612938,,,
2022-12-14,-3681166494,,188118898,81084618,,15505320,,62036770,52390424,,44665324,,93735585,,,,,16984306,9929739,,,9191294,,,
2022-12-15,-726799658,,-60522545,-1879704,,5976913,,-54494261,3230853,,-10323648,,-33625532,,,,,-3484491,-8279255,,,-2462244,,,
2022-12-16,-894423708,,-183163617,30866437,,-6130755,,-33356507,-12539327,,-38623691,,-36729947,,,,,-11241433,-11480139,,,-5214690,,,
2022-12-17,-3138986944,,-263530145,-36849617,,-18722404,,-219247767,-37405784,,-94009440,,-193832697,,,,,-24550533,-22477381,,,-13890245,,,
2022-12-18,-17024064,,-50979984,6096342,,4372216,,-7576530,5966780,,3890438,,14408876,,,,,738958,4912605,,,1310370,,,
2022-12-19,426261785,,-72701078,-2763605,,1459326,,-25290646,-468960,,2469870,,6126019,,,,,727876,-3750929,,,136214,,,
2022-12-20,-607371425,,2340738035,-41454008,,-1518767,,-91759732,-16347250,,-23294707,,-89173392,,,,,-12988804,-11212729,,,-5160803,,-460761,
2022-12-21,538753572,,4949244,-8877739,,16733506,,71563104,25781545,,27453210,,21510154,,,,,12365196,11448006,,,5959798,,811076,
2022-12-22,-129756113,968391778,18591280,-19206656,,6975829,,-22533162,5142646,,3278472,,3594905,,,,,1455552,-749606,,,591289,,-530108,
2022-12-23,-264801811,45140194,7255315,-1749969,,-12241663,,-24113251,-2145882,,-2342491,11695566,-20610743,,,,,-5409652,-2819392,,,-272917,,-140448,
2022-12-24,-297052096,115310426,-32064512,34494983,,-1868997,,-44386091,481371,,1306026,5740990,-31640647,,,,,-2006306,-4724267,,,744348,,29307,
2022-12-25,-14558902,-11346512,-20132110,3465609,,-1024822,,34580600,479748,,1613380,8326122,10020487,,,,,930825,-1621845,,,-10227,,68115,
2022-12-26,-240692048,-28738164,-33243603,-5567276,,592411,,1122549,5094881,,-2804161,3413075,-8849237,,,,,-783993,-1430189,,,-884833,,-28836,
2022-12-27,-102060697,12401757,-9059799,-2769688,,-6496696,,-16819703,2905924,,1752764,4279912,-14475048,,,,,557376,434073,,,2610684,,-982575,
2022-12-28,-32560223,-41695442,-33054398,1247387,,998621,,16952484,-22488441,,-13913361,-7330336,-54584309,,,,,-5144525,-28773649,,,-1879164,,-705355,
2022-12-29,-332774639,-37347715,-124849090,-12268161,,833407,,-54975458,-23578018,,-14698958,8398720,44255168,,,,,-3054567,-7326178,,,-3998150,,-219870,
2022-12-30,49712489,-21514447,-44543511,25788157,,-795088,,8653363,-22635867,,5666616,8191949,211872382,,,,,824,-897617,,,-118842,,182470,
2022-12-31,-728377,-44853330,-130498202,3243912,,-1404176,,-52533564,-24060249,,-34752491,-4127388,-82820011,,,,,-2324023,-947021,,,-556329,,-749904,
2023-01-01,-344867542,-27504472,30607425,92410699,,265486,,-12016653,1600177,,-10655428,-47137,-14571545,,,,,-1945875,-5826118,,,-1051782,,-1033193,
2023-01-02,-51113327,3508771,41868905,11558888,,-2014832,,-230899,6282807,,215418,6316921,9663813,,,,,-6499317,8042306,,,410113,,24012,
2023-01-03,419563230,27578769,205350041,21914678,,3402198,,30811834,22346856,,7523593,14515518,31648661,,,,,3611786,-8425117,,,3332365,,250512,
2023-01-04,-126380462,-17016050,5270892,5963498,,1048341,,6106236,12628529,,-5386294,-10414390,-39243880,,,,,-2571508,3052141,,,-1074700,,-83398,
2023-01-05,1116352967,79662762,90420902,10579944,,19327524,,1138763,20871065,,28251253,37198367,42772134,,,,,6413804,5326216,,,4574826,,3292037,
2023-01-06,586441276,-9899141,-8810746,9216879,,-6158147,,-189234417,2982588,,-14488626,-9573525,-15511944,,,,,-1885266,1240787,,,-997715,,-1058249,
2023-01-07,-103128438,9703917,22250483,8672103,,-76979,,-38536183,1385739,,12056526,8934912,14012690,,,,,2764965,14392421,,,2223526,,251614,
2023-01-08,13759261,-5816572,-25332491,-13227222,,-2741852,,-9254975,-1451898,,-4455557,-2444234,-23535108,,,,,-1175093,-2333553,,,-1119835,,-1026753,
2023-01-09,1053973280,40878738,146468962,16337175,,2145843,,42642837,24009457,,18470035,22269362,70260369,,,,,6052764,5661093,,,4159038,,405605,
2023-01-10,412763708,30716403,-18096758,44795306,,5506265,,32452932,18012685,,19087078,22663717,16111656,,,,,2595859,9651790,,,3708068,,-1122807,
2023-01-11,621208632,56689306,50102460,14146747,,8053572,,19802279,4078201,,19528216,17792673,24015806,,,,,7018850,3727240,,,1936632,,416482,
2023-01-12,1800171405,173934367,232785987,63757842,,17041911,,93145711,59756424,,49260137,59759434,57919472,,,,,23700250,12900658,,,12941450,,641366,
2023-01-13,656178426,64948985,65545191,18460356,,14271239,,3205395,7112716,,43065833,27194667,27152743,,,,,-4289062,3439891,,,2840617,,422280,
2023-01-14,3195962426,381837653,460209264,99191398,,45762919,,194011823,112509108,,145425056,99191113,274720607,,,,,64370421,38025033,,,26047154,,3694229,
2023-01-15,410180564,-64831282,-81467269,19880339,,-3966829,,-46713271,17694742,,-2719231,-32629658,-36917307,,,,,-9513076,-8872268,,,-3125742,,-594642,-7550218
2023-01-16,-33388099,50583322,77902970,28761335,,447223,,877051,21612299,,18671843,29926963,83599142,,,,,7570368,1527298,,,3246878,,684571,-743506
2023-01-17,639161147,5819870,36053456,-8222206,,-4706265,,2575610,-3211989,,-1218455,-6410302,-27916677,,,,,-2843194,9682525,,,686537,,-1531984,-3325037
2023-01-18,-343967805,93090629,-72792207,-293893,,-414696,,-62328155,-7205569,,2346107,25024641,4926066,,,,,-1642708,7173947,,,1447962,,273138,8134613
2023-01-19,-831026742,-70445764,-61465544,-56140031,,-18695144,,-109116780,-27171677,,-55471751,-19869389,-94324675,,,,,-18138213,-16798559,,,-7680234,,-2069695,-16774628
2023-01-20,893707483,87192723,108532728,23568429,,-3345129,,25051827,31428608,,35206279,16655975,74564131,,,,,7137895,3396872,,,5719052,,-482489,27951477
2023-01-21,2040469074,290370079,341367190,65611719,,31170986,,146213258,65115966,,94381088,103436533,160786489,,,,,44609780,32563714,,,19083419,,3131889,13067890
2023-01-22,52800218,45331120,55959571,17206131,,7955441,,-23461540,9927584,,8845248,11749530,-28409093,,,,,5666411,-5541489,,,110867,,-1447132,786710
2023-01-23,552001474,-1453376,9336599,10057021,,-1814931,,-13650200,6214920,,-14409376,989166,5933361,,,,,-6924226,-5296382,,,-715597,,-53010,-3550127
2023-01-24,16153169,12391821,-7172493,19532943,,2885557,,47728684,8721629,,32761624,10173018,-21629580,,,,,4447272,4708534,,,3031684,,246321,1352182
2023-01-25,-1109404133,-115082990,-137494637,-15129518,,-10026246,,-71613193,-50971069,,-56298357,-45584174,-117933415,,,,,-9288785,-13659914,,,-9679051,,-796795,-13746719
2023-01-26,1154060640,159932175,284348014,43009549,,4178846,,55922186,47505040,,39708862,39078174,99022889,,,,,13750156,10416910,,,9239677,,1051164,17321706
2023-01-27,-144970159,-25345430,28593654,-2667130,,-6663154,,-44649100,-11254082,,-19396266,-21287434,-66416957,,,,,-7149021,-2669777,,,-4526364,,-420646,-8468787
2023-01-28,615070823,12012839,208083565,19570223,,17953650,,53934670,29029209,,23448642,36865810,-3699859,,,,,11126004,4121744,,,3622023,,-598427,3329439
2023-01-29,-237850396,-27751142,-79441211,-6994174,,-3182867,,22766879,-1201975,,-14808068,17291702,1129729,,,,,-409348,-6143552,,,-1887686,,-501859,-7062059
2023-01-30,-3099875663,321705878,18962170,33626830,,26476409,,28317517,35570614,,49502986,46375410,100956940,,,,,16077610,11972095,,,8779852,,1106788,5154860
2023-01-31,-1504523014,-164895653,-366003716,-64944522,,-864697,,-77354807,-42675566,,-65202655,-45643309,-152790542,,,,,-27886590,-17431340,,,-15048015,,-2266106,-15934181
2023-02-01,630461602,53210675,-3974055,16689205,,-19826270,,27770767,19097687,,15965194,30775627,59448179,,,,,6031889,5814172,,,4479796,,557005,-852820
2023-02-02,1994692397,259130760,241605817,56276314,,17911352,,73835298,53151161,,86739121,67528120,130247302,,,,,28590850,20599629,,,14902317,,1683329,5253228
