date,bitvenus,hibt,bitlo,coinsquare,hashkey-global,bitmart,levex,lbank,hotcoin,woo-x,cex.io,probit-global,nonkyc,p2pb2b,exmo,bitomato,nbx,tothemoon,btse,coinw,arkham-exchange,fastex,latoken,tradeogre,grovex
2023-02-07,,,,-2036455,,,,,,3364266,,,,,,,-129864,,,,,,,,
2023-02-08,53289,,,4743994,,,,,,5466903,,,,,,,357955,,,,,,,,
2023-02-09,-51133,,,-2766672,,,,,,3887023,,,,,,,-118762,,,,,,,,
2023-02-10,-172928,,,-9283565,,,,,,-15492083,,,,,,,-686233,,,,,,,,
2023-02-11,-30837,,,-1268632,,,,,,1804723,,,,,,,-198160,,,,,,,,
2023-02-12,18788,,,1163839,,,,,,3669935,,,,,,,75199,,,,,,,,
2023-02-13,-27877,,,-17679181,,,,,,-5424849,,,,,,,-102859,,,,,,,,
2023-02-14,40583,,,-86839,,,,,,743011,,,,,,,-20536,,,,,,,,
2023-02-15,28021,,,3644873,,,,,,535286,,,,,,,270656,,,,,,,,
2023-02-16,296410,,,14751491,,,,,,7207327,,,,,,,1204860,,,,,,,,
2023-02-17,-102438,,,-5798876,,,,,,-5964411,,,,,,,-372935,,,,,,,,
2023-02-18,109276,,,5535794,,,,,,7412124,,,,,,,461971,,,,,,,,
2023-02-19,5064,,,306442,,,,,,11488885,,,,,,,44822,,,,,,,,
2023-02-20,-58213,,,-2857111,,,,,,136289,,,,,,,-225433,,,,,,,,
2023-02-21,77819,,,3876836,,,,,,-5494122,,,,,,,335508,,,,,,,,
2023-02-22,-73112,,,-3761467,,,,,,-6719561,,,,,,,-321585,,,,,,,,
2023-02-23,-40780,,,-1735390,,,,,,-2811526,,,,,,,-125529,,,,,,,,
2023-02-24,-5698,,,-500394,,,,,,-1933166,,,,,,,-60473,,,,,,,,
2023-02-25,-96602,,,-5139161,,,,,,-6062643,,,,,,,-369131,,,,,,,,
2023-02-26,-12267,,,-472155,,,,,,-238776,,,,,,,-34686,,,,,,,,
