date,bitvenus,hibt,bitlo,coinsquare,hashkey-global,bitmart,levex,lbank,hotcoin,woo-x,cex.io,probit-global,nonkyc,p2pb2b,exmo,bitomato,nbx,tothemoon,btse,coinw,arkham-exchange,fastex,latoken,tradeogre,grovex
2023-09-21,-28016,,,1060473,,,,,,851460,,,,,,,-59836,,,,,,-48055,,
2023-09-22,-74836,,,-1092412,,,,,,-2912505,,,,,,,-341204,,,246157,,-105877,-138050,,
2023-09-23,11443,,,565683,,,,,,-958911,,,,,,,3008,,,-236338,,-1801359,36134,,
2023-09-24,-3226,,,-45825,,,,,,-364721,,,,,,,-2814,,,-22468,,698845,-4644,,
2023-09-25,-39963,,,-753859,,,,,,-761600,,,,,,,-209518,,,-276844,,240090,-88031,,
2023-09-26,9751,,,889414,,,,,,-2571314,,,,,,,116786,,,81817,,1150692,38601,,
2023-09-27,1989,,,-688978,,,,,,-1749517,,,,,,,67545,,,-222214,,-2595760,11524,,
2023-09-28,21239,,,1032612,,,,,,-819820,,,,,,,213089,,,-308098,,354933,35784,,
2023-09-29,-31333,,,-214072,,,,,,1322264,,,,,,,375906,,,-54217,,-2171624,189194,,
2023-09-30,-1469,,,-1374850,,16034,,,,9289845,,,,,,,-54290,,-2500,752560,,-1221266,14231,,
2023-10-01,9273,,,148544,,1581,,,,-816313,,,,,,,56273,,1040,239325,,1453326,24037,,
2023-10-02,120475,,,1638985,,58509,,,,1807056,,,,,,,427210,,19880,-12445154,,12321,218008,,
2023-10-03,-87147,,,-671916,,153801,,,,3922927,,,,,,,-346077,,-7620,-16063,,432264,-199800,,
2023-10-04,-49468,,,656276,,-108137,,,,-6107039,,,,,,,-196496,,-5380,-90076,,-14397,-70395,,
2023-10-05,22245,,,926262,,85738,,,,338041,,,,,,,173874,,8620,1386310,,1182338,37171,,
2023-10-06,-50233,,,13399,,-81871,,,,-2011062,,,,,,,-191925,,-5520,-406064,,-82849,-95555,,
2023-10-07,52520,,,439141,,61606,,,,2548006,,,,,,,234791,,9000,201967,,-98045,110771,,
2023-10-08,-2764,,,-37513,,-9174,,,,-1575465,,,,,,,-9953,,1400,-255434,,-3159,-20871,,
2023-10-09,-13276,,,-435293,,-1191771,,,,-877829,,,,,,,-43172,,-2160,241280,,-3956,-142622,,
2023-10-10,39482,,,443205,,-176619,,,,-3853878,,,,,,,-291402,,-5160,171075,,1396221,-5973,,
2023-10-11,-398055,,,-520135,,-15631,,,,-1738848,,,,,,,-213400,,-9540,-1591021,,-2821351,-88989,,
2023-10-12,177527,,,123320,,-82022,,,,1199929,,,,,,,-78952,,-6140,-530399,,-75542,-9776,,
2023-10-13,-21325,,,-597049,,-8456,,,,1785928,,,,,,,-72400,,80,-1169322,,2382716,-43490,,
2023-10-14,11859,,,405201,,-26221,,,,4212444,,,,,,,146481,,620,-219041,,-19613,37407,,
2023-10-15,1427,,,5138,,89958,,,,5045193,,,,,,,50083,,-540,71321,,-4203,2971,,
2023-10-16,26902,,,474338,,-84965,,,,-1718739,,,,,,,123572,,7040,-1168383,,8861,33371,,
2023-10-17,113923,,,1146676,,43488,,,,867308,,,,,,,539611,,24340,829821,,2038563,199030,,
2023-10-18,-35251,,,-224523,,5766,,,,-3336814,,,,,,,-118552,,-140,1251492,,-1996117,-92898,,
2023-10-19,-70272,,,-260274,,-34170,,,,-394801,,,,,,,-172157,,-860,-922601,,-21911,-7256,,
2023-10-20,25479,,,799119,,-2612,,,,4162309,,,,,,,111052,,6860,522730,,2161441,23111,,
2023-10-21,101677,,,1571624,,177343,,,,-1688180,,,,,,,436262,,19720,-280745,,-4202373,176528,,
2023-10-22,46718,,,730346,,79428,,,,3667620,,,,,,,318996,,5660,-188569,,-108237,107468,,
2023-10-23,21970,,,46098,,349,,,,764283,,,,,,,175124,,-660,98029,,-77903,67779,,
2023-10-24,271958,,,6920873,,-86353,,,,7883534,,,,,,,1442732,,71860,1397581,,111609,587849,,
2023-10-25,126599,,,-2364255,,31623,,,,3071535,,,,,,,-5593267,,5540,-895188,,3896774,3099,,
2023-10-26,54586,,,1171140,,39015,,,,2406683,,,,,,,-10200587,,15540,-212982,,-4207124,108591,,
2023-10-27,-47626,,,-29814,,-13136,,,,-289721,,,,,,,-25208,,-10080,840510,,380658,-8928,,
2023-10-28,-155173,,,-801796,,119449,,,,-14599815,,,,,,,-40517,,-2920,-1091351,,-238096,-59243,,
2023-10-29,3111,,,183885,,17428,,,,4633149,,,,,,,-198,,2800,625493,,-12908,-28065,,
2023-10-30,53450,,,862698,,-20178,,,,2084478,,,,,,,-3194,,9300,345736,,-1070,84255,,
2023-10-31,531245,,,900661,,-207660,,,,-1774403,,,,,,,-5622,,3260,-442590,,432741,85442,,
2023-11-01,-9409,,,-1034685,,-57475,,,,-2200521,,,,,,,-1105,,-2400,-275549,,5153358,-40217,,
2023-11-02,85315,,,1832619,,203437,,,,15658706,,,,,,,-28534,,18300,1158456,,-2438331,32568,,
2023-11-03,-89513,,,612711,,-3415,,,,-3391989,,,,,,,-1742,,-11120,-320699,,-2803762,-45549,,
2023-11-04,34167,,,153727,,-226047,,,,676848,,,,,,,98467,,-3540,688411,,158304,88182,,
2023-11-05,67989,,,1324034,,74991,,,,2415655,,,,,,,8101,,7820,-719461,,-23533,165446,,
2023-11-06,-1704,,,519905,,-84037,,,,5260594,,,,,,,-2908,,-700,777162,,-24408,16721,,
2023-11-07,232148,,,1043613,,-98577,,,,-2110772,,,,,,,-16887,,-3220,-1049624,,-329311,-102805,,
2023-11-08,-29233,,,360072,,72981,,,,8632600,,,,,,,-42417,,9740,765152,,-1816072,107130,,
2023-11-09,116886,,,-3062709,,164521,,,,-2705125,,,,,,,181577,,6960,470389,,1516924,173081,,
2023-11-10,-290236,,,-354824,,-133426,,,,-2773512,,,,,,,33744,,16340,-289341,,964817,377319,,
2023-11-11,-249028,,,1199239,,35081,,,,4155022,,,,,,,-59414,,14260,-1539961,,1789794,-64766,,
2023-11-12,-17157,,,-331250,,146145,,,,4649632,,,,,,,6012,,-3420,943198,,-28295,-14587,,
2023-11-13,-7497,,,-108279,,33596,,,,-4802533,,,,,,,41771,,-1600,-221107,,-2266681,-81240,,
2023-11-14,124781,,,626636,,-55517,,,,-9175584,,,,,,,-3005,,-13780,-254333,,-236569,-82154,,
2023-11-15,-71986,,,-350833,,143236,,,,6635532,,,,,,,-89836,,-17240,-274035,,-18169,-118185,,
2023-11-16,423383,,,12230566,,-154007,,,,12302758,,,,,,,13771,,45400,517207,,3782134,205280,,
2023-11-17,-171880,,,-5203602,,27572,,,,-4766468,,,,,,,338202,,-32500,263104,,-29624,-265393,,
2023-11-18,-19230,,,-4169713,,254744,,,,-3773684,,,,,,,41387,,9140,-747237,,666658,-68275,,
2023-11-19,9918,,,35595,,-325660,,,,-12534226,,,,,,,27209,,-640,-302030,,4662,63558,,
2023-11-20,127517,,,1594977,,121691,,,,5860086,,,,,,,15323,,16040,148379,,153653,235609,,
2023-11-21,288116,,,2266987,,48657,,,,-8452967,,,,,,,-70387,,1560,-883665,,3110843,-92664,,
2023-11-22,-46716,,,-1999574,,-187851,,,,-3270371,,,,,,,7911,,-34120,494107,,-157739,-29007,,
2023-11-23,76493,,,3527004,,-31945,,,,3736863,,,,,,,212517,,31000,-265994,,2947864,150780,,
2023-11-24,52836,,,-1101261,,138804,,,,2043801,,,,,,,-5518,,0,-337544,,9657,167836,,
2023-11-25,-16304,,,-2264650,,-111284,,,,97947,,,,,,,62921,,8880,-338799,,605296,-91389,,
2023-11-26,10360,,,1508422,,99265,,,,1545930,,,,,,,4648,,460,-250645,,-106959,43715,,
2023-11-27,-129310,,,-582284,,150681,,,,-6189586,,,,,,,-18096,,-5040,-536659,,2380542,-219585,,
2023-11-28,-116259,,,-1910440,,-94034,,,,-703514,,,,,,,-150164,,-4780,-11382,,-1818016,-14221,,
2023-11-29,115910,,,824006,,-140911,,,,3221838,,,,,,,146924,,11700,262576,,-3439903,113298,,
2023-11-30,-60168,,,919687,,72470,,,,-2555094,,,,,,,-48602,,-520,-360619,,-199177,-68411,,
2023-12-01,12227,,,-1066408,,29205,,,,3928975,,,,,,,-10597,,-2520,969990,,2554,243649,,
2023-12-02,22332,,,1233014,,154627,,,,3095589,,,,,,,78752,,19680,-552067,,27238,35426,,
2023-12-03,115168,,,1714223,,15280,,,,344064,,,,,,,29912,,14680,360054,,-84264,218852,,
2023-12-04,211555,,,950616,,18892,,,,1242325,,,,,,,6513,,13540,451204,,-1994026,362944,,
2023-12-05,-44626,,,1783499,,72239,,,,-371909,,,,,,,54776,,33200,-1491663,,2988488,-101477,,
2023-12-06,287271,,,3017075,,52083,,,,2080198,,,,,,,-976,,46080,306399,,-4175283,319338,,
2023-12-07,-146605,,,27675,,-70075,,,,-355012,,,,,,,7615,,-5880,-1051773,,-115443,-158029,,
2023-12-08,-307788,,,1546004,,-85672,,,,6288913,,,,,,,-57623,,-9940,1310120,,-1462,355446,,
2023-12-09,14970,,,3516443,,123431,,,,2340782,,,,,,,62591,,17820,376935,,57187,56807,,
2023-12-10,-15673,,,-722308,,-415742,,,,-4400070,,,,,,,-64690,,-8040,-168730,,-42618,-36925,,
2023-12-11,-181960,,,293266,,145032,,,,-791039,,,,,,,44682,,140,122336,,67942,-389790,,
2023-12-12,-77658,,,-4766402,,168216,,,,11761181,,,,,,,-125045,,-50920,-569300,,-401704,-153941,,
2023-12-13,196519,,,359547,,-8086,,,,-4326935,,,,,,,-32333,,4380,-398427,,-26027,-171249,,
2023-12-14,108594,,,2612996,,-173107,,,,29254614,,,,,,,50333,,28520,-747187,,-74012,437134,,
2023-12-15,-32250,,,-1319673,,225819,,,,4824679,,,,,,,15218,,2980,-176091,,4048350,-39939,,
2023-12-16,,,,-1754005,,-102641,,,,22427759,,,,,,,91011,,-22860,26702,,-26922,-113949,,
2023-12-17,,,,502718,,-110935,,,,-14695116,,,,,,,-57341,,7180,585510,,-40861,-42588,,
2023-12-18,23502872,,,-2279461,,-17812,,,,-8118198,,,,,,,-30793,,-21440,-705429,,-186039,-296813,,
2023-12-19,6788172,,,3516864,,209080,,,,41225500,,,,,,,-3511,,29360,876737,,6000932,496704,,
2023-12-20,-7568050,,,-267018,,559019,,,,-3085336,,,,,,,-26121,,-7620,-88216,,-2359897,-117921,,
2023-12-21,4593986,,,2812514,,-374266,,,,-5209583,,,,,,,32274,,29440,-1213469,,1813682,158908,,
2023-12-22,1136366,,,1511982,,-246880,,,,-6672603,,,,,,,-51815,,3240,-364249,,72507,127153,,
2023-12-23,162219,,,682081,,18906,,,,174840,,,,,,,135899,,1520,-232932,,-294958,-36927,,
2023-12-24,295073,,,-285161,,-117844,,,,13600087,,,,,,,-10183,,-5000,215171,,1280527,48409,,
2023-12-25,3288198,,,-1252048,,-121333,,,,-10456546,,,,,,,203232,,-16600,244220,,2358591,-103152,,
2023-12-26,494733,,,1682982,,-51366,,,,12073894,,,,,,,-60795,,13860,235166,,-2068805,-154488,,
2023-12-27,1504311,,,-2164632,,123356,,,,-12769517,,,,,,,-21827,,-22840,116819,,-67700,145044,,
2023-12-28,-95335,,,4377535,,147300,,,,27835645,,,,,,,150300,,20400,871492,,-239929,257384,,
2023-12-29,-3452067,,,-64890,,-123940,,,,-20336501,,,,,,,-39719,,-17240,-87432,,-55903,-109044,,
2023-12-30,470791,,,-2121232,,-121424,,,,-14185422,,,,,,,-27305,,-10640,-581609,,2222106,-281115,,
2023-12-31,1242874,,,-252458,,208536,,,,-1658018,,,,,,,-36388,,5560,302071,,-14819,147654,,
2024-01-01,-321931,,,-450885,,-64532,,,,-8298868,,,,,,,-76819,,340,-582269,,358218,-65788,,
2024-01-02,-577093,,,4345938,,13444,,,,20793824,,,,,,,340111,,36200,1493605,,17474,497212,,
2024-01-03,-1903230,,,-90702,,85930,,,,-6630962,,,,,,,84155,,15520,-1167724,,-1004210,-107365,,
2024-01-04,939000,,,-2669859,,-173254,,,,-9154768,,,,,,,-211413,,-41220,-80011,,-2041895,-605929,,
2024-01-05,-4169997,,,2206635,,539905,,,,4285832,,,,,,,-70933,,26620,-589010,,-2215970,146983,,
2024-01-06,356028,,,-1375881,,93636,,,,-4092657,,,,,,,32083,,-3060,-307883,,-560558,-68603,,
2024-01-07,-1278686,,,-866938,,-350344,,,,-6608393,,,,,,,-21850,,-1340,305839,,-205066,16491,,
2024-01-08,3124976,,,-1123183,,164693,,,,-5926860,,,,,,,139783,,-1160,-544942,,-739815,-39879,,
2024-01-09,5097690,,,4948781,,24068,,,,17633998,,,,,,,147794,,61020,734510,,-15167,328155,,
2024-01-10,-4772980,,,1145339,,454869,,,,-7285009,,,,,,,43196,,-21780,612705,,502029,234037,,
2024-01-11,3492172,,,4252388,,-310258,,,,13317256,,,,,,,92720,,11300,716985,,1414589,600988,,
2024-01-12,2802775,,,788260,,-173091,,,,-2783572,,,,,,,-424179,,-4420,-295297,,-68306,-142567,,
2024-01-13,-172747,,,-5469799,,299368,,,,-9402956,,,,,,,72733,,-68860,493248,,335241,-464236,,
2024-01-14,-1434693,,,1346152,,-59712,,,,109682,,,,,,,-55664,,720,-16340,,995183,79371,,
2024-01-15,-86118,,,-1260581,,-48829,,,,-5624790,,,,,,,-35916,,-11800,627179,,-143369,-110166,,
2024-01-16,-468250,,,380358,,46426,,,,5705344,,,,,,,113616,,5400,-1574824,,1825284,45720,,
2024-01-17,-142693,,,1013187,,1537160,,,,8078929,,,,,,,-79901,,11000,270997,,66557,-29102,,
2024-01-18,-2036266,,,-1106760,,-606907,,,,-6673772,,,,,,,-195390,,-8560,-951014,,1711225,-65490,,
2024-01-19,4130722,,,-3068518,,-120751,,,,-8948347,,,,,,,5995,,-28000,396063,,-351941,-155795,,
2024-01-20,553664,,,602620,,-132224,,,,-6022445,,,,,,,-70747,,6840,-420140,,1345762,-27718,,
2024-01-21,-884757,,,-85141,,71810,,,,2359778,,,,,,,3898,,1660,-440989,,184373,39151,,
2024-01-22,-2583580,,,-305804,,-15882,,,,2663680,,,,,,,-10983,,-2480,308925,,-125568,-312063,,
2024-01-23,5439958,,,-240040,,-195806,,,,-19863473,,,,,,,-68586,,-40480,-148391,,896700,-561822,,
2024-01-24,-13876416,,,-484695,,97996,,,,14596717,,,,,,,26318,,6980,183714,,2553690,174889,,
2024-01-25,657725,,,264038,,59734,,,,-5423271,,,,,,,222011,,2640,-94677,,1018127,-100559,,
2024-01-26,2501661,,,-420651,,-201185,,,,4143731,,,,,,,-31774,,-1700,14320,,1359078,162400,,
2024-01-27,612834,,,3000695,,392337,,,,871131,,,,,,,-722,,37540,143611,,2015775,21178,,
2024-01-28,1216577,,,451552,,-86081,,,,2021157,,,,,,,-7441,,3800,-460894,,300021,134848,,
2024-01-29,-875528,,,-214386,,-69571,,,,-4160046,,,,,,,-112503,,620,490690,,-24628,-85515,,
2024-01-30,-1118409,,,2553672,,-33156,,,,16495528,,,,,,,37028,,24620,-263664,,899773,183635,,
2024-01-31,-1139242,,,-3285126,,829096,,,,-5537530,,,,,,,-127735,,-5380,369545,,-2290627,-147065,,
2024-02-01,-16561,,,-2289105,,-163456,,,,-5094526,,,,,,,-87276,,-10960,10263,,821044,-85928,,
2024-02-02,-1586339,,,1472807,,-10150,,,,10917230,,,,,,,163384,,15740,-222476,,349615,191542,,
2024-02-03,3762294,,,-526111,,189385,,,,-2786307,,,,,,,254568,,2180,350065,,246505,-1065,,
2024-02-04,-25433,,,-451097,,-132725,,,,2121682,,,,,,,-19483,,-6700,-461037,,-7837530,-32391,,
2024-02-05,-2084234,,,-845876,,2280662,,,,-1750848,,,,,,,-11782,,-8480,577486,,836308,57585,,
2024-02-06,-3512757,,,243958,,-182390,,,,-3331668,,,,,,,-245707,,1680,1077500,,78266,-33047,,
2024-02-07,2855531,,,-106674,,189135,,,,2812579,,,,,,,-102187,,8700,-628979,,-1297632,91791,,
2024-02-08,-170451,,,3758121,,76716,,,,10697275,,,,,,,-73887,,28840,-274745,,-719945,330257,,
2024-02-09,1020221,,,1104102,,1000511,,,,4970761,,,,,,,-18814,,17340,499801,,-1430819,259599,,
2024-02-10,649498,,,1959837,,-17392,,,,-877148,,,,,,,13141,,34440,-278930,,-1313075,59803,,
2024-02-11,1380508,,,900681,,208524,,,,4527017,,,,,,,-166446,,12660,344382,,121129,182566,,
2024-02-12,-2007139,,,348681,,135285,,,,-5750508,,,,,,,1011032,,17240,-1447786,,-12533,-135910,,
2024-02-13,5169217,,,3327277,,31979,,,,12316465,,,,,,,-1033110,,30620,652457,,13913,581370,,
2024-02-14,-1098200,,,-603846,,296570,,,,-617751,,,,,,,-9637,,-7700,219150,,1633130,318646,,
2024-02-15,-5286215,,,5243067,,-216685,,,,9714776,,,,,,,-939,,40640,1080755,,-880797,209239,,
2024-02-16,2001073,,,-155335,,-188921,,,,4902464,,,,,,,-57807,,1680,-604479,,-2660859,47946,,
2024-02-17,320474,,,-3036735,,-42802,,,,-12807897,,,,,,,-63135,,4720,257563,,508014,-144663,,
2024-02-18,637357,,,-879483,,-406412,,,,10218455,,,,,,,35457,,-9020,-3142,,-4543,103199,,
2024-02-19,-1041757,,,1769506,,538159,,,,8453974,,,,,,,13985,,10260,558623,,-787553,360107,,
2024-02-20,48140,,,486120,,234683,,,,-1329631,,,,,,,-103873,,-7200,-408143,,-826439,8893,,
2024-02-21,-443322,,,4368866,,71016,,,,-14039845,,,,,,,2049,,8320,-237467,,-2863298,-182199,,
2024-02-22,-735350,,,372023,,463268,,,,6877610,,,,,,,316078,,-12120,162639,,1419533,257567,,
2024-02-23,515568,,,-382103,,315629,,,,20252884,,,,,,,-58086,,-5720,-422093,,-751111,-161267,,
2024-02-24,4741769,,,-1778492,,275833,,,,6079482,,,,,,,209246,,-10520,-304282,,-1183362,83755,,
2024-02-25,4638863,,,1126808,,-344424,,,,6697425,,,,,,,11535,,13400,354759,,284877,138216,,
2024-02-26,-2224736,,,1174627,,1461946,,,,-2742858,,,,,,,-8877,,4580,-53367,,-236642,38671,,
2024-02-27,806017,,,3197856,,976915,,,,9984621,,,,,,,-171266,,56380,588305,,170922,553188,,
2024-02-28,-1564324,,,2386937,,490107,,,,-8253526,,,,,,,102735,,50440,3961681,,-762080,417310,,
2024-02-29,235869,,,4572611,,1416437,,,,12725153,,,,,,,30440,,109360,1830614,,-1040700,667851,,
2024-03-01,-1796736,,,5883280,,-19012,,,,8351916,,,,,,,219378,,-26600,1238801,,-343300,-48791,,
2024-03-02,2651318,,,2225835,,804360,,,,-1783892,,,,,,,153438,,24360,-93150,,-1029841,604700,,
2024-03-03,2975494,,,-284175,,602105,,,,12772299,,,,,,,29987,,-7380,496843,,-76613,-136210,,
2024-03-04,3476321,,,3580090,,196657,,,,24964086,,,,,,,857,,22600,-850646,,-9797,196449,,
2024-03-05,1942105,,,6162394,,405345,,,,-16490830,,,,,,,141645,,103800,2827392,,-1481062,1292257,,
2024-03-06,-6327221,,,-5986057,,-2018628,,,,-24459007,,,,,,,-560173,,-91480,918836,,-1468666,-544395,,
2024-03-07,4513088,,,4824558,,756496,,,,31940018,,,,,,,51101,,46840,-314245,,119788,799872,,
2024-03-08,1034996,,,1729061,,359124,,,,15354571,,,,,,,-12795,,16480,-790921,,-79652,-14333,,
2024-03-09,2139958,,,860454,,-46156,,,,-10153830,,,,,,,-260312,,27600,495121,,1703201,396365,,
2024-03-10,2823596,,,544265,,761624,,,,-2792864,,,,,,,33137,,3020,-706602,,-36124,79099,,
2024-03-11,-1016461,,,-152347,,-877836,,,,-10444961,,,,,,,288248,,11520,-66566,,-32737,-113004,,
2024-03-12,2275898,,,7713917,,661920,,,,6272482,,,,,,,-12254,,61100,958858,,-1536806,745405,,
2024-03-13,-2360701,,,-1933418,,-1333908,,,,12406519,,,,,,,377533,,-13820,-1336744,,-1710105,-377850,,
2024-03-14,-2118250,,,3218406,,-67528,,,,-2528050,,,,,,,443421,,32560,1072858,,-887752,154548,,
2024-03-15,-883932,,,-2685286,,-353770,,,,-20547129,,,,,,,-369188,,-16900,-637504,,1460558,-186913,,
2024-03-16,735173,,,-3388650,,-590038,,,,-17921500,,,,,,,-113112,,-45000,-5500669,,-2142263,-647799,,
2024-03-17,42157,,,-7591078,,-820622,,,,-20415764,,,,,,,-230713,,-82660,-1721451,,353339,-1050110,,
2024-03-18,1824250,,,1376635,,616902,,,,13555002,,,,,,,41917,,40160,1289918,,20683,480941,,
2024-03-19,-2425798,,,-944087,,-1113786,,,,-7238772,,,,,,,-79698,,640,-439399,,2050982,-380184,,
2024-03-20,-7606330,,,-11509230,,-910734,,,,-16273530,,,,,,,-80113,,-105680,-2604938,,9594,-1300927,,
2024-03-21,6132556,,,15722454,,-244911,,,,10703299,,,,,,,205537,,102000,602388,,531494,1300982,,
2024-03-22,3033866,,,-2723707,,-331069,,,,409285,,,,,,,424651,,-44240,373459,,1696701,-237948,,
2024-03-23,-926962,,,-4673605,,1248803,,,,-9298115,,,,,,,-266406,,-37360,-65230,,-1890444,-581219,,
2024-03-24,-584799,,,1465003,,668008,,,,3467556,,,,,,,-34627,,16620,-761302,,325910,166685,,
2024-03-25,1000475,,,5163583,,136596,,,,7342172,,,,,,,-53916,,48820,412306,,2846,410442,,
2024-03-26,1206532,,,7875867,,-18626,,,,11679731,,,,,,,-160241,,65760,490654,,-1406358,701796,,
2024-03-27,-2602400,,,-436429,,-406899,,,,-2498092,,,,,,,17360,,280,1145429,,943803,5779,,
2024-03-28,-2186349,,,-2655823,,670495,,,,-12472672,,,,,,,23761,,-21960,-1021686,,-1153592,-220077,,
2024-03-29,2673070,,,3654844,,-2148265,,,,5754095,,,,,,,11893,,36160,1302985,,-424372,357470,,
2024-03-30,-1472552,,,-903672,,-905886,,,,-11056812,,,,,,,146060,,-19300,-776131,,1285669,-229970,,
2024-03-31,2529471,,,-423382,,-375150,,,,-7827688,,,,,,,246539,,-2920,-1246993,,-122503,-70647,,
2024-04-01,2501892,,,3865687,,181356,,,,11078888,,,,,,,55043,,25200,193787,,4911,439238,,
2024-04-02,-2880114,,,-4958097,,2759860,,,,13821670,,,,,,,-27807,,-25020,-223313,,914637,-493473,,
2024-04-03,-8453584,,,-7875070,,305202,,,,-26581202,,,,,,,-125900,,-80400,566828,,-2886325,-1029659,,
2024-04-04,-3864470,,,-5959191,,605383,,,,-4746984,,,,,,,-182574,,5000,-1280444,,-1072280,126163,,
2024-04-05,1339658,,,-83617,,881253,,,,297223,,,,,,,113711,,34560,901178,,-1218644,190920,,
2024-04-06,1500578,,,-1685088,,17431519,,,,-7365496,,,,,,,210024,,-2880,-47104,,854109,-61389,,
2024-04-07,2175057,,,649075,,-76331,,,,2931325,,,,,,,49818,,14420,149136,,280390,208591,,
2024-04-08,238011,,,1189378,,74092,,,,7198054,,,,,,,21160,,18340,-59428,,86806,184829,,
2024-04-09,956810,,,5314686,,-17251,,,,12131368,,,,,,,39457,,49320,879728,,-226584,855176,,
2024-04-10,-1900442,,,-5372412,,783469,,,,-17397843,,,,,,,-264683,,-49360,-218323,,820056,-685321,,
2024-04-11,3747759,,,555136,,-387360,,,,-7638763,,,,,,,-5234,,31920,-580479,,-1445305,50967,,
2024-04-12,-3826316,,,44767,,1356987,,,,-4890771,,,,,,,-84328,,-11480,47047,,494852,2520,,
2024-04-13,-4920394,,,-14365287,,-8191937,,,,-31825165,,,,,,,-131240,,-62660,-397493,,1250290,-1100058,,
2024-04-14,-3404836,,,-9245834,,-5780561,,,,-20770146,,,,,,,-123743,,-53400,-483329,,-130916,-844905,,
2024-04-15,5475944,,,6841571,,1492219,,,,8349287,,,,,,,100625,,19080,-132588,,1014295,5421,,
2024-04-16,-1493171,,,-1383264,,-438830,,,,-2924142,,,,,,,41565,,-46020,287748,,2271745,105409,,
2024-04-17,2651102,,,872239,,-322044,,,,818797,,,,,,,134344,,12920,-462383,,1506686,-4597942,,
2024-04-18,-683278,,,-3136327,,-165240,,,,-3519872,,,,,,,-119141,,-44320,-671173,,-1678077,-234204,,
2024-04-19,1582615,,,3239966,,740143,,,,5219362,,,,,,,212315,,38140,1820483,,12861,208555,,
2024-04-20,281256,,,1563269,,702762,,,,6704720,,,,,,,22503,,18860,-1127520,,466181,75172,,
2024-04-21,1368622,,,1710844,,-898995,,,,2945796,,,,,,,170467,,6400,1670969,,-83805,264158,,
2024-04-22,1145262,,,37627,,409899,,,,-2231709,,,,,,,-5926,,4480,-886673,,438340,32859,,
2024-04-23,1213368,,,3621733,,-151803,,,,3684368,,,,,,,53707,,36580,574246,,-2073687,189341,,
2024-04-24,-490705,,,373971,,75440,,,,1203122,,,,,,,110725,,-6660,-215338,,-1076151,-28314,,
2024-04-25,-2185177,,,1686362,,-36459,,,,-3004560,,,,,,,15535,,-41620,114638,,-229263,-192510,,
2024-04-26,-395795,,,395416,,-1132085,,,,3778593,,,,,,,-15260,,7760,-545720,,463067,82196,,
2024-04-27,3128900,,,-1843264,,-483307,,,,-6951235,,,,,,,183242,,-13440,209192,,-1239633,-133427,,
2024-04-28,-1051806,,,,,,,,,-884687,,,,,,,-11549,,-16200,-15673,,171884,,,
2024-04-29,-712716,,,-2945938,,-495143,,,,-706740,,,,,,,15928,,7600,-546559,,4110,-8362,,
2024-04-30,-177834,,,1867336,,58587,,,,-6339500,,,,,,,-77245,,-10700,-251169,,1536781,11491,,
2024-05-01,2674413,,,-3501146,,-945108,,,,-5290100,,,,,,,-166985,,-59100,511443,,-2272278,-513893,,
2024-05-02,-6807081,,,-2240996,,526319,,,,-1890511,,,,,,,-69250,,-44200,178329,,-1474765,-19057,,
2024-05-03,1503126,,,759993,,-13888,,,,1647104,,,,,,,234562,,26900,1087482,,113227,101103,,
2024-05-04,3178086,,,5741007,,724490,,,,13443340,,,,,,,-52210,,75520,195050,,-533446,338337,,
2024-05-05,-71926,,,1433428,,73293,,,,-2434405,,,,,,,172378,,18120,204176,,55932,53974,,
2024-05-06,1109141,,,-324854,,396290,,,,3455251,,,,,,,374,,-2260,-315475,,-107352,-16637,,
2024-05-07,-4704953,,,1897135,,-417992,,,,-3407847,,,,,,,-24498,,-5820,-375509,,-61846,-113767,,
2024-05-08,1043722,,,-1545030,,38522,,,,-5167000,,,,,,,-339294,,-11420,-525647,,683647,-153279,,
2024-05-09,-2225939,,,-3647132,,-715978,,,,-5715795,,,-452,,,,-159496,,-33100,92022,,-1065274,-211723,,
2024-05-10,1577960,,,2884246,,197015,,,,16382614,,,5188,,,,12188,,24000,615740,,289962,180932,,
2024-05-11,-1011368,,,-3613660,,-2522,,,,-9699896,,,-17533,,,,-80219,,-35080,-40641,,-40902,-335178,,
2024-05-12,-2182365,,,261917,,95183,,,,-2948505,,,4875,,,,170298,,2480,264978,,601506,34533,,
2024-05-13,92845,,,43282,,-599850,,,,-2506281,,,-41866,,,,-20269,,6700,366413,,585771,8900,,
2024-05-14,2638990,,,2696766,,1200285,,,,1300393,,,168359,,,,21285,,32940,-1131525,,-279734,75448,,
2024-05-15,-1306464,,,-2406332,,-91228,,,,-8341496,,,-26915,,,,-8275,,-23840,-848604,,1367442,-61566,,
2024-05-16,2324022,,,7573542,,967385,,,,9345955,,,-2554,,,,-42781,,90280,1837950,,2300499,408239,,
2024-05-17,-1841816,,,-910993,,-891189,,,,1449339,,,-31333,,,,278315,,-18540,204501,,-1820349,-229433,,
2024-05-18,3588114,,,3211357,,423737,,,,5452650,,,70609,,,,51983,,29580,-501830,,-23004,402189,,
2024-05-19,617519,,,630525,,-224396,,,,1539861,,,5722239,,,,2457,,2580,406488,,1403504,54643,,
2024-05-20,528683,,,-1375982,,-394370,,,,-5013480,,,-25222,,,,172094,,-9820,-139117,,-82848,-146637,,
2024-05-21,4827058,,,8013017,,3424369,,,,16290795,,,166540,,,,122562,,66260,-153130,,137502,1374947,,
