date,backpack,bitvavo,weex,valr,bitrue,coinex,biconomy.com,bitunix,coindcx,blofin,ourbit,bydfi,osl,toobit,coinstore,gate-us,coin8,byte-exchange,orangex,bigone,pionex,flipster,bitkan,okcoin,zoomex
2023-09-12,,,,,,,,,,,,,,,,,,,,,,,,-708018,
2023-09-13,,,,,,,,,,,,,,,,,,,,,,,,369311,
2023-09-14,,,,,,,,,,,,,,,,,,,,,,,,-794364,
2023-09-15,,,,,,,,,,,,,,,,,,,,,,,,221391,
2023-09-16,,,,,,,,,,,,,,,,,,,,,,,,-4359978,
2023-09-17,,,,,,,,,,,,,,,,,,,,,,,,-382586,
2023-09-18,,,,,,,,,,,,,,,,,,,,,,,,86777,
2023-09-19,,,,,,,,,,,,,,,,,,,,,,,,-222739,
2023-09-20,,,,,,,,,,,,,,,,,,,,,,,,5538822,
2023-09-21,,,,,,,,,,,,,,,,,,,,,,,,-5341549,
2023-09-22,,,,,,-4819,,,,,,,,,,,,,,,,,,233198,
2023-09-23,,,,,,6065,,,,,,,,,,,,,,,,,,-37834,
2023-09-24,,,,,,-1434,,,,,,,,,,,,,,,,,,-311196,
2023-09-25,,,,,,-2975,,,,,,,,,,,,,,,,,,71576,
2023-09-26,,,,,,4555,,,,,,,,,,,,,,,,,,-32962,
2023-09-27,,,,,,-3249,,,,,,,,,,,,,,,,,,-346667,
2023-09-28,,,,,,-697,,,,,,,,,,,,,,,,,,481191,
2023-09-29,,,,,,2959,,,,,,,,,,,,,,,,,,237093,
2023-09-30,,,,,,18541,,,,,,,,,,,,,,,,,,565735,
2023-10-01,,,,,,-5399,,,,,,,,,,,,,,,,,,-448426,
2023-10-02,,,,,,11313,,,,,,,,,,,,,,,,,,167435,
2023-10-03,,,,,,-3327,,,,,,,,,,,,,,,,,,410485,
2023-10-04,,,,,,7807,,,,,,,,,,,,,,,,,,3541133,
2023-10-05,,,,,,3826,,,,,,,,,,,,,,,,,,-3313179,
2023-10-06,,,,,,-14158,,,,,,,,,,,,,,,,,,-1002476,
2023-10-07,,,,,,-1238,,,,,,,,,,,,,,,,,,-278218,
2023-10-08,,,,,,1532,,,,,,,,,,,,,,,,,,-75376,
2023-10-09,,,,,,-4470,,,,,,,,,,,,,,,,,,-84406,
2023-10-10,,,,,,-16022,,,,,,,,,,,,,,,,,,-209021,
2023-10-11,,,,,,-5088,,,,,,,,,,,,,,,,,,-448630,
2023-10-12,,,,,,2329,,,,,,,,,,,,,,,,,,198646,
2023-10-13,,,,,,-207909,,,,,,,,,,,,,,,,,,-501439,
2023-10-14,,,,,,215526,,,,,,,,,,,,,,,,,,-219742,
2023-10-15,,,,,,-2313,,,,,,,,,,,,,,,,,,192842,
2023-10-16,,,,,,3137,,,,,,,,,,,,,,,,,,-100830,
2023-10-17,,,,,,2063,,,,,,,,,,,,,,,,,,2382283,
2023-10-18,,,,,,-11567,,,,,,,,,,,,,,,,,,926435,
2023-10-19,,,,,,-3201,,,,,,,,,,,,,,,,,,-318966,
2023-10-20,,,,,,-3068,,,,,,,,,,,,,,,,,,423342,
2023-10-21,,,,,,3068,,,,,,,,,,,,,,,,,,417090,
2023-10-22,,,,,,10183,,,,,,,,,,,,,,,,,,2182522,
2023-10-23,,,,,,9953,,,,,,,,,,,,,,,,,,28565,
2023-10-24,,,,,,10154,,,,,,,,,,,,,,,,,,443833,
2023-10-25,,,,,,2689,,,,,,,,,,,,,,,,,,-2023322,
2023-10-26,,,,,,18897,,,,,,,,,,,,,,,,,,2080358,
2023-10-27,,,,,,32158,,,,,,,,,,,,,,,,,,-638238,
2023-10-28,,,,,,-7532,,,,,,,,,,,,,,,,,,-1392330,
2023-10-29,,,,,,3398,,,,,,,,,,,,,,,,,,70355,
2023-10-30,,,,,,44923,,,,,,,,,,,,,,,,,,209391,
2023-10-31,,,,,,-36896,,,,,,,,,,,,,,,,,,-198281,
2023-11-01,,,,,,10555,,,,,,,,,,,,,,,,,,-3426732,
2023-11-02,,,,,,-10593,,,,,,,,,,,,,,,,,,1172468,
2023-11-03,,,,,,6324,,,,,,,,,,,,,,,,,,-96520,
2023-11-04,,,,,,8999,,,,,,,,,,,,,,,,,,-46881,
2023-11-05,,,,,,9646,,,,,,,,,,,,,,,,,,-26207,
2023-11-06,,,,,,7858,,,,,,,,,,,,,,,,,,-109220,
2023-11-07,,,,,,-1044,,,,,,,,,,,,,,,,,,-304640,
2023-11-08,,,,,,23823,,,,,,,,,,,,,,,,,,40322,
2023-11-09,,,,,,31035,,,,,,,,,,,,,,,,,,494602,
2023-11-10,,,,,,-4668,,,,,,,,,,,,,,,,,,423232,
2023-11-11,,,,,,8658,,,,,,,,,,,,,,,,,,-33634,
2023-11-12,,,,,,4367,,,,,,,,,,,,,,,,,,25082,
2023-11-13,,,,,,-10823,,,,,,,,,,,,,,,,,,10192,
2023-11-14,,,,,,-29164,,,,,,,,,,,,,,,,,,-454519,
2023-11-15,,,,,,23811,,,,,,,,,,,,,,,,,,457769,
2023-11-16,,,,,,16205,,,,,,,,,,,,,,,,,,513518,
2023-11-17,,,,,,-855,,,,,,,,,,,,,,,,,,-964296,
2023-11-18,,,,,,-5855,,,,,,,,,,,,,,,,,,794887,
2023-11-19,,,,,,-15576,,,,,,,,,,,,,,,,,,390304,
2023-11-20,,,,,,47949,,,,,,,,,,,,,,,,,,-1478914,
2023-11-21,,,,,,-10680,,,,,,,,,,,,,,,,,,-368181,
2023-11-22,,,,,,-29917,,,,,,,,,,,,,,,,,,-231033,
2023-11-23,,,,,,18721,,,,,,,,,,,,,,,,,,1532837,
2023-11-24,,,,,,-1309,,,,,,,,,,,,,,,,,,29805,
2023-11-25,,,,,,18312,,,,,,,,,,,,,,,,,,326709,
2023-11-26,,,,,,8390,,,,,,,,,,,,,,,,,,-44248,
2023-11-27,,,,,,7318,,,,,,,,,,,,,,,,,,-301203,
2023-11-28,,,,,,-22561,,,,,,,,,,,,,,,,,,-1337788,
