date,UTXO Count
2009-01-03,1
2009-01-04,1
2009-01-05,1
2009-01-06,1
2009-01-07,1
2009-01-08,1
2009-01-09,15
2009-01-10,76
2009-01-11,169
2009-01-12,268
2009-01-13,391
2009-01-14,518
2009-01-15,643
2009-01-16,749
2009-01-17,858
2009-01-18,963
2009-01-19,1064
2009-01-20,1171
2009-01-21,1272
2009-01-22,1354
2009-01-23,1431
2009-01-24,1623
2009-01-25,1814
2009-01-26,1891
2009-01-27,1986
2009-01-28,2098
2009-01-29,2208
2009-01-30,2325
2009-01-31,2444
2009-02-01,2556
2009-02-02,2684
2009-02-03,2835
2009-02-04,2954
2009-02-05,3080
2009-02-06,3202
2009-02-07,3312
2009-02-08,3444
2009-02-09,3535
2009-02-10,3655
2009-02-11,3776
2009-02-12,3895
2009-02-13,4019
2009-02-14,4155
2009-02-15,4273
2009-02-16,4366
2009-02-17,4483
2009-02-18,4601
2009-02-19,4710
2009-02-20,4832
2009-02-21,4946
2009-02-22,5060
2009-02-23,5168
2009-02-24,5274
2009-02-25,5379
2009-02-26,5486
2009-02-27,5566
2009-02-28,5659
2009-03-01,5764
2009-03-02,5872
2009-03-03,5971
2009-03-04,6053
2009-03-05,6158
2009-03-06,6275
2009-03-07,6384
2009-03-08,6476
2009-03-09,6584
2009-03-10,6691
2009-03-11,6805
2009-03-12,6921
2009-03-13,7022
2009-03-14,7132
2009-03-15,7255
2009-03-16,7329
2009-03-17,7443
2009-03-18,7545
2009-03-19,7667
2009-03-20,7774
2009-03-21,7824
2009-03-22,7934
2009-03-23,8064
2009-03-24,8169
2009-03-25,8286
2009-03-26,8376
2009-03-27,8482
2009-03-28,8584
2009-03-29,8700
2009-03-30,8820
2009-03-31,8899
2009-04-01,9013
2009-04-02,9128
2009-04-03,9244
2009-04-04,9357
2009-04-05,9472
2009-04-06,9581
2009-04-07,9681
2009-04-08,9786
2009-04-09,9885
2009-04-10,9993
2009-04-11,10107
2009-04-12,10219
2009-04-13,10335
2009-04-14,10459
2009-04-15,10572
2009-04-16,10695
2009-04-17,10807
2009-04-18,10934
2009-04-19,11046
2009-04-20,11052
2009-04-21,11176
2009-04-22,11297
2009-04-23,11372
2009-04-24,11487
2009-04-25,11605
2009-04-26,11704
2009-04-27,11808
2009-04-28,11925
2009-04-29,12034
2009-04-30,12165
2009-05-01,12286
2009-05-02,12401
2009-05-03,12508
2009-05-04,12607
2009-05-05,12733
2009-05-06,12868
2009-05-07,12990
2009-05-08,13097
2009-05-09,13175
2009-05-10,13260
2009-05-11,13380
2009-05-12,13510
2009-05-13,13623
2009-05-14,13762
2009-05-15,13889
2009-05-16,14008
2009-05-17,14135
2009-05-18,14253
2009-05-19,14339
2009-05-20,14459
2009-05-21,14541
2009-05-22,14602
2009-05-23,14634
2009-05-24,14734
2009-05-25,14843
2009-05-26,14968
2009-05-27,15087
2009-05-28,15182
2009-05-29,15229
2009-05-30,15338
2009-05-31,15434
2009-06-01,15506
2009-06-02,15617
2009-06-03,15688
2009-06-04,15754
2009-06-05,15784
2009-06-06,15812
2009-06-07,15828
2009-06-08,15910
2009-06-09,16001
2009-06-10,16083
2009-06-11,16172
2009-06-12,16258
2009-06-13,16336
2009-06-14,16408
2009-06-15,16492
2009-06-16,16563
2009-06-17,16642
2009-06-18,16722
2009-06-19,16809
2009-06-20,16887
2009-06-21,16968
2009-06-22,16985
2009-06-23,17061
2009-06-24,17156
2009-06-25,17205
2009-06-26,17295
2009-06-27,17379
2009-06-28,17426
2009-06-29,17510
2009-06-30,17593
2009-07-01,17666
2009-07-02,17750
2009-07-03,17832
2009-07-04,17921
2009-07-05,18000
2009-07-06,18084
2009-07-07,18153
2009-07-08,18227
2009-07-09,18313
2009-07-10,18394
2009-07-11,18477
2009-07-12,18554
2009-07-13,18632
2009-07-14,18701
2009-07-15,18746
2009-07-16,18817
2009-07-17,18864
2009-07-18,18868
2009-07-19,18938
2009-07-20,18889
2009-07-21,18971
2009-07-22,19031
2009-07-23,19107
2009-07-24,19180
2009-07-25,19212
2009-07-26,19233
2009-07-27,19307
2009-07-28,19348
2009-07-29,19366
2009-07-30,19382
2009-07-31,19399
2009-08-01,19427
2009-08-02,19450
2009-08-03,19462
2009-08-04,19543
2009-08-05,19630
2009-08-06,19720
2009-08-07,19691
2009-08-08,19771
2009-08-09,19872
2009-08-10,19947
2009-08-11,20017
2009-08-12,20080
2009-08-13,20165
2009-08-14,20228
2009-08-15,20254
2009-08-16,20273
2009-08-17,20290
2009-08-18,20300
2009-08-19,20318
2009-08-20,20340
2009-08-21,20354
2009-08-22,20361
2009-08-23,20376
2009-08-24,20391
2009-08-25,20441
2009-08-26,20446
2009-08-27,20475
2009-08-28,20550
2009-08-29,20628
2009-08-30,20725
