date,Block Size (Mean)
2009-08-11,215.91428571
2009-08-12,215.52380952
2009-08-13,215.76470588
2009-08-14,215.82539683
2009-08-15,215.38461538
2009-08-16,215.52631579
2009-08-17,215.82352941
2009-08-18,216.0
2009-08-19,215.38888889
2009-08-20,215.18181818
2009-08-21,215.0
2009-08-22,215.0
2009-08-23,215.53333333
2009-08-24,215.0
2009-08-25,215.66
2009-08-26,335.83333333
2009-08-27,215.34482759
2009-08-28,215.73333333
2009-08-29,215.80769231
2009-08-30,217.3814433
2009-08-31,224.34883721
2009-09-01,215.79487179
2009-09-02,215.84848485
2009-09-03,242.90163934
2009-09-04,215.671875
2009-09-05,215.84210526
2009-09-06,215.85294118
2009-09-07,235.43589744
2009-09-08,215.76811594
2009-09-09,215.7962963
2009-09-10,215.80597015
2009-09-11,215.82089552
2009-09-12,215.88405797
2009-09-13,215.84
2009-09-14,215.85135135
2009-09-15,215.86363636
2009-09-16,218.875
2009-09-17,354.22619048
2009-09-18,215.80769231
2009-09-19,215.95945946
2009-09-20,215.98717949
2009-09-21,229.75362319
2009-09-22,399.84
2009-09-23,215.72222222
2009-09-24,215.50515464
2009-09-25,249.31868132
2009-09-26,215.46
2009-09-27,237.37931034
2009-09-28,215.92941176
2009-09-29,272.61363636
2009-09-30,215.76470588
2009-10-01,215.8902439
2009-10-02,232.22222222
2009-10-03,215.4137931
2009-10-04,215.67924528
2009-10-05,215.76363636
2009-10-06,259.11627907
2009-10-07,215.71666667
2009-10-08,215.47142857
2009-10-09,215.65822785
2009-10-10,215.81818182
2009-10-11,215.75675676
2009-10-12,364.37931034
2009-10-13,215.80701754
2009-10-14,215.62318841
2009-10-15,215.36619718
2009-10-16,372.51666667
2009-10-17,215.84210526
2009-10-18,227.0
2009-10-19,215.44642857
2009-10-20,338.0
2009-10-21,241.6625
2009-10-22,268.12222222
2009-10-23,215.42696629
2009-10-24,230.19354839
2009-10-25,215.57894737
2009-10-26,215.8028169
2009-10-27,245.78125
2009-10-28,215.68181818
2009-10-29,319.39130435
2009-10-30,215.46666667
2009-10-31,215.30434783
2009-11-01,215.28
2009-11-02,215.39393939
2009-11-03,215.53225806
2009-11-04,294.11111111
2009-11-05,215.47368421
2009-11-06,215.5483871
2009-11-07,215.66666667
2009-11-08,215.54794521
2009-11-09,215.6875
2009-11-10,215.38461538
2009-11-11,331.453125
2009-11-12,215.42424242
2009-11-13,238.45
2009-11-14,215.63291139
2009-11-15,215.625
2009-11-16,215.68041237
2009-11-17,215.66304348
2009-11-18,215.43037975
2009-11-19,375.2
2009-11-20,215.61627907
2009-11-21,215.71232877
2009-11-22,215.70754717
2009-11-23,215.85416667
2009-11-24,215.56989247
2009-11-25,215.64444444
2009-11-26,215.51190476
2009-11-27,215.47297297
2009-11-28,215.56338028
2009-11-29,215.68333333
2009-11-30,215.76
2009-12-01,483.78082192
2009-12-02,215.64893617
2009-12-03,215.78409091
2009-12-04,215.44444444
2009-12-05,249.015625
2009-12-06,220.3592233
2009-12-07,215.64285714
2009-12-08,249.20952381
2009-12-09,263.20833333
2009-12-10,215.64423077
2009-12-11,215.34821429
2009-12-12,286.44545455
2009-12-13,215.75438596
2009-12-14,591.47058824
2009-12-15,226.94545455
2009-12-16,230.21323529
2009-12-17,224.96449704
2009-12-18,215.54222222
2009-12-19,216.71717172
2009-12-20,215.91428571
2009-12-21,216.57714286
2009-12-22,215.72222222
2009-12-23,215.67532468
2009-12-24,215.68831169
2009-12-25,217.30201342
2009-12-26,215.7183908
2009-12-27,219.79640719
2009-12-28,215.75182482
2009-12-29,215.64912281
2009-12-30,215.68794326
2009-12-31,215.69565217
2010-01-01,217.95454545
2010-01-02,215.62698413
2010-01-03,215.76344086
2010-01-04,269.0441989
2010-01-05,215.63131313
2010-01-06,215.74233129
2010-01-07,215.63636364
2010-01-08,215.75816993
2010-01-09,215.82781457
2010-01-10,215.8
2010-01-11,215.69811321
2010-01-12,372.01257862
2010-01-13,218.50609756
2010-01-14,224.57342657
2010-01-15,219.90070922
2010-01-16,222.28
2010-01-17,215.5648855
2010-01-18,217.328
2010-01-19,215.38709677
2010-01-20,215.44936709
2010-01-21,235.23428571
2010-01-22,221.40601504
2010-01-23,218.4625
2010-01-24,216.7012987
2010-01-25,251.25592417
2010-01-26,230.12820513
2010-01-27,230.05487805
2010-01-28,229.56497175
2010-01-29,227.75634518
2010-01-30,235.40952381
2010-01-31,229.04242424
2010-02-01,233.91847826
2010-02-02,232.17241379
2010-02-03,218.43703704
2010-02-04,237.89956332
2010-02-05,342.7309417
2010-02-06,237.18229167
2010-02-07,222.9078341
2010-02-08,290.79
2010-02-09,446.83574879
2010-02-10,628.60119048
2010-02-11,266.76923077
2010-02-12,255.9726776
2010-02-13,258.73275862
2010-02-14,252.8125
2010-02-15,278.80113636
2010-02-16,227.52820513
2010-02-17,234.0209205
2010-02-18,249.39903846
2010-02-19,220.22916667
2010-02-20,223.38461538
2010-02-21,281.22869955
2010-02-22,334.07692308
2010-02-23,216.336
2010-02-24,289.03508772
2010-02-25,322.88311688
2010-02-26,231.16860465
2010-02-27,223.45348837
2010-02-28,294.40384615
2010-03-01,235.35897436
2010-03-02,241.38829787
2010-03-03,310.01973684
2010-03-04,455.07567568
2010-03-05,217.98830409
2010-03-06,278.62711864
2010-03-07,290.69832402
2010-03-08,383.696
2010-03-09,279.43835616
2010-03-10,249.58024691
2010-03-11,271.45864662
2010-03-12,222.8677686
2010-03-13,242.71895425
2010-03-14,227.032
2010-03-15,224.56296296
2010-03-16,239.99206349
2010-03-17,238.16911765
2010-03-18,286.39285714
2010-03-19,313.2745098
2010-03-20,265.8125
2010-03-21,223.3715847
2010-03-22,243.39106145
2010-03-23,262.24154589
2010-03-24,243.32748538
2010-03-25,430.71657754
2010-03-26,264.30456853
2010-03-27,234.20224719
2010-03-28,229.89784946
2010-03-29,258.54871795
2010-03-30,223.0
2010-03-31,231.16267943
2010-04-01,237.5
2010-04-02,231.73076923
2010-04-03,236.37267081
2010-04-04,265.74269006
2010-04-05,342.45751634
2010-04-06,296.27672956
2010-04-07,282.79792746
2010-04-08,261.66120219
2010-04-09,350.61904762
2010-04-10,350.9
2010-04-11,323.2690583
2010-04-12,331.35960591
2010-04-13,245.28571429
2010-04-14,311.87222222
2010-04-15,624.35648148
2010-04-16,355.3019802
2010-04-17,274.29411765
2010-04-18,3619.62857143
2010-04-19,384.87931034
2010-04-20,356.24390244
2010-04-21,307.17351598
2010-04-22,280.22641509
2010-04-23,307.73333333
2010-04-24,356.51190476
2010-04-25,371.79113924
2010-04-26,320.73170732
2010-04-27,302.63333333
2010-04-28,328.10555556
2010-04-29,280.36734694
2010-04-30,274.27083333
2010-05-01,270.61748634
2010-05-02,258.23870968
2010-05-03,315.31446541
2010-05-04,426.36764706
2010-05-05,395.24087591
2010-05-06,446.89932886
2010-05-07,314.3030303
2010-05-08,434.96753247
2010-05-09,344.46153846
2010-05-10,371.6796875
2010-05-11,270.64864865
2010-05-12,366.37795276
2010-05-13,344.046875
2010-05-14,1554.42276423
2010-05-15,2215.76923077
2010-05-16,273.90265487
2010-05-17,347.65034965
2010-05-18,338.08928571
2010-05-19,340.17682927
2010-05-20,274.51724138
2010-05-21,373.90909091
2010-05-22,429.35897436
2010-05-23,372.30805687
2010-05-24,311.51595745
2010-05-25,297.55238095
2010-05-26,337.13452915
2010-05-27,362.41666667
2010-05-28,296.2735426
2010-05-29,348.75543478
2010-05-30,310.65100671
2010-05-31,321.79577465
2010-06-01,341.67407407
2010-06-02,300.29931973
2010-06-03,450.82236842
2010-06-04,306.208
2010-06-05,313.88965517
2010-06-06,337.60135135
2010-06-07,463.01273885
2010-06-08,341.1625
2010-06-09,367.11904762
2010-06-10,310.58125
2010-06-11,368.98809524
2010-06-12,370.52592593
2010-06-13,352.19767442
2010-06-14,453.44099379
2010-06-15,358.59782609
2010-06-16,408.6971831
2010-06-17,321.58219178
2010-06-18,333.56
2010-06-19,480.93333333
2010-06-20,297.3027027
2010-06-21,394.27922078
2010-06-22,388.51282051
2010-06-23,351.97326203
2010-06-24,362.5147929
2010-06-25,315.28666667
2010-06-26,286.27672956
2010-06-27,312.5
2010-06-28,349.63815789
2010-06-29,440.65680473
2010-06-30,1207.18131868
2010-07-01,356.90995261
2010-07-02,679.60479042
2010-07-03,341.78301887
2010-07-04,473.89759036
2010-07-05,362.98324022
2010-07-06,296.79289941
2010-07-07,421.75641026
2010-07-08,345.52980132
2010-07-09,310.38190955
2010-07-10,341.13636364
2010-07-11,503.73184358
2010-07-12,912.44461305
2010-07-13,520.37427746
2010-07-14,2847.04844291
2010-07-15,872.29647436
2010-07-16,611.81782178
2010-07-17,730.65317919
2010-07-18,846.28488372
2010-07-19,837.04022989
2010-07-20,1065.70718232
2010-07-21,623.48309179
2010-07-22,572.90340909
2010-07-23,528.15979381
2010-07-24,1526.56084656
2010-07-25,3225.67532468
2010-07-26,999.37860082
2010-07-27,760.27108434
2010-07-28,3424.69811321
2010-07-29,2451.32777778
2010-07-30,619.26923077
2010-07-31,470.7044335
2010-08-01,432.0334728
2010-08-02,437.38842975
2010-08-03,824.89867841
2010-08-04,489.04526749
2010-08-05,927.90825688
2010-08-06,757.12244898
2010-08-07,640.97419355
2010-08-08,529.1959799
2010-08-09,1564.16315789
2010-08-10,475.81675393
2010-08-11,496.85407725
2010-08-12,459.80645161
2010-08-13,837.34418605
2010-08-14,492.20996441
2010-08-15,403.95169082
2010-08-16,1049.87755102
2010-08-17,675.52713178
2010-08-18,2005.5037594
2010-08-19,623.65185185
2010-08-20,595.83419689
2010-08-21,539.42196532
2010-08-22,472.55660377
2010-08-23,488.10798122
2010-08-24,836.1255814
2010-08-25,415.45833333
2010-08-26,562.54761905
2010-08-27,474.99415205
2010-08-28,607.46470588
2010-08-29,413.69135802
2010-08-30,671.48322148
2010-08-31,976.86413043
2010-09-01,894.59235669
2010-09-02,607.97435897
2010-09-03,507.17073171
2010-09-04,409.41436464
2010-09-05,546.13939394
2010-09-06,505.87974684
2010-09-07,467.78125
2010-09-08,560.80606061
2010-09-09,714.72592593
2010-09-10,561.20338983
2010-09-11,505.7
2010-09-12,700.42372881
2010-09-13,776.83625731
2010-09-14,598.32019704
2010-09-15,767.66863905
2010-09-16,551.57534247
2010-09-17,726.53846154
2010-09-18,452.60759494
2010-09-19,509.68421053
2010-09-20,692.38916256
2010-09-21,1555.47093023
2010-09-22,1243.7816092
2010-09-23,833.63247863
2010-09-24,613.19736842
2010-09-25,777.25603865
2010-09-26,585.64878049
2010-09-27,957.67248908
2010-09-28,1222.00471698
2010-09-29,2200.10365854
2010-09-30,752.95890411
2010-10-01,1105.1038961
2010-10-02,1816.85
2010-10-03,938.45901639
2010-10-04,912.60130719
2010-10-05,1001.07142857
2010-10-06,710.67251462
2010-10-07,668.5125
2010-10-08,864.40909091
2010-10-09,904.92405063
