date,Active Sending Addresses
2021-09-16,245407
2021-09-17,220763
2021-09-18,237704
2021-09-19,235121
2021-09-20,209223
2021-09-21,216930
2021-09-22,221409
2021-09-23,238200
2021-09-24,216390
2021-09-25,233232
2021-09-26,212371
2021-09-27,211565
2021-09-28,203664
2021-09-29,215876
2021-09-30,217864
2021-10-01,229780
2021-10-02,235649
2021-10-03,235362
2021-10-04,209506
2021-10-05,251699
2021-10-06,271755
2021-10-07,277862
2021-10-08,294088
2021-10-09,266064
2021-10-10,250750
2021-10-11,224420
2021-10-12,241104
2021-10-13,236590
2021-10-14,253783
2021-10-15,237284
2021-10-16,259054
2021-10-17,249899
2021-10-18,253493
2021-10-19,258757
2021-10-20,282979
2021-10-21,278843
2021-10-22,265568
2021-10-23,304258
2021-10-24,276818
2021-10-25,272558
2021-10-26,278735
2021-10-27,268574
2021-10-28,318234
2021-10-29,309434
2021-10-30,263895
2021-10-31,245667
2021-11-01,256950
2021-11-02,275578
2021-11-03,267133
2021-11-04,256762
2021-11-05,256935
2021-11-06,246305
2021-11-07,257239
2021-11-08,261762
2021-11-09,235984
2021-11-10,305178
2021-11-11,306194
2021-11-12,311823
2021-11-13,315874
2021-11-14,316008
2021-11-15,274722
2021-11-16,259938
2021-11-17,361823
2021-11-18,267471
2021-11-19,287486
2021-11-20,237769
2021-11-21,280696
2021-11-22,239574
2021-11-23,250030
2021-11-24,266105
2021-11-25,254863
2021-11-26,251845
2021-11-27,231813
2021-11-28,227979
2021-11-29,272062
2021-11-30,281141
2021-12-01,253649
2021-12-02,262450
2021-12-03,237922
2021-12-04,221439
2021-12-05,501240
2021-12-06,263442
2021-12-07,242272
2021-12-08,257771
2021-12-09,262057
2021-12-10,270633
2021-12-11,253651
2021-12-12,252416
2021-12-13,256577
2021-12-14,236496
2021-12-15,232658
2021-12-16,262221
2021-12-17,258156
2021-12-18,242266
2021-12-19,246804
2021-12-20,262671
2021-12-21,245903
2021-12-22,293181
2021-12-23,251569
2021-12-24,253366
2021-12-25,219972
2021-12-26,232239
2021-12-27,251652
2021-12-28,250179
2021-12-29,228697
2021-12-30,248812
2021-12-31,238006
2022-01-01,234246
2022-01-02,220058
2022-01-03,239760
2022-01-04,258922
2022-01-05,263710
2022-01-06,264620
2022-01-07,254690
2022-01-08,255114
2022-01-09,236837
2022-01-10,211302
2022-01-11,244833
2022-01-12,293137
2022-01-13,295145
2022-01-14,286617
2022-01-15,277537
2022-01-16,274558
2022-01-17,264713
2022-01-18,256907
2022-01-19,265666
2022-01-20,267842
2022-01-21,237502
2022-01-22,245492
2022-01-23,234049
2022-01-24,233839
2022-01-25,244468
2022-01-26,233043
2022-01-27,227926
2022-01-28,234189
2022-01-29,248706
2022-01-30,264357
2022-01-31,269563
2022-02-01,265972
2022-02-02,257543
2022-02-03,248454
2022-02-04,278331
2022-02-05,300916
2022-02-06,289682
2022-02-07,264863
2022-02-08,272678
2022-02-09,281155
2022-02-10,280649
2022-02-11,282251
2022-02-12,271545
2022-02-13,295842
2022-02-14,275890
2022-02-15,273165
2022-02-16,260135
2022-02-17,256564
2022-02-18,227075
2022-02-19,249470
2022-02-20,248410
2022-02-21,241992
2022-02-22,249067
2022-02-23,254703
2022-02-24,262850
2022-02-25,281706
