date,timestamp_utc,Coin Days Destroyed (CDD)
2020-12-31,2020-12-31T00:00:00Z,19113095.80380446
2021-01-01,2021-01-01T00:00:00Z,24065893.89497589
2021-01-02,2021-01-02T00:00:00Z,56594161.21806495
2021-01-03,2021-01-03T00:00:00Z,36223318.29680752
2021-01-04,2021-01-04T00:00:00Z,55583396.16187864
2021-01-05,2021-01-05T00:00:00Z,21966938.91530576
2021-01-06,2021-01-06T00:00:00Z,25092783.56899981
2021-01-07,2021-01-07T00:00:00Z,39159762.26497672
2021-01-08,2021-01-08T00:00:00Z,32513918.6246092
2021-01-09,2021-01-09T00:00:00Z,28198936.21833513
2021-01-10,2021-01-10T00:00:00Z,21950668.63901538
2021-01-11,2021-01-11T00:00:00Z,25352846.02964863
2021-01-12,2021-01-12T00:00:00Z,15580187.62390854
2021-01-13,2021-01-13T00:00:00Z,15462038.16422514
2021-01-14,2021-01-14T00:00:00Z,15458190.63467722
2021-01-15,2021-01-15T00:00:00Z,18541494.20003789
2021-01-16,2021-01-16T00:00:00Z,10524779.54544395
2021-01-17,2021-01-17T00:00:00Z,9630898.87382489
2021-01-18,2021-01-18T00:00:00Z,13661127.24287535
2021-01-19,2021-01-19T00:00:00Z,13618599.22598136
2021-01-20,2021-01-20T00:00:00Z,10320876.16536979
2021-01-21,2021-01-21T00:00:00Z,10435011.6266599
2021-01-22,2021-01-22T00:00:00Z,11546597.1534091
2021-01-23,2021-01-23T00:00:00Z,6178304.19796842
2021-01-24,2021-01-24T00:00:00Z,5458477.56949331
2021-01-25,2021-01-25T00:00:00Z,10196018.02384111
2021-01-26,2021-01-26T00:00:00Z,7744459.21236366
2021-01-27,2021-01-27T00:00:00Z,38881047.32899858
2021-01-28,2021-01-28T00:00:00Z,13587617.63781318
2021-01-29,2021-01-29T00:00:00Z,18093497.02307618
2021-01-30,2021-01-30T00:00:00Z,10226701.15835877
2021-01-31,2021-01-31T00:00:00Z,19193185.40850034
2021-02-01,2021-02-01T00:00:00Z,7478539.30112691
2021-02-02,2021-02-02T00:00:00Z,8419887.56279298
2021-02-03,2021-02-03T00:00:00Z,10725563.76540363
2021-02-04,2021-02-04T00:00:00Z,15685555.82221906
2021-02-05,2021-02-05T00:00:00Z,19844901.28252929
2021-02-06,2021-02-06T00:00:00Z,10045615.61016093
2021-02-07,2021-02-07T00:00:00Z,26335003.61696135
2021-02-08,2021-02-08T00:00:00Z,18374109.20351619
2021-02-09,2021-02-09T00:00:00Z,26190395.42845544
2021-02-10,2021-02-10T00:00:00Z,16654543.46703681
2021-02-11,2021-02-11T00:00:00Z,13559891.19133112
2021-02-12,2021-02-12T00:00:00Z,15281930.7541901
2021-02-13,2021-02-13T00:00:00Z,7545379.54270286
2021-02-14,2021-02-14T00:00:00Z,10319952.16408747
2021-02-15,2021-02-15T00:00:00Z,14239171.14804722
2021-02-16,2021-02-16T00:00:00Z,15603352.10428251
2021-02-17,2021-02-17T00:00:00Z,16242962.90126094
2021-02-18,2021-02-18T00:00:00Z,20753655.60493441
2021-02-19,2021-02-19T00:00:00Z,23361280.50401909
2021-02-20,2021-02-20T00:00:00Z,20950199.028776
2021-02-21,2021-02-21T00:00:00Z,14319959.0349517
