date,UTXOs in Loss (%)
2020-12-31,0.17239588
2021-01-01,0.07228353
2021-01-02,0.15077775
2021-01-03,0.28759929
2021-01-04,0.6223849
2021-01-05,0.10761165
2021-01-06,0.01512859
2021-01-07,0.09880374
2021-01-08,0.25353987
2021-01-09,0.55076342
2021-01-10,1.23614464
2021-01-11,1.58744257
2021-01-12,2.4306712
2021-01-13,1.1687372
2021-01-14,0.8434412
2021-01-15,1.84985846
2021-01-16,2.10512709
2021-01-17,2.30330811
2021-01-18,1.66080371
2021-01-19,2.31416451
2021-01-20,2.68190464
2021-01-21,4.67268796
2021-01-22,3.90485483
2021-01-23,4.33059202
2021-01-24,3.97967386
2021-01-25,3.9875451
2021-01-26,3.66190897
2021-01-27,5.17518098
2021-01-28,2.92850449
2021-01-29,2.77891107
2021-01-30,2.77962868
2021-01-31,3.70982032
2021-02-01,3.57281331
2021-02-02,1.9311871
2021-02-03,0.80547354
2021-02-04,1.68983581
2021-02-05,0.9354204
2021-02-06,0.80032117
2021-02-07,0.94715857
2021-02-08,0.0
2021-02-09,0.38909836
2021-02-10,0.89629008
2021-02-11,0.09153177
2021-02-12,0.41473582
2021-02-13,0.87129695
2021-02-14,0.07534905
2021-02-15,0.56309106
2021-02-16,0.19107644
2021-02-17,0.11571085
2021-02-18,0.54907816
2021-02-19,0.02352203
2021-02-20,0.35443617
2021-02-21,0.16118401
2021-02-22,1.23703796
2021-02-23,2.36462839
2021-02-24,2.18212929
2021-02-25,4.09290504
2021-02-26,4.40725085
2021-02-27,4.68056674
2021-02-28,4.77425822
2021-03-01,1.85028686
2021-03-02,2.76138583
2021-03-03,1.83406773
2021-03-04,3.2412125
2021-03-05,2.67601091
2021-03-06,2.53926806
2021-03-07,1.24708094
2021-03-08,0.7506918
2021-03-09,0.53532221
2021-03-10,0.45253914
2021-03-11,0.01520091
2021-03-12,0.18774133
2021-03-13,0.06504927
2021-03-14,0.66282577
2021-03-15,2.07530471
2021-03-16,1.51830262
2021-03-17,0.52651901
2021-03-18,0.98693705
2021-03-19,1.23291668
2021-03-20,1.52397021
2021-03-21,1.70867532
2021-03-22,3.74841135
2021-03-23,3.80707325
2021-03-24,4.60975901
2021-03-25,5.02310592
2021-03-26,3.22142869
2021-03-27,2.73606087
2021-03-28,2.88705758
2021-03-29,1.24473741
2021-03-30,0.76680948
2021-03-31,1.18855548
2021-04-01,1.27352857
2021-04-02,1.02067217
2021-04-03,3.23800496
2021-04-04,2.10363831
2021-04-05,0.84637343
2021-04-06,2.62620245
2021-04-07,4.76147349
2021-04-08,2.50418714
2021-04-09,2.38663934
2021-04-10,0.52689225
2021-04-11,0.42842084
2021-04-12,0.73600591
2021-04-13,0.03208549
2021-04-14,0.63767133
2021-04-15,0.46768439
2021-04-16,1.37225628
2021-04-17,2.31775924
2021-04-18,6.13053034
2021-04-19,6.91388978
2021-04-20,6.02917661
2021-04-21,8.47575437
2021-04-22,9.01978311
2021-04-23,9.05838721
2021-04-24,9.40502773
2021-04-25,10.01046553
2021-04-26,7.37962399
2021-04-27,6.57612458
2021-04-28,6.91953995
2021-04-29,7.98656894
2021-04-30,3.46697158
2021-05-01,3.55166172
2021-05-02,4.86639383
2021-05-03,4.15277877
2021-05-04,8.14948351
2021-05-05,3.87106564
2021-05-06,5.14865675
2021-05-07,3.91224647
2021-05-08,2.22072788
2021-05-09,2.67493347
2021-05-10,6.15258172
2021-05-11,5.17222207
2021-05-12,9.75090276
2021-05-13,9.87948588
2021-05-14,9.62011065
2021-05-15,11.52099062
2021-05-16,11.53183336
2021-05-17,11.90304055
2021-05-18,12.18817938
2021-05-19,12.71942453
2021-05-20,12.06506473
