date,0 ~ 0.01 BTC (%),0.01 ~ 0.1 BTC (%),0.1 ~ 1 BTC (%),1 ~ 10 BTC (%),10 ~ 100 BTC (%),100 ~ 1K BTC (%),1K ~ 10K BTC (%),10K BTC ~ (%)
2020-12-31,0.32098712,1.36782679,4.80792787,11.11270815,25.39363222,27.08627302,22.43521086,7.47543396
2021-01-01,0.3191993,1.36244637,4.81155769,11.12160934,25.37931651,27.13032257,22.42447899,7.45106922
2021-01-02,0.31705483,1.36332401,4.80768683,11.14485952,25.32837605,27.16396258,22.42373224,7.45100394
2021-01-03,0.3170952,1.36132254,4.80779629,11.14452058,25.30533877,27.20801765,22.4213692,7.43453977
2021-01-04,0.31662921,1.36126624,4.80543843,11.15643719,25.31248146,27.19655845,22.41689148,7.43429754
2021-01-05,0.31670268,1.36537492,4.8135739,11.15610781,25.24059384,27.11882652,22.55523599,7.43358434
2021-01-06,0.31731269,1.36099398,4.81059958,11.14636617,25.24690298,27.16329242,22.52125037,7.4332818
2021-01-07,0.31865573,1.36309076,4.8155471,11.1242742,25.20197558,27.21985146,22.52983543,7.42676974
2021-01-08,0.32041946,1.36636379,4.82201638,11.11053008,25.18957835,27.23139306,22.53576151,7.42393737
2021-01-09,0.32115134,1.367148,4.82703763,11.11698028,25.18432492,27.30099973,22.52769399,7.35466411
2021-01-10,0.32075074,1.3648826,4.82842567,11.11799825,25.19394871,27.31460929,22.50402188,7.35536286
2021-01-11,0.32059099,1.36576956,4.81545937,11.10788937,25.13960701,27.40758276,22.48281538,7.36028557
2021-01-12,0.32125602,1.36574136,4.80329912,11.07747413,25.15343033,27.39937743,22.43163992,7.44778169
2021-01-13,0.32120742,1.36730742,4.8079043,11.08713659,25.14129179,27.36997072,22.45936377,7.44581799
2021-01-14,0.32188658,1.36711754,4.81117637,11.02649432,25.03280366,27.36660998,22.56990755,7.50400398
2021-01-15,0.32240275,1.36825469,4.81624235,11.02501751,25.00895974,27.29737693,22.5713193,7.59042673
2021-01-16,0.32248924,1.36776103,4.82094662,11.03991787,24.99945441,27.30366352,22.556699,7.5890683
2021-01-17,0.32173291,1.36698616,4.82096647,11.0336059,24.99331497,27.31822961,22.55722968,7.5879343
2021-01-18,0.32161346,1.36545217,4.82296267,11.03006141,24.99120027,27.33515399,22.54067449,7.59288153
2021-01-19,0.32172216,1.36433121,4.82154631,11.029818,25.01236937,27.31776122,22.61286575,7.51958598
2021-01-20,0.32214743,1.36778611,4.82716897,11.0220246,24.99018678,27.3207343,22.63429577,7.51565604
2021-01-21,0.3228624,1.3714956,4.83135402,11.0201582,24.99361982,27.35407907,22.61444288,7.49198801
2021-01-22,0.32388209,1.37340925,4.83577726,11.01357534,24.97289106,27.30907499,22.68034045,7.49104955
2021-01-23,0.32325668,1.37038285,4.83902627,11.02830835,24.9653325,27.350415,22.63189582,7.49138253
2021-01-24,0.32208622,1.36138146,4.82638217,11.02902654,24.97423744,27.37583789,22.61690012,7.49414815
2021-01-25,0.32236195,1.36218694,4.82862484,11.00769956,24.9440373,27.36920586,22.66882126,7.49706228
2021-01-26,0.32194211,1.35844618,4.82639983,10.98465337,24.92122923,27.41229321,22.67552128,7.4995148
2021-01-27,0.32333513,1.35998891,4.83106048,10.96040145,24.93533187,27.46321066,22.66883356,7.45783793
2021-01-28,0.32368812,1.36266581,4.83777455,10.94968015,24.91399369,27.50840118,22.72401477,7.37978173
2021-01-29,0.32519704,1.36552342,4.83913894,10.94998302,24.95062515,27.52319021,22.67071919,7.37562302
2021-01-30,0.32618626,1.36586353,4.84085344,10.9522659,24.94340311,27.51710268,22.678758,7.37556708
2021-01-31,0.32580375,1.36490379,4.84267023,10.978069,24.9423306,27.51407934,22.65641743,7.37572586
2021-02-01,0.32745833,1.36815262,4.85202712,10.99134927,24.93716588,27.47627495,22.67571124,7.37186059
2021-02-02,0.32868365,1.37135003,4.85836267,11.00131803,24.90974858,27.49427446,22.6642536,7.37200899
2021-02-03,0.32965798,1.37347387,4.86256202,10.99448931,24.91821824,27.50779134,22.64145816,7.37234908
2021-02-04,0.33103116,1.37173462,4.85373381,10.98560306,24.90229725,27.51786808,22.67325163,7.3644804
2021-02-05,0.33097602,1.36896215,4.85599438,10.98702253,24.99088074,27.45952535,22.63622826,7.37041057
2021-02-06,0.33025012,1.36722371,4.85377685,10.98607293,25.01307215,27.42908482,22.65275173,7.36776769
2021-02-07,0.32819292,1.3653725,4.85692939,10.98891581,25.00073674,27.4044786,22.68591147,7.36946257
2021-02-08,0.32757258,1.36444009,4.84371308,10.98758025,25.01020033,27.44285941,22.65891433,7.36471994
2021-02-09,0.32988598,1.36908465,4.84943779,10.78511891,25.03399354,27.61454732,22.64916839,7.36876342
2021-02-10,0.33190322,1.36907175,4.85495288,10.7941971,25.03674341,27.86719723,22.32272156,7.42321284
2021-02-11,0.33383276,1.37228028,4.86404495,10.78373273,25.02127223,27.99505195,22.20893293,7.42085217
2021-02-12,0.33586032,1.37519891,4.86688915,10.72830833,24.9698547,27.96326959,22.3424465,7.41817251
2021-02-13,0.33507702,1.37302498,4.87140202,10.73644646,24.96661941,27.91361244,22.38602201,7.41779565
2021-02-14,0.3337279,1.37036007,4.87643254,10.73786428,24.98617508,27.88913253,22.38597175,7.42033585
2021-02-15,0.33310122,1.37149319,4.87822309,10.74434245,24.97117286,27.8920345,22.26839469,7.541238
2021-02-16,0.33467436,1.37496077,4.88051837,10.74225454,24.98468272,27.86306154,22.30099576,7.51885192
2021-02-17,0.33622183,1.37747777,4.8847171,10.74859259,24.98194945,27.86454557,22.28714327,7.51935243
2021-02-18,0.33763561,1.38019848,4.88784457,10.74202538,24.97708585,28.05984789,22.09621988,7.51914236
2021-02-19,0.33889858,1.38308305,4.89509151,10.73843325,24.99595194,28.04425173,22.11532861,7.48896133
2021-02-20,0.33952705,1.38292548,4.90039784,10.74191222,25.02814035,28.17239035,21.94679774,7.48790898
2021-02-21,0.33922277,1.37597147,4.83752274,10.65279204,25.03137504,28.15974372,22.00496141,7.59841081
2021-02-22,0.33942582,1.38014453,4.84549451,10.65451848,25.0086759,28.16573685,22.06177556,7.54422835
2021-02-23,0.3411452,1.3846455,4.84585319,10.6577713,25.04411319,28.43717676,21.85833665,7.43095822
2021-02-24,0.34228752,1.38779333,4.8497515,10.66051728,25.03121716,28.51886844,21.77926897,7.4302958
2021-02-25,0.34285292,1.38921349,4.85373786,10.65469537,25.0991521,28.4945907,21.73515448,7.43060309
2021-02-26,0.34441818,1.39103455,4.85406902,10.66623575,25.10423,28.46306512,21.76346608,7.41348131
2021-02-27,0.34371919,1.38961572,4.85892977,10.67839255,25.11848226,28.44831399,21.77629388,7.38625265
2021-02-28,0.34268878,1.38873135,4.859705,10.68134254,25.1232469,28.45764682,21.76233,7.38430861
2021-03-01,0.34429911,1.39393427,4.86696459,10.67096076,25.11049263,28.45952263,21.77358307,7.38024295
2021-03-02,0.34539301,1.39496584,4.87137548,10.67650035,25.1101288,28.42791203,21.79327387,7.38045062
2021-03-03,0.34659025,1.39770546,4.87502942,10.6808584,25.07706684,28.41621744,21.82547069,7.38106149
2021-03-04,0.34796445,1.39970132,4.88160861,10.69261028,25.07716351,28.39551062,21.75493921,7.45050199
2021-03-05,0.34885342,1.40031553,4.88785592,10.63186686,25.12597909,28.33213322,21.72443312,7.54856285
2021-03-06,0.34775218,1.3971934,4.89011434,10.64595803,25.12511617,28.36594328,21.69187336,7.53604923
2021-03-07,0.3460402,1.39697588,4.89652622,10.64220046,25.11430037,28.3822002,21.69768099,7.52407568
2021-03-08,0.34479815,1.39893198,4.90011315,10.61881501,25.17560275,28.35638461,21.74238389,7.46297046
2021-03-09,0.34550395,1.40162857,4.90390403,10.61864836,25.16476767,28.39172898,21.77678384,7.39703461
