Datetime,Number of Contracts
2026-04-10T00:00:00Z,67771832
2026-04-09T00:00:00Z,67685664
2026-04-08T00:00:00Z,67604854
2026-04-07T00:00:00Z,67539492
2026-04-06T00:00:00Z,67473626
2026-04-05T00:00:00Z,67437093
2026-04-04T00:00:00Z,67442863
2026-04-03T00:00:00Z,67460253
2026-04-02T00:00:00Z,67451457
2026-04-01T00:00:00Z,67436940
2026-03-31T00:00:00Z,67422397
2026-03-30T00:00:00Z,67408111
2026-03-29T00:00:00Z,67394216
2026-03-28T00:00:00Z,67392622
2026-03-27T00:00:00Z,67377518
2026-03-26T00:00:00Z,67329711
2026-03-25T00:00:00Z,67253960
2026-03-24T00:00:00Z,67158795
2026-03-23T00:00:00Z,67085887
2026-03-22T00:00:00Z,67066226
2026-03-21T00:00:00Z,67015614
2026-03-20T00:00:00Z,66839045
2026-03-19T00:00:00Z,66819471
2026-03-18T00:00:00Z,66802507
2026-03-17T00:00:00Z,66773393
2026-03-16T00:00:00Z,66736509
2026-03-15T00:00:00Z,66704811
2026-03-14T00:00:00Z,66524721
2026-03-13T00:00:00Z,66289383
2026-03-12T00:00:00Z,66229377
2026-03-11T00:00:00Z,66165322
2026-03-10T00:00:00Z,66097669
2026-03-09T00:00:00Z,66057100
2026-03-08T00:00:00Z,66033903
2026-03-07T00:00:00Z,65811182
2026-03-06T00:00:00Z,65672568
2026-03-05T00:00:00Z,65586927
2026-03-04T00:00:00Z,65560194
2026-03-03T00:00:00Z,65514301
2026-03-02T00:00:00Z,65453832
2026-03-01T00:00:00Z,65402204
2026-02-28T00:00:00Z,65290340
2026-02-27T00:00:00Z,65214777
2026-02-26T00:00:00Z,65136798
2026-02-25T00:00:00Z,65084568
2026-02-24T00:00:00Z,65015961
2026-02-23T00:00:00Z,64912942
2026-02-22T00:00:00Z,64793974
2026-02-21T00:00:00Z,64568389
2026-02-20T00:00:00Z,64349345
2026-02-19T00:00:00Z,64210951
2026-02-18T00:00:00Z,64115543
2026-02-17T00:00:00Z,63934299
2026-02-16T00:00:00Z,63732575
2026-02-15T00:00:00Z,63525051
2026-02-14T00:00:00Z,63307069
2026-02-13T00:00:00Z,63161977
2026-02-12T00:00:00Z,63083455
2026-02-11T00:00:00Z,63031508
2026-02-10T00:00:00Z,62967254
2026-02-09T00:00:00Z,62933761
2026-02-08T00:00:00Z,62882152
2026-02-07T00:00:00Z,62810881
2026-02-06T00:00:00Z,62804063
2026-02-05T00:00:00Z,62794531
2026-02-04T00:00:00Z,62782918
2026-02-03T00:00:00Z,62775915
2026-02-02T00:00:00Z,62766210
2026-02-01T00:00:00Z,62757053
2026-01-31T00:00:00Z,62751903
2026-01-30T00:00:00Z,62741581
2026-01-29T00:00:00Z,62731088
2026-01-28T00:00:00Z,62709851
2026-01-27T00:00:00Z,62692669
2026-01-26T00:00:00Z,62655989
2026-01-25T00:00:00Z,62611251
2026-01-24T00:00:00Z,62485296
2026-01-23T00:00:00Z,62409671
2026-01-22T00:00:00Z,62365671
2026-01-21T00:00:00Z,62329421
2026-01-20T00:00:00Z,62317548
2026-01-19T00:00:00Z,62255953
2026-01-18T00:00:00Z,62202494
2026-01-17T00:00:00Z,61913162
2026-01-16T00:00:00Z,61734026
2026-01-15T00:00:00Z,61653964
2026-01-14T00:00:00Z,61644539
2026-01-13T00:00:00Z,61612235
2026-01-12T00:00:00Z,61535755
2026-01-11T00:00:00Z,61410157
2026-01-10T00:00:00Z,61140126
2026-01-09T00:00:00Z,60874054
2026-01-08T00:00:00Z,60716894
2026-01-07T00:00:00Z,60605919
2026-01-06T00:00:00Z,60549591
2026-01-05T00:00:00Z,60512064
2026-01-04T00:00:00Z,60481230
2026-01-03T00:00:00Z,60335142
2026-01-02T00:00:00Z,60290008
2026-01-01T00:00:00Z,60233908
2025-12-31T00:00:00Z,60097134
2025-12-30T00:00:00Z,60038077
2025-12-29T00:00:00Z,59975466
2025-12-28T00:00:00Z,59941674
2025-12-27T00:00:00Z,59665566
2025-12-26T00:00:00Z,59490429
2025-12-25T00:00:00Z,59366162
2025-12-24T00:00:00Z,59177774
2025-12-23T00:00:00Z,59019467
2025-12-22T00:00:00Z,58869891
2025-12-21T00:00:00Z,58664671
2025-12-20T00:00:00Z,58342333
2025-12-19T00:00:00Z,58022263
2025-12-18T00:00:00Z,57871626
2025-12-17T00:00:00Z,57736436
2025-12-16T00:00:00Z,57639928
2025-12-15T00:00:00Z,57612631
2025-12-14T00:00:00Z,57507078
2025-12-13T00:00:00Z,57438967
2025-12-12T00:00:00Z,57295253
2025-12-11T00:00:00Z,57254918
2025-12-10T00:00:00Z,57235550
2025-12-09T00:00:00Z,57225546
2025-12-08T00:00:00Z,57215814
2025-12-07T00:00:00Z,57206450
2025-12-06T00:00:00Z,57197507
2025-12-05T00:00:00Z,56908507
2025-12-04T00:00:00Z,56626763
2025-12-03T00:00:00Z,56430464
2025-12-02T00:00:00Z,56244518
2025-12-01T00:00:00Z,56043135
2025-11-30T00:00:00Z,55939249
2025-11-29T00:00:00Z,55579239
2025-11-28T00:00:00Z,55144958
2025-11-27T00:00:00Z,54930791
2025-11-26T00:00:00Z,54624176
2025-11-25T00:00:00Z,54378801
2025-11-24T00:00:00Z,54330258
2025-11-23T00:00:00Z,54312988
2025-11-22T00:00:00Z,54264975
2025-11-21T00:00:00Z,54208192
2025-11-20T00:00:00Z,54209746
2025-11-19T00:00:00Z,54205957
2025-11-18T00:00:00Z,54193812
2025-11-17T00:00:00Z,54174514
2025-11-16T00:00:00Z,54141474
2025-11-15T00:00:00Z,54024917
2025-11-14T00:00:00Z,53909953
2025-11-13T00:00:00Z,53908290
2025-11-12T00:00:00Z,53885059
2025-11-11T00:00:00Z,53844526
2025-11-10T00:00:00Z,53828147
2025-11-09T00:00:00Z,53811737
2025-11-08T00:00:00Z,53716247
2025-11-07T00:00:00Z,53674489
2025-11-06T00:00:00Z,53674505
2025-11-05T00:00:00Z,53668729
2025-11-04T00:00:00Z,53662002
2025-11-03T00:00:00Z,53655239
2025-11-02T00:00:00Z,53635295
2025-11-01T00:00:00Z,53496144
2025-10-31T00:00:00Z,53325906
2025-10-30T00:00:00Z,53292385
2025-10-29T00:00:00Z,53278599
2025-10-28T00:00:00Z,53228047
2025-10-27T00:00:00Z,53185716
2025-10-26T00:00:00Z,53153362
2025-10-25T00:00:00Z,52995940
2025-10-24T00:00:00Z,52784629
2025-10-23T00:00:00Z,52687149
2025-10-22T00:00:00Z,52583934
2025-10-21T00:00:00Z,52497670
2025-10-20T00:00:00Z,52409113
2025-10-19T00:00:00Z,52270087
2025-10-18T00:00:00Z,52144647
2025-10-17T00:00:00Z,52040321
2025-10-16T00:00:00Z,52023379
2025-10-15T00:00:00Z,52010214
2025-10-14T00:00:00Z,51969559
2025-10-13T00:00:00Z,51930562
2025-10-12T00:00:00Z,51897350
2025-10-11T00:00:00Z,51854193
2025-10-10T00:00:00Z,51869053
2025-10-09T00:00:00Z,51833229
2025-10-08T00:00:00Z,51797132
2025-10-07T00:00:00Z,51775091
2025-10-06T00:00:00Z,51731062
2025-10-05T00:00:00Z,51666234
2025-10-04T00:00:00Z,51554323
2025-10-03T00:00:00Z,51412031
2025-10-02T00:00:00Z,51396415
2025-10-01T00:00:00Z,51389077
2025-09-30T00:00:00Z,51364204
2025-09-29T00:00:00Z,51355946
2025-09-28T00:00:00Z,51345320
2025-09-27T00:00:00Z,51260988
2025-09-26T00:00:00Z,51220287
2025-09-25T00:00:00Z,51209142
2025-09-24T00:00:00Z,51202685
2025-09-23T00:00:00Z,51183969
2025-09-22T00:00:00Z,51145237
2025-09-21T00:00:00Z,51104101
2025-09-20T00:00:00Z,50995882
2025-09-19T00:00:00Z,50955896
2025-09-18T00:00:00Z,50942222
2025-09-17T00:00:00Z,50934621
2025-09-16T00:00:00Z,50914334
2025-09-15T00:00:00Z,50899460
2025-09-14T00:00:00Z,50859210
2025-09-13T00:00:00Z,50753119
2025-09-12T00:00:00Z,50717635
2025-09-11T00:00:00Z,50698297
2025-09-10T00:00:00Z,50675515
2025-09-09T00:00:00Z,50630971
2025-09-08T00:00:00Z,50604824
2025-09-07T00:00:00Z,50561961
2025-09-06T00:00:00Z,50445733
2025-09-05T00:00:00Z,50396381
2025-09-04T00:00:00Z,50378913
2025-09-03T00:00:00Z,50370259
2025-09-02T00:00:00Z,50361278
2025-09-01T00:00:00Z,50348419
2025-08-31T00:00:00Z,50337818
2025-08-30T00:00:00Z,50250844
2025-08-29T00:00:00Z,50179283
2025-08-28T00:00:00Z,50172700
2025-08-27T00:00:00Z,50167726
2025-08-26T00:00:00Z,50161046
2025-08-25T00:00:00Z,50154727
2025-08-24T00:00:00Z,50120696
2025-08-23T00:00:00Z,50053931
2025-08-22T00:00:00Z,50036396
2025-08-21T00:00:00Z,50003946
2025-08-20T00:00:00Z,49981314
2025-08-19T00:00:00Z,49955244
2025-08-18T00:00:00Z,49924083
2025-08-17T00:00:00Z,49910456
2025-08-16T00:00:00Z,49818744
2025-08-15T00:00:00Z,49741670
2025-08-14T00:00:00Z,49735801
2025-08-13T00:00:00Z,49730305
2025-08-12T00:00:00Z,49723474
2025-08-11T00:00:00Z,49713526
2025-08-10T00:00:00Z,49706574
2025-08-09T00:00:00Z,49691526
2025-08-08T00:00:00Z,49675539
2025-08-07T00:00:00Z,49654361
2025-08-06T00:00:00Z,49615881
2025-08-05T00:00:00Z,49587628
2025-08-04T00:00:00Z,49541466
2025-08-03T00:00:00Z,49465650
2025-08-02T00:00:00Z,49356761
2025-08-01T00:00:00Z,49318899
2025-07-31T00:00:00Z,49299600
2025-07-30T00:00:00Z,49284918
2025-07-29T00:00:00Z,49267304
2025-07-28T00:00:00Z,49256549
2025-07-27T00:00:00Z,49241414
2025-07-26T00:00:00Z,49155142
2025-07-25T00:00:00Z,49030623
2025-07-24T00:00:00Z,48990591
2025-07-23T00:00:00Z,48972572
2025-07-22T00:00:00Z,48953600
2025-07-21T00:00:00Z,48938142
2025-07-20T00:00:00Z,48927206
2025-07-19T00:00:00Z,48921630
2025-07-18T00:00:00Z,48916143
2025-07-17T00:00:00Z,48909884
2025-07-16T00:00:00Z,48904157
2025-07-15T00:00:00Z,48897731
2025-07-14T00:00:00Z,48892066
2025-07-13T00:00:00Z,48885794
2025-07-12T00:00:00Z,48873159
2025-07-11T00:00:00Z,48866591
2025-07-10T00:00:00Z,48861210
2025-07-09T00:00:00Z,48855540
2025-07-08T00:00:00Z,48841707
2025-07-07T00:00:00Z,48829331
2025-07-06T00:00:00Z,48797618
2025-07-05T00:00:00Z,48698174
2025-07-04T00:00:00Z,48615032
2025-07-03T00:00:00Z,48590670
2025-07-02T00:00:00Z,48581499
2025-07-01T00:00:00Z,48566818
2025-06-30T00:00:00Z,48557933
2025-06-29T00:00:00Z,48534712
2025-06-28T00:00:00Z,48444873
2025-06-27T00:00:00Z,48381102
2025-06-26T00:00:00Z,48370860
2025-06-25T00:00:00Z,48358381
2025-06-24T00:00:00Z,48351143
2025-06-23T00:00:00Z,48340749
2025-06-22T00:00:00Z,48329400
2025-06-21T00:00:00Z,48289029
2025-06-20T00:00:00Z,48232801
2025-06-19T00:00:00Z,48215530
2025-06-18T00:00:00Z,48203029
2025-06-17T00:00:00Z,48183430
2025-06-16T00:00:00Z,48164727
2025-06-15T00:00:00Z,48142176
2025-06-14T00:00:00Z,48055783
2025-06-13T00:00:00Z,47981895
2025-06-12T00:00:00Z,47975239
2025-06-11T00:00:00Z,47967886
2025-06-10T00:00:00Z,47959855
2025-06-09T00:00:00Z,47954409
2025-06-08T00:00:00Z,47939864
2025-06-07T00:00:00Z,47894987
2025-06-06T00:00:00Z,47872597
2025-06-05T00:00:00Z,47867123
2025-06-04T00:00:00Z,47861471
2025-06-03T00:00:00Z,47854879
2025-06-02T00:00:00Z,47845462
2025-06-01T00:00:00Z,47837630
2025-05-31T00:00:00Z,47831347
2025-05-30T00:00:00Z,47825941
2025-05-29T00:00:00Z,47820851
2025-05-28T00:00:00Z,47815789
2025-05-27T00:00:00Z,47810121
2025-05-26T00:00:00Z,47801358
2025-05-25T00:00:00Z,47775606
2025-05-24T00:00:00Z,47712857
2025-05-23T00:00:00Z,47682550
2025-05-22T00:00:00Z,47676781
2025-05-21T00:00:00Z,47670126
2025-05-20T00:00:00Z,47661145
2025-05-19T00:00:00Z,47651160
2025-05-18T00:00:00Z,47639360
2025-05-17T00:00:00Z,47571949
2025-05-16T00:00:00Z,47539334
2025-05-15T00:00:00Z,47531192
2025-05-14T00:00:00Z,47521446
2025-05-13T00:00:00Z,47512377
2025-05-12T00:00:00Z,47506289
2025-05-11T00:00:00Z,47497989
2025-05-10T00:00:00Z,47492516
2025-05-09T00:00:00Z,47486777
2025-05-08T00:00:00Z,47481092
2025-05-07T00:00:00Z,47473912
2025-05-06T00:00:00Z,47425103
2025-05-05T00:00:00Z,47340630
2025-05-04T00:00:00Z,47231764
2025-05-03T00:00:00Z,47065715
2025-05-02T00:00:00Z,46863692
2025-05-01T00:00:00Z,46752575
2025-04-30T00:00:00Z,46672171
2025-04-29T00:00:00Z,46591335
2025-04-28T00:00:00Z,46530109
2025-04-27T00:00:00Z,46456412
2025-04-26T00:00:00Z,46330630
2025-04-25T00:00:00Z,46271414
2025-04-24T00:00:00Z,46260404
2025-04-23T00:00:00Z,46249337
2025-04-22T00:00:00Z,46241734
2025-04-21T00:00:00Z,46181165
2025-04-20T00:00:00Z,46076394
2025-04-19T00:00:00Z,45848912
2025-04-18T00:00:00Z,45632661
2025-04-17T00:00:00Z,45501254
2025-04-16T00:00:00Z,45370745
2025-04-15T00:00:00Z,45250736
2025-04-14T00:00:00Z,45156193
2025-04-13T00:00:00Z,45066995
2025-04-12T00:00:00Z,44932373
2025-04-11T00:00:00Z,44852553
2025-04-10T00:00:00Z,44823372
2025-04-09T00:00:00Z,44797128
2025-04-08T00:00:00Z,44766479
2025-04-07T00:00:00Z,44735603
2025-04-06T00:00:00Z,44728901
2025-04-05T00:00:00Z,44623120
2025-04-04T00:00:00Z,44459217
2025-04-03T00:00:00Z,44391508
2025-04-02T00:00:00Z,44347505
2025-04-01T00:00:00Z,44321175
2025-03-31T00:00:00Z,44288991
2025-03-30T00:00:00Z,44265995
2025-03-29T00:00:00Z,44128428
2025-03-28T00:00:00Z,44045397
2025-03-27T00:00:00Z,44006216
2025-03-26T00:00:00Z,43925945
2025-03-25T00:00:00Z,43854634
2025-03-24T00:00:00Z,43792834
2025-03-23T00:00:00Z,43740824
2025-03-22T00:00:00Z,43509280
2025-03-21T00:00:00Z,43265332
2025-03-20T00:00:00Z,43081204
2025-03-19T00:00:00Z,42955503
2025-03-18T00:00:00Z,42840637
2025-03-17T00:00:00Z,42681885
2025-03-16T00:00:00Z,42528396
2025-03-15T00:00:00Z,42335504
2025-03-14T00:00:00Z,42078330
2025-03-13T00:00:00Z,41940922
2025-03-12T00:00:00Z,41816665
2025-03-11T00:00:00Z,41716218
2025-03-10T00:00:00Z,41693730
2025-03-09T00:00:00Z,41655119
2025-03-08T00:00:00Z,41528777
2025-03-07T00:00:00Z,41387113
2025-03-06T00:00:00Z,41320040
2025-03-05T00:00:00Z,41246675
2025-03-04T00:00:00Z,41148141
2025-03-03T00:00:00Z,41119922
2025-03-02T00:00:00Z,41067417
2025-03-01T00:00:00Z,40907786
2025-02-28T00:00:00Z,40820775
2025-02-27T00:00:00Z,40798696
2025-02-26T00:00:00Z,40729342
2025-02-25T00:00:00Z,40637520
2025-02-24T00:00:00Z,40617414
2025-02-23T00:00:00Z,40533676
2025-02-22T00:00:00Z,40383179
2025-02-21T00:00:00Z,40235287
2025-02-20T00:00:00Z,40164030
2025-02-19T00:00:00Z,40076849
2025-02-18T00:00:00Z,39981080
2025-02-17T00:00:00Z,39933693
2025-02-16T00:00:00Z,39860591
2025-02-15T00:00:00Z,39703586
2025-02-14T00:00:00Z,39540114
2025-02-13T00:00:00Z,39476899
2025-02-12T00:00:00Z,39416288
2025-02-11T00:00:00Z,39342854
2025-02-10T00:00:00Z,39300371
2025-02-09T00:00:00Z,39232887
2025-02-08T00:00:00Z,39111464
2025-02-07T00:00:00Z,38984093
2025-02-06T00:00:00Z,38936852
2025-02-05T00:00:00Z,38881503
2025-02-04T00:00:00Z,38807711
2025-02-03T00:00:00Z,38793666
2025-02-02T00:00:00Z,38789337
2025-02-01T00:00:00Z,38767630
2025-01-31T00:00:00Z,38737153
2025-01-30T00:00:00Z,38716794
2025-01-29T00:00:00Z,38706561
2025-01-28T00:00:00Z,38695726
2025-01-27T00:00:00Z,38686987
2025-01-26T00:00:00Z,38683147
2025-01-25T00:00:00Z,38682800
2025-01-24T00:00:00Z,38680855
2025-01-23T00:00:00Z,38676080
2025-01-22T00:00:00Z,38672230
