date,Exchange to Miner Flow (Total)
2012-12-18,0.0
2012-12-19,0.0
2012-12-20,0.0
2012-12-21,0.0
2012-12-22,0.0
2012-12-23,0.0
2012-12-24,0.0
2012-12-25,0.0
2012-12-26,0.0
2012-12-27,0.0
2012-12-28,0.0
2012-12-29,0.0
2012-12-30,0.0
2012-12-31,0.0
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.001
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,0.0005
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-18,0.03
2013-01-19,0.0
2013-01-20,0.25
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-26,0.0
2013-01-27,0.01
2013-01-28,0.05
2013-01-29,0.1
2013-01-30,0.5
2013-01-31,0.0
2013-02-01,0.43
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.0
2013-02-07,0.0
2013-02-08,0.0
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.00726
2013-02-15,0.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,0.01
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-23,0.0
2013-02-24,0.001
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.001
2013-03-05,8e-05
2013-03-06,0.02
2013-03-07,0.0191569
2013-03-08,0.20108915
2013-03-09,0.05005535
2013-03-10,0.04453291
2013-03-11,0.01
2013-03-12,0.01
2013-03-13,0.04
2013-03-14,0.02
2013-03-15,0.0
2013-03-16,0.04
2013-03-17,0.145
2013-03-18,0.0733
2013-03-19,0.0215226
2013-03-20,0.05
2013-03-21,0.0
2013-03-22,0.1046
2013-03-23,0.8217
2013-03-24,0.023
2013-03-25,0.0
2013-03-26,0.03
2013-03-27,0.026
2013-03-28,0.106
2013-03-29,0.142
2013-03-30,0.0122
2013-03-31,0.04897169
2013-04-01,0.0175504
2013-04-02,0.117555
2013-04-03,0.0113202
2013-04-04,0.0205628
2013-04-05,0.0353426
2013-04-06,0.05
2013-04-07,0.0607
2013-04-08,0.1935
2013-04-09,0.0004
2013-04-10,0.12743946
2013-04-11,0.05
2013-04-12,0.01
2013-04-13,0.00269
2013-04-14,0.0
2013-04-15,0.03
2013-04-16,0.0
2013-04-17,0.04752916
2013-04-18,2.08800324
2013-04-19,0.3597364
2013-04-20,0.04996225
2013-04-21,0.10664714
2013-04-22,0.0
2013-04-23,0.0530622
2013-04-24,0.0
2013-04-25,0.0366563
2013-04-26,0.0257013
2013-04-27,0.03022663
2013-04-28,0.0763867
2013-04-29,0.0201933
2013-04-30,0.2202667
2013-05-01,0.0401
2013-05-02,0.44679497
2013-05-03,0.1224832
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,0.2783112
2013-05-07,0.076294
2013-05-08,0.0164196
2013-05-09,0.1099
2013-05-10,0.4843906
2013-05-11,1.0
2013-05-12,0.05896024
2013-05-13,0.02650416
2013-05-14,0.252
2013-05-15,0.01415664
2013-05-16,0.0
2013-05-17,0.86630078
2013-05-18,0.09170081
2013-05-19,0.03413232
2013-05-20,0.0306504
2013-05-21,0.201
2013-05-22,0.16955312
2013-05-23,1.2601636
2013-05-24,0.08755414
2013-05-25,0.0
2013-05-26,0.6509
2013-05-27,0.10331291
2013-05-28,0.10823039
2013-05-29,0.01832193
2013-05-30,0.01309221
2013-05-31,1.02746001
2013-06-01,0.0
2013-06-02,0.1
2013-06-03,0.06016691
2013-06-04,0.09685107
2013-06-05,0.0
2013-06-06,0.0199812
2013-06-07,0.06330055
2013-06-08,0.03
2013-06-09,0.06
2013-06-10,0.1
2013-06-11,0.1856773
2013-06-12,0.51
2013-06-13,0.0
2013-06-14,1.092
2013-06-15,0.0
2013-06-16,0.02
2013-06-17,0.005
2013-06-18,0.03
2013-06-19,0.115
2013-06-20,0.1
2013-06-21,0.3615248
2013-06-22,0.35
2013-06-23,0.015
2013-06-24,0.2758
2013-06-25,0.3
2013-06-26,0.85
2013-06-27,1.855
2013-06-28,0.01
2013-06-29,0.0
2013-06-30,1.89
2013-07-01,0.0
2013-07-02,0.40013999
2013-07-03,8.0
2013-07-04,0.1615
2013-07-05,0.04
2013-07-06,0.12
2013-07-07,0.01568627
2013-07-08,0.0
2013-07-09,0.606
2013-07-10,0.15
2013-07-11,0.03
2013-07-12,1.0511992
2013-07-13,0.318
2013-07-14,1.2499
2013-07-15,2.199749
2013-07-16,0.365
2013-07-17,2.981
2013-07-18,0.709
2013-07-19,0.14
2013-07-20,0.208
2013-07-21,0.04331637
2013-07-22,5.0914
2013-07-23,0.48288871
2013-07-24,3.511
2013-07-25,1.14
2013-07-26,0.40443
2013-07-27,5.02646476
2013-07-28,0.15607604
2013-07-29,0.02
2013-07-30,0.2124
2013-07-31,2.087897
2013-08-01,0.005
2013-08-02,0.0
2013-08-03,0.25
2013-08-04,0.0
2013-08-05,0.0
2013-08-06,9.02
2013-08-07,0.00201716
2013-08-08,1.01
2013-08-09,0.25605
2013-08-10,1.78
2013-08-11,0.101
2013-08-12,0.04720974
2013-08-13,0.005
2013-08-14,0.23
2013-08-15,0.2200543
2013-08-16,1.4300483
2013-08-17,0.00919799
2013-08-18,0.002
2013-08-19,0.0
2013-08-20,0.044
2013-08-21,0.0
2013-08-22,0.9955523
2013-08-23,15.93632735
2013-08-24,0.1869
2013-08-25,0.0016
2013-08-26,0.0363
2013-08-27,0.0025
2013-08-28,0.04
2013-08-29,3.96312368
2013-08-30,0.658
2013-08-31,2.162875
2013-09-01,0.740421
2013-09-02,0.013
2013-09-03,1.9803
2013-09-04,0.025
2013-09-05,0.81
2013-09-06,0.74425437
2013-09-07,0.061
2013-09-08,1.6
2013-09-09,0.00311872
2013-09-10,0.38471256
2013-09-11,1.413883
2013-09-12,8.034
2013-09-13,0.0756
2013-09-14,0.0
2013-09-15,0.01
2013-09-16,1.96714189
2013-09-17,2.575
2013-09-18,0.00258214
2013-09-19,0.22036192
2013-09-20,3.004948
2013-09-21,0.00292496
2013-09-22,0.617
2013-09-23,1.74459
2013-09-24,0.7036
2013-09-25,0.02
2013-09-26,2.504
2013-09-27,1.16515
2013-09-28,1.55838021
2013-09-29,0.568929
2013-09-30,11.1098384
2013-10-01,0.31
2013-10-02,5.119662
2013-10-03,0.5577
2013-10-04,1.8011083
2013-10-05,2.75001
2013-10-06,0.0
2013-10-07,1.0
2013-10-08,0.05013135
2013-10-09,1.105
2013-10-10,0.4221
2013-10-11,4.62224902
2013-10-12,1.55
2013-10-13,0.00359
2013-10-14,0.0
2013-10-15,0.08
2013-10-16,5.124041
2013-10-17,4.68072
2013-10-18,0.13481196
2013-10-19,1.211213
2013-10-20,1.795
2013-10-21,0.01459454
2013-10-22,50.515981
2013-10-23,1.4329
2013-10-24,12.8108
2013-10-25,1.348005
2013-10-26,0.59845
2013-10-27,0.0576618
2013-10-28,0.002
2013-10-29,1.025152
2013-10-30,1.83950044
2013-10-31,0.0261
2013-11-01,0.256912
2013-11-02,3.955
2013-11-03,0.2230285
2013-11-04,0.90181523
2013-11-05,3.24388425
2013-11-06,1.564
2013-11-07,1.53636848
2013-11-08,1.562147
2013-11-09,0.3268857
2013-11-10,2.72118719
2013-11-11,0.7371358
2013-11-12,90.54790553
2013-11-13,1.141936
2013-11-14,0.1386137
2013-11-15,0.719437
2013-11-16,0.6769
2013-11-17,0.4819
2013-11-18,13.16745
2013-11-19,5.51196
2013-11-20,16.62117235
2013-11-21,0.48608371
2013-11-22,0.28653182
2013-11-23,1.9496
2013-11-24,0.16271609
2013-11-25,3.34477511
2013-11-26,6.274172
2013-11-27,9.41163783
2013-11-28,11.1011975
2013-11-29,16.7212631
2013-11-30,8.666378
2013-12-01,6.50245823
2013-12-02,32.28268159
2013-12-03,6.99237814
2013-12-04,7.04861903
2013-12-05,10.99404795
2013-12-06,7.46826004
2013-12-07,11.4563
2013-12-08,16.74125341
2013-12-09,12.87384783
2013-12-10,11.57676835
2013-12-11,20.370049
2013-12-12,4.94407302
2013-12-13,17.07121735
2013-12-14,6.8683736
2013-12-15,5.02967989
2013-12-16,28.21644424
2013-12-17,4.96192322
2013-12-18,30.48816822
2013-12-19,23.87270748
2013-12-20,19.03766653
2013-12-21,6.33469
2013-12-22,0.66563
2013-12-23,2.39756086
2013-12-24,6.56181497
2013-12-25,3.77115
2013-12-26,15.73917546
2013-12-27,14.30276735
2013-12-28,5.32070353
2013-12-29,9.446107
2013-12-30,9.62328008
2013-12-31,4.30585565
2014-01-01,13.109207
2014-01-02,5.46172826
2014-01-03,11.19907241
2014-01-04,20.771871
2014-01-05,10.10512072
2014-01-06,30.60187058
2014-01-07,9.210704
2014-01-08,4.93533127
2014-01-09,21.34217656
2014-01-10,19.87669434
2014-01-11,5.79093936
2014-01-12,4.79946
2014-01-13,18.19569675
2014-01-14,3.6584865
2014-01-15,4.24057381
2014-01-16,27.45868419
2014-01-17,15.90539
2014-01-18,12.1823
2014-01-19,11.30815346
2014-01-20,29.12953087
2014-01-21,34.62059983
2014-01-22,29.05805344
2014-01-23,14.01404071
2014-01-24,8.89145675
2014-01-25,7.17945419
2014-01-26,20.67294006
2014-01-27,66.1734415
2014-01-28,22.22546694
2014-01-29,20.84426101
2014-01-30,16.51907715
2014-01-31,14.80263327
2014-02-01,18.57196731
2014-02-02,36.19438818
2014-02-03,34.67574569
2014-02-04,22.15799363
2014-02-05,43.80721597
2014-02-06,13.39548602
2014-02-07,36.57116019
2014-02-08,6.82202229
2014-02-09,34.78840578
2014-02-10,44.37713393
2014-02-11,36.85121195
2014-02-12,41.33027542
2014-02-13,29.30880612
2014-02-14,47.3102671
2014-02-15,46.08005555
2014-02-16,168.95415936
2014-02-17,89.81693568
2014-02-18,64.51851
2014-02-19,63.11048966
2014-02-20,100.99740992
2014-02-21,60.19356973
2014-02-22,35.04391505
2014-02-23,65.8576038
2014-02-24,48.27211604
2014-02-25,66.48172861
2014-02-26,105.02990898
2014-02-27,64.07235829
2014-02-28,54.08970505
2014-03-01,42.56505219
2014-03-02,52.05596416
2014-03-03,100.79162923
2014-03-04,140.51031793
2014-03-05,32.12946458
2014-03-06,50.98927361
2014-03-07,40.86870423
2014-03-08,78.41953517
2014-03-09,43.89617176
2014-03-10,46.65687011
2014-03-11,58.15502697
2014-03-12,58.12934325
2014-03-13,170.88532107
2014-03-14,22.6658251
2014-03-15,26.14153559
2014-03-16,33.70133003
2014-03-17,44.23231858
2014-03-18,46.10839896
2014-03-19,62.26716787
2014-03-20,34.29605498
2014-03-21,59.43433705
2014-03-22,33.31048511
2014-03-23,57.48499538
2014-03-24,47.57402653
2014-03-25,43.35474279
2014-03-26,42.89121455
2014-03-27,83.40206122
2014-03-28,52.40790731
2014-03-29,45.70631919
2014-03-30,48.33925837
2014-03-31,78.06869356
2014-04-01,163.12651717
2014-04-02,250.40047718
2014-04-03,169.8618809
2014-04-04,123.22150358
2014-04-05,44.6071029
2014-04-06,45.41607689
2014-04-07,34.09834058
2014-04-08,64.2212363
2014-04-09,101.77469017
2014-04-10,145.05892414
2014-04-11,146.24501816
2014-04-12,60.83257435
2014-04-13,36.94360419
2014-04-14,110.11583788
2014-04-15,113.52975533
2014-04-16,163.95374139
2014-04-17,140.69641336
2014-04-18,35.36455177
2014-04-19,43.47023912
2014-04-20,35.04739588
2014-04-21,46.91518182
2014-04-22,92.25422801
2014-04-23,99.41605745
2014-04-24,71.76661179
2014-04-25,97.99050972
2014-04-26,50.17038114
2014-04-27,78.91794452
2014-04-28,105.1337175
2014-04-29,89.44909714
2014-04-30,28.17711143
2014-05-01,20.94934028
2014-05-02,19.26571496
2014-05-03,42.75076433
2014-05-04,21.56350495
2014-05-05,58.09286452
2014-05-06,89.33654201
2014-05-07,46.08677827
2014-05-08,20.12430189
2014-05-09,22.61508461
2014-05-10,21.69613581
2014-05-11,59.69075295
2014-05-12,73.89285599
2014-05-13,36.40080003
2014-05-14,42.0220321
2014-05-15,50.50220588
2014-05-16,55.5523084
2014-05-17,30.1112526
2014-05-18,56.8049173
2014-05-19,69.23534043
2014-05-20,132.14891587
2014-05-21,63.43442079
2014-05-22,193.14553684
2014-05-23,150.36137277
2014-05-24,112.07513994
2014-05-25,154.45646233
2014-05-26,162.32770901
2014-05-27,175.54451825
2014-05-28,86.20879624
2014-05-29,114.50238528
2014-05-30,178.82663625
2014-05-31,69.17323491
2014-06-01,154.20092943
2014-06-02,62.75521942
2014-06-03,76.75166743
2014-06-04,149.50494315
2014-06-05,95.40328078
2014-06-06,117.69214689
2014-06-07,70.49461971
2014-06-08,56.65176915
2014-06-09,118.04808754
2014-06-10,101.86622453
2014-06-11,87.10278719
2014-06-12,97.04445863
2014-06-13,107.68119832
2014-06-14,76.55818162
2014-06-15,61.42911303
2014-06-16,133.17314522
2014-06-17,111.07211796
2014-06-18,99.14200424
2014-06-19,72.04919071
2014-06-20,107.40154936
2014-06-21,125.28289913
2014-06-22,76.33371051
2014-06-23,73.67187936
2014-06-24,107.40938053
2014-06-25,79.01069268
2014-06-26,56.9927098
2014-06-27,46.01910328
2014-06-28,39.2191611
2014-06-29,31.2762582
2014-06-30,57.10994159
2014-07-01,78.36169372
2014-07-02,70.9882704
2014-07-03,79.94605158
2014-07-04,81.73521509
2014-07-05,37.37270127
2014-07-06,49.44550481
2014-07-07,60.98557285
2014-07-08,53.89550345
2014-07-09,65.67666068
2014-07-10,133.33037138
2014-07-11,71.53417152
2014-07-12,67.7796399
2014-07-13,55.75993106
2014-07-14,88.78455137
2014-07-15,75.64957535
2014-07-16,75.46545794
2014-07-17,131.12665608
2014-07-18,45.41059391
2014-07-19,45.37646315
2014-07-20,49.84897877
2014-07-21,39.1396289
2014-07-22,90.45497161
2014-07-23,42.51986044
2014-07-24,88.90921908
2014-07-25,54.43020652
2014-07-26,27.50724528
2014-07-27,51.93280515
2014-07-28,88.83245311
2014-07-29,100.88916086
2014-07-30,132.38835096
2014-07-31,47.40173475
2014-08-01,145.95575071
2014-08-02,80.91456468
2014-08-03,33.07503018
2014-08-04,68.78824363
2014-08-05,58.26323629
2014-08-06,109.00744551
2014-08-07,58.99352881
2014-08-08,34.5759676
2014-08-09,45.76164768
2014-08-10,67.21473084
2014-08-11,62.21975732
2014-08-12,84.03593684
2014-08-13,119.07350964
2014-08-14,118.42486721
2014-08-15,105.9760251
2014-08-16,46.30325897
2014-08-17,48.62687903
2014-08-18,162.08967356
2014-08-19,205.74504495
2014-08-20,105.51924872
2014-08-21,102.11677021
2014-08-22,41.76891568
2014-08-23,33.21116371
2014-08-24,40.30315831
2014-08-25,64.71010013
2014-08-26,101.11840749
2014-08-27,101.04979576
2014-08-28,110.50940892
2014-08-29,72.21408798
2014-08-30,72.00708041
2014-08-31,56.98150604
2014-09-01,53.28045036
2014-09-02,112.21878284
2014-09-03,110.0733047
2014-09-04,102.68401862
2014-09-05,50.83605461
2014-09-06,69.59027016
2014-09-07,47.48104452
2014-09-08,101.05510061
2014-09-09,91.26494254
2014-09-10,104.25002603
2014-09-11,169.48849569
2014-09-12,118.15610004
2014-09-13,112.20653487
2014-09-14,119.13196845
2014-09-15,299.55532847
2014-09-16,446.00877942
2014-09-17,554.04901608
2014-09-18,713.04729027
2014-09-19,232.79810741
2014-09-20,74.1264062
2014-09-21,70.43688224
2014-09-22,310.41160448
2014-09-23,277.59288504
2014-09-24,234.88547242
2014-09-25,211.80530401
2014-09-26,132.49751188
2014-09-27,83.09368005
2014-09-28,144.72629714
2014-09-29,312.58123319
2014-09-30,156.57861084
2014-10-01,173.850383
2014-10-02,297.52172981
2014-10-03,478.71339037
2014-10-04,450.82884359
2014-10-05,125.86077822
2014-10-06,325.69916319
2014-10-07,165.18911171
2014-10-08,215.5935871
2014-10-09,241.31607
2014-10-10,264.33875399
2014-10-11,162.53010604
2014-10-12,92.22077998
2014-10-13,207.92107713
2014-10-14,290.03690943
2014-10-15,278.43563581
2014-10-16,354.10133279
2014-10-17,350.17557413
2014-10-18,73.8103428
2014-10-19,123.50774884
2014-10-20,232.88883029
2014-10-21,225.8831785
2014-10-22,216.74792722
2014-10-23,231.37868369
2014-10-24,177.6495713
2014-10-25,355.51631789
2014-10-26,61.20704297
2014-10-27,305.24466709
2014-10-28,241.30985588
2014-10-29,207.94492966
2014-10-30,310.88335514
2014-10-31,157.3619852
2014-11-01,77.30467941
2014-11-02,81.34704487
2014-11-03,462.66295964
2014-11-04,248.72771775
2014-11-05,175.71031871
2014-11-06,131.01764089
2014-11-07,177.38781745
2014-11-08,178.29050247
2014-11-09,99.74782974
2014-11-10,257.48145783
2014-11-11,82.96793679
2014-11-12,293.27672335
2014-11-13,154.99239165
2014-11-14,233.11878686
2014-11-15,113.8257838
2014-11-16,54.91504274
2014-11-17,163.00816108
2014-11-18,187.88096674
2014-11-19,215.35727563
2014-11-20,663.09609135
2014-11-21,270.61086491
2014-11-22,163.58304244
2014-11-23,92.6837738
2014-11-24,192.20840779
2014-11-25,404.56119229
2014-11-26,282.41855106
2014-11-27,176.00862707
2014-11-28,133.48739834
2014-11-29,242.55429796
2014-11-30,165.64345271
2014-12-01,217.25537534
2014-12-02,165.6226078
2014-12-03,154.27224443
2014-12-04,169.04055023
2014-12-05,182.67518762
2014-12-06,162.10727662
2014-12-07,40.20188285
2014-12-08,202.03265129
2014-12-09,245.22855599
2014-12-10,253.45898319
2014-12-11,299.08208927
2014-12-12,118.88086331
2014-12-13,150.05607379
2014-12-14,142.91795063
2014-12-15,287.01096257
2014-12-16,263.55547012
2014-12-17,303.61333297
2014-12-18,377.77953386
2014-12-19,644.82451529
2014-12-20,256.19998429
2014-12-21,193.04570894
2014-12-22,692.68183286
2014-12-23,280.83873143
2014-12-24,280.20541408
2014-12-25,152.68019386
2014-12-26,312.81567394
2014-12-27,99.96069976
2014-12-28,206.93696674
2014-12-29,382.07313673
2014-12-30,338.15963303
2014-12-31,330.5064411
2015-01-01,83.27845257
2015-01-02,337.88984715
2015-01-03,400.94321939
2015-01-04,231.26616612
2015-01-05,362.65615581
2015-01-06,417.85035614
2015-01-07,366.02006162
2015-01-08,383.25809038
2015-01-09,451.27151838
2015-01-10,1353.76473108
2015-01-11,168.71440728
2015-01-12,503.99788828
2015-01-13,846.69730738
2015-01-14,1984.02411421
2015-01-15,1382.53117151
2015-01-16,1140.49264829
2015-01-17,815.33800553
2015-01-18,261.75416255
2015-01-19,900.81419826
2015-01-20,969.74796144
2015-01-21,977.71469834
2015-01-22,837.45997771
2015-01-23,668.95030967
2015-01-24,423.31504463
2015-01-25,593.63584111
2015-01-26,880.60465512
2015-01-27,821.82796469
2015-01-28,816.65181425
2015-01-29,706.91660397
2015-01-30,678.01972387
2015-01-31,576.52438019
2015-02-01,456.98421144
2015-02-02,954.64628145
2015-02-03,1313.26877649
2015-02-04,718.7796752
2015-02-05,859.45254037
2015-02-06,1077.41168494
2015-02-07,446.81692763
2015-02-08,584.23746257
2015-02-09,877.94375002
2015-02-10,769.80770917
2015-02-11,1237.14757192
2015-02-12,774.12477187
2015-02-13,494.28304626
2015-02-14,267.3083578
2015-02-15,579.59449028
2015-02-16,302.15207764
2015-02-17,728.81192868
2015-02-18,637.65628162
2015-02-19,566.57818803
2015-02-20,394.26737471
2015-02-21,289.57187271
2015-02-22,139.59683294
2015-02-23,558.63068435
2015-02-24,991.79336155
2015-02-25,446.12997264
2015-02-26,825.04987414
2015-02-27,929.75407434
2015-02-28,378.17733698
2015-03-01,253.12750786
2015-03-02,484.04419338
2015-03-03,676.94005327
2015-03-04,715.06365599
2015-03-05,714.08225275
2015-03-06,693.67246299
2015-03-07,390.6404738
2015-03-08,270.94788399
2015-03-09,518.98101762
2015-03-10,1153.69621462
2015-03-11,584.75460121
2015-03-12,861.54159984
2015-03-13,1030.51411265
2015-03-14,397.51286979
2015-03-15,216.27672074
2015-03-16,700.1353707
2015-03-17,760.8403542
2015-03-18,882.00261602
2015-03-19,889.42268407
2015-03-20,754.5061488
2015-03-21,689.24022225
2015-03-22,337.61934835
2015-03-23,953.3033808
2015-03-24,922.82721392
2015-03-25,910.42541782
2015-03-26,959.06451712
2015-03-27,542.57653726
2015-03-28,431.53331906
2015-03-29,649.16207063
2015-03-30,1185.17018828
2015-03-31,604.63332339
2015-04-01,1529.63557725
2015-04-02,844.21671529
2015-04-03,1112.87927326
2015-04-04,394.99460586
2015-04-05,185.06797538
2015-04-06,1070.82238006
2015-04-07,817.28739186
2015-04-08,1431.54833412
2015-04-09,965.63419472
2015-04-10,1828.70037595
2015-04-11,280.86577924
2015-04-12,225.69163323
2015-04-13,1074.76850767
2015-04-14,913.92405906
2015-04-15,731.99537552
2015-04-16,891.94944252
2015-04-17,454.58294969
2015-04-18,431.39780178
2015-04-19,248.2080926
2015-04-20,756.0067628
2015-04-21,651.09790714
2015-04-22,724.04191978
2015-04-23,493.33435306
2015-04-24,868.97568703
2015-04-25,700.39734584
2015-04-26,446.19894106
2015-04-27,1009.11871512
2015-04-28,1084.24464534
2015-04-29,1108.54799688
2015-04-30,947.79810909
2015-05-01,634.36601717
2015-05-02,321.22870889
2015-05-03,332.81794692
2015-05-04,1176.90144826
2015-05-05,1221.04084662
2015-05-06,1032.46415083
2015-05-07,1043.95568242
2015-05-08,740.46335172
2015-05-09,474.96647612
2015-05-10,179.2678902
2015-05-11,809.36667585
2015-05-12,862.28450535
2015-05-13,1213.67940658
2015-05-14,1018.78656315
2015-05-15,1032.36692225
2015-05-16,557.61143121
2015-05-17,608.63838743
2015-05-18,1344.55760443
2015-05-19,1133.45254922
2015-05-20,839.96826344
2015-05-21,935.53449683
2015-05-22,1034.11921779
2015-05-23,454.44976237
2015-05-24,369.18392476
2015-05-25,756.23420831
2015-05-26,1079.72707253
2015-05-27,892.25263201
2015-05-28,1076.8204878
2015-05-29,671.53285685
2015-05-30,653.21369485
2015-05-31,466.88807358
2015-06-01,738.00208295
2015-06-02,1572.64743153
2015-06-03,1711.74858234
2015-06-04,1086.39715645
2015-06-05,1001.80560411
2015-06-06,880.90811128
2015-06-07,582.50922069
2015-06-08,1355.86589421
2015-06-09,1128.17469815
2015-06-10,1150.64067565
2015-06-11,1058.25301121
2015-06-12,1137.8073426
2015-06-13,405.00965979
2015-06-14,281.43982891
2015-06-15,1019.6265086
2015-06-16,744.28242729
2015-06-17,1125.70130538
2015-06-18,1409.16694041
2015-06-19,898.17453246
2015-06-20,667.50965471
2015-06-21,101.31920886
2015-06-22,602.18664213
2015-06-23,834.08911607
2015-06-24,624.51524067
2015-06-25,971.38070895
2015-06-26,652.84921948
2015-06-27,399.53506665
2015-06-28,380.96360009
2015-06-29,1026.31938134
2015-06-30,1168.04988451
2015-07-01,722.95218114
2015-07-02,740.70386221
2015-07-03,1085.58332847
2015-07-04,211.70062712
2015-07-05,636.45335837
2015-07-06,779.05063929
2015-07-07,1109.17500803
2015-07-08,796.41711941
2015-07-09,980.47924146
2015-07-10,1302.4506742
2015-07-11,1081.27491246
2015-07-12,269.71041942
2015-07-13,1002.68548043
2015-07-14,536.55951922
2015-07-15,638.66737546
2015-07-16,773.16429207
2015-07-17,499.01752998
2015-07-18,577.22022527
2015-07-19,398.58325581
2015-07-20,771.20820276
2015-07-21,488.53840349
2015-07-22,705.84683827
2015-07-23,465.78810649
2015-07-24,466.51187227
2015-07-25,764.02249289
2015-07-26,209.80327751
2015-07-27,631.43888434
2015-07-28,465.48187983
2015-07-29,883.2737717
2015-07-30,618.60911127
2015-07-31,504.73034601
2015-08-01,287.47625941
2015-08-02,303.20520809
2015-08-03,744.47050594
2015-08-04,806.62836737
2015-08-05,947.0540052
2015-08-06,1016.93986133
2015-08-07,972.4486316
2015-08-08,992.79729187
2015-08-09,446.15191554
2015-08-10,933.46464782
2015-08-11,873.55968904
2015-08-12,755.70555272
