date,Miner to Exchange Flow (Total)
2013-01-09,1.50843082
2013-01-10,0.00149998
2013-01-11,0.0
2013-01-12,0.00249995
2013-01-13,0.00084999
2013-01-14,0.0006
2013-01-15,0.00104999
2013-01-16,0.00254998
2013-01-17,0.00139999
2013-01-18,0.00139998
2013-01-19,0.00129998
2013-01-20,0.00089998
2013-01-21,0.00109999
2013-01-22,0.00099999
2013-01-23,0.00139999
2013-01-24,0.00119999
2013-01-25,1.01107795
2013-01-26,0.00089999
2013-01-27,0.00104998
2013-01-28,0.10079998
2013-01-29,0.00125
2013-01-30,0.00164999
2013-01-31,0.00254996
2013-02-01,0.20144999
2013-02-02,1.01279214
2013-02-03,0.24439998
2013-02-04,0.00125
2013-02-05,0.00149997
2013-02-06,0.00125
2013-02-07,0.0013
2013-02-08,0.54683848
2013-02-09,0.10174031
2013-02-10,0.0017666
2013-02-11,0.10533053
2013-02-12,0.0034457
2013-02-13,0.00342223
2013-02-14,100.10462145
2013-02-15,0.00326485
2013-02-16,0.00055
2013-02-17,0.00451153
2013-02-18,0.10509847
2013-02-19,0.1008082
2013-02-20,0.00213517
2013-02-21,0.10282886
2013-02-22,0.12253848
2013-02-23,0.0008
2013-02-24,0.10672145
2013-02-25,0.26002916
2013-02-26,0.00219999
2013-02-27,0.0613792
2013-02-28,0.05784426
2013-03-01,0.00210249
2013-03-02,0.00148
2013-03-03,0.15585197
2013-03-04,199.01496657
2013-03-05,0.15323436
2013-03-06,0.10112371
2013-03-07,0.15025271
2013-03-08,0.00991793
2013-03-09,0.00061
2013-03-10,0.15235808
2013-03-11,10.0209673
2013-03-12,0.58074
2013-03-13,0.08888401
2013-03-14,0.15777822
2013-03-15,0.00802074
2013-03-16,0.02984162
2013-03-17,0.15744736
2013-03-18,0.00598647
2013-03-19,0.00676417
2013-03-20,0.20314019
2013-03-21,0.19927551
2013-03-22,0.21033814
2013-03-23,0.07742337
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,0.26170088
2013-03-27,0.50560498
2013-03-28,3.24018412
2013-03-29,5.84038212
2013-03-30,0.15555454
2013-03-31,0.01480645
2013-04-01,0.14049816
2013-04-02,0.0477824
2013-04-03,54.96590654
2013-04-04,0.11829117
2013-04-05,0.0116064
2013-04-06,0.31921144
2013-04-07,0.88814192
2013-04-08,10.45832824
2013-04-09,1.37351547
2013-04-10,2.66536201
2013-04-11,1.0297231
2013-04-12,0.73751757
2013-04-13,0.77849309
2013-04-14,0.29201364
2013-04-15,0.50712617
2013-04-16,8.41719317
2013-04-17,44.93330466
2013-04-18,0.10631923
2013-04-19,2.05137686
2013-04-20,0.20384587
2013-04-21,0.61940487
2013-04-22,1.02658601
2013-04-23,2.507446
2013-04-24,13.63025472
2013-04-25,0.00832111
2013-04-26,0.15559559
2013-04-27,20.70428772
2013-04-28,0.12278162
2013-04-29,0.26835432
2013-04-30,1.63899385
2013-05-01,5.79912757
2013-05-02,2.40309418
2013-05-03,4.15606248
2013-05-04,1.64274301
2013-05-05,1.29958017
2013-05-06,0.60341064
2013-05-07,0.40829249
2013-05-08,0.84442444
2013-05-09,53.33123764
2013-05-10,0.56451664
2013-05-11,2.91951849
2013-05-12,0.18213507
2013-05-13,2.1117694
2013-05-14,0.29030267
2013-05-15,91.58971949
2013-05-16,46.06877595
2013-05-17,152.62800751
2013-05-18,0.16398154
2013-05-19,5.18713458
2013-05-20,4.95450116
2013-05-21,0.7560679
2013-05-22,20.16530274
2013-05-23,1.52300832
2013-05-24,21.16843908
2013-05-25,1.27140633
2013-05-26,1.05706577
2013-05-27,1.42286304
2013-05-28,11.75423238
2013-05-29,0.49259461
2013-05-30,0.59635421
2013-05-31,1.55780753
2013-06-01,0.1958713
2013-06-02,1.63103711
2013-06-03,1.18039855
2013-06-04,1.95646995
2013-06-05,20.90361082
2013-06-06,7.13984534
2013-06-07,1.60623292
2013-06-08,0.86592629
2013-06-09,4.36518821
2013-06-10,5.41947822
2013-06-11,2.08767659
2013-06-12,26.37106258
2013-06-13,1663.01935342
2013-06-14,3.50953179
2013-06-15,718.62929839
2013-06-16,1.14757529
2013-06-17,0.60828613
2013-06-18,104.51090543
2013-06-19,2.77445202
2013-06-20,0.85828765
2013-06-21,6104.45422191
2013-06-22,0.53406613
2013-06-23,0.83566189
2013-06-24,7.36055421
2013-06-25,101.37243154
2013-06-26,7.88016975
2013-06-27,8.07701499
2013-06-28,0.0612703
2013-06-29,0.87101246
2013-06-30,3.90132713
2013-07-01,0.47212096
2013-07-02,4.23290251
2013-07-03,2.23078262
2013-07-04,2.97435132
2013-07-05,2.34174753
2013-07-06,1.48986666
2013-07-07,0.84637757
2013-07-08,1.40406227
2013-07-09,9.2843585
