date,Exchange to Miner Transactions
2012-07-11,1
2012-07-12,0
2012-07-13,0
2012-07-14,0
2012-07-15,0
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,0
2012-07-22,0
2012-07-23,0
2012-07-24,0
2012-07-25,0
2012-07-26,0
2012-07-27,0
2012-07-28,0
2012-07-29,0
2012-07-30,1
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,1
2012-08-04,0
2012-08-05,1
2012-08-06,0
2012-08-07,0
2012-08-08,0
2012-08-09,0
2012-08-10,0
2012-08-11,0
2012-08-12,0
2012-08-13,0
2012-08-14,0
2012-08-15,0
2012-08-16,1
2012-08-17,1
2012-08-18,2
2012-08-19,2
2012-08-20,1
2012-08-21,0
2012-08-22,1
2012-08-23,0
2012-08-24,0
2012-08-25,1
2012-08-26,0
2012-08-27,0
2012-08-28,1
2012-08-29,1
2012-08-30,0
2012-08-31,1
2012-09-01,1
2012-09-02,1
2012-09-03,2
2012-09-04,0
2012-09-05,0
2012-09-06,1
2012-09-07,0
2012-09-08,1
2012-09-09,1
2012-09-10,0
2012-09-11,0
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,1
2012-09-16,1
2012-09-17,0
2012-09-18,0
2012-09-19,1
2012-09-20,0
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,1
2012-10-01,0
2012-10-02,0
2012-10-03,0
2012-10-04,1
2012-10-05,0
2012-10-06,0
2012-10-07,0
2012-10-08,0
2012-10-09,0
2012-10-10,0
2012-10-11,0
2012-10-12,0
2012-10-13,0
2012-10-14,0
2012-10-15,0
2012-10-16,0
2012-10-17,1
2012-10-18,1
2012-10-19,0
2012-10-20,0
2012-10-21,0
2012-10-22,0
2012-10-23,0
2012-10-24,0
2012-10-25,0
2012-10-26,0
2012-10-27,0
2012-10-28,0
2012-10-29,0
2012-10-30,0
2012-10-31,0
2012-11-01,1
2012-11-02,0
2012-11-03,0
2012-11-04,0
2012-11-05,0
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-10,0
2012-11-11,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-17,0
2012-11-18,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-24,1
2012-11-25,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-01,0
2012-12-02,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-08,0
2012-12-09,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,1
2012-12-14,1
2012-12-15,0
2012-12-16,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,0
2013-01-08,1
2013-01-09,0
2013-01-10,0
2013-01-11,0
2013-01-12,0
2013-01-13,1
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,1
2013-01-19,0
2013-01-20,1
2013-01-21,0
2013-01-22,0
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-26,0
2013-01-27,1
2013-01-28,1
2013-01-29,1
2013-01-30,1
2013-01-31,0
2013-02-01,4
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,0
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,1
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,1
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,1
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,0
2013-03-03,0
2013-03-04,1
2013-03-05,1
2013-03-06,1
2013-03-07,2
2013-03-08,4
2013-03-09,2
2013-03-10,4
2013-03-11,1
2013-03-12,1
2013-03-13,3
2013-03-14,1
2013-03-15,0
2013-03-16,2
2013-03-17,2
2013-03-18,2
2013-03-19,3
2013-03-20,1
2013-03-21,0
2013-03-22,4
2013-03-23,2
2013-03-24,2
2013-03-25,0
2013-03-26,2
2013-03-27,2
2013-03-28,4
2013-03-29,5
2013-03-30,2
2013-03-31,3
2013-04-01,1
2013-04-02,1
2013-04-03,1
2013-04-04,1
2013-04-05,2
2013-04-06,1
2013-04-07,1
2013-04-08,1
2013-04-09,1
2013-04-10,3
2013-04-11,1
2013-04-12,1
2013-04-13,1
2013-04-14,0
2013-04-15,1
2013-04-16,0
2013-04-17,2
2013-04-18,2
2013-04-19,2
2013-04-20,2
2013-04-21,2
2013-04-22,0
2013-04-23,3
2013-04-24,0
2013-04-25,3
2013-04-26,1
2013-04-27,2
2013-04-28,3
2013-04-29,1
2013-04-30,3
2013-05-01,2
2013-05-02,3
2013-05-03,2
2013-05-04,0
2013-05-05,0
2013-05-06,3
2013-05-07,2
2013-05-08,1
2013-05-09,2
2013-05-10,4
2013-05-11,1
2013-05-12,3
2013-05-13,2
2013-05-14,3
2013-05-15,1
2013-05-16,0
2013-05-17,13
2013-05-18,3
2013-05-19,1
2013-05-20,1
2013-05-21,3
2013-05-22,4
2013-05-23,4
2013-05-24,3
2013-05-25,0
2013-05-26,4
2013-05-27,3
2013-05-28,4
2013-05-29,1
2013-05-30,1
2013-05-31,2
2013-06-01,0
2013-06-02,1
2013-06-03,2
2013-06-04,4
2013-06-05,0
2013-06-06,1
2013-06-07,2
2013-06-08,1
2013-06-09,2
2013-06-10,1
2013-06-11,3
2013-06-12,4
2013-06-13,0
2013-06-14,5
2013-06-15,0
2013-06-16,1
2013-06-17,1
2013-06-18,2
2013-06-19,3
2013-06-20,1
2013-06-21,4
2013-06-22,1
2013-06-23,1
2013-06-24,5
2013-06-25,2
2013-06-26,4
2013-06-27,6
2013-06-28,1
2013-06-29,0
2013-06-30,3
2013-07-01,0
2013-07-02,4
2013-07-03,1
2013-07-04,5
2013-07-05,2
2013-07-06,1
2013-07-07,1
2013-07-08,0
2013-07-09,4
2013-07-10,1
2013-07-11,1
2013-07-12,8
2013-07-13,4
2013-07-14,5
2013-07-15,7
2013-07-16,6
2013-07-17,9
2013-07-18,5
2013-07-19,3
2013-07-20,2
2013-07-21,3
2013-07-22,13
2013-07-23,3
2013-07-24,6
2013-07-25,9
2013-07-26,4
2013-07-27,6
2013-07-28,3
2013-07-29,1
2013-07-30,4
2013-07-31,5
2013-08-01,2
2013-08-02,0
2013-08-03,3
2013-08-04,0
2013-08-05,0
2013-08-06,4
2013-08-07,1
2013-08-08,1
2013-08-09,2
2013-08-10,2
2013-08-11,2
2013-08-12,2
2013-08-13,1
2013-08-14,2
2013-08-15,4
2013-08-16,3
2013-08-17,2
2013-08-18,1
2013-08-19,0
2013-08-20,5
2013-08-21,0
2013-08-22,2
2013-08-23,4
2013-08-24,7
2013-08-25,1
2013-08-26,2
2013-08-27,1
2013-08-28,1
2013-08-29,3
2013-08-30,6
2013-08-31,3
2013-09-01,1
2013-09-02,2
2013-09-03,6
2013-09-04,1
2013-09-05,2
2013-09-06,2
2013-09-07,2
2013-09-08,1
2013-09-09,3
2013-09-10,2
2013-09-11,2
2013-09-12,4
2013-09-13,3
2013-09-14,0
2013-09-15,2
2013-09-16,3
2013-09-17,2
2013-09-18,2
2013-09-19,4
2013-09-20,4
2013-09-21,2
2013-09-22,3
2013-09-23,3
2013-09-24,2
2013-09-25,1
2013-09-26,4
2013-09-27,5
2013-09-28,4
2013-09-29,9
2013-09-30,5
2013-10-01,4
2013-10-02,7
2013-10-03,3
2013-10-04,3
2013-10-05,3
2013-10-06,0
2013-10-07,1
2013-10-08,3
2013-10-09,2
2013-10-10,2
2013-10-11,3
2013-10-12,3
2013-10-13,2
2013-10-14,0
2013-10-15,2
2013-10-16,6
2013-10-17,6
2013-10-18,3
2013-10-19,4
2013-10-20,3
2013-10-21,4
2013-10-22,6
2013-10-23,4
2013-10-24,5
2013-10-25,3
2013-10-26,6
2013-10-27,3
2013-10-28,2
2013-10-29,2
2013-10-30,7
2013-10-31,3
2013-11-01,3
2013-11-02,3
2013-11-03,3
2013-11-04,3
2013-11-05,6
2013-11-06,6
2013-11-07,7
2013-11-08,5
2013-11-09,5
2013-11-10,8
2013-11-11,6
2013-11-12,4
2013-11-13,6
2013-11-14,3
2013-11-15,8
2013-11-16,3
2013-11-17,6
2013-11-18,9
2013-11-19,13
2013-11-20,17
2013-11-21,12
2013-11-22,4
2013-11-23,5
2013-11-24,4
2013-11-25,8
2013-11-26,19
2013-11-27,24
2013-11-28,22
2013-11-29,12
2013-11-30,14
2013-12-01,13
2013-12-02,22
2013-12-03,19
2013-12-04,10
2013-12-05,14
2013-12-06,17
2013-12-07,13
2013-12-08,16
2013-12-09,23
2013-12-10,24
2013-12-11,21
2013-12-12,15
2013-12-13,21
2013-12-14,15
2013-12-15,12
2013-12-16,18
2013-12-17,16
2013-12-18,21
2013-12-19,31
2013-12-20,21
2013-12-21,13
2013-12-22,6
2013-12-23,6
2013-12-24,12
2013-12-25,7
2013-12-26,10
2013-12-27,15
2013-12-28,17
2013-12-29,15
2013-12-30,17
2013-12-31,11
2014-01-01,14
2014-01-02,11
2014-01-03,16
2014-01-04,14
2014-01-05,18
2014-01-06,19
2014-01-07,17
2014-01-08,13
2014-01-09,21
2014-01-10,24
2014-01-11,12
2014-01-12,10
2014-01-13,17
2014-01-14,15
2014-01-15,10
2014-01-16,20
2014-01-17,17
2014-01-18,7
2014-01-19,20
2014-01-20,37
2014-01-21,44
2014-01-22,30
2014-01-23,23
2014-01-24,15
2014-01-25,19
2014-01-26,22
2014-01-27,37
2014-01-28,24
2014-01-29,34
2014-01-30,24
2014-01-31,24
2014-02-01,23
2014-02-02,14
2014-02-03,20
2014-02-04,32
2014-02-05,47
2014-02-06,32
2014-02-07,39
2014-02-08,27
2014-02-09,46
2014-02-10,49
2014-02-11,44
2014-02-12,30
2014-02-13,35
2014-02-14,36
2014-02-15,42
2014-02-16,48
2014-02-17,54
2014-02-18,51
2014-02-19,34
2014-02-20,46
2014-02-21,45
2014-02-22,27
2014-02-23,47
2014-02-24,51
2014-02-25,56
2014-02-26,77
2014-02-27,43
2014-02-28,55
2014-03-01,40
2014-03-02,57
2014-03-03,80
2014-03-04,80
2014-03-05,53
2014-03-06,74
2014-03-07,71
2014-03-08,66
2014-03-09,66
2014-03-10,74
2014-03-11,78
2014-03-12,75
2014-03-13,77
2014-03-14,67
2014-03-15,53
2014-03-16,84
2014-03-17,62
2014-03-18,80
2014-03-19,84
2014-03-20,82
2014-03-21,80
2014-03-22,87
2014-03-23,81
2014-03-24,79
2014-03-25,87
2014-03-26,60
2014-03-27,105
2014-03-28,79
2014-03-29,78
2014-03-30,79
2014-03-31,102
2014-04-01,127
2014-04-02,160
2014-04-03,131
2014-04-04,104
2014-04-05,91
2014-04-06,94
2014-04-07,81
2014-04-08,65
2014-04-09,103
2014-04-10,122
2014-04-11,101
2014-04-12,84
2014-04-13,80
2014-04-14,118
2014-04-15,102
2014-04-16,149
2014-04-17,110
2014-04-18,93
2014-04-19,82
2014-04-20,69
2014-04-21,80
2014-04-22,91
2014-04-23,101
2014-04-24,98
2014-04-25,84
2014-04-26,75
2014-04-27,79
2014-04-28,93
2014-04-29,85
2014-04-30,64
2014-05-01,66
2014-05-02,69
2014-05-03,62
2014-05-04,67
2014-05-05,91
2014-05-06,88
2014-05-07,62
2014-05-08,58
2014-05-09,66
2014-05-10,47
2014-05-11,78
2014-05-12,81
2014-05-13,91
2014-05-14,100
2014-05-15,102
2014-05-16,77
2014-05-17,72
2014-05-18,106
2014-05-19,97
2014-05-20,122
2014-05-21,109
2014-05-22,160
2014-05-23,137
2014-05-24,100
2014-05-25,151
2014-05-26,154
2014-05-27,178
2014-05-28,100
2014-05-29,124
2014-05-30,155
2014-05-31,83
2014-06-01,115
2014-06-02,90
2014-06-03,103
2014-06-04,114
2014-06-05,121
2014-06-06,137
2014-06-07,105
2014-06-08,105
2014-06-09,140
2014-06-10,117
2014-06-11,106
2014-06-12,96
2014-06-13,115
2014-06-14,90
2014-06-15,89
2014-06-16,114
2014-06-17,141
2014-06-18,144
2014-06-19,115
2014-06-20,117
2014-06-21,160
2014-06-22,123
2014-06-23,121
2014-06-24,108
2014-06-25,107
2014-06-26,94
2014-06-27,87
2014-06-28,74
2014-06-29,68
2014-06-30,105
2014-07-01,96
2014-07-02,87
2014-07-03,111
2014-07-04,86
2014-07-05,83
2014-07-06,85
2014-07-07,94
2014-07-08,72
2014-07-09,81
2014-07-10,114
2014-07-11,72
2014-07-12,74
2014-07-13,66
2014-07-14,100
2014-07-15,99
2014-07-16,100
2014-07-17,88
2014-07-18,70
2014-07-19,76
2014-07-20,56
2014-07-21,67
2014-07-22,103
2014-07-23,91
2014-07-24,85
2014-07-25,99
2014-07-26,65
2014-07-27,67
2014-07-28,93
2014-07-29,86
2014-07-30,114
2014-07-31,75
2014-08-01,107
2014-08-02,100
2014-08-03,68
2014-08-04,97
2014-08-05,101
2014-08-06,167
2014-08-07,107
2014-08-08,81
2014-08-09,90
2014-08-10,92
2014-08-11,99
2014-08-12,129
2014-08-13,99
2014-08-14,105
2014-08-15,88
2014-08-16,77
2014-08-17,64
2014-08-18,103
2014-08-19,99
2014-08-20,84
2014-08-21,82
2014-08-22,65
2014-08-23,48
2014-08-24,61
2014-08-25,78
2014-08-26,116
2014-08-27,103
2014-08-28,92
2014-08-29,63
2014-08-30,85
2014-08-31,91
2014-09-01,72
2014-09-02,90
2014-09-03,89
2014-09-04,85
2014-09-05,100
2014-09-06,84
2014-09-07,83
2014-09-08,91
2014-09-09,100
2014-09-10,135
2014-09-11,91
2014-09-12,97
2014-09-13,95
2014-09-14,124
2014-09-15,135
2014-09-16,101
2014-09-17,129
2014-09-18,128
2014-09-19,106
2014-09-20,81
2014-09-21,93
2014-09-22,100
2014-09-23,102
2014-09-24,154
2014-09-25,144
2014-09-26,139
2014-09-27,106
2014-09-28,113
2014-09-29,125
2014-09-30,118
2014-10-01,122
2014-10-02,158
2014-10-03,235
2014-10-04,204
2014-10-05,107
2014-10-06,158
2014-10-07,103
2014-10-08,123
2014-10-09,129
2014-10-10,125
2014-10-11,101
2014-10-12,92
2014-10-13,114
2014-10-14,146
2014-10-15,142
2014-10-16,113
2014-10-17,128
2014-10-18,83
2014-10-19,120
2014-10-20,160
2014-10-21,134
2014-10-22,107
2014-10-23,120
2014-10-24,76
2014-10-25,76
2014-10-26,70
2014-10-27,132
2014-10-28,104
2014-10-29,91
2014-10-30,98
2014-10-31,87
2014-11-01,79
2014-11-02,83
2014-11-03,114
2014-11-04,104
2014-11-05,93
2014-11-06,113
2014-11-07,103
2014-11-08,100
2014-11-09,111
2014-11-10,96
2014-11-11,63
2014-11-12,90
2014-11-13,88
2014-11-14,75
2014-11-15,62
2014-11-16,52
2014-11-17,126
2014-11-18,88
2014-11-19,87
2014-11-20,129
2014-11-21,99
2014-11-22,92
2014-11-23,94
2014-11-24,99
2014-11-25,84
2014-11-26,96
2014-11-27,84
2014-11-28,67
2014-11-29,73
2014-11-30,63
2014-12-01,87
2014-12-02,81
2014-12-03,70
2014-12-04,87
2014-12-05,82
2014-12-06,69
2014-12-07,58
2014-12-08,88
2014-12-09,91
2014-12-10,87
2014-12-11,100
2014-12-12,87
2014-12-13,56
2014-12-14,61
2014-12-15,105
2014-12-16,106
2014-12-17,116
2014-12-18,132
2014-12-19,152
2014-12-20,131
2014-12-21,118
2014-12-22,203
2014-12-23,123
2014-12-24,117
2014-12-25,80
2014-12-26,107
2014-12-27,77
2014-12-28,120
2014-12-29,140
2014-12-30,160
2014-12-31,129
2015-01-01,98
2015-01-02,125
2015-01-03,188
2015-01-04,145
2015-01-05,181
2015-01-06,211
2015-01-07,176
2015-01-08,168
2015-01-09,188
2015-01-10,223
2015-01-11,136
2015-01-12,156
2015-01-13,198
2015-01-14,236
2015-01-15,234
2015-01-16,189
2015-01-17,149
2015-01-18,109
2015-01-19,130
2015-01-20,153
2015-01-21,158
2015-01-22,157
2015-01-23,124
2015-01-24,90
2015-01-25,115
2015-01-26,141
2015-01-27,173
2015-01-28,171
2015-01-29,169
2015-01-30,145
2015-01-31,129
2015-02-01,99
2015-02-02,148
2015-02-03,144
2015-02-04,120
2015-02-05,133
2015-02-06,167
2015-02-07,98
2015-02-08,132
2015-02-09,118
2015-02-10,129
2015-02-11,166
2015-02-12,109
2015-02-13,121
2015-02-14,95
2015-02-15,118
2015-02-16,120
2015-02-17,146
2015-02-18,117
2015-02-19,105
