date,Miner In-House Transactions
2009-01-12,5
2009-01-13,0
2009-01-14,0
2009-01-15,2
2009-01-16,1
2009-01-17,0
2009-01-18,0
2009-01-19,2
2009-01-20,1
2009-01-21,0
2009-01-22,1
2009-01-23,1
2009-01-24,0
2009-01-25,1
2009-01-26,1
2009-01-27,0
2009-01-28,0
2009-01-29,1
2009-01-30,0
2009-01-31,0
2009-02-01,1
2009-02-02,0
2009-02-03,15
2009-02-04,0
2009-02-05,0
2009-02-06,0
2009-02-07,1
2009-02-08,0
2009-02-09,1
2009-02-10,0
2009-02-11,0
2009-02-12,0
2009-02-13,0
2009-02-14,0
2009-02-15,2
2009-02-16,1
2009-02-17,0
2009-02-18,0
2009-02-19,1
2009-02-20,0
2009-02-21,0
2009-02-22,2
2009-02-23,0
2009-02-24,0
2009-02-25,0
2009-02-26,0
2009-02-27,1
2009-02-28,0
2009-03-01,0
2009-03-02,0
2009-03-03,0
2009-03-04,2
2009-03-05,1
2009-03-06,0
2009-03-07,0
2009-03-08,2
2009-03-09,0
2009-03-10,0
2009-03-11,0
2009-03-12,1
2009-03-13,0
2009-03-14,0
2009-03-15,0
2009-03-16,1
2009-03-17,0
2009-03-18,0
2009-03-19,0
2009-03-20,1
2009-03-21,0
2009-03-22,0
2009-03-23,0
2009-03-24,0
2009-03-25,0
2009-03-26,1
2009-03-27,0
2009-03-28,0
2009-03-29,0
2009-03-30,0
2009-03-31,1
2009-04-01,0
2009-04-02,0
2009-04-03,0
2009-04-04,0
2009-04-05,0
2009-04-06,0
2009-04-07,0
2009-04-08,0
2009-04-09,0
2009-04-10,0
2009-04-11,0
2009-04-12,0
2009-04-13,1
2009-04-14,0
2009-04-15,0
2009-04-16,0
2009-04-17,0
2009-04-18,1
2009-04-19,0
2009-04-20,2
2009-04-21,1
2009-04-22,0
2009-04-23,0
2009-04-24,0
2009-04-25,0
2009-04-26,0
2009-04-27,0
2009-04-28,0
2009-04-29,1
2009-04-30,0
2009-05-01,0
2009-05-02,2
2009-05-03,2
2009-05-04,1
2009-05-05,1
2009-05-06,0
2009-05-07,0
2009-05-08,0
2009-05-09,0
2009-05-10,0
2009-05-11,1
2009-05-12,0
2009-05-13,3
2009-05-14,3
2009-05-15,1
2009-05-16,0
2009-05-17,0
2009-05-18,0
2009-05-19,0
2009-05-20,0
2009-05-21,0
2009-05-22,0
2009-05-23,0
2009-05-24,0
2009-05-25,0
2009-05-26,0
2009-05-27,0
2009-05-28,0
2009-05-29,1
2009-05-30,0
2009-05-31,0
2009-06-01,1
2009-06-02,0
2009-06-03,0
2009-06-04,0
2009-06-05,0
2009-06-06,0
2009-06-07,0
2009-06-08,0
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,0
2009-06-13,0
2009-06-14,0
2009-06-15,0
2009-06-16,0
2009-06-17,0
2009-06-18,0
2009-06-19,0
2009-06-20,0
2009-06-21,0
2009-06-22,1
2009-06-23,0
2009-06-24,2
2009-06-25,1
2009-06-26,0
2009-06-27,0
2009-06-28,1
2009-06-29,1
2009-06-30,1
2009-07-01,1
2009-07-02,1
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,1
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,1
2009-07-31,0
2009-08-01,0
2009-08-02,0
2009-08-03,0
2009-08-04,0
2009-08-05,0
2009-08-06,0
2009-08-07,1
2009-08-08,0
2009-08-09,0
2009-08-10,0
2009-08-11,0
2009-08-12,0
2009-08-13,0
2009-08-14,0
2009-08-15,0
2009-08-16,0
2009-08-17,0
2009-08-18,0
2009-08-19,0
2009-08-20,0
2009-08-21,0
2009-08-22,0
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,3
2009-08-27,0
2009-08-28,0
2009-08-29,0
2009-08-30,1
2009-08-31,1
2009-09-01,0
2009-09-02,0
2009-09-03,1
2009-09-04,0
2009-09-05,0
2009-09-06,0
2009-09-07,1
2009-09-08,0
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,0
2009-09-13,0
2009-09-14,0
2009-09-15,0
2009-09-16,0
2009-09-17,1
2009-09-18,0
2009-09-19,0
2009-09-20,0
2009-09-21,1
2009-09-22,1
2009-09-23,0
2009-09-24,0
2009-09-25,2
2009-09-26,0
2009-09-27,1
2009-09-28,0
2009-09-29,2
2009-09-30,0
2009-10-01,0
2009-10-02,1
2009-10-03,0
2009-10-04,0
2009-10-05,0
2009-10-06,2
2009-10-07,0
2009-10-08,0
2009-10-09,0
2009-10-10,0
2009-10-11,0
2009-10-12,1
2009-10-13,0
2009-10-14,0
2009-10-15,0
2009-10-16,1
2009-10-17,0
2009-10-18,1
2009-10-19,0
2009-10-20,1
2009-10-21,1
2009-10-22,1
2009-10-23,0
2009-10-24,1
2009-10-25,0
2009-10-26,0
2009-10-27,1
2009-10-28,0
2009-10-29,2
2009-10-30,0
2009-10-31,0
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,1
2009-11-05,0
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,9
2009-11-12,0
2009-11-13,3
2009-11-14,0
2009-11-15,0
2009-11-16,0
2009-11-17,0
2009-11-18,0
2009-11-19,2
2009-11-20,0
2009-11-21,0
2009-11-22,0
2009-11-23,0
2009-11-24,0
2009-11-25,0
2009-11-26,0
2009-11-27,0
2009-11-28,0
2009-11-29,0
2009-11-30,0
2009-12-01,1
2009-12-02,0
2009-12-03,0
2009-12-04,0
2009-12-05,1
2009-12-06,2
2009-12-07,0
2009-12-08,2
2009-12-09,6
2009-12-10,0
2009-12-11,0
2009-12-12,2
2009-12-13,0
2009-12-14,2
2009-12-15,1
2009-12-16,1
2009-12-17,2
2009-12-18,0
2009-12-19,1
2009-12-20,0
2009-12-21,1
2009-12-22,0
2009-12-23,0
2009-12-24,0
2009-12-25,1
2009-12-26,0
2009-12-27,0
2009-12-28,0
2009-12-29,0
2009-12-30,0
2009-12-31,0
2010-01-01,2
2010-01-02,0
2010-01-03,0
2010-01-04,2
2010-01-05,0
2010-01-06,0
2010-01-07,0
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,2
2010-01-13,1
2010-01-14,1
2010-01-15,1
2010-01-16,1
2010-01-17,0
2010-01-18,0
2010-01-19,0
2010-01-20,0
2010-01-21,4
2010-01-22,2
2010-01-23,0
2010-01-24,1
2010-01-25,2
2010-01-26,2
2010-01-27,0
2010-01-28,0
2010-01-29,1
2010-01-30,3
2010-01-31,0
2010-02-01,0
2010-02-02,0
2010-02-03,0
2010-02-04,2
2010-02-05,3
2010-02-06,1
2010-02-07,2
2010-02-08,4
2010-02-09,3
2010-02-10,4
2010-02-11,1
2010-02-12,2
2010-02-13,1
2010-02-14,3
2010-02-15,5
2010-02-16,3
2010-02-17,3
2010-02-18,6
2010-02-19,2
2010-02-20,1
2010-02-21,2
2010-02-22,3
2010-02-23,1
2010-02-24,5
2010-02-25,4
2010-02-26,1
2010-02-27,2
2010-02-28,2
2010-03-01,2
2010-03-02,3
2010-03-03,2
2010-03-04,2
2010-03-05,2
2010-03-06,3
2010-03-07,4
2010-03-08,2
2010-03-09,2
2010-03-10,6
2010-03-11,2
2010-03-12,2
2010-03-13,1
2010-03-14,0
2010-03-15,1
2010-03-16,1
2010-03-17,3
2010-03-18,2
2010-03-19,5
2010-03-20,5
2010-03-21,5
2010-03-22,6
2010-03-23,9
2010-03-24,7
2010-03-25,11
2010-03-26,14
2010-03-27,5
2010-03-28,5
2010-03-29,6
2010-03-30,5
2010-03-31,5
2010-04-01,9
2010-04-02,3
2010-04-03,3
2010-04-04,8
2010-04-05,13
2010-04-06,7
2010-04-07,8
2010-04-08,8
2010-04-09,16
2010-04-10,30
2010-04-11,26
2010-04-12,26
2010-04-13,16
2010-04-14,21
2010-04-15,19
2010-04-16,23
2010-04-17,20
2010-04-18,25
2010-04-19,29
2010-04-20,24
2010-04-21,25
2010-04-22,20
2010-04-23,17
2010-04-24,18
2010-04-25,33
2010-04-26,27
2010-04-27,29
2010-04-28,30
2010-04-29,25
2010-04-30,14
2010-05-01,18
2010-05-02,22
2010-05-03,16
2010-05-04,16
2010-05-05,9
2010-05-06,16
2010-05-07,17
2010-05-08,21
2010-05-09,22
2010-05-10,22
2010-05-11,9
2010-05-12,16
2010-05-13,26
2010-05-14,16
2010-05-15,17
2010-05-16,17
2010-05-17,22
2010-05-18,23
2010-05-19,14
2010-05-20,14
2010-05-21,23
2010-05-22,11
2010-05-23,22
2010-05-24,20
2010-05-25,15
2010-05-26,21
2010-05-27,20
2010-05-28,12
2010-05-29,25
2010-05-30,14
2010-05-31,16
2010-06-01,18
2010-06-02,17
2010-06-03,12
2010-06-04,11
2010-06-05,12
2010-06-06,11
2010-06-07,16
2010-06-08,14
2010-06-09,12
2010-06-10,16
2010-06-11,19
2010-06-12,18
2010-06-13,19
2010-06-14,23
2010-06-15,20
2010-06-16,7
2010-06-17,15
2010-06-18,12
2010-06-19,15
2010-06-20,12
2010-06-21,11
2010-06-22,16
2010-06-23,11
2010-06-24,15
2010-06-25,12
2010-06-26,16
2010-06-27,26
2010-06-28,35
2010-06-29,26
2010-06-30,35
2010-07-01,34
2010-07-02,25
2010-07-03,42
2010-07-04,31
2010-07-05,36
2010-07-06,24
2010-07-07,16
2010-07-08,26
2010-07-09,23
2010-07-10,17
2010-07-11,22
2010-07-12,41
2010-07-13,91
2010-07-14,84
2010-07-15,88
2010-07-16,104
2010-07-17,35
2010-07-18,35
2010-07-19,57
2010-07-20,34
2010-07-21,39
2010-07-22,27
2010-07-23,26
2010-07-24,26
2010-07-25,23
2010-07-26,37
2010-07-27,16
2010-07-28,20
2010-07-29,26
2010-07-30,18
2010-07-31,11
2010-08-01,16
2010-08-02,33
2010-08-03,32
2010-08-04,19
2010-08-05,25
2010-08-06,22
2010-08-07,11
2010-08-08,9
2010-08-09,20
2010-08-10,39
2010-08-11,29
2010-08-12,29
2010-08-13,25
2010-08-14,18
2010-08-15,13
2010-08-16,21
2010-08-17,21
2010-08-18,31
2010-08-19,29
2010-08-20,32
2010-08-21,20
2010-08-22,21
2010-08-23,21
2010-08-24,35
2010-08-25,32
2010-08-26,20
2010-08-27,15
2010-08-28,18
2010-08-29,13
2010-08-30,29
2010-08-31,20
2010-09-01,24
2010-09-02,38
2010-09-03,21
2010-09-04,18
2010-09-05,19
2010-09-06,28
2010-09-07,30
2010-09-08,19
2010-09-09,18
2010-09-10,27
2010-09-11,27
2010-09-12,28
2010-09-13,28
2010-09-14,34
2010-09-15,28
2010-09-16,42
2010-09-17,38
2010-09-18,39
2010-09-19,32
2010-09-20,33
2010-09-21,44
2010-09-22,39
2010-09-23,37
2010-09-24,28
2010-09-25,28
2010-09-26,26
2010-09-27,42
2010-09-28,30
2010-09-29,21
2010-09-30,9
2010-10-01,9
2010-10-02,7
2010-10-03,8
2010-10-04,16
2010-10-05,14
2010-10-06,13
2010-10-07,9
2010-10-08,14
2010-10-09,14
2010-10-10,13
2010-10-11,15
2010-10-12,16
2010-10-13,15
2010-10-14,14
2010-10-15,15
2010-10-16,35
2010-10-17,27
2010-10-18,36
2010-10-19,24
2010-10-20,26
2010-10-21,20
2010-10-22,9
2010-10-23,9
2010-10-24,9
2010-10-25,9
2010-10-26,21
2010-10-27,22
2010-10-28,19
2010-10-29,23
2010-10-30,25
2010-10-31,21
2010-11-01,17
2010-11-02,20
2010-11-03,23
2010-11-04,23
2010-11-05,29
2010-11-06,24
2010-11-07,38
2010-11-08,43
2010-11-09,34
2010-11-10,22
2010-11-11,27
2010-11-12,23
2010-11-13,22
2010-11-14,34
2010-11-15,22
2010-11-16,31
2010-11-17,24
2010-11-18,21
2010-11-19,30
2010-11-20,8
2010-11-21,22
2010-11-22,20
2010-11-23,30
2010-11-24,19
2010-11-25,18
2010-11-26,23
2010-11-27,22
2010-11-28,12
2010-11-29,29
2010-11-30,18
2010-12-01,12
2010-12-02,17
2010-12-03,14
2010-12-04,14
2010-12-05,15
2010-12-06,9
2010-12-07,13
2010-12-08,13
2010-12-09,23
2010-12-10,3
2010-12-11,14
2010-12-12,11
2010-12-13,21
2010-12-14,8
2010-12-15,16
2010-12-16,20
2010-12-17,12
2010-12-18,22
2010-12-19,12
2010-12-20,9
2010-12-21,27
2010-12-22,16
2010-12-23,13
2010-12-24,15
2010-12-25,13
2010-12-26,11
2010-12-27,18
2010-12-28,14
2010-12-29,25
2010-12-30,18
2010-12-31,19
2011-01-01,19
2011-01-02,23
2011-01-03,35
2011-01-04,17
2011-01-05,20
2011-01-06,16
2011-01-07,20
2011-01-08,25
2011-01-09,27
2011-01-10,20
2011-01-11,13
2011-01-12,14
2011-01-13,24
2011-01-14,25
2011-01-15,17
2011-01-16,27
2011-01-17,14
2011-01-18,9
2011-01-19,18
2011-01-20,23
2011-01-21,31
2011-01-22,44
2011-01-23,14
2011-01-24,40
2011-01-25,19
2011-01-26,22
2011-01-27,17
2011-01-28,15
2011-01-29,25
2011-01-30,13
2011-01-31,14
2011-02-01,16
2011-02-02,15
2011-02-03,19
2011-02-04,26
2011-02-05,29
2011-02-06,16
2011-02-07,19
2011-02-08,16
2011-02-09,17
2011-02-10,32
2011-02-11,31
2011-02-12,20
2011-02-13,13
2011-02-14,17
2011-02-15,15
2011-02-16,22
2011-02-17,16
2011-02-18,20
2011-02-19,13
2011-02-20,12
2011-02-21,6
2011-02-22,28
2011-02-23,12
2011-02-24,15
2011-02-25,15
2011-02-26,24
2011-02-27,17
2011-02-28,22
2011-03-01,17
2011-03-02,13
2011-03-03,26
2011-03-04,16
2011-03-05,16
2011-03-06,34
2011-03-07,28
2011-03-08,19
2011-03-09,23
2011-03-10,15
2011-03-11,27
2011-03-12,41
2011-03-13,16
2011-03-14,16
2011-03-15,29
