Datetime,Exchange Depositing Transactions
2026-04-11T00:00:00Z,23249
2026-04-10T00:00:00Z,28494
2026-04-09T00:00:00Z,28296
2026-04-08T00:00:00Z,63325
2026-04-07T00:00:00Z,20241
2026-04-06T00:00:00Z,19001
2026-04-05T00:00:00Z,11487
2026-04-04T00:00:00Z,15982
2026-04-03T00:00:00Z,24859
2026-04-02T00:00:00Z,29687
2026-04-01T00:00:00Z,36310
2026-03-31T00:00:00Z,28036
2026-03-30T00:00:00Z,19171
2026-03-29T00:00:00Z,11051
2026-03-28T00:00:00Z,12497
2026-03-27T00:00:00Z,18384
2026-03-26T00:00:00Z,23911
2026-03-25T00:00:00Z,29117
2026-03-24T00:00:00Z,32767
2026-03-23T00:00:00Z,24531
2026-03-22T00:00:00Z,12726
2026-03-21T00:00:00Z,15212
2026-03-20T00:00:00Z,15676
2026-03-19T00:00:00Z,18963
2026-03-18T00:00:00Z,40674
2026-03-17T00:00:00Z,61677
2026-03-16T00:00:00Z,67718
2026-03-15T00:00:00Z,32815
2026-03-14T00:00:00Z,23665
2026-03-13T00:00:00Z,26635
2026-03-12T00:00:00Z,77650
2026-03-11T00:00:00Z,68625
2026-03-10T00:00:00Z,29296
2026-03-09T00:00:00Z,28129
2026-03-08T00:00:00Z,40223
2026-03-07T00:00:00Z,27969
2026-03-06T00:00:00Z,24655
2026-03-05T00:00:00Z,22947
2026-03-04T00:00:00Z,28862
2026-03-03T00:00:00Z,18056
2026-03-02T00:00:00Z,27569
2026-03-01T00:00:00Z,24135
2026-02-28T00:00:00Z,37998
2026-02-27T00:00:00Z,28373
2026-02-26T00:00:00Z,31429
2026-02-25T00:00:00Z,27556
2026-02-24T00:00:00Z,17577
2026-02-23T00:00:00Z,20895
2026-02-22T00:00:00Z,20510
2026-02-21T00:00:00Z,19010
2026-02-20T00:00:00Z,26582
2026-02-19T00:00:00Z,31822
2026-02-18T00:00:00Z,26394
2026-02-17T00:00:00Z,17478
2026-02-16T00:00:00Z,14516
2026-02-15T00:00:00Z,16979
2026-02-14T00:00:00Z,23835
2026-02-13T00:00:00Z,31787
2026-02-12T00:00:00Z,25829
2026-02-11T00:00:00Z,39437
2026-02-10T00:00:00Z,27974
2026-02-09T00:00:00Z,26987
2026-02-08T00:00:00Z,61744
2026-02-07T00:00:00Z,43557
2026-02-06T00:00:00Z,24636
2026-02-05T00:00:00Z,36894
2026-02-04T00:00:00Z,34025
2026-02-03T00:00:00Z,44589
2026-02-02T00:00:00Z,42067
2026-02-01T00:00:00Z,27592
2026-01-31T00:00:00Z,27779
2026-01-30T00:00:00Z,39992
2026-01-29T00:00:00Z,42352
2026-01-28T00:00:00Z,58722
2026-01-27T00:00:00Z,34285
2026-01-26T00:00:00Z,40197
2026-01-25T00:00:00Z,58937
2026-01-24T00:00:00Z,41878
2026-01-23T00:00:00Z,50648
2026-01-22T00:00:00Z,22622
2026-01-21T00:00:00Z,41210
2026-01-20T00:00:00Z,34040
2026-01-19T00:00:00Z,41690
2026-01-18T00:00:00Z,24438
2026-01-17T00:00:00Z,37387
2026-01-16T00:00:00Z,34390
2026-01-15T00:00:00Z,30078
2026-01-14T00:00:00Z,27536
2026-01-13T00:00:00Z,24621
2026-01-12T00:00:00Z,23784
2026-01-11T00:00:00Z,22046
2026-01-10T00:00:00Z,18589
2026-01-09T00:00:00Z,34923
2026-01-08T00:00:00Z,47864
2026-01-07T00:00:00Z,44905
2026-01-06T00:00:00Z,29561
2026-01-05T00:00:00Z,34297
2026-01-04T00:00:00Z,28492
2026-01-03T00:00:00Z,25271
2026-01-02T00:00:00Z,35616
2026-01-01T00:00:00Z,27879
2025-12-31T00:00:00Z,61769
2025-12-30T00:00:00Z,41295
2025-12-29T00:00:00Z,39111
2025-12-28T00:00:00Z,28481
2025-12-27T00:00:00Z,19892
2025-12-26T00:00:00Z,23210
2025-12-25T00:00:00Z,18419
2025-12-24T00:00:00Z,57833
2025-12-23T00:00:00Z,58714
2025-12-22T00:00:00Z,78878
2025-12-21T00:00:00Z,52731
2025-12-20T00:00:00Z,58915
2025-12-19T00:00:00Z,59712
2025-12-18T00:00:00Z,55286
2025-12-17T00:00:00Z,57040
2025-12-16T00:00:00Z,50393
2025-12-15T00:00:00Z,28347
2025-12-14T00:00:00Z,32161
2025-12-13T00:00:00Z,30072
2025-12-12T00:00:00Z,33115
2025-12-11T00:00:00Z,51347
2025-12-10T00:00:00Z,42431
2025-12-09T00:00:00Z,36100
2025-12-08T00:00:00Z,26018
2025-12-07T00:00:00Z,17305
2025-12-06T00:00:00Z,25934
2025-12-05T00:00:00Z,41931
2025-12-04T00:00:00Z,42728
2025-12-03T00:00:00Z,33494
2025-12-02T00:00:00Z,24942
2025-12-01T00:00:00Z,26247
2025-11-30T00:00:00Z,110107
2025-11-29T00:00:00Z,18363
2025-11-28T00:00:00Z,26348
2025-11-27T00:00:00Z,36925
2025-11-26T00:00:00Z,42922
2025-11-25T00:00:00Z,46771
2025-11-24T00:00:00Z,29105
2025-11-23T00:00:00Z,22694
2025-11-22T00:00:00Z,18720
2025-11-21T00:00:00Z,24597
2025-11-20T00:00:00Z,24122
2025-11-19T00:00:00Z,26038
2025-11-18T00:00:00Z,40476
2025-11-17T00:00:00Z,35632
2025-11-16T00:00:00Z,28715
2025-11-15T00:00:00Z,20284
2025-11-14T00:00:00Z,28039
2025-11-13T00:00:00Z,23762
2025-11-12T00:00:00Z,20446
2025-11-11T00:00:00Z,24323
2025-11-10T00:00:00Z,36706
2025-11-09T00:00:00Z,41674
2025-11-08T00:00:00Z,31339
2025-11-07T00:00:00Z,39535
2025-11-06T00:00:00Z,27365
2025-11-05T00:00:00Z,25048
2025-11-04T00:00:00Z,29727
2025-11-03T00:00:00Z,30255
2025-11-02T00:00:00Z,25203
2025-11-01T00:00:00Z,41660
2025-10-31T00:00:00Z,52525
2025-10-30T00:00:00Z,41633
2025-10-29T00:00:00Z,33761
2025-10-28T00:00:00Z,30001
2025-10-27T00:00:00Z,27925
2025-10-26T00:00:00Z,21295
2025-10-25T00:00:00Z,19288
2025-10-24T00:00:00Z,27763
2025-10-23T00:00:00Z,39801
2025-10-22T00:00:00Z,39581
2025-10-21T00:00:00Z,35692
2025-10-20T00:00:00Z,29981
2025-10-19T00:00:00Z,25042
2025-10-18T00:00:00Z,22668
2025-10-17T00:00:00Z,31710
2025-10-16T00:00:00Z,30985
2025-10-15T00:00:00Z,34845
2025-10-14T00:00:00Z,47148
2025-10-13T00:00:00Z,42476
2025-10-12T00:00:00Z,36158
2025-10-11T00:00:00Z,37759
2025-10-10T00:00:00Z,33699
2025-10-09T00:00:00Z,28041
2025-10-08T00:00:00Z,26891
2025-10-07T00:00:00Z,31066
2025-10-06T00:00:00Z,33441
2025-10-05T00:00:00Z,40830
2025-10-04T00:00:00Z,38466
2025-10-03T00:00:00Z,38888
2025-10-02T00:00:00Z,44101
2025-10-01T00:00:00Z,36210
2025-09-30T00:00:00Z,36500
2025-09-29T00:00:00Z,27441
2025-09-28T00:00:00Z,19792
2025-09-27T00:00:00Z,23831
2025-09-26T00:00:00Z,39067
2025-09-25T00:00:00Z,41947
2025-09-24T00:00:00Z,33805
2025-09-23T00:00:00Z,33173
2025-09-22T00:00:00Z,36926
2025-09-21T00:00:00Z,22368
2025-09-20T00:00:00Z,21186
2025-09-19T00:00:00Z,25380
2025-09-18T00:00:00Z,28664
2025-09-17T00:00:00Z,42069
2025-09-16T00:00:00Z,48618
2025-09-15T00:00:00Z,37582
2025-09-14T00:00:00Z,34271
2025-09-13T00:00:00Z,32825
2025-09-12T00:00:00Z,49606
2025-09-11T00:00:00Z,29656
2025-09-10T00:00:00Z,27456
2025-09-09T00:00:00Z,31005
2025-09-08T00:00:00Z,35851
2025-09-07T00:00:00Z,40402
2025-09-06T00:00:00Z,29783
2025-09-05T00:00:00Z,39603
2025-09-04T00:00:00Z,28112
2025-09-03T00:00:00Z,31678
2025-09-02T00:00:00Z,28188
2025-09-01T00:00:00Z,32679
2025-08-31T00:00:00Z,23707
2025-08-30T00:00:00Z,30139
2025-08-29T00:00:00Z,45854
2025-08-28T00:00:00Z,40057
2025-08-27T00:00:00Z,39972
2025-08-26T00:00:00Z,58750
2025-08-25T00:00:00Z,61637
2025-08-24T00:00:00Z,55489
2025-08-23T00:00:00Z,53046
2025-08-22T00:00:00Z,61536
2025-08-21T00:00:00Z,60159
2025-08-20T00:00:00Z,65077
2025-08-19T00:00:00Z,75331
2025-08-18T00:00:00Z,68480
2025-08-17T00:00:00Z,67195
2025-08-16T00:00:00Z,61392
