Datetime,Exchange Netflow (Total)
2026-04-11T00:00:00Z,6437.6828560983995
2026-04-10T00:00:00Z,-10558.691628476954
2026-04-09T00:00:00Z,-34609.207858060836
2026-04-08T00:00:00Z,45667.72983662854
2026-04-07T00:00:00Z,28096.72492495703
2026-04-06T00:00:00Z,67279.89704448229
2026-04-05T00:00:00Z,-18494.530231307755
2026-04-04T00:00:00Z,-8896.170768720534
2026-04-03T00:00:00Z,-2217.2090921193594
2026-04-02T00:00:00Z,25398.880036024144
2026-04-01T00:00:00Z,-73374.697382316
2026-03-31T00:00:00Z,-121296.21021391521
2026-03-30T00:00:00Z,-4973.644830658683
2026-03-29T00:00:00Z,4869.424150392413
2026-03-28T00:00:00Z,-10770.1752348991
2026-03-27T00:00:00Z,14134.810948575614
2026-03-26T00:00:00Z,20049.62591048982
2026-03-25T00:00:00Z,-17019.25919690542
2026-03-24T00:00:00Z,-64271.342826509266
2026-03-23T00:00:00Z,30057.739984955755
2026-03-22T00:00:00Z,-827364.0365747521
2026-03-21T00:00:00Z,-10215.840853026806
2026-03-20T00:00:00Z,32137.554535144358
2026-03-19T00:00:00Z,17994.827362450073
2026-03-18T00:00:00Z,-26111.504289348843
2026-03-17T00:00:00Z,-57428.33881381282
2026-03-16T00:00:00Z,17149.308164277812
2026-03-15T00:00:00Z,-32316.64699447021
2026-03-14T00:00:00Z,-13130.393765447137
2026-03-13T00:00:00Z,-49981.29320924007
2026-03-12T00:00:00Z,-95858.59233272634
2026-03-11T00:00:00Z,40962.29441832157
2026-03-10T00:00:00Z,-56837.70558460709
2026-03-09T00:00:00Z,-10379.00937324157
2026-03-08T00:00:00Z,-15539.497804938117
2026-03-07T00:00:00Z,105885.77280026767
2026-03-06T00:00:00Z,45643.10261199786
2026-03-05T00:00:00Z,26611.270679630805
2026-03-04T00:00:00Z,-54616.48147693463
2026-03-03T00:00:00Z,58424.09192655992
2026-03-02T00:00:00Z,-35388.606195623055
2026-03-01T00:00:00Z,8597.798785163322
2026-02-28T00:00:00Z,-35005.868824839476
2026-02-27T00:00:00Z,-34389.40080060938
2026-02-26T00:00:00Z,-29145.916432263562
2026-02-25T00:00:00Z,-56295.092907530954
2026-02-24T00:00:00Z,-10444.786979277036
2026-02-23T00:00:00Z,60269.77362426696
2026-02-22T00:00:00Z,-32049.17447739764
2026-02-21T00:00:00Z,618.4221950240899
2026-02-20T00:00:00Z,-41414.479509680066
2026-02-19T00:00:00Z,18613.128629533225
2026-02-18T00:00:00Z,-96129.34783505823
2026-02-17T00:00:00Z,58904.90404474421
2026-02-16T00:00:00Z,-30497.04228778684
2026-02-15T00:00:00Z,135693.57704686234
2026-02-14T00:00:00Z,-29055.335283647117
2026-02-13T00:00:00Z,61274.97491951636
2026-02-12T00:00:00Z,18785.429475134704
2026-02-11T00:00:00Z,-23151.374891544227
2026-02-10T00:00:00Z,-8613.139936607098
2026-02-09T00:00:00Z,-48628.531017722096
2026-02-08T00:00:00Z,-57357.30801439099
2026-02-07T00:00:00Z,-224704.45781619428
2026-02-06T00:00:00Z,159780.75530890794
2026-02-05T00:00:00Z,-183214.1806760896
2026-02-04T00:00:00Z,58207.348340590484
2026-02-03T00:00:00Z,58921.544767791405
2026-02-02T00:00:00Z,-26304.214776130393
2026-02-01T00:00:00Z,51759.891847375315
2026-01-31T00:00:00Z,-58592.72253972199
2026-01-30T00:00:00Z,32894.479580639396
2026-01-29T00:00:00Z,9295.451647918555
2026-01-28T00:00:00Z,-24159.31936447718
2026-01-27T00:00:00Z,-21995.263985215803
2026-01-26T00:00:00Z,-23911.73561300873
2026-01-25T00:00:00Z,-91223.6515107759
2026-01-24T00:00:00Z,15647.31606564275
2026-01-23T00:00:00Z,4339.607707120362
2026-01-22T00:00:00Z,7548.375467116246
2026-01-21T00:00:00Z,66018.7293785701
2026-01-20T00:00:00Z,-71499.80607717182
2026-01-19T00:00:00Z,-50272.91253258276
2026-01-18T00:00:00Z,-18696.387847294885
2026-01-17T00:00:00Z,-48667.89935329679
2026-01-16T00:00:00Z,-23309.348634221475
2026-01-15T00:00:00Z,-23077.74233553547
2026-01-14T00:00:00Z,-6003.399795546662
2026-01-13T00:00:00Z,-42765.41653883585
