Datetime,Exchange Reserve
2026-04-11T00:00:00Z,14912363.503390005
2026-04-10T00:00:00Z,14905915.364638582
2026-04-09T00:00:00Z,14916474.056267058
2026-04-08T00:00:00Z,14951083.26412512
2026-04-07T00:00:00Z,14905415.534288492
2026-04-06T00:00:00Z,14877318.809363535
2026-04-05T00:00:00Z,14810038.912319053
2026-04-04T00:00:00Z,14828533.44255036
2026-04-03T00:00:00Z,14837429.61331908
2026-04-02T00:00:00Z,14839646.8224112
2026-04-01T00:00:00Z,14814247.942375176
2026-03-31T00:00:00Z,14887622.639757492
2026-03-30T00:00:00Z,15008918.849971406
2026-03-29T00:00:00Z,15013892.494802065
2026-03-28T00:00:00Z,15009023.070651673
2026-03-27T00:00:00Z,15019793.245886572
2026-03-26T00:00:00Z,15005658.434937997
2026-03-25T00:00:00Z,14985608.809027506
2026-03-24T00:00:00Z,15002628.068224411
2026-03-23T00:00:00Z,15066899.411050921
2026-03-22T00:00:00Z,15036841.671065966
2026-03-21T00:00:00Z,15864205.707640719
2026-03-20T00:00:00Z,15874421.548493745
2026-03-19T00:00:00Z,15842283.9939586
2026-03-18T00:00:00Z,15824289.16659615
2026-03-17T00:00:00Z,15850400.6708855
2026-03-16T00:00:00Z,15907829.009699311
2026-03-15T00:00:00Z,15890679.701535035
2026-03-14T00:00:00Z,15922996.348529505
2026-03-13T00:00:00Z,15936126.742294952
2026-03-12T00:00:00Z,15986108.035504192
2026-03-11T00:00:00Z,16081966.627836918
2026-03-10T00:00:00Z,16041004.333418597
2026-03-09T00:00:00Z,16097842.039003203
2026-03-08T00:00:00Z,16108221.048376445
2026-03-07T00:00:00Z,16123760.546181383
2026-03-06T00:00:00Z,16017874.773381116
2026-03-05T00:00:00Z,15972231.670769118
2026-03-04T00:00:00Z,15945620.400089487
2026-03-03T00:00:00Z,16000236.881566422
2026-03-02T00:00:00Z,15941812.789639862
2026-03-01T00:00:00Z,15977201.395835485
2026-02-28T00:00:00Z,15968603.597050322
2026-02-27T00:00:00Z,16003609.465875162
2026-02-26T00:00:00Z,16037998.86667577
2026-02-25T00:00:00Z,16067144.783108033
2026-02-24T00:00:00Z,16123439.876015564
2026-02-23T00:00:00Z,16133884.662994841
2026-02-22T00:00:00Z,16073614.889370576
2026-02-21T00:00:00Z,16105664.063847972
2026-02-20T00:00:00Z,16105045.64165295
2026-02-19T00:00:00Z,16146460.121162629
2026-02-18T00:00:00Z,16127846.992533095
2026-02-17T00:00:00Z,16223976.340368154
2026-02-16T00:00:00Z,16165071.43632341
2026-02-15T00:00:00Z,16195568.478611195
2026-02-14T00:00:00Z,16059874.901564334
2026-02-13T00:00:00Z,16088930.236847982
2026-02-12T00:00:00Z,16027655.261928465
2026-02-11T00:00:00Z,16008869.832453331
