Datetime,Taker Sell Volume
2026-04-11T00:00:00Z,2792617623.5375996
2026-04-10T00:00:00Z,6034520118.9496
2026-04-09T00:00:00Z,6620263745.9221
2026-04-08T00:00:00Z,6919681521.9661
2026-04-07T00:00:00Z,8171194369.3106
2026-04-06T00:00:00Z,6248821004.227
2026-04-05T00:00:00Z,3553230220.2583
2026-04-04T00:00:00Z,1785137652.0229
2026-04-03T00:00:00Z,2848799180.4119
2026-04-02T00:00:00Z,6960773722.3123
2026-04-01T00:00:00Z,5617627456.8867
2026-03-31T00:00:00Z,8341122707.4771
2026-03-30T00:00:00Z,6543409241.9599
2026-03-29T00:00:00Z,4072477936.9286
2026-03-28T00:00:00Z,3107796040.5304003
2026-03-27T00:00:00Z,8168374461.1604
2026-03-26T00:00:00Z,7236451115.3142
2026-03-25T00:00:00Z,6072096571.6308
2026-03-24T00:00:00Z,7293976511.6805
2026-03-23T00:00:00Z,10555006219.0883
2026-03-22T00:00:00Z,5115693755.011
2026-03-21T00:00:00Z,2945126413.6402
2026-03-20T00:00:00Z,6757689409.5405
2026-03-19T00:00:00Z,8441037679.638
2026-03-18T00:00:00Z,8927989034.945
2026-03-17T00:00:00Z,8331458875.0635
2026-03-16T00:00:00Z,9745224384.9409
2026-03-15T00:00:00Z,4532390987.4237
2026-03-14T00:00:00Z,2961974515.4407
2026-03-13T00:00:00Z,10901012365.2276
2026-03-12T00:00:00Z,6810737836.3322
2026-03-11T00:00:00Z,7046553821.788
2026-03-10T00:00:00Z,9637984909.1513
2026-03-09T00:00:00Z,8400734581.4359
2026-03-08T00:00:00Z,5597010879.6268
2026-03-07T00:00:00Z,3563226432.222
2026-03-06T00:00:00Z,8327911683.025
2026-03-05T00:00:00Z,8879714146.29
2026-03-04T00:00:00Z,12701225078.0518
2026-03-03T00:00:00Z,9238601168.0334
2026-03-02T00:00:00Z,9957976634.4876
2026-03-01T00:00:00Z,7909750092.7262
2026-02-28T00:00:00Z,9149874165.436499
2026-02-27T00:00:00Z,7609609345.6465
2026-02-26T00:00:00Z,6836664731.5148
2026-02-25T00:00:00Z,10653315208.4743
2026-02-24T00:00:00Z,8112977739.5682
2026-02-23T00:00:00Z,10079105311.588
2026-02-22T00:00:00Z,3129871033.8679
2026-02-21T00:00:00Z,3147172792.8101
2026-02-20T00:00:00Z,8261753148.5816
2026-02-19T00:00:00Z,5511382860.3656
2026-02-18T00:00:00Z,6156822363.9894
2026-02-17T00:00:00Z,5775476617.7463
2026-02-16T00:00:00Z,5668833931.6678
2026-02-15T00:00:00Z,5873299046.7997
2026-02-14T00:00:00Z,4206602245.7721
2026-02-13T00:00:00Z,6941024055.6943
2026-02-12T00:00:00Z,7727798320.7557
2026-02-11T00:00:00Z,9636349624.2862
2026-02-10T00:00:00Z,7132556010.2509
2026-02-09T00:00:00Z,8608047257.0057
2026-02-08T00:00:00Z,6093793517.8788
2026-02-07T00:00:00Z,10384723593.5727
2026-02-06T00:00:00Z,20666440070.2997
2026-02-05T00:00:00Z,26238993488.3727
2026-02-04T00:00:00Z,12295410900.1376
2026-02-03T00:00:00Z,13330902434.0322
2026-02-02T00:00:00Z,11293868756.8916
2026-02-01T00:00:00Z,8675938887.6646
2026-01-31T00:00:00Z,12955334338.528
2026-01-30T00:00:00Z,12092033427.3909
2026-01-29T00:00:00Z,11455397354.5796
2026-01-28T00:00:00Z,6342164914.0381
2026-01-27T00:00:00Z,5808442989.8416
2026-01-26T00:00:00Z,6677956770.629
2026-01-25T00:00:00Z,6367223152.5282
2026-01-24T00:00:00Z,1610707483.9243
2026-01-23T00:00:00Z,6461720800.5661
2026-01-22T00:00:00Z,5363991769.7394
2026-01-21T00:00:00Z,10564228087.7245
2026-01-20T00:00:00Z,10006521496.6795
2026-01-19T00:00:00Z,5718822921.066
