Datetime,Market Cap
2026-04-10T00:00:00Z,1460607897300.9946
2026-04-09T00:00:00Z,1436680786178.5754
2026-04-08T00:00:00Z,1422544195201.8804
2026-04-07T00:00:00Z,1439125038548.0383
2026-04-06T00:00:00Z,1377766506783.467
2026-04-05T00:00:00Z,1380770569490.6826
2026-04-04T00:00:00Z,1346521741404.396
2026-04-03T00:00:00Z,1339852276105.1162
2026-04-02T00:00:00Z,1338365100590.6084
2026-04-01T00:00:00Z,1362309911484.457
2026-03-31T00:00:00Z,1365031343235.4077
2026-03-30T00:00:00Z,1335382426354.2288
2026-03-29T00:00:00Z,1319884630885.7708
2026-03-28T00:00:00Z,1327070274737.1572
2026-03-27T00:00:00Z,1328211608442.742
2026-03-26T00:00:00Z,1375992197938.1426
2026-03-25T00:00:00Z,1426627156221.1375
2026-03-24T00:00:00Z,1411161879178.739
2026-03-23T00:00:00Z,1418371154916.1182
2026-03-22T00:00:00Z,1357260442992.1567
2026-03-21T00:00:00Z,1378555730343.0042
2026-03-20T00:00:00Z,1410418419689.9321
2026-03-19T00:00:00Z,1398699413416.6196
2026-03-18T00:00:00Z,1425147499138.2534
2026-03-17T00:00:00Z,1478746385389.6523
2026-03-16T00:00:00Z,1497882125322.748
2026-03-15T00:00:00Z,1456620335636.0635
2026-03-14T00:00:00Z,1424653709658.4924
2026-03-13T00:00:00Z,1418843441523.2063
2026-03-12T00:00:00Z,1411169718563.4907
2026-03-11T00:00:00Z,1404175567229.092
2026-03-10T00:00:00Z,1399099520155.9646
2026-03-09T00:00:00Z,1368827589964.4766
2026-03-08T00:00:00Z,1319451838933.1572
2026-03-07T00:00:00Z,1344982878388.228
2026-03-06T00:00:00Z,1362151496448.9468
2026-03-05T00:00:00Z,1417762112250.381
2026-03-04T00:00:00Z,1453343960177.731
2026-03-03T00:00:00Z,1366530693716.4207
2026-03-02T00:00:00Z,1376349350876.8
2026-03-01T00:00:00Z,1315496946860.17
2026-02-28T00:00:00Z,1339321929824.2114
2026-02-27T00:00:00Z,1317829804901.6528
2026-02-26T00:00:00Z,1349378828566.1868
2026-02-25T00:00:00Z,1359912317769.3564
2026-02-24T00:00:00Z,1281654923525.1196
2026-02-23T00:00:00Z,1292267863046.4092
2026-02-22T00:00:00Z,1351967870911.7449
