Datetime,Taker Sell Ratio
2026-04-11T00:00:00Z,0.47478195
2026-04-10T00:00:00Z,0.48863354
2026-04-09T00:00:00Z,0.48596348
2026-04-08T00:00:00Z,0.49033838
2026-04-07T00:00:00Z,0.46948323
2026-04-06T00:00:00Z,0.50050702
2026-04-05T00:00:00Z,0.46169494
2026-04-04T00:00:00Z,0.49538397
2026-04-03T00:00:00Z,0.50052078
2026-04-02T00:00:00Z,0.51800755
2026-04-01T00:00:00Z,0.49086348
2026-03-31T00:00:00Z,0.48707881
2026-03-30T00:00:00Z,0.49002229
2026-03-29T00:00:00Z,0.52193402
2026-03-28T00:00:00Z,0.49307307
2026-03-27T00:00:00Z,0.53065414
2026-03-26T00:00:00Z,0.51994948
2026-03-25T00:00:00Z,0.48548073
2026-03-24T00:00:00Z,0.50067841
2026-03-23T00:00:00Z,0.48697755
2026-03-22T00:00:00Z,0.51065828
2026-03-21T00:00:00Z,0.52842657
2026-03-20T00:00:00Z,0.48722163
2026-03-19T00:00:00Z,0.52254038
2026-03-18T00:00:00Z,0.51502341
2026-03-17T00:00:00Z,0.4879149
2026-03-16T00:00:00Z,0.47168862
2026-03-15T00:00:00Z,0.47237668
2026-03-14T00:00:00Z,0.49809982
2026-03-13T00:00:00Z,0.47922073
2026-03-12T00:00:00Z,0.49797074
2026-03-11T00:00:00Z,0.4900085
2026-03-10T00:00:00Z,0.48815305
2026-03-09T00:00:00Z,0.48748848
2026-03-08T00:00:00Z,0.50577718
2026-03-07T00:00:00Z,0.51710873
2026-03-06T00:00:00Z,0.51513711
2026-03-05T00:00:00Z,0.50629179
2026-03-04T00:00:00Z,0.46736623
2026-03-03T00:00:00Z,0.49486983
2026-03-02T00:00:00Z,0.48877764
2026-03-01T00:00:00Z,0.50101603
2026-02-28T00:00:00Z,0.50109342
2026-02-27T00:00:00Z,0.50366223
2026-02-26T00:00:00Z,0.50677398
2026-02-25T00:00:00Z,0.47652171
2026-02-24T00:00:00Z,0.51028859
2026-02-23T00:00:00Z,0.5064819
2026-02-22T00:00:00Z,0.4991091
2026-02-21T00:00:00Z,0.48527351
2026-02-20T00:00:00Z,0.49384963
2026-02-19T00:00:00Z,0.50529518
2026-02-18T00:00:00Z,0.50538834
2026-02-17T00:00:00Z,0.51266515
2026-02-16T00:00:00Z,0.49836198
2026-02-15T00:00:00Z,0.50250612
2026-02-14T00:00:00Z,0.48410238
2026-02-13T00:00:00Z,0.49700241
2026-02-12T00:00:00Z,0.51451577
2026-02-11T00:00:00Z,0.50453993
2026-02-10T00:00:00Z,0.51019736
2026-02-09T00:00:00Z,0.50117674
2026-02-08T00:00:00Z,0.48504233
2026-02-07T00:00:00Z,0.507623
2026-02-06T00:00:00Z,0.49275213
2026-02-05T00:00:00Z,0.5191366
