date,timestamp_utc,Long Liquidations USD
2018-12-20,2018-12-20T00:00:00Z,0.0
2018-12-21,2018-12-21T00:00:00Z,12046.0
2018-12-22,2018-12-22T00:00:00Z,18541.0
2018-12-23,2018-12-23T00:00:00Z,70362.0
2018-12-24,2018-12-24T00:00:00Z,402049.0
2018-12-25,2018-12-25T00:00:00Z,997605.0
2018-12-26,2018-12-26T00:00:00Z,497982.0
2018-12-27,2018-12-27T00:00:00Z,1013080.0
2018-12-28,2018-12-28T00:00:00Z,218384.0
2018-12-29,2018-12-29T00:00:00Z,913464.0
2018-12-30,2018-12-30T00:00:00Z,75602.0
2018-12-31,2018-12-31T00:00:00Z,298432.0
2019-01-01,2019-01-01T00:00:00Z,129599.0
2019-01-02,2019-01-02T00:00:00Z,86002.0
2019-01-03,2019-01-03T00:00:00Z,442890.0
2019-01-04,2019-01-04T00:00:00Z,150363.0
2019-01-05,2019-01-05T00:00:00Z,69057.0
2019-01-06,2019-01-06T00:00:00Z,38307.0
2019-01-07,2019-01-07T00:00:00Z,267166.0
2019-01-08,2019-01-08T00:00:00Z,284082.0
2019-01-09,2019-01-09T00:00:00Z,583766.0
2019-01-10,2019-01-10T00:00:00Z,1261748.0
2019-01-11,2019-01-11T00:00:00Z,147422.0
2019-01-12,2019-01-12T00:00:00Z,246457.0
2019-01-13,2019-01-13T00:00:00Z,341470.0
2019-01-14,2019-01-14T00:00:00Z,145657.0
2019-01-15,2019-01-15T00:00:00Z,549746.0
2019-01-16,2019-01-16T00:00:00Z,111417.0
2019-01-17,2019-01-17T00:00:00Z,62431.0
2019-01-18,2019-01-18T00:00:00Z,157634.0
2019-01-19,2019-01-19T00:00:00Z,204332.0
2019-01-20,2019-01-20T00:00:00Z,892803.0
2019-01-21,2019-01-21T00:00:00Z,496124.0
2019-01-22,2019-01-22T00:00:00Z,526418.0
2019-01-23,2019-01-23T00:00:00Z,483354.0
2019-01-24,2019-01-24T00:00:00Z,100890.0
2019-01-25,2019-01-25T00:00:00Z,445521.0
2019-01-26,2019-01-26T00:00:00Z,369060.0
2019-01-27,2019-01-27T00:00:00Z,815775.0
2019-01-28,2019-01-28T00:00:00Z,815908.0
2019-01-29,2019-01-29T00:00:00Z,532109.0
2019-01-30,2019-01-30T00:00:00Z,285047.0
2019-01-31,2019-01-31T00:00:00Z,164173.0
2019-02-01,2019-02-01T00:00:00Z,322123.0
2019-02-02,2019-02-02T00:00:00Z,35682.0
2019-02-03,2019-02-03T00:00:00Z,838161.0
2019-02-04,2019-02-04T00:00:00Z,57024.0
2019-02-05,2019-02-05T00:00:00Z,16026.0
2019-02-06,2019-02-06T00:00:00Z,552665.0
2019-02-07,2019-02-07T00:00:00Z,16862.0
2019-02-08,2019-02-08T00:00:00Z,339033.0
2019-02-09,2019-02-09T00:00:00Z,190100.0
2019-02-10,2019-02-10T00:00:00Z,45267.0
2019-02-11,2019-02-11T00:00:00Z,157071.0
2019-02-12,2019-02-12T00:00:00Z,424048.0
2019-02-13,2019-02-13T00:00:00Z,77990.0
2019-02-14,2019-02-14T00:00:00Z,159536.0
2019-02-15,2019-02-15T00:00:00Z,130316.0
2019-02-16,2019-02-16T00:00:00Z,45400.0
2019-02-17,2019-02-17T00:00:00Z,153801.0
2019-02-18,2019-02-18T00:00:00Z,552124.0
2019-02-19,2019-02-19T00:00:00Z,651084.0
2019-02-20,2019-02-20T00:00:00Z,36730.0
2019-02-21,2019-02-21T00:00:00Z,252504.0
2019-02-22,2019-02-22T00:00:00Z,19026.0
2019-02-23,2019-02-23T00:00:00Z,43177.0
2019-02-24,2019-02-24T00:00:00Z,3131962.0
2019-02-25,2019-02-25T00:00:00Z,83665.0
2019-02-26,2019-02-26T00:00:00Z,126841.0
2019-02-27,2019-02-27T00:00:00Z,390595.0
2019-02-28,2019-02-28T00:00:00Z,179441.0
2019-03-01,2019-03-01T00:00:00Z,272098.0
2019-03-02,2019-03-02T00:00:00Z,279958.0
2019-03-03,2019-03-03T00:00:00Z,349431.0
2019-03-04,2019-03-04T00:00:00Z,552481.0
2019-03-05,2019-03-05T00:00:00Z,126532.0
2019-03-06,2019-03-06T00:00:00Z,8371.0
2019-03-07,2019-03-07T00:00:00Z,111200.0
2019-03-08,2019-03-08T00:00:00Z,618638.0
2019-03-09,2019-03-09T00:00:00Z,47888.0
2019-03-10,2019-03-10T00:00:00Z,596726.0
2019-03-11,2019-03-11T00:00:00Z,1134731.0
2019-03-12,2019-03-12T00:00:00Z,528138.0
2019-03-13,2019-03-13T00:00:00Z,101092.0
2019-03-14,2019-03-14T00:00:00Z,907118.0
2019-03-15,2019-03-15T00:00:00Z,0.0
2019-03-16,2019-03-16T00:00:00Z,322440.0
2019-03-17,2019-03-17T00:00:00Z,377336.0
2019-03-18,2019-03-18T00:00:00Z,723274.0
2019-03-19,2019-03-19T00:00:00Z,230.0
2019-03-20,2019-03-20T00:00:00Z,87033.0
2019-03-21,2019-03-21T00:00:00Z,534156.0
2019-03-22,2019-03-22T00:00:00Z,13510.0
2019-03-23,2019-03-23T00:00:00Z,344286.0
2019-03-24,2019-03-24T00:00:00Z,258570.0
2019-03-25,2019-03-25T00:00:00Z,1307069.0
2019-03-26,2019-03-26T00:00:00Z,3644.0
2019-03-27,2019-03-27T00:00:00Z,0.0
2019-03-28,2019-03-28T00:00:00Z,27002.0
2019-03-29,2019-03-29T00:00:00Z,10038.0
2019-03-30,2019-03-30T00:00:00Z,461483.0
2019-03-31,2019-03-31T00:00:00Z,300.0
2019-04-01,2019-04-01T00:00:00Z,215869.0
2019-04-02,2019-04-02T00:00:00Z,29729380.0
2019-04-03,2019-04-03T00:00:00Z,120511174.0
2019-04-04,2019-04-04T00:00:00Z,39875975.0
2019-04-05,2019-04-05T00:00:00Z,10192594.0
2019-04-06,2019-04-06T00:00:00Z,36292856.0
2019-04-07,2019-04-07T00:00:00Z,20309599.0
2019-04-08,2019-04-08T00:00:00Z,20898072.0
2019-04-09,2019-04-09T00:00:00Z,15599590.0
2019-04-10,2019-04-10T00:00:00Z,26943375.0
2019-04-11,2019-04-11T00:00:00Z,67974497.0
2019-04-12,2019-04-12T00:00:00Z,15026928.0
2019-04-13,2019-04-13T00:00:00Z,7646350.0
2019-04-14,2019-04-14T00:00:00Z,3826261.0
2019-04-15,2019-04-15T00:00:00Z,40757116.0
2019-04-16,2019-04-16T00:00:00Z,3416353.0
2019-04-17,2019-04-17T00:00:00Z,5854516.0
2019-04-18,2019-04-18T00:00:00Z,3140787.0
2019-04-19,2019-04-19T00:00:00Z,12844506.0
2019-04-20,2019-04-20T00:00:00Z,7518071.0
2019-04-21,2019-04-21T00:00:00Z,14430451.0
2019-04-22,2019-04-22T00:00:00Z,4276114.0
2019-04-23,2019-04-23T00:00:00Z,7163723.0
2019-04-24,2019-04-24T00:00:00Z,40069551.0
2019-04-25,2019-04-25T00:00:00Z,214183660.0
2019-04-26,2019-04-26T00:00:00Z,26108013.0
2019-04-27,2019-04-27T00:00:00Z,3291004.0
2019-04-28,2019-04-28T00:00:00Z,12745337.0
2019-04-29,2019-04-29T00:00:00Z,11460237.0
2019-04-30,2019-04-30T00:00:00Z,1147200.0
2019-05-01,2019-05-01T00:00:00Z,4275051.0
2019-05-02,2019-05-02T00:00:00Z,463139.0
2019-05-03,2019-05-03T00:00:00Z,27875204.0
2019-05-04,2019-05-04T00:00:00Z,48401343.0
2019-05-05,2019-05-05T00:00:00Z,20223838.0
2019-05-06,2019-05-06T00:00:00Z,30986981.0
2019-05-07,2019-05-07T00:00:00Z,50632954.0
2019-05-08,2019-05-08T00:00:00Z,19160425.0
2019-05-09,2019-05-09T00:00:00Z,6359018.0
2019-05-10,2019-05-10T00:00:00Z,23746034.0
2019-05-11,2019-05-11T00:00:00Z,54462309.0
2019-05-12,2019-05-12T00:00:00Z,166648505.0
2019-05-13,2019-05-13T00:00:00Z,57393296.0
