Datetime,Exchange Depositing Addresses
2026-04-12T00:00:00Z,1414
2026-04-11T00:00:00Z,9050
2026-04-10T00:00:00Z,13987
2026-04-09T00:00:00Z,16390
2026-04-08T00:00:00Z,13173
2026-04-07T00:00:00Z,12879
2026-04-06T00:00:00Z,12104
2026-04-05T00:00:00Z,8190
2026-04-04T00:00:00Z,8901
2026-04-03T00:00:00Z,12450
2026-04-02T00:00:00Z,14322
2026-04-01T00:00:00Z,15966
2026-03-31T00:00:00Z,15414
2026-03-30T00:00:00Z,12966
2026-03-29T00:00:00Z,7792
2026-03-28T00:00:00Z,8916
2026-03-27T00:00:00Z,13571
2026-03-26T00:00:00Z,11757
2026-03-25T00:00:00Z,11703
2026-03-24T00:00:00Z,11700
2026-03-23T00:00:00Z,12224
2026-03-22T00:00:00Z,8117
2026-03-21T00:00:00Z,8119
2026-03-20T00:00:00Z,11956
2026-03-19T00:00:00Z,12830
2026-03-18T00:00:00Z,12513
2026-03-17T00:00:00Z,12939
2026-03-16T00:00:00Z,14075
2026-03-15T00:00:00Z,8664
2026-03-14T00:00:00Z,8687
2026-03-13T00:00:00Z,12952
2026-03-12T00:00:00Z,11808
2026-03-11T00:00:00Z,13452
2026-03-10T00:00:00Z,12835
2026-03-09T00:00:00Z,16712
2026-03-08T00:00:00Z,8051
2026-03-07T00:00:00Z,8647
2026-03-06T00:00:00Z,12677
2026-03-05T00:00:00Z,12942
2026-03-04T00:00:00Z,13383
2026-03-03T00:00:00Z,13796
2026-03-02T00:00:00Z,15335
2026-03-01T00:00:00Z,9785
2026-02-28T00:00:00Z,10523
2026-02-27T00:00:00Z,13008
2026-02-26T00:00:00Z,11363
2026-02-25T00:00:00Z,13564
2026-02-24T00:00:00Z,11666
2026-02-23T00:00:00Z,11772
2026-02-22T00:00:00Z,9958
2026-02-21T00:00:00Z,8222
2026-02-20T00:00:00Z,11271
2026-02-19T00:00:00Z,11103
2026-02-18T00:00:00Z,10942
2026-02-17T00:00:00Z,11237
2026-02-16T00:00:00Z,11494
2026-02-15T00:00:00Z,8490
2026-02-14T00:00:00Z,10090
2026-02-13T00:00:00Z,13396
2026-02-12T00:00:00Z,12645
2026-02-11T00:00:00Z,12516
2026-02-10T00:00:00Z,13348
