Datetime,Exchange Inflow (Top10)
2026-04-12T00:00:00Z,
2026-04-11T00:00:00Z,1955198.04054368
2026-04-10T00:00:00Z,4668424.14077939
2026-04-09T00:00:00Z,5700767.4121724
2026-04-08T00:00:00Z,6171211.41605626
2026-04-07T00:00:00Z,5121440.5582586
2026-04-06T00:00:00Z,4084198.49546112
2026-04-05T00:00:00Z,811015.05836958
2026-04-04T00:00:00Z,602091.01651699
2026-04-03T00:00:00Z,3488393.19149872
2026-04-02T00:00:00Z,6852111.51616015
2026-04-01T00:00:00Z,3912840.65194751
2026-03-31T00:00:00Z,18532687.70036412
2026-03-30T00:00:00Z,6203424.62861573
2026-03-29T00:00:00Z,1181290.25605759
2026-03-28T00:00:00Z,929407.12754243
2026-03-27T00:00:00Z,6124477.20466433
2026-03-26T00:00:00Z,8118618.53741696
2026-03-25T00:00:00Z,3814840.73543548
2026-03-24T00:00:00Z,4551833.00515848
2026-03-23T00:00:00Z,4698622.61032696
2026-03-22T00:00:00Z,2764838.02131523
2026-03-21T00:00:00Z,652352.12319859
2026-03-20T00:00:00Z,4420275.16074449
2026-03-19T00:00:00Z,3420594.15283136
2026-03-18T00:00:00Z,3894011.88517013
2026-03-17T00:00:00Z,3952829.50407784
2026-03-16T00:00:00Z,5456663.8001855
2026-03-15T00:00:00Z,1539427.29965985
2026-03-14T00:00:00Z,1079515.81253517
2026-03-13T00:00:00Z,4684603.60280479
2026-03-12T00:00:00Z,5193775.10128966
2026-03-11T00:00:00Z,5242941.91149235
2026-03-10T00:00:00Z,5054702.86926458
2026-03-09T00:00:00Z,4822613.10459686
2026-03-08T00:00:00Z,1334857.82477929
2026-03-07T00:00:00Z,1498106.93736526
2026-03-06T00:00:00Z,6073571.65112373
2026-03-05T00:00:00Z,6022594.7461241
2026-03-04T00:00:00Z,7243474.68392924
2026-03-03T00:00:00Z,7196223.3212306
2026-03-02T00:00:00Z,5437821.62456885
2026-03-01T00:00:00Z,4011732.01592349
2026-02-28T00:00:00Z,1473739.49939958
2026-02-27T00:00:00Z,5501966.1243778
2026-02-26T00:00:00Z,5620266.26335628
2026-02-25T00:00:00Z,5138713.68494486
2026-02-24T00:00:00Z,3940466.97682403
2026-02-23T00:00:00Z,5403783.23369297
2026-02-22T00:00:00Z,2249420.08932813
2026-02-21T00:00:00Z,922223.51925472
2026-02-20T00:00:00Z,6697154.31107804
2026-02-19T00:00:00Z,3609650.57502213
2026-02-18T00:00:00Z,3115014.78013448
2026-02-17T00:00:00Z,4587057.57131866
2026-02-16T00:00:00Z,3972439.96974394
2026-02-15T00:00:00Z,4018353.4544094
2026-02-14T00:00:00Z,843452.25406999
2026-02-13T00:00:00Z,5296996.42421808
2026-02-12T00:00:00Z,5439257.66318676
2026-02-11T00:00:00Z,8388462.82114506
2026-02-10T00:00:00Z,3951346.43311286
2026-02-09T00:00:00Z,13149663.0027493
2026-02-08T00:00:00Z,1887060.47452452
2026-02-07T00:00:00Z,7212241.56259582
2026-02-06T00:00:00Z,6356057.42931341
2026-02-05T00:00:00Z,6284626.52410911
2026-02-04T00:00:00Z,5350080.73211098
2026-02-03T00:00:00Z,6459200.02777697
2026-02-02T00:00:00Z,5293858.47263618
2026-02-01T00:00:00Z,2463288.77959214
2026-01-31T00:00:00Z,4536020.40469702
2026-01-30T00:00:00Z,7465857.69779766
2026-01-29T00:00:00Z,5137807.52160164
2026-01-28T00:00:00Z,3044097.36726623
2026-01-27T00:00:00Z,3826293.49574785
2026-01-26T00:00:00Z,8770490.98375524
2026-01-25T00:00:00Z,10147274.93069804
2026-01-24T00:00:00Z,4057817.7396231
2026-01-23T00:00:00Z,4189905.16715228
