Datetime,Exchange Inflow (Total)
2026-04-11T00:00:00Z,297380469.308296
2026-04-10T00:00:00Z,1935809310.240524
2026-04-09T00:00:00Z,1244502645.712415
2026-04-08T00:00:00Z,1901533519.152948
2026-04-07T00:00:00Z,1699900634.858425
2026-04-06T00:00:00Z,1287351382.494826
2026-04-05T00:00:00Z,209375403.178814
2026-04-04T00:00:00Z,200156127.596633
2026-04-03T00:00:00Z,889796901.33437
2026-04-02T00:00:00Z,1859424211.190484
2026-04-01T00:00:00Z,1716226496.275256
2026-03-31T00:00:00Z,1859082883.861788
2026-03-30T00:00:00Z,1427361073.399596
2026-03-29T00:00:00Z,453936493.819979
2026-03-28T00:00:00Z,236090180.923389
2026-03-27T00:00:00Z,1615006064.573913
2026-03-26T00:00:00Z,1634082232.905812
2026-03-25T00:00:00Z,1047123017.907803
2026-03-24T00:00:00Z,1351166455.018789
2026-03-23T00:00:00Z,1090029736.464333
2026-03-22T00:00:00Z,296108890.059686
2026-03-21T00:00:00Z,181374082.061919
2026-03-20T00:00:00Z,1110258275.91578
2026-03-19T00:00:00Z,1055645390.97731
2026-03-18T00:00:00Z,1375334471.80225
2026-03-17T00:00:00Z,1271227710.038056
2026-03-16T00:00:00Z,1743755332.792273
2026-03-15T00:00:00Z,216609877.139412
2026-03-14T00:00:00Z,192071280.202031
2026-03-13T00:00:00Z,1636137517.778807
2026-03-12T00:00:00Z,1492997811.719996
2026-03-11T00:00:00Z,1331015467.561636
2026-03-10T00:00:00Z,1732646200.340451
2026-03-09T00:00:00Z,1791650388.802972
2026-03-08T00:00:00Z,342989227.377242
2026-03-07T00:00:00Z,340213179.458939
2026-03-06T00:00:00Z,1716372765.272166
2026-03-05T00:00:00Z,1846322979.266675
2026-03-04T00:00:00Z,1885222614.377009
2026-03-03T00:00:00Z,2806924067.327037
2026-03-02T00:00:00Z,2129017777.949252
2026-03-01T00:00:00Z,395748127.312534
2026-02-28T00:00:00Z,409216234.817671
2026-02-27T00:00:00Z,1395314453.919443
2026-02-26T00:00:00Z,1262664206.469105
2026-02-25T00:00:00Z,1686398185.81904
2026-02-24T00:00:00Z,1102780537.036657
2026-02-23T00:00:00Z,1696908727.011922
2026-02-22T00:00:00Z,237623929.04304
2026-02-21T00:00:00Z,309814354.211082
2026-02-20T00:00:00Z,1438875403.209954
2026-02-19T00:00:00Z,1498355529.790228
2026-02-18T00:00:00Z,861414337.972158
2026-02-17T00:00:00Z,1084785204.893408
2026-02-16T00:00:00Z,1297466908.742424
2026-02-15T00:00:00Z,342971764.23581
2026-02-14T00:00:00Z,221801333.400875
2026-02-13T00:00:00Z,1437083736.026587
2026-02-12T00:00:00Z,1711618025.546521
2026-02-11T00:00:00Z,1391305975.31228
2026-02-10T00:00:00Z,1446789242.315274
2026-02-09T00:00:00Z,2687496293.93271
2026-02-08T00:00:00Z,416246411.387194
2026-02-07T00:00:00Z,904753906.32737
2026-02-06T00:00:00Z,3416788557.117053
2026-02-05T00:00:00Z,2124662726.43843
2026-02-04T00:00:00Z,2074713283.032488
2026-02-03T00:00:00Z,1756143601.483329
2026-02-02T00:00:00Z,2129817921.16909
2026-02-01T00:00:00Z,827920648.712367
2026-01-31T00:00:00Z,877756188.094826
2026-01-30T00:00:00Z,2279351010.641299
2026-01-29T00:00:00Z,1796574427.308664
2026-01-28T00:00:00Z,1550138615.889183
2026-01-27T00:00:00Z,1686700862.994212
2026-01-26T00:00:00Z,1683762285.094478
2026-01-25T00:00:00Z,655177496.7998
2026-01-24T00:00:00Z,587981319.561702
2026-01-23T00:00:00Z,1576574540.793111
2026-01-22T00:00:00Z,973609605.699071
2026-01-21T00:00:00Z,1383725702.073448
2026-01-20T00:00:00Z,1877722535.595012
2026-01-19T00:00:00Z,1475636400.789114
2026-01-18T00:00:00Z,309567941.85654
2026-01-17T00:00:00Z,387000639.795391
2026-01-16T00:00:00Z,2339777925.883516
2026-01-15T00:00:00Z,1975648798.3573
2026-01-14T00:00:00Z,2259292295.54009
2026-01-13T00:00:00Z,2148265600.944587
2026-01-12T00:00:00Z,1645516675.069521
2026-01-11T00:00:00Z,241159067.229903
2026-01-10T00:00:00Z,325665844.19374
2026-01-09T00:00:00Z,1716222949.704416
2026-01-08T00:00:00Z,2330449825.026365
2026-01-07T00:00:00Z,2029989827.00819
2026-01-06T00:00:00Z,2249018097.08729
2026-01-05T00:00:00Z,1625392814.122752
2026-01-04T00:00:00Z,435966429.03856
2026-01-03T00:00:00Z,353291479.624041
2026-01-02T00:00:00Z,1639334673.959125
2026-01-01T00:00:00Z,1198449415.207415
2025-12-31T00:00:00Z,1970489515.561277
2025-12-30T00:00:00Z,1976521686.395464
2025-12-29T00:00:00Z,2146194177.193375
2025-12-28T00:00:00Z,434597063.410007
2025-12-27T00:00:00Z,295199038.462837
2025-12-26T00:00:00Z,1483909360.491916
2025-12-25T00:00:00Z,544762412.924558
2025-12-24T00:00:00Z,1029587130.487099
2025-12-23T00:00:00Z,1609021163.912395
2025-12-22T00:00:00Z,1064863248.970885
2025-12-21T00:00:00Z,177860780.817508
2025-12-20T00:00:00Z,215260658.815426
2025-12-19T00:00:00Z,1779107895.018237
2025-12-18T00:00:00Z,1467499643.995864
2025-12-17T00:00:00Z,1182033183.714525
2025-12-16T00:00:00Z,1228633067.960796
2025-12-15T00:00:00Z,1440470820.618587
2025-12-14T00:00:00Z,273118901.517442
2025-12-13T00:00:00Z,609783996.731223
2025-12-12T00:00:00Z,1265354487.865625
2025-12-11T00:00:00Z,1673281295.356376
2025-12-10T00:00:00Z,1210801226.563853
2025-12-09T00:00:00Z,2212645876.157293
2025-12-08T00:00:00Z,1225605339.571651
2025-12-07T00:00:00Z,240035240.172763
2025-12-06T00:00:00Z,431225847.768903
2025-12-05T00:00:00Z,1617991802.119261
2025-12-04T00:00:00Z,1172837896.687391
2025-12-03T00:00:00Z,2001734253.246127
2025-12-02T00:00:00Z,2101051342.848577
2025-12-01T00:00:00Z,2571962359.046495
2025-11-30T00:00:00Z,309054453.630756
2025-11-29T00:00:00Z,673920854.173151
2025-11-28T00:00:00Z,2043117277.478008
2025-11-27T00:00:00Z,1246212145.085628
2025-11-26T00:00:00Z,2408706837.783349
2025-11-25T00:00:00Z,2887581417.506823
2025-11-24T00:00:00Z,3390511570.897789
2025-11-23T00:00:00Z,1276123821.773942
2025-11-22T00:00:00Z,1107959683.284751
2025-11-21T00:00:00Z,3561615262.418727
2025-11-20T00:00:00Z,2382398277.541531
2025-11-19T00:00:00Z,2390515402.561613
2025-11-18T00:00:00Z,2260861876.934754
2025-11-17T00:00:00Z,2163291761.23198
2025-11-16T00:00:00Z,604846269.671561
2025-11-15T00:00:00Z,701099105.373449
2025-11-14T00:00:00Z,1948937406.240134
