date,Exchange Inflow (Top10)
2018-09-12,1.0
2018-09-13,0.0
2018-09-14,0.0
2018-09-15,0.0
2018-09-16,0.0
2018-09-17,0.0
2018-09-18,0.0
2018-09-19,0.0
2018-09-20,0.0
2018-09-21,0.0
2018-09-22,0.0
2018-09-23,0.0
2018-09-24,0.0
2018-09-25,2.0
2018-09-26,191783.40909091
2018-09-27,500249.95
2018-09-28,236.36263617
2018-09-29,1162.5158761
2018-09-30,9341.6572025
2018-10-01,1000000.0
2018-10-02,0.0
2018-10-03,524963.379264
2018-10-04,1000049.95
2018-10-05,318136.40714286
2018-10-06,0.0
2018-10-07,0.0
2018-10-08,1852.6675
2018-10-09,133986.64333333
2018-10-10,25147.03087667
2018-10-11,53114.9628634
2018-10-12,242024.05432625
2018-10-13,8538.61429975
2018-10-14,10388.586778
2018-10-15,1101696.79943584
2018-10-16,14392.65779616
2018-10-17,54781.30880847
2018-10-18,6104.6898448
2018-10-19,544212.2726325
2018-10-20,510437.52
2018-10-21,9982.494908
2018-10-22,424798.56848483
2018-10-23,915452.01009792
2018-10-24,19484.33792564
2018-10-25,24117.72117559
2018-10-26,119362.17917792
2018-10-27,88418.90931067
2018-10-28,1750.6751698
2018-10-29,203337.58488186
2018-10-30,39868.248123
2018-10-31,54222.99388938
2018-11-01,14939.63310744
2018-11-02,27660.9644675
2018-11-03,23995.95070562
2018-11-04,62807.72
2018-11-05,265448.45229275
2018-11-06,542400.99840468
2018-11-07,57647.41501441
2018-11-08,24590.77930655
2018-11-09,73963.6243725
2018-11-10,5036.85341392
2018-11-11,178703.50276627
2018-11-12,50987.94580554
2018-11-13,305122.89633875
2018-11-14,260309.10204471
2018-11-15,443170.85483106
2018-11-16,294930.83450303
2018-11-17,228166.42427869
2018-11-18,65932.41530161
2018-11-19,229337.56115831
2018-11-20,243423.1100304
2018-11-21,307367.92197612
2018-11-22,237990.77144824
2018-11-23,386751.59384478
2018-11-24,157779.4621089
2018-11-25,190195.5306755
2018-11-26,195042.40049099
2018-11-27,266363.09678658
2018-11-28,321491.71634859
2018-11-29,381057.13300769
2018-11-30,256786.31988943
2018-12-01,267546.09500999
2018-12-02,159074.98367127
2018-12-03,176177.81837873
2018-12-04,828834.87676141
2018-12-05,425332.04224816
2018-12-06,121357.57469465
2018-12-07,235494.48485021
2018-12-08,293548.96139353
2018-12-09,49841.03018882
2018-12-10,645273.22757352
2018-12-11,224455.4878714
2018-12-12,458605.11312826
2018-12-13,448354.46664085
2018-12-14,623657.31132784
2018-12-15,56362.62113579
2018-12-16,31585.42843084
2018-12-17,1267029.5952193
2018-12-18,305850.46258889
2018-12-19,810384.9174495
2018-12-20,323982.5057163
2018-12-21,841598.56244608
2018-12-22,1090635.62737577
2018-12-23,219435.92332122
2018-12-24,334401.77793739
2018-12-25,62601.78890519
2018-12-26,1459779.82390099
2018-12-27,1043701.06719147
2018-12-28,621721.47874817
2018-12-29,466473.77616347
2018-12-30,114591.67320366
2018-12-31,168250.26711998
2019-01-01,208371.36884574
2019-01-02,536335.23656022
2019-01-03,300257.8164698
2019-01-04,255248.59980072
2019-01-05,49343.36882394
2019-01-06,438508.25462936
2019-01-07,179547.4192594
2019-01-08,249217.11507356
2019-01-09,3755370.18506616
2019-01-10,121411.52258325
2019-01-11,1599092.50904302
2019-01-12,34378.32019595
2019-01-13,266100.11086503
2019-01-14,112527.48007475
2019-01-15,1282714.04970498
2019-01-16,1293646.85455484
2019-01-17,2270116.60328889
2019-01-18,1138399.0686586
2019-01-19,212087.87184655
2019-01-20,21295.34748798
2019-01-21,1973286.664802
2019-01-22,990520.30151424
2019-01-23,1477207.72390919
2019-01-24,1577438.01717369
2019-01-25,1177735.80280964
2019-01-26,119249.15957598
2019-01-27,146666.62110091
2019-01-28,808842.30341953
2019-01-29,925116.04172013
2019-01-30,799302.52338189
2019-01-31,167583.94839255
2019-02-01,514203.05261911
2019-02-02,39761.89235346
2019-02-03,122038.4937615
2019-02-04,140082.52718871
2019-02-05,77407.57631732
2019-02-06,137386.47371619
2019-02-07,90393.09808024
2019-02-08,132053.15014414
2019-02-09,17717.08894709
2019-02-10,62602.82184586
2019-02-11,50653.2065932
2019-02-12,42921.91694562
2019-02-13,126421.58346331
2019-02-14,55520.93866287
2019-02-15,63568.42758964
2019-02-16,10680.10584883
2019-02-17,21609.07988487
2019-02-18,62480.06978802
2019-02-19,159271.39848828
2019-02-20,65579.69569632
2019-02-21,147882.03717477
2019-02-22,134254.14803952
2019-02-23,40407.35119796
2019-02-24,31351.31810291
2019-02-25,89923.46901194
2019-02-26,94455.57210651
2019-02-27,67426.92352748
2019-02-28,139152.4795742
2019-03-01,841046.27015373
2019-03-02,39257.62809931
2019-03-03,41047.03747523
2019-03-04,53414.82897751
2019-03-05,371449.65976867
2019-03-06,74487.48561986
2019-03-07,37146.91231381
2019-03-08,1569701.4079766
2019-03-09,133963.66857171
2019-03-10,38047.78332503
2019-03-11,72856.46689989
2019-03-12,99993.8184781
2019-03-13,102423.03456022
2019-03-14,151876.18926998
2019-03-15,79721.80246111
2019-03-16,84356.55031177
2019-03-17,49408.47279297
2019-03-18,63718.93425059
2019-03-19,134497.46622532
2019-03-20,81132.10800298
2019-03-21,346521.6511982
2019-03-22,37593.47078535
2019-03-23,42995.202608
2019-03-24,44032.34278995
2019-03-25,570858.27382843
2019-03-26,45009.12918169
2019-03-27,99366.11514284
2019-03-28,56740.73485924
2019-03-29,73226.81767515
2019-03-30,37372.09974297
2019-03-31,30141.42277624
2019-04-01,715510.5948088
2019-04-02,1936965.51405862
2019-04-03,487419.21324641
2019-04-04,1075126.68567994
2019-04-05,286345.74247122
2019-04-06,72808.83265358
2019-04-07,56053.63106305
2019-04-08,135322.01447592
2019-04-09,95368.88446769
2019-04-10,1155042.75842023
2019-04-11,124132.16229606
2019-04-12,29527.71913085
2019-04-13,58037.20250573
2019-04-14,133321.36821625
2019-04-15,102358.03703185
2019-04-16,53193.41269022
2019-04-17,69443.40161921
2019-04-18,54987.81881758
2019-04-19,1047128.07527562
2019-04-20,159010.04112138
2019-04-21,146179.3271283
2019-04-22,116506.82237461
2019-04-23,75271.42709984
2019-04-24,276354.97184994
2019-04-25,267514.15941691
2019-04-26,701104.78744202
2019-04-27,117663.62048602
2019-04-28,198945.19556408
2019-04-29,753290.39012572
2019-04-30,127421.87313029
2019-05-01,173266.45270478
2019-05-02,519452.23525159
2019-05-03,4654284.18833542
2019-05-04,259716.74876776
2019-05-05,156538.52787113
2019-05-06,250633.99162483
2019-05-07,558698.15865454
2019-05-08,343411.96434477
2019-05-09,166086.10040795
2019-05-10,1659172.2065305
2019-05-11,241353.1862398
2019-05-12,531665.5849645
2019-05-13,263787.00393983
2019-05-14,1612322.36781502
2019-05-15,214567.5217577
2019-05-16,323592.06949445
2019-05-17,224538.66148564
2019-05-18,214814.13246806
2019-05-19,280752.11003841
2019-05-20,228430.08122589
2019-05-21,212085.54174942
2019-05-22,165661.65304767
2019-05-23,1022380.98610799
2019-05-24,141536.77619695
2019-05-25,258236.87026677
2019-05-26,193763.31850128
2019-05-27,224260.91833856
2019-05-28,338286.36232928
2019-05-29,142749.15926011
2019-05-30,231749.39933208
2019-05-31,627542.1091502
2019-06-01,105340.17751127
2019-06-02,71887.95334695
2019-06-03,137437.69506715
2019-06-04,372487.11881049
2019-06-05,749845.36344919
2019-06-06,535207.57050775
2019-06-07,97880.29132571
2019-06-08,73400.74638518
2019-06-09,76191.82760006
2019-06-10,699691.83059545
2019-06-11,86553.46353075
2019-06-12,1250817.91416088
2019-06-13,236655.70558336
2019-06-14,118264.22705546
2019-06-15,68516.94577768
2019-06-16,123411.79240844
2019-06-17,127486.43154441
2019-06-18,344189.34769584
2019-06-19,184894.81799515
2019-06-20,529627.22429847
2019-06-21,240875.8630485
2019-06-22,237802.34557696
2019-06-23,400697.26406474
2019-06-24,640684.39417724
2019-06-25,432405.07167536
2019-06-26,529779.68855723
2019-06-27,277854.37858836
2019-06-28,206717.73793792
2019-06-29,129037.26756738
2019-06-30,148724.77180826
2019-07-01,139253.56768711
2019-07-02,515410.94172868
2019-07-03,246347.01141588
2019-07-04,280296.10436683
2019-07-05,235543.95198433
2019-07-06,105194.9525933
2019-07-07,99626.65448312
2019-07-08,231525.08101194
2019-07-09,180873.30129321
2019-07-10,279950.51759793
2019-07-11,435051.14604609
2019-07-12,287159.68568422
2019-07-13,234502.3690792
2019-07-14,159374.55328228
2019-07-15,401337.39735697
2019-07-16,335578.41196029
2019-07-17,240564.57267404
2019-07-18,108637.52507551
2019-07-19,133688.88445246
2019-07-20,98582.07867087
2019-07-21,233797.9453706
2019-07-22,402432.67027752
2019-07-23,1390108.0650073
2019-07-24,234396.8526699
2019-07-25,164687.23509525
2019-07-26,178345.56176732
2019-07-27,255632.86469713
2019-07-28,107668.3737023
2019-07-29,431766.25095288
2019-07-30,525208.41960636
2019-07-31,2164141.32971339
2019-08-01,2656443.41977273
2019-08-02,258043.52865902
2019-08-03,161018.06802751
2019-08-04,186527.48420445
2019-08-05,386262.26139952
2019-08-06,1106245.63717918
2019-08-07,380701.4592001
2019-08-08,315233.70254159
2019-08-09,192170.53370973
2019-08-10,609615.68774885
2019-08-11,58657.70107036
2019-08-12,515888.17573365
2019-08-13,351652.47069419
2019-08-14,129310.61927011
2019-08-15,165380.98291777
2019-08-16,168536.9888057
2019-08-17,202934.15813991
2019-08-18,365243.90841443
