date,Exchange Depositing Addresses
2018-09-12,1
2018-09-13,0
2018-09-14,0
2018-09-15,0
2018-09-16,0
2018-09-17,0
2018-09-18,0
2018-09-19,0
2018-09-20,0
2018-09-21,0
2018-09-22,0
2018-09-23,0
2018-09-24,0
2018-09-25,1
2018-09-26,7
2018-09-27,2
2018-09-28,3
2018-09-29,8
2018-09-30,3
2018-10-01,1
2018-10-02,0
2018-10-03,7
2018-10-04,2
2018-10-05,6
2018-10-06,0
2018-10-07,0
2018-10-08,5
2018-10-09,3
2018-10-10,7
2018-10-11,10
2018-10-12,10
2018-10-13,5
2018-10-14,2
2018-10-15,26
2018-10-16,13
2018-10-17,23
2018-10-18,6
2018-10-19,10
2018-10-20,5
2018-10-21,2
2018-10-22,8
2018-10-23,17
2018-10-24,15
2018-10-25,17
2018-10-26,19
2018-10-27,15
2018-10-28,8
2018-10-29,29
2018-10-30,20
2018-10-31,24
2018-11-01,14
2018-11-02,13
2018-11-03,21
2018-11-04,12
2018-11-05,22
2018-11-06,34
2018-11-07,26
2018-11-08,37
2018-11-09,16
2018-11-10,16
2018-11-11,16
2018-11-12,28
2018-11-13,31
2018-11-14,51
2018-11-15,96
2018-11-16,95
2018-11-17,123
2018-11-18,112
2018-11-19,219
2018-11-20,267
2018-11-21,183
2018-11-22,89
2018-11-23,170
2018-11-24,124
2018-11-25,181
2018-11-26,165
2018-11-27,197
2018-11-28,213
2018-11-29,205
2018-11-30,177
2018-12-01,122
2018-12-02,89
2018-12-03,133
2018-12-04,146
2018-12-05,165
2018-12-06,185
2018-12-07,291
2018-12-08,160
2018-12-09,122
2018-12-10,108
2018-12-11,188
2018-12-12,195
2018-12-13,181
2018-12-14,243
2018-12-15,185
2018-12-16,152
2018-12-17,232
2018-12-18,251
2018-12-19,349
2018-12-20,345
2018-12-21,344
2018-12-22,218
2018-12-23,256
2018-12-24,329
2018-12-25,212
2018-12-26,252
2018-12-27,229
2018-12-28,268
2018-12-29,186
2018-12-30,154
2018-12-31,197
2019-01-01,175
2019-01-02,220
2019-01-03,306
2019-01-04,256
2019-01-05,182
2019-01-06,146
2019-01-07,226
2019-01-08,270
2019-01-09,302
2019-01-10,361
2019-01-11,321
2019-01-12,183
2019-01-13,175
2019-01-14,112
2019-01-15,289
2019-01-16,216
2019-01-17,240
2019-01-18,223
2019-01-19,178
2019-01-20,158
2019-01-21,133
2019-01-22,160
2019-01-23,180
2019-01-24,201
2019-01-25,219
2019-01-26,175
2019-01-27,181
2019-01-28,357
2019-01-29,238
2019-01-30,219
2019-01-31,260
2019-02-01,253
