Datetime,Exchange Supply Ratio
2026-04-10T00:00:00Z,0.12596813
2026-04-09T00:00:00Z,0.12606976
2026-04-08T00:00:00Z,0.12635556
2026-04-07T00:00:00Z,0.1259535
2026-04-06T00:00:00Z,0.12572401
2026-04-05T00:00:00Z,0.12514754
2026-04-04T00:00:00Z,0.12529712
2026-04-03T00:00:00Z,0.12536666
2026-04-02T00:00:00Z,0.12538143
2026-04-01T00:00:00Z,0.12517187
2026-03-31T00:00:00Z,0.12577947
2026-03-30T00:00:00Z,0.12672218
2026-03-29T00:00:00Z,0.12689106
2026-03-28T00:00:00Z,0.12687651
2026-03-27T00:00:00Z,0.12690044
2026-03-26T00:00:00Z,0.12684567
2026-03-25T00:00:00Z,0.12668137
2026-03-24T00:00:00Z,0.12679375
2026-03-23T00:00:00Z,0.12733526
2026-03-22T00:00:00Z,0.12710373
2026-03-21T00:00:00Z,0.13413459
2026-03-20T00:00:00Z,0.13415078
2026-03-19T00:00:00Z,0.13392175
2026-03-18T00:00:00Z,0.13379096
2026-03-17T00:00:00Z,0.13402022
2026-03-16T00:00:00Z,0.13449734
2026-03-15T00:00:00Z,0.13433217
2026-03-14T00:00:00Z,0.13462003
2026-03-13T00:00:00Z,0.13467603
2026-03-12T00:00:00Z,0.13514389
2026-03-11T00:00:00Z,0.13595602
2026-03-10T00:00:00Z,0.13560764
2026-03-09T00:00:00Z,0.13605629
2026-03-08T00:00:00Z,0.1361462
2026-03-07T00:00:00Z,0.13631589
2026-03-06T00:00:00Z,0.13537164
2026-03-05T00:00:00Z,0.1350139
2026-03-04T00:00:00Z,0.13477635
2026-03-03T00:00:00Z,0.13523594
2026-03-02T00:00:00Z,0.13465641
2026-03-01T00:00:00Z,0.13503149
2026-02-28T00:00:00Z,0.13494796
2026-02-27T00:00:00Z,0.135276
2026-02-26T00:00:00Z,0.13557458
2026-02-25T00:00:00Z,0.13581369
2026-02-24T00:00:00Z,0.13621352
2026-02-23T00:00:00Z,0.13638022
2026-02-22T00:00:00Z,0.13588051
2026-02-21T00:00:00Z,0.1360627
2026-02-20T00:00:00Z,0.13613003
2026-02-19T00:00:00Z,0.13636472
2026-02-18T00:00:00Z,0.13632398
2026-02-17T00:00:00Z,0.13713977
2026-02-16T00:00:00Z,0.13664067
2026-02-15T00:00:00Z,0.13690582
2026-02-14T00:00:00Z,0.13575274
2026-02-13T00:00:00Z,0.13600392
2026-02-12T00:00:00Z,0.1354842
2026-02-11T00:00:00Z,0.13532451
2026-02-10T00:00:00Z,0.13552493
2026-02-09T00:00:00Z,0.13558601
2026-02-08T00:00:00Z,0.13598322
2026-02-07T00:00:00Z,0.13646761
2026-02-06T00:00:00Z,0.13838005
2026-02-05T00:00:00Z,0.13704192
2026-02-04T00:00:00Z,0.13859082
2026-02-03T00:00:00Z,0.13806182
2026-02-02T00:00:00Z,0.13759261
2026-02-01T00:00:00Z,0.13785687
2026-01-31T00:00:00Z,0.13742701
2026-01-30T00:00:00Z,0.1379524
2026-01-29T00:00:00Z,0.13770208
2026-01-28T00:00:00Z,0.13763906
2026-01-27T00:00:00Z,0.1378263
2026-01-26T00:00:00Z,0.13800375
2026-01-25T00:00:00Z,0.13818202
2026-01-24T00:00:00Z,0.13895255
2026-01-23T00:00:00Z,0.13882483
2026-01-22T00:00:00Z,0.13872436
2026-01-21T00:00:00Z,0.13860985
2026-01-20T00:00:00Z,0.13818865
2026-01-19T00:00:00Z,0.13880049
2026-01-18T00:00:00Z,0.13922906
2026-01-17T00:00:00Z,0.13938681
2026-01-16T00:00:00Z,0.13977625
2026-01-15T00:00:00Z,0.14001322
2026-01-14T00:00:00Z,0.14020496
2026-01-13T00:00:00Z,0.14025277
2026-01-12T00:00:00Z,0.14061641
2026-01-11T00:00:00Z,0.14144309
2026-01-10T00:00:00Z,0.14115602
2026-01-09T00:00:00Z,0.14101959
2026-01-08T00:00:00Z,0.14075498
2026-01-07T00:00:00Z,0.14053037
2026-01-06T00:00:00Z,0.13999198
2026-01-05T00:00:00Z,0.14072675
2026-01-04T00:00:00Z,0.14057695
2026-01-03T00:00:00Z,0.1416415
2026-01-02T00:00:00Z,0.14155987
2026-01-01T00:00:00Z,0.14195831
2025-12-31T00:00:00Z,0.14247919
2025-12-30T00:00:00Z,0.14237914
2025-12-29T00:00:00Z,0.14135983
2025-12-28T00:00:00Z,0.14200029
2025-12-27T00:00:00Z,0.14190506
2025-12-26T00:00:00Z,0.14179699
2025-12-25T00:00:00Z,0.14152295
2025-12-24T00:00:00Z,0.14144853
2025-12-23T00:00:00Z,0.14017204
2025-12-22T00:00:00Z,0.13887444
2025-12-21T00:00:00Z,0.13865078
2025-12-20T00:00:00Z,0.13879661
2025-12-19T00:00:00Z,0.13877549
2025-12-18T00:00:00Z,0.13861992
2025-12-17T00:00:00Z,0.13817939
2025-12-16T00:00:00Z,0.13785115
2025-12-15T00:00:00Z,0.13775571
2025-12-14T00:00:00Z,0.1383531
2025-12-13T00:00:00Z,0.13866883
2025-12-12T00:00:00Z,0.1388472
2025-12-11T00:00:00Z,0.13995241
2025-12-10T00:00:00Z,0.14036334
2025-12-09T00:00:00Z,0.1404981
2025-12-08T00:00:00Z,0.13987499
2025-12-07T00:00:00Z,0.14088931
2025-12-06T00:00:00Z,0.14091126
2025-12-05T00:00:00Z,0.14099153
2025-12-04T00:00:00Z,0.13993453
2025-12-03T00:00:00Z,0.13997186
2025-12-02T00:00:00Z,0.14077735
2025-12-01T00:00:00Z,0.14116725
2025-11-30T00:00:00Z,0.14160548
2025-11-29T00:00:00Z,0.14168025
2025-11-28T00:00:00Z,0.14195318
2025-11-27T00:00:00Z,0.14341989
2025-11-26T00:00:00Z,0.14347238
