date,Tokens Transferred Between EOA USD (Median)
2025-04-11,30.06402813584664
2025-04-12,30.905824777932
2025-04-13,23.5194736690759
2025-04-14,29.22859343844
2025-04-15,35.66225540571578
2025-04-16,28.70406678478413
2025-04-17,31.65599201251737
2025-04-18,28.5875966439
2025-04-19,19.88504753500576
2025-04-20,49.84801154925783
2025-04-21,19.0490709170196
2025-04-22,25.30714858893034
2025-04-23,28.41079609249037
2025-04-24,29.0296365806
2025-04-25,27.61771814971987
2025-04-26,42.39324933215135
2025-04-27,21.31876908732824
2025-04-28,22.845122785667424
2025-04-29,24.81747556548
2025-04-30,26.465466909501863
2025-05-01,36.502563867189714
2025-05-02,25.635664560413066
2025-05-03,33.03366826347926
2025-05-04,18.1269860168
2025-05-05,19.990441475606683
2025-05-06,25.54401184734673
2025-05-07,22.6620801503577
2025-05-08,40.5123971753175
2025-05-09,55.58326748293314
2025-05-10,64.00544290551522
2025-05-11,50.61120970574697
2025-05-12,52.9109315374596
2025-05-13,49.52886842489789
2025-05-14,41.22406458962652
2025-05-15,38.377590500621416
2025-05-16,45.24328025074747
2025-05-17,14.62753797763376
2025-05-18,26.043478823463264
2025-05-19,31.261485076925734
2025-05-20,25.2456201808
2025-05-21,40.04553184129385
2025-05-22,53.2845542286
2025-05-23,47.97809285439
2025-05-24,37.59417355136545
2025-05-25,30.726756915298715
2025-05-26,35.8397002860091
2025-05-27,37.2454093851
2025-05-28,34.576607825696854
2025-05-29,47.869183345198735
2025-05-30,25.3162269739
2025-05-31,2.49217585559198
2025-06-01,25.784788871969464
2025-06-02,36.52001519894
2025-06-03,41.49823134896
2025-06-04,44.40277288435154
2025-06-05,44.63562857958091
2025-06-06,44.60927619438
2025-06-07,25.2646479993
2025-06-08,19.777787429960785
2025-06-09,37.64585840335876
2025-06-10,40.45436113903293
2025-06-11,37.568212199543744
2025-06-12,26.595502596782502
2025-06-13,43.33595469878114
2025-06-14,20.705876248186307
2025-06-15,29.728755851812554
2025-06-16,42.311789968457326
2025-06-17,35.18152134616
2025-06-18,30.30328652976
2025-06-19,35.34128201990895
2025-06-20,42.629408529849385
2025-06-21,23.49140286922768
2025-06-22,31.1927511133
2025-06-23,35.58668331685289
2025-06-24,21.46241567514107
2025-06-25,12.412451031320574
2025-06-26,24.1726022522
2025-06-27,33.27709957248099
2025-06-28,16.367438746868782
2025-06-29,25.0075681152
2025-06-30,32.106977147721615
2025-07-01,39.14384332524733
2025-07-02,37.14741283983234
2025-07-03,34.33941027953264
2025-07-04,23.65594923864668
2025-07-05,20.250456203146708
2025-07-06,25.67844262271138
2025-07-07,30.527876064167927
2025-07-08,30.98937797464216
2025-07-09,42.36366403747684
2025-07-10,44.26311668355
2025-07-11,43.04474740500129
2025-07-12,30.28853941972762
2025-07-13,32.343945013233096
2025-07-14,41.9252334119034
2025-07-15,45.79588442006009
2025-07-16,51.14336822951091
2025-07-17,48.70810749742
2025-07-18,51.42963652702839
2025-07-19,35.9411639178
2025-07-20,40.35840896397038
2025-07-21,39.37423509699865
2025-07-22,39.35463106008
2025-07-23,36.2964002311
2025-07-24,36.796464163653
2025-07-25,29.428731145638
2025-07-26,27.87575471576056
2025-07-27,27.11249696225
2025-07-28,37.9981868726
2025-07-29,37.74632872436756
2025-07-30,28.575166543316083
2025-07-31,27.63155712347152
2025-08-01,37.2340188240876
2025-08-02,42.58252533551361
2025-08-03,48.9641959233
2025-08-04,49.47896940359522
2025-08-05,31.992742604879528
2025-08-06,27.241562021783512
2025-08-07,46.83167409887477
2025-08-08,40.59228682655291
2025-08-09,52.89104717317508
2025-08-10,41.878024920479554
2025-08-11,48.574999474585
2025-08-12,55.88006306993067
2025-08-13,61.55739763675384
2025-08-14,53.03935803424775
2025-08-15,47.9404065058089
2025-08-16,44.2493384293
2025-08-17,48.9461747577759
2025-08-18,51.78031632636
2025-08-19,42.1568211970669
2025-08-20,42.89072813060708
