date,Transaction Count (Mean)
2020-11-02,178.69477912
2020-11-03,171.73350721
2020-11-04,174.24911904
2020-11-05,173.2316549
2020-11-06,179.22786359
2020-11-07,174.11107692
2020-11-08,155.47032732
2020-11-09,176.37851544
2020-11-10,179.39476131
2020-11-11,167.98131127
2020-11-12,168.80420762
2020-11-13,176.97842057
2020-11-14,163.10959951
2020-11-15,158.48273755
2020-11-16,170.70907968
2020-11-17,179.77195402
2020-11-18,173.60563817
2020-11-19,169.8816765
2020-11-20,180.23419095
2020-11-21,178.52314956
2020-11-22,176.37210017
2020-11-23,188.13083243
2020-11-24,188.8338663
2020-11-25,186.41582934
2020-11-26,179.60048982
2020-11-27,171.86987689
2020-11-28,150.37657221
2020-11-29,152.63052826
2020-11-30,180.20015221
2020-12-01,179.83755177
2020-12-02,166.33892253
2020-12-03,169.87010215
2020-12-04,175.89347186
2020-12-05,162.54380293
2020-12-06,157.74855139
2020-12-07,170.53379737
2020-12-08,177.33127699
2020-12-09,174.28774799
2020-12-10,170.02785992
2020-12-11,173.01264261
2020-12-12,168.24279772
2020-12-13,176.15276707
2020-12-14,190.31161864
2020-12-15,187.283865
2020-12-16,193.07834736
2020-12-17,205.24174312
2020-12-18,183.93930057
2020-12-19,178.51888241
2020-12-20,164.21660043
2020-12-21,176.3451722
2020-12-22,176.42279299
2020-12-23,190.1330908
2020-12-24,176.62179289
2020-12-25,177.22097902
2020-12-26,173.10679022
2020-12-27,180.91149355
2020-12-28,190.50826133
2020-12-29,188.25319813
2020-12-30,187.59978606
2020-12-31,179.00276838
2021-01-01,173.67639419
2021-01-02,177.37297379
2021-01-03,190.61442248
2021-01-04,195.66809882
2021-01-05,192.65783833
2021-01-06,197.44548959
2021-01-07,201.76631448
2021-01-08,195.50326103
2021-01-09,190.20367511
2021-01-10,184.71208422
2021-01-11,196.12208946
2021-01-12,177.8044241
2021-01-13,171.70126505
2021-01-14,184.92101155
2021-01-15,186.47424404
2021-01-16,183.36493546
2021-01-17,174.48352325
2021-01-18,187.49276478
2021-01-19,191.67855503
2021-01-20,184.54393433
2021-01-21,181.87557888
2021-01-22,182.50177442
2021-01-23,174.38709677
2021-01-24,172.4647431
2021-01-25,185.0495095
2021-01-26,183.38885477
2021-01-27,176.40383426
2021-01-28,183.26161896
2021-01-29,200.52115295
2021-01-30,190.64804382
2021-01-31,187.57330119
