date,Transactions Between EOA (Mean)
2020-11-02,52.62882298
2020-11-03,49.58867751
2020-11-04,58.96568102
2020-11-05,53.37135401
2020-11-06,57.51368711
2020-11-07,54.23446154
2020-11-08,46.41954726
2020-11-09,50.84186261
2020-11-10,51.52107874
2020-11-11,50.8036152
2020-11-12,50.11901106
2020-11-13,53.84205693
2020-11-14,50.98838276
2020-11-15,45.6726245
2020-11-16,52.08307597
2020-11-17,54.84704981
2020-11-18,55.39637546
2020-11-19,53.43410501
2020-11-20,59.45799752
2020-11-21,59.44121231
2020-11-22,58.72607159
2020-11-23,61.92605798
2020-11-24,62.52078575
2020-11-25,61.91173288
2020-11-26,57.78417266
2020-11-27,55.88733053
2020-11-28,47.72647371
2020-11-29,54.37791769
2020-11-30,57.21445967
2020-12-01,56.01748734
2020-12-02,50.24375097
2020-12-03,52.97774051
2020-12-04,52.70429524
2020-12-05,51.33487298
2020-12-06,46.30024398
2020-12-07,50.76875483
2020-12-08,53.64882788
2020-12-09,52.60411934
2020-12-10,50.27626459
2020-12-11,54.32408264
2020-12-12,56.34324449
2020-12-13,62.17958995
2020-12-14,66.56483752
2020-12-15,62.78779473
2020-12-16,66.50436113
2020-12-17,78.99770642
2020-12-18,63.23293791
2020-12-19,63.83282161
2020-12-20,49.90981351
2020-12-21,54.48293358
2020-12-22,55.31667179
2020-12-23,61.27997575
2020-12-24,55.68717156
2020-12-25,55.84770785
2020-12-26,56.69421237
2020-12-27,63.22188076
2020-12-28,63.99378505
2020-12-29,63.31326053
2020-12-30,61.36338631
2020-12-31,59.04398647
2021-01-01,58.49778457
2021-01-02,56.67414028
2021-01-03,70.47961705
2021-01-04,75.63833052
2021-01-05,71.04623393
2021-01-06,73.78396299
2021-01-07,79.31650093
2021-01-08,73.61762475
2021-01-09,72.34434836
2021-01-10,68.96353372
2021-01-11,76.35784314
2021-01-12,62.09534706
2021-01-13,58.67657369
2021-01-14,64.51982516
2021-01-15,68.52454034
2021-01-16,67.32713583
2021-01-17,60.54973822
2021-01-18,66.0583436
2021-01-19,74.21827644
2021-01-20,68.958346
2021-01-21,65.11654832
2021-01-22,66.11248264
2021-01-23,62.21097691
2021-01-24,62.8850486
2021-01-25,68.58905579
2021-01-26,67.762358
2021-01-27,60.79576376
2021-01-28,65.87534626
2021-01-29,76.92019216
2021-01-30,74.06071987
2021-01-31,70.04520115
2021-02-01,77.47819387
2021-02-02,78.46242686
2021-02-03,81.39358421
2021-02-04,80.39533456
2021-02-05,83.01287421
2021-02-06,76.1024697
2021-02-07,75.95605737
2021-02-08,80.2119666
2021-02-09,81.64240555
2021-02-10,80.58180147
2021-02-11,79.67300905
2021-02-12,79.42519926
2021-02-13,75.86921999
2021-02-14,69.39259033
2021-02-15,68.36991995
2021-02-16,72.04672321
2021-02-17,75.238357
2021-02-18,79.84581976
2021-02-19,81.11874715
2021-02-20,82.60123172
2021-02-21,73.22683115
2021-02-22,77.18011084
2021-02-23,76.96524146
2021-02-24,78.23357551
2021-02-25,74.07198772
2021-02-26,75.05395903
2021-02-27,73.4989983
2021-02-28,70.99953611
2021-03-01,72.48980852
2021-03-02,75.16625954
2021-03-03,74.14325843
2021-03-04,75.13031466
2021-03-05,67.68766284
2021-03-06,69.56330946
2021-03-07,67.79990736
2021-03-08,71.44046154
2021-03-09,77.51577802
2021-03-10,78.38533374
2021-03-11,83.5167576
2021-03-12,81.87805255
2021-03-13,81.3914312
2021-03-14,76.53955842
2021-03-15,81.65636166
2021-03-16,79.07193252
2021-03-17,78.59654534
2021-03-18,82.27457314
2021-03-19,78.9279127
2021-03-20,78.06771871
2021-03-21,73.2409282
2021-03-22,78.55084746
2021-03-23,80.17309762
2021-03-24,79.28269587
2021-03-25,82.46745471
2021-03-26,76.52989754
2021-03-27,74.37779491
2021-03-28,72.44001232
2021-03-29,75.39917063
2021-03-30,80.36821111
2021-03-31,84.53859268
2021-04-01,89.37338858
2021-04-02,86.73163929
