date,Tokens Transferred Between EOA (Mean)
2025-04-11,3.431882569704737
2025-04-12,1.6856680048199963
2025-04-13,2.1164936152373945
2025-04-14,4.526522575906888
2025-04-15,3.361457878422029
2025-04-16,2.78650592686344
2025-04-17,3.116053801085427
2025-04-18,2.5273129615517265
2025-04-19,2.148348231219388
2025-04-20,2.301278132384612
2025-04-21,4.208003286361413
2025-04-22,5.671766304880585
2025-04-23,4.5814353179838445
2025-04-24,4.679883737415745
2025-04-25,3.972918696056946
2025-04-26,1.53457992498908
2025-04-27,2.186270505067048
2025-04-28,4.745691448725832
2025-04-29,3.658325219332465
2025-04-30,2.7228976244230534
2025-05-01,2.6641453639527946
2025-05-02,2.383596936516613
2025-05-03,1.1138595700705132
2025-05-04,1.3304408760353827
2025-05-05,2.548460827856024
2025-05-06,2.1909409819046743
2025-05-07,2.860399850659565
2025-05-08,5.078140584588791
2025-05-09,5.147405204362415
2025-05-10,2.9226423941684767
2025-05-11,2.889184301471587
2025-05-12,4.858347512957008
2025-05-13,4.536417550942456
2025-05-14,4.216518984847268
2025-05-15,4.562209561262203
2025-05-16,3.769289695351581
2025-05-17,1.962021330127768
2025-05-18,1.8817841288828137
2025-05-19,4.219403992724776
2025-05-20,3.5782126823513813
2025-05-21,5.480647752679188
2025-05-22,4.54375940975968
2025-05-23,5.891619868508634
2025-05-24,1.382481404661894
2025-05-25,2.0893926015608404
2025-05-26,2.4840347517047983
2025-05-27,3.955952003349776
2025-05-28,3.648052589772965
2025-05-29,4.130671177338722
2025-05-30,3.46036268326099
2025-05-31,1.106139144995073
2025-06-01,1.5888306117254685
2025-06-02,3.760372661192639
2025-06-03,4.829630436270835
2025-06-04,4.599680069796444
2025-06-05,5.190267349810846
2025-06-06,4.233744871467207
2025-06-07,1.2277220986673008
2025-06-08,1.826415615276608
2025-06-09,3.4211525721227978
2025-06-10,5.706995937232043
2025-06-11,5.128880444900951
2025-06-12,4.359077233159881
2025-06-13,5.131547108906515
2025-06-14,1.115128508024586
2025-06-15,1.1675664626415765
2025-06-16,3.8082124367019983
2025-06-17,3.257707023309524
2025-06-18,3.1759899282300967
2025-06-19,2.7478408747769865
2025-06-20,5.448089469285413
2025-06-21,1.8412665424346728
2025-06-22,3.379798436180624
2025-06-23,3.841782408971641
2025-06-24,3.4232483602073875
2025-06-25,2.4026679392496466
2025-06-26,2.782346667708996
2025-06-27,2.74532608373496
2025-06-28,1.1058004332378322
2025-06-29,1.2814954686902795
2025-06-30,3.2654599144424155
2025-07-01,3.878599052843191
2025-07-02,3.1530982274736603
2025-07-03,3.1307582978423767
2025-07-04,1.8050152139323927
2025-07-05,1.01070644920688
2025-07-06,0.9280586202648436
2025-07-07,2.6173561814161506
2025-07-08,2.558043406349402
2025-07-09,4.114196685327632
2025-07-10,4.739155929833441
2025-07-11,6.207304737301466
2025-07-12,1.9626132513733097
2025-07-13,1.7209668570989085
2025-07-14,5.136022274906644
2025-07-15,4.899019608384773
2025-07-16,6.197248349557956
2025-07-17,6.230193856506919
2025-07-18,7.924699936972011
2025-07-19,1.9312124521630256
2025-07-20,2.957585122864652
2025-07-21,5.9516190203164
2025-07-22,4.797457754317669
2025-07-23,5.7844666988417
2025-07-24,4.812480928753471
2025-07-25,4.656909204419681
2025-07-26,1.4479004260759485
2025-07-27,2.0293482383806234
2025-07-28,4.521405872314944
2025-07-29,2.9139470460007417
2025-07-30,3.533545838386593
2025-07-31,2.519258036998401
2025-08-01,3.463068719549668
2025-08-02,1.44041570492498
2025-08-03,1.2908329873484687
2025-08-04,3.07538026245408
2025-08-05,2.867225934203884
2025-08-06,2.229868050263077
2025-08-07,2.9827534781557894
2025-08-08,4.389495854629409
2025-08-09,3.026488824643601
2025-08-10,2.1774962865707805
2025-08-11,4.746225922840356
2025-08-12,5.644977184974623
2025-08-13,5.495045723963219
2025-08-14,6.023149376334724
2025-08-15,4.698744960383365
2025-08-16,1.810914172890776
2025-08-17,1.2784021835159818
2025-08-18,4.823232102153478
2025-08-19,3.005401821881676
2025-08-20,3.7176609338395776
2025-08-21,3.108011761959568
2025-08-22,4.759057963467782
2025-08-23,3.736134583590544
2025-08-24,3.5045202941931053
2025-08-25,5.043224577578177
2025-08-26,5.097197238920646
2025-08-27,4.799962529777081
2025-08-28,3.4049740741755605
2025-08-29,3.656428377165685
2025-08-30,1.6421388288115673
2025-08-31,1.87396516465063
2025-09-01,3.512213892396574
2025-09-02,3.302133941262185
2025-09-03,3.643038881542601
2025-09-04,3.5576221202879608
2025-09-05,3.7096040725022896
2025-09-06,1.224184796525279
2025-09-07,0.9058615351667816
2025-09-08,3.401535444727577
2025-09-09,2.934799665993459
2025-09-10,2.794845192137072
2025-09-11,2.5506977523590377
2025-09-12,2.6950830425222856
2025-09-13,1.221251866579636
2025-09-14,1.4050588866157596
2025-09-15,3.172849140947536
2025-09-16,3.593476103769443
2025-09-17,3.455799278892995
2025-09-18,4.481128249727479
2025-09-19,3.456410179098756
2025-09-20,1.07357499073348
2025-09-21,1.3329924433038212
2025-09-22,5.2223145214246784
2025-09-23,2.4637024715794884
2025-09-24,3.283232795738906
2025-09-25,5.261756849650213
2025-09-26,4.278449136758172
2025-09-27,1.2399761977512076
2025-09-28,0.999484694756621
2025-09-29,3.018883351506676
2025-09-30,3.642018706981982
2025-10-01,3.662097408090413
2025-10-02,2.8734082950179203
2025-10-03,3.098602140528357
2025-10-04,1.7478339024297609
2025-10-05,2.087609473569975
2025-10-06,3.329537536273324
2025-10-07,3.968648757083121
2025-10-08,4.194702667445256
2025-10-09,2.9464405799507367
2025-10-10,3.682393963056603
2025-10-11,4.901269363918505
2025-10-12,2.3120360913929563
2025-10-13,3.328412292347481
2025-10-14,5.764771830028344
2025-10-15,3.242466467103164
2025-10-16,3.027384350070671
2025-10-17,3.532606568332856
2025-10-18,1.1718379793067024
2025-10-19,1.6037287588604612
2025-10-20,3.640787602596273
2025-10-21,2.7058235873505367
2025-10-22,2.445264274711336
2025-10-23,3.0992250989043706
2025-10-24,3.0695159892263977
2025-10-25,1.2005353247010695
2025-10-26,2.22402554924358
2025-10-27,3.0172337876577293
2025-10-28,2.789850843681192
2025-10-29,3.4712885090671115
2025-10-30,3.310465949931681
2025-10-31,2.8150457388033674
2025-11-01,2.032137147663997
2025-11-02,1.457735786023446
2025-11-03,3.885056589809838
2025-11-04,5.959642006988555
2025-11-05,4.940329921386065
2025-11-06,3.6817226419261697
2025-11-07,4.224008485401987
2025-11-08,1.0369532641261752
2025-11-09,1.373472826044319
2025-11-10,2.791381568978184
2025-11-11,2.7842234314197416
2025-11-12,3.376420779205503
2025-11-13,4.486037906514931
2025-11-14,4.722970112766841
2025-11-15,1.3348041786393434
2025-11-16,1.87363333223072
2025-11-17,4.019977206133566
2025-11-18,5.335909310676209
2025-11-19,4.051160593127276
2025-11-20,3.2820893193071625
2025-11-21,5.931174498474511
2025-11-22,1.9517019973903
2025-11-23,11.695437285306872
2025-11-24,3.799888947129785
2025-11-25,2.720269235144439
2025-11-26,2.701336596057847
2025-11-27,1.3904515440476917
2025-11-28,2.613219169034519
2025-11-29,1.4199123859052118
2025-11-30,0.7982890817372014
2025-12-01,3.0948866156323143
2025-12-02,2.7943948002002186
2025-12-03,2.648958566464787
2025-12-04,2.827346369452217
