date,Tokens Transferred by External Contract Calls USD (Total)
2025-04-11,610744846.5050994
2025-04-12,365927566.19999576
2025-04-13,432123379.3279905
2025-04-14,526242373.94778246
2025-04-15,539905540.09874
2025-04-16,580062477.9522204
2025-04-17,513185102.47488064
2025-04-18,297042418.6429069
2025-04-19,265720550.1715654
2025-04-20,314182135.234812
2025-04-21,441322117.8477087
2025-04-22,1079117393.718089
2025-04-23,868928942.6051179
2025-04-24,671243198.3086476
2025-04-25,539513161.0482557
2025-04-26,401134369.64381
2025-04-27,304983612.43232554
2025-04-28,669769474.7901949
2025-04-29,604336259.8361416
2025-04-30,498062361.88236135
2025-05-01,524538620.77347726
2025-05-02,416667978.5421069
2025-05-03,236055537.746609
2025-05-04,334929578.9301872
2025-05-05,490854188.8565108
2025-05-06,569629108.8387787
2025-05-07,633325167.7057964
2025-05-08,922575824.4835784
2025-05-09,1753211946.689927
2025-05-10,841876828.8656099
2025-05-11,770445291.3427293
2025-05-12,1402160513.4798048
2025-05-13,1170277371.9522111
2025-05-14,1210061230.285282
2025-05-15,1220829096.9236045
2025-05-16,1110562441.0914702
2025-05-17,570692557.7562611
2025-05-18,499516240.5426285
2025-05-19,1124189937.8338697
2025-05-20,625465893.5674409
2025-05-21,962902438.549937
2025-05-22,1640491047.5545795
2025-05-23,1427278536.695057
2025-05-24,472119639.69452
2025-05-25,401893848.786728
2025-05-26,710433576.8852793
2025-05-27,919536709.0870712
2025-05-28,954727177.8383926
2025-05-29,902670927.4935836
2025-05-30,889548668.9270386
2025-05-31,523986134.5552988
2025-06-01,402244054.7506492
2025-06-02,1186231837.9721596
2025-06-03,1393528586.514552
2025-06-04,780655517.1765456
2025-06-05,924141884.92702
2025-06-06,787662804.771887
2025-06-07,446725847.31003815
2025-06-08,391528245.1701464
2025-06-09,677120331.1287805
2025-06-10,1620960347.0403285
2025-06-11,977485437.1823728
2025-06-12,1269097575.8380682
2025-06-13,1200560757.36628
2025-06-14,356565531.5430013
2025-06-15,324779511.17051464
2025-06-16,937590100.6943226
2025-06-17,828270560.4791975
2025-06-18,607152867.9415774
2025-06-19,578227882.0363712
2025-06-20,1018002925.896033
2025-06-21,654304911.0305097
2025-06-22,886130677.1131061
2025-06-23,1021202860.7569206
2025-06-24,838429582.1769775
2025-06-25,756356970.3074615
2025-06-26,534632418.2936857
2025-06-27,534232996.4754388
2025-06-28,485967130.2736432
2025-06-29,408387326.1791765
2025-06-30,667452886.9551791
2025-07-01,587302025.4748923
2025-07-02,707931844.6341103
2025-07-03,692592895.1957157
2025-07-04,494623020.52410144
2025-07-05,393859920.49090433
2025-07-06,380673609.0697565
2025-07-07,1082744069.7769854
2025-07-08,662273790.0873797
2025-07-09,1374763846.0248094
2025-07-10,1412090957.067047
2025-07-11,1818660560.5886648
2025-07-12,493547595.7731257
2025-07-13,624117389.6304605
2025-07-14,1632106113.591854
2025-07-15,1338534655.761778
2025-07-16,1944856934.7820148
2025-07-17,1934101019.8591025
2025-07-18,3451724947.1951795
2025-07-19,1193199580.719246
2025-07-20,1003948814.5768142
2025-07-21,2317250622.2884607
2025-07-22,2076066297.3653345
2025-07-23,2038835044.663686
2025-07-24,2304191112.271882
2025-07-25,2551050615.510318
2025-07-26,1030263149.4619144
2025-07-27,1428956505.5740085
2025-07-28,1745950372.5857315
2025-07-29,1559406167.8994648
2025-07-30,1480820485.1695192
2025-07-31,1934877279.0191724
2025-08-01,1519070215.745476
2025-08-02,760204877.5399212
2025-08-03,812235416.7890205
2025-08-04,1790460294.6411994
2025-08-05,1684290331.696992
2025-08-06,1452829160.948616
2025-08-07,1752029262.126464
2025-08-08,2504055421.141458
2025-08-09,1918206107.071518
2025-08-10,1611769348.6392107
2025-08-11,2807388625.9458866
2025-08-12,3970013784.9522295
2025-08-13,4174007511.729085
2025-08-14,5190931078.256752
2025-08-15,3869399380.7020574
2025-08-16,1014263896.2834044
2025-08-17,1057362183.2906162
2025-08-18,2716064052.5681906
2025-08-19,2373338081.139809
2025-08-20,2013038676.460786
2025-08-21,2058596287.1616824
2025-08-22,3452305233.9772778
2025-08-23,1462372054.035931
2025-08-24,4635693456.511532
2025-08-25,3669291618.392732
2025-08-26,2478132150.520456
2025-08-27,3206049109.054434
2025-08-28,1451281884.2575934
2025-08-29,1632244783.1923342
2025-08-30,1343740154.2788632
2025-08-31,989272881.8970076
2025-09-01,2139720107.9967628
2025-09-02,1710133834.4740658
2025-09-03,1983423002.1913805
2025-09-04,2787645613.254032
2025-09-05,1700356361.3392618
2025-09-06,648211925.8275533
2025-09-07,732804232.9973137
2025-09-08,2272597640.840409
2025-09-09,1740225869.4630256
2025-09-10,1587314924.716713
2025-09-11,1435058591.677844
2025-09-12,2024383524.5718544
2025-09-13,986169177.1446548
2025-09-14,710600567.9292752
2025-09-15,1712285698.0390618
2025-09-16,1910075075.0526123
2025-09-17,1574870413.2875752
2025-09-18,1400229447.6776965
2025-09-19,2494735549.064492
2025-09-20,721946914.2456063
2025-09-21,871233960.6693037
2025-09-22,1987524554.8355308
2025-09-23,1229251002.8092618
2025-09-24,2422074088.6264834
2025-09-25,2328734659.434092
2025-09-26,2589919689.45813
2025-09-27,640841990.4665709
2025-09-28,794419984.2384635
2025-09-29,1550185490.4050412
2025-09-30,2349260439.9560657
2025-10-01,1555568857.6756868
2025-10-02,1754702867.4271815
2025-10-03,1704898955.800306
2025-10-04,667941836.8283794
2025-10-05,886822050.336488
2025-10-06,2715113970.701902
2025-10-07,3112909764.5443115
2025-10-08,6929304955.2094
2025-10-09,2048962813.456443
2025-10-10,2066727836.6754096
2025-10-11,1780581699.9880698
2025-10-12,1301677159.7322388
2025-10-13,2511103911.5241404
2025-10-14,2217788426.755516
2025-10-15,2214554794.5561457
2025-10-16,1421550761.7454178
2025-10-17,1543616342.1080232
2025-10-18,454238183.9072303
2025-10-19,592233064.9443413
2025-10-20,1137326077.792716
2025-10-21,1457977051.1482809
2025-10-22,1354806123.2853413
2025-10-23,1475693514.8506649
2025-10-24,2230462922.1581984
2025-10-25,493107680.0043438
2025-10-26,1677763652.2132137
2025-10-27,1379857818.2675605
2025-10-28,1880755288.618864
2025-10-29,1759387526.1856935
2025-10-30,1790973444.2150795
2025-10-31,1717246439.8602667
2025-11-01,1216520427.346894
2025-11-02,404242423.4316105
2025-11-03,1561958643.6349027
2025-11-04,2491171575.992418
2025-11-05,2521874601.377302
2025-11-06,1614838211.9711118
2025-11-07,1454709422.3429725
2025-11-08,519301838.61206543
2025-11-09,694347655.8171275
2025-11-10,1478206409.286146
2025-11-11,1233473222.852379
2025-11-12,1456558356.1024406
2025-11-13,2215679428.3120885
2025-11-14,1878064708.037376
2025-11-15,639150491.2079768
2025-11-16,936153598.2406625
2025-11-17,1313245126.4420311
2025-11-18,1804288834.40616
2025-11-19,1272781956.845381
2025-11-20,1426623112.728321
2025-11-21,1517383899.2341275
2025-11-22,679497770.7377168
2025-11-23,515060243.2918228
2025-11-24,1140820579.2429848
2025-11-25,1227976595.8849444
2025-11-26,1026997448.8218076
2025-11-27,793418334.4366375
2025-11-28,972049607.5969232
2025-11-29,456729459.5156536
2025-11-30,291620307.4618277
2025-12-01,1993520491.971692
2025-12-02,1427398434.7788315
2025-12-03,1226249489.2497797
2025-12-04,993067549.0752784
2025-12-05,904882869.9007792
2025-12-06,478163290.54584944
2025-12-07,403203016.6728217
2025-12-08,656578377.122269
2025-12-09,886599404.3598946
2025-12-10,1307806861.6067894
2025-12-11,1190788992.1577816
2025-12-12,1553351900.43133
2025-12-13,502985154.4576236
2025-12-14,523430105.9901525
2025-12-15,1238849862.9607534
2025-12-16,904379428.7018552
2025-12-17,740146473.8122462
2025-12-18,788546377.5270056
2025-12-19,1584888845.0257032
2025-12-20,290842847.30993634
2025-12-21,276667393.8390065
2025-12-22,756101845.0347588
2025-12-23,1036419019.8394296
2025-12-24,617521756.0742555
2025-12-25,398224190.1627855
2025-12-26,932034086.219898
2025-12-27,904808910.9555815
2025-12-28,672615532.9234676
2025-12-29,1007638557.1118948
2025-12-30,864178158.5380288
2025-12-31,811358663.9229994
2026-01-01,530847508.6314768
2026-01-02,1170507353.9406128
2026-01-03,501477541.4390849
2026-01-04,740407409.5752532
2026-01-05,1672330197.39392
2026-01-06,1214205839.695306
2026-01-07,1248135483.047252
2026-01-08,1694278201.9640932
2026-01-09,906815541.6441492
2026-01-10,727384490.9910879
2026-01-11,640734244.6301699
2026-01-12,1406949144.2272856
2026-01-13,1208720918.9454997
2026-01-14,2071949115.497429
2026-01-15,803640273.816336
2026-01-16,961807012.3218602
2026-01-17,386578916.1257479
2026-01-18,352441552.309325
2026-01-19,1144144458.056005
2026-01-20,1673829912.4681094
2026-01-21,1288917162.2236853
2026-01-22,1650949716.1896796
2026-01-23,772646258.4095732
2026-01-24,267521053.4227964
2026-01-25,826446227.9027358
2026-01-26,2107467307.0094736
2026-01-27,1016420531.623688
2026-01-28,1330147684.1792798
2026-01-29,1080661426.9725063
2026-01-30,893242009.5054358
2026-01-31,1569716719.5873122
2026-02-01,947881443.8489304
2026-02-02,1519555127.987661
2026-02-03,1094121258.1586754
2026-02-04,1186448746.4165134
2026-02-05,2044677616.986928
2026-02-06,1890687674.4394488
2026-02-07,708878012.6783601
2026-02-08,417461913.778399
2026-02-09,845065000.3259343
2026-02-10,1137153881.8021946
2026-02-11,790072756.4263562
2026-02-12,694293350.8963956
2026-02-13,1071075071.5197788
2026-02-14,333856549.748826
2026-02-15,670309863.6184193
2026-02-16,411640326.0529063
2026-02-17,742039498.5213932
