date,Transaction Count - Internal, External, EOA (Total)
2023-03-12,5654095,,
2023-03-13,5496346,,
2023-03-14,5176504,,
2023-03-15,5113937,,
2023-03-16,5159846,,
2023-03-17,5076147,,
2023-03-18,5167217,,
2023-03-19,5102347,,
2023-03-20,5153431,,
2023-03-21,5105221,,
2023-03-22,5283960,,
2023-03-23,5123972,,
2023-03-24,5007716,,
2023-03-25,5023097,,
2023-03-26,5342726,,
2023-03-27,5244196,,
2023-03-28,5032822,,
2023-03-29,5049666,,
2023-03-30,4930900,,
2023-03-31,4964398,,
2023-04-01,5008178,,
2023-04-02,4912621,,
2023-04-03,4949187,,
2023-04-04,4814245,,
2023-04-05,4841159,,
2023-04-06,4826136,,
2023-04-07,4747368,,
2023-04-08,4718806,,
2023-04-09,4712518,,
2023-04-10,4702101,,
2023-04-11,4618630,,
2023-04-12,4744869,,
2023-04-13,4330635,,
2023-04-14,4806128,,
2023-04-15,4723183,,
2023-04-16,4795735,,
2023-04-17,5040542,,
2023-04-18,5650787,,
2023-04-19,5751792,,
2023-04-20,5582983,,
2023-04-21,5814081,,
2023-04-22,5170946,,
2023-04-23,5295175,,
2023-04-24,5215672,,
2023-04-25,5262801,,
2023-04-26,5282895,,
2023-04-27,5020329,,
2023-04-28,5143803,,
2023-04-29,5175549,,
2023-04-30,5626827,,
2023-05-01,5866324,,
2023-05-02,5979715,,
2023-05-03,5752977,,
2023-05-04,5920420,,
2023-05-05,5910389,,
2023-05-06,6123875,,
2023-05-07,6239304,,
2023-05-08,6074377,,
2023-05-09,5922371,,
2023-05-10,5893681,,
2023-05-11,5800332,,
2023-05-12,5562197,,
2023-05-13,5466618,,
2023-05-14,5519077,,
2023-05-15,5461881,,
2023-05-16,5258484,,
2023-05-17,5299430,,
2023-05-18,5526635,,
2023-05-19,5271554,,
2023-05-20,5202034,,
2023-05-21,5392062,,
2023-05-22,5555728,,
2023-05-23,5649065,,
2023-05-24,5451504,,
2023-05-25,5313350,,
