date,Tokens Transferred USD - Internal, External, EOA (Total)
2025-04-11,4814384137.768667,,
2025-04-12,3143837073.713569,,
2025-04-13,3322989135.440125,,
2025-04-14,5282492175.02702,,
2025-04-15,4364270609.800282,,
2025-04-16,4518364686.662967,,
2025-04-17,3918064696.699343,,
2025-04-18,2731231313.4719114,,
2025-04-19,2556124522.6367254,,
2025-04-20,2580163180.5511456,,
2025-04-21,5037481430.346992,,
2025-04-22,9409577560.54033,,
2025-04-23,6983505691.258061,,
2025-04-24,6494649744.758351,,
2025-04-25,5803958866.91033,,
2025-04-26,5963767976.149445,,
2025-04-27,5486732735.834584,,
2025-04-28,6194195874.460029,,
2025-04-29,5252548786.232361,,
2025-04-30,4195036743.322748,,
2025-05-01,4388629047.46947,,
2025-05-02,3711923720.947751,,
2025-05-03,1760756879.3248236,,
2025-05-04,2435819314.9217668,,
2025-05-05,3873722366.4125977,,
2025-05-06,4637325163.189612,,
2025-05-07,4445872451.071787,,
2025-05-08,10558794352.503164,,
2025-05-09,13623584866.830751,,
2025-05-10,7298610784.681467,,
2025-05-11,6167208813.214837,,
2025-05-12,9972059077.807789,,
2025-05-13,10584728621.058657,,
2025-05-14,9988209941.700356,,
2025-05-15,10088468289.242424,,
2025-05-16,8517675314.463198,,
2025-05-17,4870255841.385162,,
2025-05-18,4259315175.853664,,
2025-05-19,9047940891.108244,,
2025-05-20,7933201848.632781,,
2025-05-21,10652087297.248774,,
2025-05-22,11423524048.338848,,
2025-05-23,12934492813.152052,,
2025-05-24,3688194684.347958,,
2025-05-25,4118328870.866636,,
2025-05-26,5492138859.477003,,
2025-05-27,8840609833.28469,,
2025-05-28,9097900090.064144,,
2025-05-29,9980567407.537577,,
2025-05-30,8519885709.253421,,
2025-05-31,4257278407.35091,,
2025-06-01,3837104192.0673566,,
2025-06-02,8285694596.531999,,
2025-06-03,10301682493.47103,,
2025-06-04,8546955234.581576,,
2025-06-05,10319413128.211985,,
2025-06-06,7898195086.777026,,
2025-06-07,3733113666.318605,,
2025-06-08,3659420876.776409,,
2025-06-09,9143556253.232246,,
2025-06-10,14394742014.939331,,
2025-06-11,11734917162.481705,,
2025-06-12,10872571802.904291,,
2025-06-13,11556691099.778406,,
2025-06-14,3776636221.870913,,
2025-06-15,3017047888.753197,,
2025-06-16,7498464278.799068,,
2025-06-17,7850883054.124836,,
2025-06-18,6747104997.366575,,
2025-06-19,5695648150.478829,,
