date,Tokens Transferred Between EOA USD (Total)
2015-07-30,
2015-07-31,
2015-08-01,
2015-08-02,
2015-08-03,
2015-08-04,
2015-08-05,
2015-08-06,
2015-08-07,6025662.9312959
2015-08-08,2016388.634189272
2015-08-09,1397319.4404691637
2015-08-10,2001991.3147299853
2015-08-11,1469623.1060958155
2015-08-12,951681.086196591
2015-08-13,3368518.2391293147
2015-08-14,4097726.278623856
2015-08-15,8271855.832855669
2015-08-16,2704347.918313339
2015-08-17,2781753.380420749
2015-08-18,1235101.5921233166
2015-08-19,1058340.7887018991
2015-08-20,548405.6482509563
2015-08-21,817638.557628268
2015-08-22,510198.97321103705
2015-08-23,662272.8955624617
2015-08-24,564724.7838885888
2015-08-25,510950.0781951735
2015-08-26,505422.0727406193
2015-08-27,305155.98165952973
2015-08-28,383132.7937444702
2015-08-29,505055.6735849632
2015-08-30,548582.8604045748
2015-08-31,502083.3098258187
2015-09-01,1927822.1702922208
2015-09-02,368023.5181610819
2015-09-03,686457.5590434064
2015-09-04,217553.7448653229
2015-09-05,212342.0104192753
2015-09-06,390584.950145012
2015-09-07,257929.7156276864
2015-09-08,331796.52057351515
2015-09-09,1386182.9268757852
2015-09-10,243878.53570215547
2015-09-11,671027.3604961104
2015-09-12,246306.3421589984
2015-09-13,197549.49720752085
2015-09-14,254879.0290119696
2015-09-15,573198.4964006951
2015-09-16,519195.6524999099
2015-09-17,258418.5942338502
2015-09-18,346690.1503568288
2015-09-19,347756.89125477016
2015-09-20,122892.7620485211
2015-09-21,148405.97945581775
2015-09-22,156834.61496084317
2015-09-23,119025.92272882049
2015-09-24,244542.6770997356
2015-09-25,450323.22178569087
2015-09-26,191715.4909709335
2015-09-27,267847.921618508
2015-09-28,425185.56579204905
2015-09-29,274967.0334107817
2015-09-30,330818.583568766
2015-10-01,325575.7314952726
2015-10-02,98891.86575334256
2015-10-03,83498.96908258916
2015-10-04,169158.1801076518
2015-10-05,99601.75027438172
2015-10-06,329788.6821344187
2015-10-07,186008.4720320112
2015-10-08,194242.37995782687
2015-10-09,142365.99872281123
2015-10-10,81554.79903008883
2015-10-11,91505.67582913044
2015-10-12,170386.1380462675
2015-10-13,247369.33176025323
2015-10-14,479003.2546906831
2015-10-15,435949.76270362845
2015-10-16,187804.13063074625
2015-10-17,127408.47471210618
2015-10-18,89310.28441144298
2015-10-19,257307.7010313625
2015-10-20,220219.96363347783
2015-10-21,292482.7393247329
2015-10-22,373958.477755164
2015-10-23,413971.70211123634
2015-10-24,55452.51252898038
2015-10-25,161435.93969415157
2015-10-26,505057.8750523704
2015-10-27,1537483.2623510617
2015-10-28,960704.4240765492
2015-10-29,576597.2013601393
2015-10-30,1369113.8917818242
2015-10-31,239675.7502774112
2015-11-01,143698.36814328027
2015-11-02,345342.2459288998
2015-11-03,630031.0449493594
2015-11-04,639435.3235977564
2015-11-05,286394.2435557734
2015-11-06,474497.7549370225
2015-11-07,372480.55784019287
2015-11-08,813127.6113889042
2015-11-09,940749.1613940398
2015-11-10,797932.2846034676
2015-11-11,225755.28755000632
2015-11-12,243636.8638125281
2015-11-13,379343.63734829647
2015-11-14,224898.2012269772
2015-11-15,135571.33392783278
2015-11-16,336235.5011505884
2015-11-17,975868.2416602548
2015-11-18,198206.1630941071
2015-11-19,245390.59589157897
2015-11-20,177600.04252647315
2015-11-21,128714.31958335113
2015-11-22,247183.83819622945
2015-11-23,624062.4633892821
2015-11-24,357556.6225035526
2015-11-25,163749.8834671897
2015-11-26,831666.4866241405
2015-11-27,597469.0494173523
2015-11-28,109351.63437394246
2015-11-29,165052.3033098251
2015-11-30,206188.779100684
2015-12-01,193619.260829638
2015-12-02,237277.3570243243
2015-12-03,182561.88288526243
2015-12-04,124210.29853594911
2015-12-05,124031.28737160086
2015-12-06,194746.71362562888
2015-12-07,354939.3496686178
2015-12-08,140368.30887076087
2015-12-09,196341.04517662848
2015-12-10,181961.38783775715
2015-12-11,286529.10113877105
2015-12-12,424522.1167272329
2015-12-13,295040.3562310607
2015-12-14,203981.93000253025
2015-12-15,531691.4055576365
2015-12-16,1079660.337070482
2015-12-17,408273.7821386595
2015-12-18,213303.53447000447
2015-12-19,201164.2043455963
2015-12-20,209847.3773752456
2015-12-21,206515.00517081827
2015-12-22,206661.2148910259
2015-12-23,123364.59398361522
2015-12-24,108363.40103135312
2015-12-25,59956.939986131656
2015-12-26,120304.7857023544
2015-12-27,71338.13385552792
2015-12-28,377979.3985129232
2015-12-29,246050.8510638203
2015-12-30,191859.17686123983
2015-12-31,341579.21941768186
2016-01-01,315118.2665939456
2016-01-02,245945.5014206971
2016-01-03,354139.0535718132
2016-01-04,145635.0391215425
2016-01-05,974853.0325382584
2016-01-06,247627.72689027444
2016-01-07,325130.64128047385
2016-01-08,184991.6089669114
2016-01-09,156459.93792636678
2016-01-10,140186.59064011005
2016-01-11,532705.9040393425
2016-01-12,1202089.6209728676
2016-01-13,477011.7287565388
2016-01-14,384166.5327612108
2016-01-15,1196458.4184497786
2016-01-16,675579.9838799613
2016-01-17,473000.4790651335
2016-01-18,3196216.5631231875
2016-01-19,1659291.711145669
2016-01-20,819219.1443242583
2016-01-21,704643.942230579
2016-01-22,1355462.9222179323
2016-01-23,2118025.611357023
2016-01-24,3919019.720102544
2016-01-25,5246225.456895698
2016-01-26,3178913.0581909027
2016-01-27,2631216.715850895
2016-01-28,2268935.3752030022
2016-01-29,2056549.567411142
2016-01-30,2271406.4512258945
2016-01-31,2380089.4904371314
2016-02-01,1255532.5660791527
2016-02-02,1483531.5386715813
2016-02-03,1535078.6618816834
2016-02-04,785881.9836811101
2016-02-05,1396456.2462954458
2016-02-06,521561.1584323305
2016-02-07,2531130.245204612
2016-02-08,4533243.6204242
