date,Transfers Between EOA (Mean)
2025-04-11,59.03065775
2025-04-12,53.28939668
2025-04-13,50.14632107
2025-04-14,53.625
2025-04-15,54.83389215
2025-04-16,57.32296751
2025-04-17,54.91467672
2025-04-18,54.61528805
2025-04-19,56.50732524
2025-04-20,52.02207629
2025-04-21,56.0640346
2025-04-22,60.18142518
2025-04-23,61.84380235
2025-04-24,58.92088342
2025-04-25,67.60560435
2025-04-26,63.88994149
2025-04-27,52.89582173
2025-04-28,60.98114525
2025-04-29,63.61255593
2025-04-30,64.97060059
2025-05-01,59.34950231
2025-05-02,64.45904173
2025-05-03,54.07427612
2025-05-04,60.44371232
2025-05-05,61.34780174
2025-05-06,60.38672094
2025-05-07,62.79766979
2025-05-08,67.07235543
2025-05-09,67.54379768
2025-05-10,57.00999578
2025-05-11,53.39963427
2025-05-12,59.51880017
2025-05-13,63.16865945
2025-05-14,67.7454955
2025-05-15,67.53801827
2025-05-16,65.14444444
2025-05-17,69.87226584
2025-05-18,57.91465469
2025-05-19,61.39441168
2025-05-20,67.6073482
2025-05-21,63.26288515
2025-05-22,61.56187946
2025-05-23,63.85028683
2025-05-24,55.63387978
2025-05-25,54.77956839
2025-05-26,62.63186659
2025-05-27,64.84588515
2025-05-28,66.12102089
2025-05-29,64.18440213
2025-05-30,75.74126363
2025-05-31,92.54081633
2025-06-01,60.62606748
2025-06-02,64.67246458
2025-06-03,64.68769231
2025-06-04,63.63440258
2025-06-05,63.69305127
2025-06-06,61.46389589
2025-06-07,64.24822002
2025-06-08,63.11754018
2025-06-09,62.15409377
2025-06-10,71.10382895
2025-06-11,67.67305272
2025-06-12,71.32612034
2025-06-13,66.31548784
2025-06-14,65.24360944
2025-06-15,58.61519058
2025-06-16,59.69825052
2025-06-17,65.18602045
2025-06-18,64.30924088
2025-06-19,61.65349162
2025-06-20,62.50944188
2025-06-21,59.96938776
2025-06-22,53.67343225
2025-06-23,60.3186014
2025-06-24,74.63183594
2025-06-25,86.17604356
2025-06-26,72.70101941
2025-06-27,64.78839972
2025-06-28,67.26686217
2025-06-29,60.44719888
2025-06-30,66.41063949
2025-07-01,62.33426573
2025-07-02,66.84837898
2025-07-03,69.15198546
2025-07-04,77.56823891
2025-07-05,63.41108157
2025-07-06,59.53691275
2025-07-07,71.41190443
2025-07-08,74.33398519
2025-07-09,70.79073348
2025-07-10,71.87690161
2025-07-11,72.22898307
2025-07-12,68.50830658
2025-07-13,59.50942606
2025-07-14,67.24343942
2025-07-15,66.94476217
2025-07-16,69.79064899
2025-07-17,72.53206022
2025-07-18,73.68479777
2025-07-19,65.54099049
2025-07-20,65.81896913
2025-07-21,73.33272803
2025-07-22,73.8010354
2025-07-23,70.20592758
2025-07-24,72.48628987
2025-07-25,78.14011758
2025-07-26,68.45106799
2025-07-27,68.75910169
2025-07-28,71.87117079
2025-07-29,73.81890645
2025-07-30,75.84242933
2025-07-31,83.39028147
2025-08-01,84.63164522
2025-08-02,86.62690533
2025-08-03,85.11439732
2025-08-04,89.13900907
2025-08-05,97.81860075
2025-08-06,87.01550496
2025-08-07,88.21764048
2025-08-08,81.62084381
2025-08-09,76.43758727
2025-08-10,81.15243817
2025-08-11,81.52169653
2025-08-12,81.85917655
2025-08-13,87.63768318
2025-08-14,85.97285195
2025-08-15,81.48221013
2025-08-16,78.05626134
2025-08-17,79.74243902
2025-08-18,83.52224857
2025-08-19,85.0367893
2025-08-20,82.84781699
2025-08-21,80.87634484
2025-08-22,81.5918282
2025-08-23,80.59457949
2025-08-24,81.89183161
2025-08-25,77.46763393
2025-08-26,76.75219757
2025-08-27,69.83000698
2025-08-28,75.71019553
2025-08-29,77.66178522
2025-08-30,75.97630992
2025-08-31,73.46384701
2025-09-01,74.34696441
2025-09-02,79.06762065
2025-09-03,74.37672666
2025-09-04,80.37407459
2025-09-05,80.98198827
2025-09-06,66.4570389
2025-09-07,63.61178606
2025-09-08,81.59058528
2025-09-09,80.98981727
2025-09-10,79.55139006
2025-09-11,84.30408049
2025-09-12,89.93817167
2025-09-13,79.67392214
2025-09-14,71.83991075
2025-09-15,80.07087935
2025-09-16,79.78826816
2025-09-17,73.01228193
2025-09-18,85.20980584
2025-09-19,75.98910462
2025-09-20,66.55564877
2025-09-21,64.35824237
2025-09-22,66.42789201
2025-09-23,72.94601004
2025-09-24,68.62561095
2025-09-25,66.47397874
2025-09-26,71.27817444
2025-09-27,61.82918647
2025-09-28,63.9958042
2025-09-29,70.01648275
2025-09-30,74.84891684
2025-10-01,76.06806723
2025-10-02,84.40249021
2025-10-03,71.68453378
2025-10-04,63.74640011
2025-10-05,59.80915817
2025-10-06,76.1343868
2025-10-07,69.2993853
2025-10-08,71.11946779
2025-10-09,71.13515024
2025-10-10,70.90095132
2025-10-11,69.2956546
2025-10-12,67.74259777
2025-10-13,68.22183345
2025-10-14,69.03622378
2025-10-15,77.01245104
2025-10-16,72.97506654
2025-10-17,74.91614256
2025-10-18,63.24279317
2025-10-19,58.4431707
2025-10-20,64.86283869
2025-10-21,76.41280539
2025-10-22,71.14658437
2025-10-23,66.64735587
2025-10-24,66.65522555
2025-10-25,57.50733958
2025-10-26,56.93436671
2025-10-27,70.86862745
2025-10-28,77.72797419
2025-10-29,68.77979855
2025-10-30,70.71250525
2025-10-31,81.79728215
2025-11-01,64.37928142
2025-11-02,66.47534572
2025-11-03,65.35936845
2025-11-04,68.83067673
2025-11-05,67.4894958
2025-11-06,70.21059992
2025-11-07,65.32536019
2025-11-08,65.61406206
2025-11-09,66.0340687
2025-11-10,71.01259622
2025-11-11,63.79277007
2025-11-12,62.33953293
2025-11-13,63.36929112
2025-11-14,70.55519843
2025-11-15,68.93023906
2025-11-16,57.93683622
2025-11-17,61.98301278
2025-11-18,62.80561404
2025-11-19,65.89166784
2025-11-20,71.39682985
2025-11-21,63.75456332
2025-11-22,59.64159977
2025-11-23,54.66671348
2025-11-24,63.4190007
2025-11-25,70.35432516
2025-11-26,72.59351306
2025-11-27,95.16000561
2025-11-28,74.49382889
2025-11-29,60.92219584
2025-11-30,70.59477581
2025-12-01,78.31556115
2025-12-02,81.18351064
2025-12-03,84.94966869
2025-12-04,79.00399113
2025-12-05,74.49908075
2025-12-06,62.5279145
2025-12-07,49.04751226
2025-12-08,55.38764912
2025-12-09,61.94622297
2025-12-10,67.97210482
2025-12-11,68.40986824
2025-12-12,62.80942998
2025-12-13,54.32391608
2025-12-14,46.46176389
2025-12-15,60.08310056
2025-12-16,67.046622
2025-12-17,68.75897221
2025-12-18,80.10006988
2025-12-19,74.01592846
2025-12-20,76.54343885
2025-12-21,60.83923098
2025-12-22,77.8945678
2025-12-23,74.97597094
2025-12-24,78.49442276
2025-12-25,63.06368715
2025-12-26,71.38922239
2025-12-27,69.41097612
2025-12-28,74.93641054
2025-12-29,124.76553554
2025-12-30,98.34061013
2025-12-31,100.06124442
2026-01-01,105.5
2026-01-02,91.02202398
2026-01-03,104.56192469
2026-01-04,79.03485778
2026-01-05,100.44506492
2026-01-06,86.8623572
2026-01-07,101.50181514
2026-01-08,100.08216881
2026-01-09,103.25787566
2026-01-10,92.97894296
2026-01-11,93.85620642
2026-01-12,111.66238481
2026-01-13,128.72222222
2026-01-14,160.94334357
2026-01-15,173.82038767
2026-01-16,209.12214485
2026-01-17,148.09620747
2026-01-18,99.60721248
2026-01-19,135.262615
2026-01-20,111.26321663
2026-01-21,136.65105256
2026-01-22,118.82411288
2026-01-23,153.7694778
2026-01-24,124.98591746
2026-01-25,113.3470867
2026-01-26,118.33124128
2026-01-27,142.31827057
2026-01-28,162.67038483
2026-01-29,160.75090656
2026-01-30,105.94004462
