regressor,beta,hac_se,t,p,label,n,r2,adj_r2
const,-0.0016952639742156077,0.0006152325792486576,-2.7554847246319762,0.005860524098765099,etf_flow_regression,821,0.2365969921062544,0.23285482049893214
btc_etf_intensity,2.331522619495443,0.26815123430317284,8.694804726721543,3.4742677127012674e-18,etf_flow_regression,821,0.2365969921062544,0.23285482049893214
spy_ret,0.5728892414300164,0.2021681236794145,2.833726855666268,0.004600863901798629,etf_flow_regression,821,0.2365969921062544,0.23285482049893214
VIXCLS_d1,-0.0030739084189165995,0.0010268930982899494,-2.993406445165009,0.002758820758029068,etf_flow_regression,821,0.2365969921062544,0.23285482049893214
DGS10_d1,0.022122533420646153,0.022529723774174823,0.9819265270355679,0.32613604607999747,etf_flow_regression,821,0.2365969921062544,0.23285482049893214
