,asset,chow_breakpoint,chow_f,chow_p,sup_f,sup_f_argmax_date,sup_f_placebo_p,null_mean,null_95th,n,k
0,btc,2024-01-11,0.8139984393269816,0.6032742801029223,3.780951079243952,2021-01-04,0.0,1.8499640720997566,2.7015260310519063,2291,9
1,eth,2024-07-23,2.132528789136085,0.02401563044272781,4.236665613428994,2021-05-12,0.0,1.8832505796422667,2.8835927674614417,2291,9
