leverage,volatility,predicted_tail_probability,ci_low,ci_high,observed_leverage_min,observed_leverage_max,fixed_volatility,tail_threshold,n,sample_start,sample_end,method,plot_key,panel,date,window,step,horizon,connectedness_pct,lag_order,stable,row_sum_max_error,error,specification,variables
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2021-10-01,connectedness,2021-10-01,252,21,10,50.6179559405,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2021-10-22,connectedness,2021-10-22,252,21,10,56.940172295,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2021-11-12,connectedness,2021-11-12,252,21,10,58.0315819294,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2021-12-03,connectedness,2021-12-03,252,21,10,59.7704129544,1,True,1.11022302463e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2021-12-24,connectedness,2021-12-24,252,21,10,62.8881228821,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-01-14,connectedness,2022-01-14,252,21,10,64.1698391689,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-02-04,connectedness,2022-02-04,252,21,10,55.743698402,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-02-25,connectedness,2022-02-25,252,21,10,56.3406138786,1,True,1.11022302463e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-03-18,connectedness,2022-03-18,252,21,10,53.1912982634,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-04-08,connectedness,2022-04-08,252,21,10,53.6016683887,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2022-04-29,connectedness,2022-04-29,252,21,10,57.3507148017,1,True,2.22044604925e-16,,primary,BTC|ETH|XRP|DOT|ADA
