date,Taker Sell Volume
2015-09-26,160773.0
2015-09-27,99804.0
2015-09-28,137117.0
2015-09-29,255619.0
2015-09-30,173646.0
2015-10-01,124373.0
2015-10-02,84168.0
2015-10-03,73413.0
2015-10-04,86143.0
2015-10-05,140181.0
2015-10-06,255606.0
2015-10-07,250809.0
2015-10-08,235131.0
2015-10-09,254778.0
2015-10-10,134723.0
2015-10-11,327893.0
2015-10-12,410232.0
2015-10-13,710893.0
2015-10-14,625113.0
2015-10-15,1606454.0
2015-10-16,2316482.0
2015-10-17,4937201.0
2015-10-18,1821370.0
2015-10-19,1047828.0
2015-10-20,1444356.0
2015-10-21,1432288.0
2015-10-22,1135475.0
2015-10-23,949140.0
2015-10-24,1491987.0
2015-10-25,2933425.0
2015-10-26,1695560.0
2015-10-27,2504873.0
2015-10-28,2072485.0
2015-10-29,2838944.0
2015-10-30,3618132.0
2015-10-31,3265015.0
2015-11-01,1322339.0
2015-11-02,2090092.0
2015-11-03,3238979.0
2015-11-04,2981604.0
2015-11-05,1861177.0
2015-11-06,1689433.0
2015-11-07,1005171.0
2015-11-08,1046256.0
2015-11-09,1037238.0
2015-11-10,1637764.0
2015-11-11,2048789.0
2015-11-12,1941592.0
2015-11-13,1029258.0
2015-11-14,933855.0
2015-11-15,865459.0
2015-11-16,756758.0
2015-11-17,874133.0
2015-11-18,643088.0
2015-11-19,720539.0
2015-11-20,1074621.0
2015-11-21,623988.0
2015-11-22,480530.0
2015-11-23,447148.0
2015-11-24,459984.0
2015-11-25,574598.0
2015-11-26,1661032.0
2015-11-27,1256173.0
2015-11-28,838946.0
2015-11-29,590882.0
2015-11-30,1275490.0
2015-12-01,1167403.0
2015-12-02,984643.0
2015-12-03,973893.0
2015-12-04,583514.0
2015-12-05,947474.0
2015-12-06,1105657.0
2015-12-07,827205.0
2015-12-08,787215.0
2015-12-09,1620903.0
2015-12-10,955388.0
2015-12-11,2676548.0
2015-12-12,2855693.0
2015-12-13,1221434.0
2015-12-14,1191771.0
2015-12-15,1835987.0
2015-12-16,2198404.0
2015-12-17,648164.0
2015-12-18,688733.0
2015-12-19,857932.0
2015-12-20,1387850.0
2015-12-21,1090899.0
2015-12-22,427537.0
2015-12-23,259733.0
2015-12-24,519214.0
2015-12-25,339004.0
2015-12-26,1627528.0
2015-12-27,608719.0
2015-12-28,1076317.0
2015-12-29,505038.0
2015-12-30,512607.0
2015-12-31,577451.0
2016-01-01,240289.0
2016-01-02,375864.0
2016-01-03,730677.0
2016-01-04,402130.0
2016-01-05,332003.0
2016-01-06,358874.0
2016-01-07,1790294.0
2016-01-08,1573286.0
2016-01-09,849128.0
2016-01-10,633834.0
2016-01-11,1148956.0
2016-01-12,1165632.0
2016-01-13,1319401.0
2016-01-14,458126.0
2016-01-15,1425310.0
2016-01-16,1171023.0
2016-01-17,1056864.0
2016-01-18,621552.0
2016-01-19,642666.0
2016-01-20,1391792.0
2016-01-21,943604.0
2016-01-22,2177583.0
2016-01-23,1334279.0
2016-01-24,958003.0
2016-01-25,1406201.0
2016-01-26,737239.0
2016-01-27,181935.0
2016-01-28,738065.0
2016-01-29,1167065.0
2016-01-30,662707.0
2016-01-31,514686.0
2016-02-01,935117.0
2016-02-02,423439.0
2016-02-03,576340.0
2016-02-04,730301.0
2016-02-05,463410.0
2016-02-06,843156.0
2016-02-07,281826.0
2016-02-08,566635.0
2016-02-09,85345.0
2016-02-10,166818.0
2016-02-11,234721.0
2016-02-12,416061.0
2016-02-13,481738.0
2016-02-14,619358.0
2016-02-15,1248694.0
2016-02-16,838735.0
2016-02-17,912529.0
2016-02-18,565223.0
2016-02-19,461706.0
2016-02-20,1524925.0
