date,Market Cap
2018-04-03,125708628389.28484
2018-04-04,115187333631.11754
2018-04-05,115028462069.00629
2018-04-06,112064996894.04897
2018-04-07,116942295546.674
2018-04-08,119126865600.68732
2018-04-09,114918277803.45822
2018-04-10,116062755430.8645
2018-04-11,117868788795.95091
2018-04-12,134306263207.9474
2018-04-13,133783565460.56192
2018-04-14,135911952469.1744
2018-04-15,141899177614.30698
2018-04-16,136852310614.20164
2018-04-17,133916037005.54578
2018-04-18,138783573792.82205
2018-04-19,140591661678.96988
2018-04-20,150533069939.6842
2018-04-21,151457650210.15005
2018-04-22,149512926463.84717
2018-04-23,151861435027.3428
2018-04-24,163925984951.9689
2018-04-25,150783982014.27704
2018-04-26,157579601199.52075
2018-04-27,151723748035.89285
2018-04-28,158900926689.87686
2018-04-29,159969968967.95474
2018-04-30,157228280280.5917
2018-05-01,154350922504.4204
2018-05-02,156945555975.5518
2018-05-03,165824584311.0496
2018-05-04,165195653049.2359
2018-05-05,167621767458.4652
2018-05-06,163658944857.7503
2018-05-07,159416916206.0199
2018-05-08,156356375633.41644
2018-05-09,158495269989.5382
2018-05-10,153453450731.82968
2018-05-11,143090205541.8839
2018-05-12,144276495291.89026
2018-05-13,147848259070.37018
2018-05-14,147651802432.9639
2018-05-15,144246756273.29913
2018-05-16,142004343030.17465
2018-05-17,137123840632.69176
2018-05-18,140343166424.98746
2018-05-19,140323895590.16556
2018-05-20,145268053052.08295
2018-05-21,143168582189.4804
2018-05-22,136027400615.5806
2018-05-23,127917338699.98006
2018-05-24,129201042697.9136
2018-05-25,127183839281.0754
2018-05-26,125087130213.62463
2018-05-27,125075010521.04887
2018-05-28,121146951615.91669
2018-05-29,127320536817.36375
2018-05-30,125776082667.8359
2018-05-31,127747102972.80132
2018-06-01,128317186963.24982
2018-06-02,130405250603.14636
2018-06-03,131685469766.97392
2018-06-04,127847328625.55312
2018-06-05,130194582058.46613
2018-06-06,130806827450.49963
2018-06-07,131352389110.38672
2018-06-08,129932883199.43034
2018-06-09,128069921677.45428
2018-06-10,115569200374.60776
2018-06-11,117486346057.4428
2018-06-12,111700200460.54707
2018-06-13,107565110834.61218
2018-06-14,113431987619.10835
2018-06-15,109180862655.9307
2018-06-16,110857436134.15814
2018-06-17,110223040350.09224
2018-06-18,114752811224.9925
2018-06-19,115257187618.24432
2018-06-20,115649643865.47195
2018-06-21,114932921984.68694
2018-06-22,103450653557.48854
2018-06-23,105261108725.34685
2018-06-24,105051519360.5708
2018-06-25,107002349643.69336
2018-06-26,103942332916.94948
2018-06-27,104992850196.54648
2018-06-28,100168901128.20853
2018-06-29,106177367190.35732
2018-06-30,109424482892.67848
2018-07-01,108850173820.54729
2018-07-02,113308485537.57616
2018-07-03,111549594504.92377
2018-07-04,112792842168.78546
2018-07-05,111872301404.22449
2018-07-06,113242481858.06944
2018-07-07,115802059108.21144
2018-07-08,115018438107.0714
2018-07-09,114160204407.63112
2018-07-10,107986976118.21613
2018-07-11,109473140119.79697
2018-07-12,107152807774.2384
2018-07-13,106618718990.77444
2018-07-14,107197015951.62682
2018-07-15,108937031052.67886
2018-07-16,115392842291.0599
2018-07-17,125524097007.35004
2018-07-18,126501895426.389
2018-07-19,128133393725.9752
2018-07-20,125890109636.87956
2018-07-21,127000829016.85258
2018-07-22,126945210359.24126
2018-07-23,132535347460.0944
2018-07-24,144031880941.06842
2018-07-25,140367086266.9397
2018-07-26,136151045726.53429
2018-07-27,140607307688.1215
2018-07-28,141395881036.29822
2018-07-29,141121171418.63388
2018-07-30,140418063622.89392
2018-07-31,132822350363.27956
2018-08-01,130678681410.15172
2018-08-02,129348917491.9681
2018-08-03,127518383583.30048
2018-08-04,120520580337.41364
2018-08-05,120783932436.14185
2018-08-06,119265339968.41068
2018-08-07,115543527246.30206
2018-08-08,108064183919.98724
2018-08-09,112414709755.35252
2018-08-10,105695518445.58131
2018-08-11,107167283553.91383
2018-08-12,108546383280.72476
2018-08-13,107520445152.82137
2018-08-14,106534646456.80168
2018-08-15,107874567523.3243
2018-08-16,108699398576.34978
2018-08-17,113310178528.4036
2018-08-18,109994593694.1482
2018-08-19,111577617459.55804
2018-08-20,107727334779.68788
2018-08-21,111591344906.00565
2018-08-22,109569835195.14998
2018-08-23,112423064814.41785
2018-08-24,115150032027.56946
2018-08-25,116044292419.18088
2018-08-26,115511845403.30392
