date,timestamp_utc,0 ~ 1 USD (%),1 ~ 10 USD (%),10 ~ 100 USD (%),100 ~ 1K USD (%),1K ~ 10K USD (%),10K ~ 100K USD (%),100K ~ 1M USD (%),1M USD ~ (%)
2020-12-31,2020-12-31T00:00:00Z,0.00309417,0.0279158,0.29787104,1.21660687,4.52600618,10.6478678,18.05543977,65.22519837
2021-01-01,2021-01-01T00:00:00Z,0.00305595,0.02746418,0.29247539,1.195549,4.48314854,10.60176277,17.95495945,65.44158471
2021-01-02,2021-01-02T00:00:00Z,0.00300304,0.02696115,0.28457132,1.17630365,4.43559824,10.53528282,17.74193443,65.79634536
2021-01-03,2021-01-03T00:00:00Z,0.00295009,0.02647153,0.27984817,1.15916639,4.36935456,10.50940165,17.54405872,66.10874888
2021-01-04,2021-01-04T00:00:00Z,0.00290662,0.02606633,0.27523693,1.14269302,4.32390172,10.42604808,17.39608324,66.40706405
2021-01-05,2021-01-05T00:00:00Z,0.00286585,0.02571014,0.27168649,1.13284237,4.29620398,10.34629546,17.22424493,66.70015078
2021-01-06,2021-01-06T00:00:00Z,0.00281794,0.02529382,0.26736384,1.1177473,4.22300284,10.24952033,17.1356876,66.97856633
2021-01-07,2021-01-07T00:00:00Z,0.00273647,0.02458039,0.26136143,1.09639206,4.13698271,10.1263642,16.77776553,67.57381722
2021-01-08,2021-01-08T00:00:00Z,0.00266716,0.02393804,0.25676381,1.0808238,4.0740844,10.03164116,16.63173939,67.89834224
2021-01-09,2021-01-09T00:00:00Z,0.00262314,0.02354864,0.25322048,1.07025314,4.02330108,9.95664373,16.50547174,68.16493805
2021-01-10,2021-01-10T00:00:00Z,0.00260108,0.02330068,0.25027497,1.06284581,4.00060173,9.9945532,16.52742001,68.13840252
2021-01-11,2021-01-11T00:00:00Z,0.00258772,0.02318515,0.24972884,1.05831972,4.00339742,9.92051879,16.48689306,68.2553693
2021-01-12,2021-01-12T00:00:00Z,0.00257279,0.02306667,0.24820686,1.05634564,3.9698808,9.85432327,16.43258759,68.41301639
2021-01-13,2021-01-13T00:00:00Z,0.00256035,0.02282092,0.24732815,1.05695299,3.96018988,9.85524474,16.43203738,68.42286558
2021-01-14,2021-01-14T00:00:00Z,0.00253417,0.02259324,0.24566219,1.04935279,3.94136973,9.81392728,15.91293287,69.01162771
2021-01-15,2021-01-15T00:00:00Z,0.00252091,0.02246898,0.24428567,1.04847742,3.93383992,9.7991793,15.93084202,69.01838577
2021-01-16,2021-01-16T00:00:00Z,0.00251143,0.0223498,0.24360986,1.04755896,3.92904108,9.82797511,15.94853574,68.97841802
2021-01-17,2021-01-17T00:00:00Z,0.00250518,0.02227935,0.24237714,1.04336005,3.92278574,9.86296129,15.90141816,69.00231309
2021-01-18,2021-01-18T00:00:00Z,0.00249137,0.02214475,0.2407405,1.03652152,3.90271277,9.86607293,15.86613405,69.06318211
2021-01-19,2021-01-19T00:00:00Z,0.00248039,0.02205428,0.23957419,1.03228099,3.89386579,9.8352707,15.96987434,69.00459934
2021-01-20,2021-01-20T00:00:00Z,0.00247605,0.02201302,0.24003067,1.03700132,3.9041181,9.85349699,15.89070491,69.05015894
2021-01-21,2021-01-21T00:00:00Z,0.00247648,0.02204902,0.24083062,1.04245911,3.91560111,9.88529416,15.91745431,68.9738352
2021-01-22,2021-01-22T00:00:00Z,0.00247703,0.02207622,0.24169324,1.04649838,3.92505151,9.88436868,15.96280462,68.91503033
