date,Realized Cap
2019-02-13,76773870811.81041
2019-02-14,76756251127.74098
2019-02-15,76726921511.1968
2019-02-16,76672567946.71075
2019-02-17,76652350680.06137
2019-02-18,76649926331.5354
2019-02-19,76635349945.65831
2019-02-20,76698808038.35898
2019-02-21,76661194164.78197
2019-02-22,76664240670.28535
2019-02-23,76624869306.63019
2019-02-24,76611725022.84763
2019-02-25,76552723678.1665
2019-02-26,76543219552.84808
2019-02-27,76523879421.87013
2019-02-28,76508458453.4163
2019-03-01,76501555313.78021
2019-03-02,76480460765.0064
2019-03-03,76478452847.90842
2019-03-04,76399837294.36499
2019-03-05,76403279757.64117
2019-03-06,76394093979.93855
2019-03-07,76392294607.6513
2019-03-08,76373227297.42284
2019-03-09,76372577137.67899
2019-03-10,76363332796.02759
2019-03-11,76336724120.43451
2019-03-12,76301281189.6396
2019-03-13,76292441496.12086
2019-03-14,76276498374.57416
2019-03-15,76271416404.13171
2019-03-16,76237276665.51134
2019-03-17,76245142053.85004
2019-03-18,76235438344.64618
2019-03-19,76251041226.30263
2019-03-20,76253526213.04099
2019-03-21,76240757511.29118
2019-03-22,76229861759.7015
2019-03-23,76225204050.39574
2019-03-24,76222569747.47629
2019-03-25,76201377143.85483
2019-03-26,76175906047.50613
2019-03-27,76188709009.24055
2019-03-28,76191180176.80554
2019-03-29,76238858822.22983
2019-03-30,76244527686.63881
2019-03-31,76179801903.0208
2019-04-01,76193250288.80618
2019-04-02,76438195694.31564
2019-04-03,76591803081.3488
2019-04-04,76658546806.13115
2019-04-05,76671778050.69359
2019-04-06,76700068480.69362
2019-04-07,76729243125.84584
2019-04-08,76798818558.78673
2019-04-09,76855117860.91945
2019-04-10,76925493691.26416
2019-04-11,76936558056.30585
2019-04-12,76975913298.27739
2019-04-13,77002382816.28882
2019-04-14,76928157842.4235
2019-04-15,76936470739.64516
2019-04-16,76968795520.79144
2019-04-17,77028393709.91086
2019-04-18,77065870441.01765
2019-04-19,77254625382.55347
2019-04-20,77276162908.93993
2019-04-21,77282086432.25806
2019-04-22,77319489810.6846
2019-04-23,77416943785.37984
2019-04-24,77353320172.90497
2019-04-25,77369656611.13889
2019-04-26,77292453385.16507
2019-04-27,77300657118.33475
2019-04-28,77319869262.75923
2019-04-29,77305027902.69197
2019-04-30,77358140881.32779
2019-05-01,77153839676.0418
2019-05-02,77181991222.22482
2019-05-03,77275236492.1294
2019-05-04,77318126987.14835
2019-05-05,77382036123.74966
2019-05-06,77499842959.31361
2019-05-07,77638710310.93115
2019-05-08,77726989623.53511
2019-05-09,77807783633.4268
2019-05-10,77898570506.46089
2019-05-11,78233828338.49095
2019-05-12,78491260857.77654
2019-05-13,78943892013.92375
2019-05-14,79477077796.77403
2019-05-15,79980335188.12889
2019-05-16,80486081567.91707
2019-05-17,80450350072.24602
2019-05-18,80499728698.13704
2019-05-19,80665278566.70358
2019-05-20,80790834825.88747
2019-05-21,80937490494.2346
2019-05-22,81026479521.67805
2019-05-23,81103690052.37016
2019-05-24,81294031207.70967
2019-05-25,81398066580.49103
2019-05-26,81536171044.07571
2019-05-27,81801086417.21521
2019-05-28,82034853653.5139
2019-05-29,83219475206.82585
2019-05-30,83343910560.87486
2019-05-31,83452950432.2142
2019-06-01,83560736430.81882
2019-06-02,83660029458.1862
2019-06-03,83905304114.27345
2019-06-04,83556934993.5182
2019-06-05,83502506301.1574
2019-06-06,83489670704.20708
2019-06-07,83593001235.10503
2019-06-08,83620384181.30783
2019-06-09,83660562873.25632
2019-06-10,83808103863.82628
2019-06-11,83854931197.52611
2019-06-12,83970876904.86627
2019-06-13,84064656261.89159
2019-06-14,84277925471.04236
2019-06-15,84400939176.35114
2019-06-16,84609535785.45277
2019-06-17,84895857709.92511
2019-06-18,85046084718.43517
2019-06-19,85270791556.43384
2019-06-20,85474115073.05496
2019-06-21,85756411831.87703
2019-06-22,86298801334.23149
2019-06-23,86548121408.52821
2019-06-24,86905463994.84996
2019-06-25,87364380783.4868
2019-06-26,88723043235.9509
2019-06-27,89115635770.1465
2019-06-28,89779622987.84477
2019-06-29,90062375273.96124
2019-06-30,90455048357.51855
2019-07-01,90501806649.96768
2019-07-02,90603175349.54349
2019-07-03,90945977422.04688
2019-07-04,91388725865.07692
2019-07-05,91451835698.96428
2019-07-06,91559314849.91068
2019-07-07,91648037438.06155
2019-07-08,91984692085.4364
2019-07-09,92388069989.09836
2019-07-10,93199192522.70464
2019-07-11,93301128524.91916
2019-07-12,93566103305.7198
2019-07-13,93618905312.5204
2019-07-14,93583626597.72417
2019-07-15,93626780327.47923
2019-07-16,93629941614.47173
2019-07-17,93750414221.52669
2019-07-18,94020150537.907
2019-07-19,94183499383.24414
2019-07-20,94304624503.47104
2019-07-21,94420312540.4674
2019-07-22,94460146345.34216
2019-07-23,94445060675.55087
2019-07-24,94714637483.65446
2019-07-25,94810972864.10204
2019-07-26,94860640859.68452
2019-07-27,94874213883.12608
2019-07-28,94889619749.27234
2019-07-29,96651635248.1528
2019-07-30,96692469423.51912
2019-07-31,96779389062.38124
2019-08-01,96880223096.51506
2019-08-02,97018656555.51167
2019-08-03,97130711916.5698
2019-08-04,97221611341.66948
2019-08-05,97786091650.33202
2019-08-06,98245992998.65434
2019-08-07,98508350012.13208
2019-08-08,98815594306.39966
2019-08-09,98971938142.10445
2019-08-10,99036450929.02776
2019-08-11,99140514058.67342
2019-08-12,99252292502.53378
2019-08-13,99438752680.59584
2019-08-14,99542214031.97427
2019-08-15,99488172980.91754
2019-08-16,99544284996.62622
2019-08-17,99537248755.41412
2019-08-18,99575029386.40738
2019-08-19,99642850957.23347
2019-08-20,99799978569.758
2019-08-21,99793791814.28764
2019-08-22,99782601960.34631
2019-08-23,100173359431.59392
2019-08-24,100201799872.81496
2019-08-25,100239812705.33533
2019-08-26,100342077221.02368
2019-08-27,100426503217.36385
2019-08-28,100458655179.8539
2019-08-29,100378749925.08698
2019-08-30,100382980169.10414
2019-08-31,100387091779.14482
2019-09-01,100431779071.27512
2019-09-02,100496172539.39651
2019-09-03,100673314025.65714
2019-09-04,100776458036.4091
2019-09-05,100887135920.67502
2019-09-06,101798820916.7292
2019-09-07,101849467016.6473
2019-09-08,101913255138.77151
2019-09-09,101971277896.6647
2019-09-10,101998341724.60876
2019-09-11,102286300111.26292
2019-09-12,102344955315.96896
2019-09-13,102421589768.70692
2019-09-14,102474297481.49052
2019-09-15,102511657075.65488
2019-09-16,102540988371.4269
2019-09-17,102598738653.11882
2019-09-18,102744877063.16374
2019-09-19,102741625722.91869
2019-09-20,102791329666.1925
2019-09-21,102816773836.0909
2019-09-22,102837196387.52097
2019-09-23,102825350681.1948
2019-09-24,102806822850.59155
2019-09-25,102432354165.32178
2019-09-26,102081474729.87357
2019-09-27,102044896758.30852
2019-09-28,101985677656.50256
2019-09-29,101963981269.44608
2019-09-30,101923699004.8524
2019-10-01,101866233848.60294
