date,timestamp_utc,KYC'd Exchage Volume,Non-KYC'd Exchange Volume
2013-10-21,2013-10-21T00:00:00Z,18.30269,12821.42817668
2013-10-22,2013-10-22T00:00:00Z,7.37587686,18464.69246628
2013-10-23,2013-10-23T00:00:00Z,39.21999999,13848.18262815
2013-10-24,2013-10-24T00:00:00Z,83.72097522,41374.6601642
2013-10-25,2013-10-25T00:00:00Z,67.2,20163.72357838
2013-10-26,2013-10-26T00:00:00Z,11.0,6283.29915678
2013-10-27,2013-10-27T00:00:00Z,69.90738999,6583.20965814
2013-10-28,2013-10-28T00:00:00Z,0.0,5605.2624936
2013-10-29,2013-10-29T00:00:00Z,0.62564102,8092.4461762
2013-10-30,2013-10-30T00:00:00Z,9.72274898,14204.40543807
2013-10-31,2013-10-31T00:00:00Z,2.26,5287.08851334
2013-11-01,2013-11-01T00:00:00Z,33.98053314,1950.88533844
2013-11-02,2013-11-02T00:00:00Z,7.05555555,4054.66482565
2013-11-03,2013-11-03T00:00:00Z,9.58525941,4806.65527203
2013-11-04,2013-11-04T00:00:00Z,71.17542081,11528.76205272
2013-11-05,2013-11-05T00:00:00Z,25.2213639,23917.37063201
2013-11-06,2013-11-06T00:00:00Z,49.46076348,27950.67725296
2013-11-07,2013-11-07T00:00:00Z,32.79999636,35703.839035
2013-11-08,2013-11-08T00:00:00Z,6.22530641,22587.4898974
2013-11-09,2013-11-09T00:00:00Z,14.72330441,30872.018577
2013-11-10,2013-11-10T00:00:00Z,45.83854933,35022.97759183
2013-11-11,2013-11-11T00:00:00Z,17.97582051,10389.98799285
2013-11-12,2013-11-12T00:00:00Z,50.99902389,13163.9526282
2013-11-13,2013-11-13T00:00:00Z,26.14386345,13150.85518454
2013-11-14,2013-11-14T00:00:00Z,15.096314,14424.46186126
2013-11-15,2013-11-15T00:00:00Z,100.37766157,17611.60025431
2013-11-16,2013-11-16T00:00:00Z,23.29680432,9971.61084252
2013-11-17,2013-11-17T00:00:00Z,16.82612902,9939.60554958
2013-11-18,2013-11-18T00:00:00Z,41.09771341,22783.13456593
2013-11-19,2013-11-19T00:00:00Z,54.8912614,36107.29258981
2013-11-20,2013-11-20T00:00:00Z,56.77094118,27939.09199298
2013-11-21,2013-11-21T00:00:00Z,72.06500894,17157.125534
2013-11-22,2013-11-22T00:00:00Z,18.09444618,12996.99528936
2013-11-23,2013-11-23T00:00:00Z,43.07371032,9697.72957536
2013-11-24,2013-11-24T00:00:00Z,13.31504517,11931.46881879
2013-11-25,2013-11-25T00:00:00Z,10.85301133,9443.71409179
2013-11-26,2013-11-26T00:00:00Z,13.84662138,10075.59724559
2013-11-27,2013-11-27T00:00:00Z,46.41314444,13045.78224186
2013-11-28,2013-11-28T00:00:00Z,33.0303637,9436.59098362
2013-11-29,2013-11-29T00:00:00Z,34.82728892,9112.6045311
2013-11-30,2013-11-30T00:00:00Z,22.76152266,4977.05940607
2013-12-01,2013-12-01T00:00:00Z,52.50557584,31224.84780545
2013-12-02,2013-12-02T00:00:00Z,36.88923593,12076.80957239
2013-12-03,2013-12-03T00:00:00Z,23.27088999,5606.7175672
2013-12-04,2013-12-04T00:00:00Z,40.35283464,6797.52731543
2013-12-05,2013-12-05T00:00:00Z,64.63659937,23511.6459976
2013-12-06,2013-12-06T00:00:00Z,62.70884849,28781.87131681
2013-12-07,2013-12-07T00:00:00Z,122.53190717,43628.16925121
2013-12-08,2013-12-08T00:00:00Z,47.86979439,13381.65094372
2013-12-09,2013-12-09T00:00:00Z,61.21825146,15615.23991015
2013-12-10,2013-12-10T00:00:00Z,69.81681762,11644.11007962
2013-12-11,2013-12-11T00:00:00Z,43.04402314,15622.93399044
2013-12-12,2013-12-12T00:00:00Z,7.80763184,8407.60530174
2013-12-13,2013-12-13T00:00:00Z,26.09102391,9499.23705098
2013-12-14,2013-12-14T00:00:00Z,12.1936769,4137.40713282
2013-12-15,2013-12-15T00:00:00Z,35.68524793,11388.01317825
2013-12-16,2013-12-16T00:00:00Z,66.5835367,28828.67224471
2013-12-17,2013-12-17T00:00:00Z,60.74600178,24688.82978813
2013-12-18,2013-12-18T00:00:00Z,211.17042265,80358.81419143
2013-12-19,2013-12-19T00:00:00Z,39.75196822,37418.63326479
2013-12-20,2013-12-20T00:00:00Z,47.98477447,26056.05091108
2013-12-21,2013-12-21T00:00:00Z,11.7037985,12661.23827262
2013-12-22,2013-12-22T00:00:00Z,53.84900183,13689.70331296
2013-12-23,2013-12-23T00:00:00Z,27.57428657,8550.81498574
2013-12-24,2013-12-24T00:00:00Z,10.98021257,6806.64334295
2013-12-25,2013-12-25T00:00:00Z,10.88939217,3822.4551696
2013-12-26,2013-12-26T00:00:00Z,68.88004232,18161.48527485
2013-12-27,2013-12-27T00:00:00Z,33.27465336,11270.52204456
2013-12-28,2013-12-28T00:00:00Z,7.62895652,10090.2275591
2013-12-29,2013-12-29T00:00:00Z,6.1996559,6131.65568201
2013-12-30,2013-12-30T00:00:00Z,8.82861964,4234.64065429
2013-12-31,2013-12-31T00:00:00Z,8.37272265,8561.28944057
2014-01-01,2014-01-01T00:00:00Z,10.12692296,5883.99695487
2014-01-02,2014-01-02T00:00:00Z,19.81338264,9584.91453353
2014-01-03,2014-01-03T00:00:00Z,75.69532024,10253.88774364
2014-01-04,2014-01-04T00:00:00Z,33.22655572,10768.59788733
2014-01-05,2014-01-05T00:00:00Z,54.84914012,18946.65709161
2014-01-06,2014-01-06T00:00:00Z,75.03310313,21038.62548687
2014-01-07,2014-01-07T00:00:00Z,49.40815692,25356.84064981
2014-01-08,2014-01-08T00:00:00Z,19.18275547,20372.53172769
2014-01-09,2014-01-09T00:00:00Z,8.15833421,15871.60252311
2014-01-10,2014-01-10T00:00:00Z,8.02451046,8011.7933683
2014-01-11,2014-01-11T00:00:00Z,18.7482848,10520.59607138
2014-01-12,2014-01-12T00:00:00Z,25.2294331,10376.84343691
2014-01-13,2014-01-13T00:00:00Z,25.86912654,14308.70870518
2014-01-14,2014-01-14T00:00:00Z,31.66288127,4816.78362108
2014-01-15,2014-01-15T00:00:00Z,6.70756458,7238.15698086
2014-01-16,2014-01-16T00:00:00Z,28.6020136,3686.64958124
2014-01-17,2014-01-17T00:00:00Z,26.35803921,11514.7178664
2014-01-18,2014-01-18T00:00:00Z,18.71237764,3987.64776987
2014-01-19,2014-01-19T00:00:00Z,11.939592,6661.72551215
2014-01-20,2014-01-20T00:00:00Z,4.44675853,5520.23730462
2014-01-21,2014-01-21T00:00:00Z,6.89537422,2891.50023991
2014-01-22,2014-01-22T00:00:00Z,1.71261647,2938.54753894
2014-01-23,2014-01-23T00:00:00Z,11.58125078,2838.97961165
2014-01-24,2014-01-24T00:00:00Z,25.00906723,11262.94239146
2014-01-25,2014-01-25T00:00:00Z,9.92963825,4713.79803381
2014-01-26,2014-01-26T00:00:00Z,6.56973633,7513.57053368
2014-01-27,2014-01-27T00:00:00Z,35.69920745,15629.68186936
2014-01-28,2014-01-28T00:00:00Z,15.7536442,13647.50026435
2014-01-29,2014-01-29T00:00:00Z,18.92440091,3865.88167876
2014-01-30,2014-01-30T00:00:00Z,27.02869696,8205.38234448
2014-01-31,2014-01-31T00:00:00Z,12.86179581,3912.0445727
2014-02-01,2014-02-01T00:00:00Z,6.46833713,4537.3743903
2014-02-02,2014-02-02T00:00:00Z,7.24707012,3149.53715899
2014-02-03,2014-02-03T00:00:00Z,7.27266387,3446.69515272
2014-02-04,2014-02-04T00:00:00Z,11.41458266,3363.63331922
2014-02-05,2014-02-05T00:00:00Z,16.58783408,5215.28016818
2014-02-06,2014-02-06T00:00:00Z,33.59212507,21114.51912813
2014-02-07,2014-02-07T00:00:00Z,64.16095757,42788.42467524
2014-02-08,2014-02-08T00:00:00Z,31.0422538,11122.25659931
2014-02-09,2014-02-09T00:00:00Z,38.29127439,12068.69938419
2014-02-10,2014-02-10T00:00:00Z,29.7461731,41511.80312124
2014-02-11,2014-02-11T00:00:00Z,33.33127323,39535.07122797
2014-02-12,2014-02-12T00:00:00Z,17.64185049,12849.0181041
2014-02-13,2014-02-13T00:00:00Z,44.67622397,17145.87863094
2014-02-14,2014-02-14T00:00:00Z,42.44993079,53681.71513588
2014-02-15,2014-02-15T00:00:00Z,11.9927692,10825.11368293
2014-02-16,2014-02-16T00:00:00Z,21.45359714,16745.73151299
2014-02-17,2014-02-17T00:00:00Z,36.38625757,15689.95243645
2014-02-18,2014-02-18T00:00:00Z,20.84473983,8466.24614979
2014-02-19,2014-02-19T00:00:00Z,13.00343603,4709.12040524
2014-02-20,2014-02-20T00:00:00Z,52.55553633,25273.82887191
2014-02-21,2014-02-21T00:00:00Z,25.78998972,28461.84558344
2014-02-22,2014-02-22T00:00:00Z,13.257378,14729.97485817
2014-02-23,2014-02-23T00:00:00Z,21.04015542,15800.30857128
2014-02-24,2014-02-24T00:00:00Z,29.69798147,34116.36009538
2014-02-25,2014-02-25T00:00:00Z,59.7294615,94547.09799394
2014-02-26,2014-02-26T00:00:00Z,105.93190072,37713.73100515
2014-02-27,2014-02-27T00:00:00Z,45.74001483,12035.79572882
2014-02-28,2014-02-28T00:00:00Z,29.32087726,15293.34238379
2014-03-01,2014-03-01T00:00:00Z,8.04168107,8617.72163751
2014-03-02,2014-03-02T00:00:00Z,2.16169432,3126.21859684
2014-03-03,2014-03-03T00:00:00Z,67.84409454,50919.54169329
2014-03-04,2014-03-04T00:00:00Z,27.72139318,25025.60816172
2014-03-05,2014-03-05T00:00:00Z,5.23012653,8381.31800006
2014-03-06,2014-03-06T00:00:00Z,7.41231483,7057.99015509
2014-03-07,2014-03-07T00:00:00Z,10.85544954,17234.69628231
2014-03-08,2014-03-08T00:00:00Z,4.19914365,10971.43740533
2014-03-09,2014-03-09T00:00:00Z,2.01748157,8290.10866807
2014-03-10,2014-03-10T00:00:00Z,6.30764828,11575.11567316
2014-03-11,2014-03-11T00:00:00Z,18.48263956,3634.08082
2014-03-12,2014-03-12T00:00:00Z,8.31609451,7287.42468826
2014-03-13,2014-03-13T00:00:00Z,4.38727322,3312.96067553
2014-03-14,2014-03-14T00:00:00Z,24.63109262,5526.4353953
2014-03-15,2014-03-15T00:00:00Z,3.19846132,1735.62936143
2014-03-16,2014-03-16T00:00:00Z,7.61949564,1902.57118506
2014-03-17,2014-03-17T00:00:00Z,1.9084555,3761.84368802
2014-03-18,2014-03-18T00:00:00Z,9.04881139,7736.26828485
2014-03-19,2014-03-19T00:00:00Z,5.52856341,3436.66790193
2014-03-20,2014-03-20T00:00:00Z,7.82790362,8100.0606361
2014-03-21,2014-03-21T00:00:00Z,16.27100008,19202.28455341
2014-03-22,2014-03-22T00:00:00Z,11.8380596,6731.31574218
2014-03-23,2014-03-23T00:00:00Z,1.318739,4833.22337384
2014-03-24,2014-03-24T00:00:00Z,5.68481521,9275.28768732
2014-03-25,2014-03-25T00:00:00Z,5.97791428,4902.03403056
2014-03-26,2014-03-26T00:00:00Z,13.08114991,7649.23071354
2014-03-27,2014-03-27T00:00:00Z,35.31377012,41023.55166031
2014-03-28,2014-03-28T00:00:00Z,43.68897124,35985.2142118
2014-03-29,2014-03-29T00:00:00Z,6.10790794,4635.16685558
2014-03-30,2014-03-30T00:00:00Z,33.23922112,26151.13013472
2014-03-31,2014-03-31T00:00:00Z,17.5866085,22069.33696584
2014-04-01,2014-04-01T00:00:00Z,20.24699929,19999.30851216
2014-04-02,2014-04-02T00:00:00Z,12.40566396,29119.1046176
2014-04-03,2014-04-03T00:00:00Z,16.79680288,24590.40649778
2014-04-04,2014-04-04T00:00:00Z,19.87883648,10562.85726875
2014-04-05,2014-04-05T00:00:00Z,0.94414485,4573.75741605
2014-04-06,2014-04-06T00:00:00Z,5.11695208,2952.40660615
2014-04-07,2014-04-07T00:00:00Z,7.08636683,6147.47600223
2014-04-08,2014-04-08T00:00:00Z,3.46875092,4860.84550476
2014-04-09,2014-04-09T00:00:00Z,1.13219203,4167.09060672
2014-04-10,2014-04-10T00:00:00Z,17.22029111,45002.96954955
2014-04-11,2014-04-11T00:00:00Z,18.05442284,38705.55691851
2014-04-12,2014-04-12T00:00:00Z,8.75071492,10732.24082883
2014-04-13,2014-04-13T00:00:00Z,9.31548388,10265.6836892
2014-04-14,2014-04-14T00:00:00Z,42.69095335,29763.39750504
2014-04-15,2014-04-15T00:00:00Z,31.04150062,24214.5733178
2014-04-16,2014-04-16T00:00:00Z,51.05479366,29218.85076659
2014-04-17,2014-04-17T00:00:00Z,16.07659488,18285.63177066
2014-04-18,2014-04-18T00:00:00Z,31.49006621,9730.47478781
2014-04-19,2014-04-19T00:00:00Z,10.96943762,9063.48907105
2014-04-20,2014-04-20T00:00:00Z,1.54055498,4760.82881705
2014-04-21,2014-04-21T00:00:00Z,17.33264566,8179.33326468
2014-04-22,2014-04-22T00:00:00Z,7.48967689,3570.34633425
2014-04-23,2014-04-23T00:00:00Z,7.02182626,4187.17351874
2014-04-24,2014-04-24T00:00:00Z,3.58845261,5017.14446629
2014-04-25,2014-04-25T00:00:00Z,27.91399829,30667.92132554
2014-04-26,2014-04-26T00:00:00Z,2.84557382,7835.67783029
2014-04-27,2014-04-27T00:00:00Z,3.75205363,7849.47942997
2014-04-28,2014-04-28T00:00:00Z,5.28039876,15283.03446583
2014-04-29,2014-04-29T00:00:00Z,7.31102953,7573.20092376
2014-04-30,2014-04-30T00:00:00Z,9.05765928,7046.94954762
2014-05-01,2014-05-01T00:00:00Z,14.50944599,5144.92316754
2014-05-02,2014-05-02T00:00:00Z,7.07584483,3751.5883235
2014-05-03,2014-05-03T00:00:00Z,8.50354101,7602.43030203
2014-05-04,2014-05-04T00:00:00Z,1.77169067,4220.91532271
2014-05-05,2014-05-05T00:00:00Z,5.65738441,5435.54300037
2014-05-06,2014-05-06T00:00:00Z,5.74595487,6965.03137807
2014-05-07,2014-05-07T00:00:00Z,20.36100044,11189.8172391
2014-05-08,2014-05-08T00:00:00Z,5.78832423,3456.92125521
2014-05-09,2014-05-09T00:00:00Z,4.09387167,3062.89060414
2014-05-10,2014-05-10T00:00:00Z,5.47533444,3674.99628935
2014-05-11,2014-05-11T00:00:00Z,11.52882665,10720.63502417
2014-05-12,2014-05-12T00:00:00Z,7.19154534,3450.84753709
2014-05-13,2014-05-13T00:00:00Z,4.50666205,2044.09198203
2014-05-14,2014-05-14T00:00:00Z,0.87112735,3104.61120276
2014-05-15,2014-05-15T00:00:00Z,3.01861595,1648.49804694
2014-05-16,2014-05-16T00:00:00Z,5.59012561,1707.21667711
2014-05-17,2014-05-17T00:00:00Z,0.20613548,907.0058887
2014-05-18,2014-05-18T00:00:00Z,2.57977674,773.02365381
2014-05-19,2014-05-19T00:00:00Z,0.0,1423.92886676
2014-05-20,2014-05-20T00:00:00Z,25.27530054,21176.51257664
2014-05-21,2014-05-21T00:00:00Z,4.23843947,7206.26246587
2014-05-22,2014-05-22T00:00:00Z,32.61026671,17215.75079207
2014-05-23,2014-05-23T00:00:00Z,14.81544302,16725.892656
2014-05-24,2014-05-24T00:00:00Z,2.61761047,4544.3046182
2014-05-25,2014-05-25T00:00:00Z,15.82521998,32267.7960527
2014-05-26,2014-05-26T00:00:00Z,10.94860082,16378.65112528
2014-05-27,2014-05-27T00:00:00Z,26.97925272,18029.67912572
2014-05-28,2014-05-28T00:00:00Z,5.44505641,7636.65709659
2014-05-29,2014-05-29T00:00:00Z,1.40277637,7828.1586295
2014-05-30,2014-05-30T00:00:00Z,17.53513786,23195.08014748
2014-05-31,2014-05-31T00:00:00Z,19.36684462,7149.49782879
2014-06-01,2014-06-01T00:00:00Z,33.09343289,34401.31014831
2014-06-02,2014-06-02T00:00:00Z,12.3085136,21044.80880501
2014-06-03,2014-06-03T00:00:00Z,14.68401159,19813.48151012
2014-06-04,2014-06-04T00:00:00Z,59.16308707,27560.75174877
2014-06-05,2014-06-05T00:00:00Z,15.16377686,9921.58747866
2014-06-06,2014-06-06T00:00:00Z,5.42016939,5622.64559487
2014-06-07,2014-06-07T00:00:00Z,4.59219475,6596.49809085
2014-06-08,2014-06-08T00:00:00Z,0.90148747,3644.18278973
2014-06-09,2014-06-09T00:00:00Z,4.63940113,6794.57192595
2014-06-10,2014-06-10T00:00:00Z,7.12894412,6898.76984299
2014-06-11,2014-06-11T00:00:00Z,19.60375825,11459.66074194
2014-06-12,2014-06-12T00:00:00Z,76.96799901,28947.71956885
2014-06-13,2014-06-13T00:00:00Z,18.10169144,15003.72766335
2014-06-14,2014-06-14T00:00:00Z,16.6375792,25862.20266454
2014-06-15,2014-06-15T00:00:00Z,34.21065482,14771.51893504
2014-06-16,2014-06-16T00:00:00Z,10.22317042,13617.42729339
2014-06-17,2014-06-17T00:00:00Z,2.80176759,8784.01582691
2014-06-18,2014-06-18T00:00:00Z,10.00242965,6071.10324019
2014-06-19,2014-06-19T00:00:00Z,8.40599691,5343.70478112
2014-06-20,2014-06-20T00:00:00Z,5.80965283,8688.5440458
2014-06-21,2014-06-21T00:00:00Z,0.76420896,4122.15638252
2014-06-22,2014-06-22T00:00:00Z,8.34380804,4720.27548757
2014-06-23,2014-06-23T00:00:00Z,2.6351154,5269.37867215
2014-06-24,2014-06-24T00:00:00Z,2.85075357,5497.2282752
2014-06-25,2014-06-25T00:00:00Z,29.22933528,9323.34331505
2014-06-26,2014-06-26T00:00:00Z,2.77356,6271.32252637
2014-06-27,2014-06-27T00:00:00Z,21.76241549,7343.10092241
2014-06-28,2014-06-28T00:00:00Z,4.45696486,5725.69485897
