Datetime,Miner Depositing Addresses
2026-04-11T00:00:00Z,12852
2026-04-10T00:00:00Z,8379
2026-04-09T00:00:00Z,8204
2026-04-08T00:00:00Z,8300
2026-04-07T00:00:00Z,9192
2026-04-06T00:00:00Z,7618
2026-04-05T00:00:00Z,6030
2026-04-04T00:00:00Z,7065
2026-04-03T00:00:00Z,8257
2026-04-02T00:00:00Z,8490
2026-04-01T00:00:00Z,10157
2026-03-31T00:00:00Z,9547
2026-03-30T00:00:00Z,7682
2026-03-29T00:00:00Z,6303
2026-03-28T00:00:00Z,6906
2026-03-27T00:00:00Z,8481
2026-03-26T00:00:00Z,7955
2026-03-25T00:00:00Z,8092
2026-03-24T00:00:00Z,8733
2026-03-23T00:00:00Z,7652
2026-03-22T00:00:00Z,6331
2026-03-21T00:00:00Z,6975
2026-03-20T00:00:00Z,8333
2026-03-19T00:00:00Z,8658
2026-03-18T00:00:00Z,8661
2026-03-17T00:00:00Z,9695
2026-03-16T00:00:00Z,9398
2026-03-15T00:00:00Z,6562
2026-03-14T00:00:00Z,7382
2026-03-13T00:00:00Z,8938
2026-03-12T00:00:00Z,8192
2026-03-11T00:00:00Z,8231
2026-03-10T00:00:00Z,9698
2026-03-09T00:00:00Z,8322
2026-03-08T00:00:00Z,6748
2026-03-07T00:00:00Z,7804
2026-03-06T00:00:00Z,9391
2026-03-05T00:00:00Z,9410
2026-03-04T00:00:00Z,9719
2026-03-03T00:00:00Z,10978
2026-03-02T00:00:00Z,9982
2026-03-01T00:00:00Z,8019
2026-02-28T00:00:00Z,9056
2026-02-27T00:00:00Z,10127
2026-02-26T00:00:00Z,9450
2026-02-25T00:00:00Z,9193
2026-02-24T00:00:00Z,10071
2026-02-23T00:00:00Z,8060
2026-02-22T00:00:00Z,6926
2026-02-21T00:00:00Z,7877
2026-02-20T00:00:00Z,8665
2026-02-19T00:00:00Z,8314
2026-02-18T00:00:00Z,8263
2026-02-17T00:00:00Z,9359
2026-02-16T00:00:00Z,7863
2026-02-15T00:00:00Z,6879
2026-02-14T00:00:00Z,8294
2026-02-13T00:00:00Z,9389
2026-02-12T00:00:00Z,8785
2026-02-11T00:00:00Z,8845
2026-02-10T00:00:00Z,9992
2026-02-09T00:00:00Z,8413
2026-02-08T00:00:00Z,7137
2026-02-07T00:00:00Z,8348
2026-02-06T00:00:00Z,11029
2026-02-05T00:00:00Z,11578
2026-02-04T00:00:00Z,9993
2026-02-03T00:00:00Z,11802
2026-02-02T00:00:00Z,9792
2026-02-01T00:00:00Z,8522
2026-01-31T00:00:00Z,10054
2026-01-30T00:00:00Z,10956
2026-01-29T00:00:00Z,9885
2026-01-28T00:00:00Z,8928
2026-01-27T00:00:00Z,9901
2026-01-26T00:00:00Z,8587
2026-01-25T00:00:00Z,7429
2026-01-24T00:00:00Z,8025
2026-01-23T00:00:00Z,9300
2026-01-22T00:00:00Z,9078
2026-01-21T00:00:00Z,9055
2026-01-20T00:00:00Z,10352
2026-01-19T00:00:00Z,8579
2026-01-18T00:00:00Z,7782
2026-01-17T00:00:00Z,8526
2026-01-16T00:00:00Z,10653
2026-01-15T00:00:00Z,10529
2026-01-14T00:00:00Z,10046
2026-01-13T00:00:00Z,10935
2026-01-12T00:00:00Z,8988
2026-01-11T00:00:00Z,7380
2026-01-10T00:00:00Z,8510
2026-01-09T00:00:00Z,10138
2026-01-08T00:00:00Z,9169
2026-01-07T00:00:00Z,9443
2026-01-06T00:00:00Z,10799
2026-01-05T00:00:00Z,10057
2026-01-04T00:00:00Z,8208
2026-01-03T00:00:00Z,8799
2026-01-02T00:00:00Z,10967
2026-01-01T00:00:00Z,7776
2025-12-31T00:00:00Z,10218
2025-12-30T00:00:00Z,11351
2025-12-29T00:00:00Z,9521
2025-12-28T00:00:00Z,7416
2025-12-27T00:00:00Z,7999
2025-12-26T00:00:00Z,8998
2025-12-25T00:00:00Z,7805
2025-12-24T00:00:00Z,9987
2025-12-23T00:00:00Z,11407
2025-12-22T00:00:00Z,9838
2025-12-21T00:00:00Z,7875
2025-12-20T00:00:00Z,9122
2025-12-19T00:00:00Z,11294
2025-12-18T00:00:00Z,10188
2025-12-17T00:00:00Z,10784
2025-12-16T00:00:00Z,11682
2025-12-15T00:00:00Z,10565
2025-12-14T00:00:00Z,8124
2025-12-13T00:00:00Z,9198
2025-12-12T00:00:00Z,11092
2025-12-11T00:00:00Z,10737
2025-12-10T00:00:00Z,10864
2025-12-09T00:00:00Z,12405
2025-12-08T00:00:00Z,10083
2025-12-07T00:00:00Z,8664
2025-12-06T00:00:00Z,9556
2025-12-05T00:00:00Z,11746
2025-12-04T00:00:00Z,12170
2025-12-03T00:00:00Z,12368
2025-12-02T00:00:00Z,14086
2025-12-01T00:00:00Z,12795
2025-11-30T00:00:00Z,9427
2025-11-29T00:00:00Z,9863
2025-11-28T00:00:00Z,11768
2025-11-27T00:00:00Z,11437
2025-11-26T00:00:00Z,11633
2025-11-25T00:00:00Z,12779
2025-11-24T00:00:00Z,3463
2025-11-23T00:00:00Z,11052
2025-11-22T00:00:00Z,12327
2025-11-21T00:00:00Z,17358
2025-11-20T00:00:00Z,14736
2025-11-19T00:00:00Z,15216
2025-11-18T00:00:00Z,16277
2025-11-17T00:00:00Z,15101
2025-11-16T00:00:00Z,11895
2025-11-15T00:00:00Z,13052
2025-11-14T00:00:00Z,16619
2025-11-13T00:00:00Z,14251
2025-11-12T00:00:00Z,13128
2025-11-11T00:00:00Z,14903
2025-11-10T00:00:00Z,14376
2025-11-09T00:00:00Z,11216
2025-11-08T00:00:00Z,12180
2025-11-07T00:00:00Z,15789
2025-11-06T00:00:00Z,14131
2025-11-05T00:00:00Z,15049
2025-11-04T00:00:00Z,19226
2025-11-03T00:00:00Z,16037
2025-11-02T00:00:00Z,11283
2025-11-01T00:00:00Z,13435
2025-10-31T00:00:00Z,16120
2025-10-30T00:00:00Z,14931
2025-10-29T00:00:00Z,14307
2025-10-28T00:00:00Z,15413
2025-10-27T00:00:00Z,14915
2025-10-26T00:00:00Z,11863
2025-10-25T00:00:00Z,12596
2025-10-24T00:00:00Z,15196
2025-10-23T00:00:00Z,14271
2025-10-22T00:00:00Z,14095
2025-10-21T00:00:00Z,16878
2025-10-20T00:00:00Z,14751
2025-10-19T00:00:00Z,11532
2025-10-18T00:00:00Z,12518
2025-10-17T00:00:00Z,16632
2025-10-16T00:00:00Z,15861
2025-10-15T00:00:00Z,15699
2025-10-14T00:00:00Z,17430
2025-10-13T00:00:00Z,14750
2025-10-12T00:00:00Z,13546
2025-10-11T00:00:00Z,16594
2025-10-10T00:00:00Z,18396
2025-10-09T00:00:00Z,16562
2025-10-08T00:00:00Z,16784
2025-10-07T00:00:00Z,19561
2025-10-06T00:00:00Z,17803
2025-10-05T00:00:00Z,15639
2025-10-04T00:00:00Z,15876
2025-10-03T00:00:00Z,19043
2025-10-02T00:00:00Z,20324
2025-10-01T00:00:00Z,17878
2025-09-30T00:00:00Z,17803
2025-09-29T00:00:00Z,15180
2025-09-28T00:00:00Z,11896
2025-09-27T00:00:00Z,13397
2025-09-26T00:00:00Z,16336
2025-09-25T00:00:00Z,15965
2025-09-24T00:00:00Z,14765
2025-09-23T00:00:00Z,16425
2025-09-22T00:00:00Z,15885
2025-09-21T00:00:00Z,12159
2025-09-20T00:00:00Z,12741
2025-09-19T00:00:00Z,15845
2025-09-18T00:00:00Z,15808
2025-09-17T00:00:00Z,16158
2025-09-16T00:00:00Z,17359
2025-09-15T00:00:00Z,16069
2025-09-14T00:00:00Z,13256
2025-09-13T00:00:00Z,15275
2025-09-12T00:00:00Z,16336
2025-09-11T00:00:00Z,16478
2025-09-10T00:00:00Z,17445
2025-09-09T00:00:00Z,18142
2025-09-08T00:00:00Z,15903
2025-09-07T00:00:00Z,13182
2025-09-06T00:00:00Z,13638
2025-09-05T00:00:00Z,17888
2025-09-04T00:00:00Z,16142
2025-09-03T00:00:00Z,18063
2025-09-02T00:00:00Z,18980
2025-09-01T00:00:00Z,17202
2025-08-31T00:00:00Z,13834
2025-08-30T00:00:00Z,14837
2025-08-29T00:00:00Z,18248
2025-08-28T00:00:00Z,16710
2025-08-27T00:00:00Z,16249
2025-08-26T00:00:00Z,18278
2025-08-25T00:00:00Z,15834
