Datetime,Miner In-House Transactions
2026-04-11T00:00:00Z,94793
2026-04-10T00:00:00Z,83002
2026-04-09T00:00:00Z,110809
2026-04-08T00:00:00Z,155383
2026-04-07T00:00:00Z,128106
2026-04-06T00:00:00Z,138961
2026-04-05T00:00:00Z,217932
2026-04-04T00:00:00Z,110219
2026-04-03T00:00:00Z,84053
2026-04-02T00:00:00Z,94480
2026-04-01T00:00:00Z,154469
2026-03-31T00:00:00Z,93794
2026-03-30T00:00:00Z,124056
2026-03-29T00:00:00Z,189246
2026-03-28T00:00:00Z,250241
2026-03-27T00:00:00Z,170066
2026-03-26T00:00:00Z,25896
2026-03-25T00:00:00Z,10811
2026-03-24T00:00:00Z,3778
2026-03-23T00:00:00Z,24617
2026-03-22T00:00:00Z,71148
2026-03-21T00:00:00Z,37227
2026-03-20T00:00:00Z,11481
2026-03-19T00:00:00Z,8213
2026-03-18T00:00:00Z,20043
2026-03-17T00:00:00Z,15707
2026-03-16T00:00:00Z,26054
2026-03-15T00:00:00Z,11557
2026-03-14T00:00:00Z,10056
2026-03-13T00:00:00Z,16343
2026-03-12T00:00:00Z,19368
2026-03-11T00:00:00Z,11227
2026-03-10T00:00:00Z,6144
2026-03-09T00:00:00Z,14216
2026-03-08T00:00:00Z,23616
2026-03-07T00:00:00Z,7944
2026-03-06T00:00:00Z,3790
2026-03-05T00:00:00Z,3977
2026-03-04T00:00:00Z,4516
2026-03-03T00:00:00Z,4166
2026-03-02T00:00:00Z,9885
2026-03-01T00:00:00Z,10357
2026-02-28T00:00:00Z,15048
2026-02-27T00:00:00Z,4105
2026-02-26T00:00:00Z,5557
2026-02-25T00:00:00Z,6657
2026-02-24T00:00:00Z,5357
2026-02-23T00:00:00Z,7980
2026-02-22T00:00:00Z,24273
2026-02-21T00:00:00Z,6521
2026-02-20T00:00:00Z,5089
2026-02-19T00:00:00Z,7855
2026-02-18T00:00:00Z,2790
2026-02-17T00:00:00Z,7295
2026-02-16T00:00:00Z,17740
2026-02-15T00:00:00Z,13775
2026-02-14T00:00:00Z,15011
2026-02-13T00:00:00Z,15777
2026-02-12T00:00:00Z,12778
2026-02-11T00:00:00Z,8833
2026-02-10T00:00:00Z,8785
2026-02-09T00:00:00Z,8291
2026-02-08T00:00:00Z,8342
2026-02-07T00:00:00Z,13002
2026-02-06T00:00:00Z,8666
2026-02-05T00:00:00Z,4330
2026-02-04T00:00:00Z,12344
2026-02-03T00:00:00Z,3028
2026-02-02T00:00:00Z,4259
2026-02-01T00:00:00Z,10230
2026-01-31T00:00:00Z,6843
2026-01-30T00:00:00Z,11190
2026-01-29T00:00:00Z,21009
2026-01-28T00:00:00Z,5535
2026-01-27T00:00:00Z,4167
2026-01-26T00:00:00Z,8645
2026-01-25T00:00:00Z,12207
2026-01-24T00:00:00Z,8768
2026-01-23T00:00:00Z,13956
2026-01-22T00:00:00Z,7205
2026-01-21T00:00:00Z,62786
2026-01-20T00:00:00Z,5487
2026-01-19T00:00:00Z,5550
2026-01-18T00:00:00Z,5575
2026-01-17T00:00:00Z,5401
2026-01-16T00:00:00Z,7130
2026-01-15T00:00:00Z,6861
2026-01-14T00:00:00Z,6123
2026-01-13T00:00:00Z,5870
2026-01-12T00:00:00Z,5733
2026-01-11T00:00:00Z,22023
2026-01-10T00:00:00Z,10853
2026-01-09T00:00:00Z,45395
2026-01-08T00:00:00Z,6168
2026-01-07T00:00:00Z,29167
2026-01-06T00:00:00Z,5939
2026-01-05T00:00:00Z,5992
2026-01-04T00:00:00Z,5968
2026-01-03T00:00:00Z,5853
2026-01-02T00:00:00Z,6036
2026-01-01T00:00:00Z,5621
