Datetime,Exchange to Miner Flow (Total)
2026-04-11T00:00:00Z,537.29095144
2026-04-10T00:00:00Z,785.91865358
2026-04-09T00:00:00Z,1609.95879561
2026-04-08T00:00:00Z,1264.49105028
2026-04-07T00:00:00Z,1491.08832258
2026-04-06T00:00:00Z,1277.90800122
2026-04-05T00:00:00Z,512.20434049
2026-04-04T00:00:00Z,372.6084934
2026-04-03T00:00:00Z,958.32753286
2026-04-02T00:00:00Z,676.3187447
2026-04-01T00:00:00Z,762.02056559
2026-03-31T00:00:00Z,759.65924211
2026-03-30T00:00:00Z,741.12245799
2026-03-29T00:00:00Z,1155.03179521
2026-03-28T00:00:00Z,129.30948596
2026-03-27T00:00:00Z,1076.28321201
2026-03-26T00:00:00Z,1610.7367514
2026-03-25T00:00:00Z,2150.62426749
2026-03-24T00:00:00Z,870.03779045
2026-03-23T00:00:00Z,1148.51979455
2026-03-22T00:00:00Z,472.24262759
2026-03-21T00:00:00Z,719.06594174
2026-03-20T00:00:00Z,903.26188472
2026-03-19T00:00:00Z,973.47318732
2026-03-18T00:00:00Z,925.14223766
2026-03-17T00:00:00Z,1235.22088122
2026-03-16T00:00:00Z,2167.25662953
2026-03-15T00:00:00Z,620.1791301
2026-03-14T00:00:00Z,271.79684168
2026-03-13T00:00:00Z,1630.32410384
2026-03-12T00:00:00Z,2749.0673071
2026-03-11T00:00:00Z,966.23050629
2026-03-10T00:00:00Z,1753.16400307
2026-03-09T00:00:00Z,3055.91810581
2026-03-08T00:00:00Z,400.1633156
2026-03-07T00:00:00Z,348.75462013
2026-03-06T00:00:00Z,3843.98874567
2026-03-05T00:00:00Z,2781.98587965
2026-03-04T00:00:00Z,3005.89594098
2026-03-03T00:00:00Z,2879.27172796
2026-03-02T00:00:00Z,2140.73037221
2026-03-01T00:00:00Z,700.50128849
2026-02-28T00:00:00Z,832.68473344
2026-02-27T00:00:00Z,1866.8486861
2026-02-26T00:00:00Z,1113.71679309
2026-02-25T00:00:00Z,1919.28458935
2026-02-24T00:00:00Z,1209.80711913
2026-02-23T00:00:00Z,1064.94866298
2026-02-22T00:00:00Z,478.48577813
2026-02-21T00:00:00Z,289.57290451
2026-02-20T00:00:00Z,878.96145531
2026-02-19T00:00:00Z,897.18758443
2026-02-18T00:00:00Z,1631.76307426
2026-02-17T00:00:00Z,1822.14057133
2026-02-16T00:00:00Z,1234.99281502
2026-02-15T00:00:00Z,688.90107363
2026-02-14T00:00:00Z,490.34724354
2026-02-13T00:00:00Z,1118.91876951
2026-02-12T00:00:00Z,2087.77197671
2026-02-11T00:00:00Z,1912.6405028
2026-02-10T00:00:00Z,1434.53138854
2026-02-09T00:00:00Z,6282.58967539
2026-02-08T00:00:00Z,913.87280675
2026-02-07T00:00:00Z,1403.32866661
2026-02-06T00:00:00Z,3109.21063635
2026-02-05T00:00:00Z,4510.49104027
2026-02-04T00:00:00Z,3428.96770321
2026-02-03T00:00:00Z,2590.23003708
2026-02-02T00:00:00Z,3043.08769811
2026-02-01T00:00:00Z,1728.51426096
2026-01-31T00:00:00Z,1571.23755534
2026-01-30T00:00:00Z,1622.79573007
2026-01-29T00:00:00Z,1542.50787723
2026-01-28T00:00:00Z,1512.43040606
2026-01-27T00:00:00Z,1770.35793299
2026-01-26T00:00:00Z,1656.41280825
2026-01-25T00:00:00Z,658.22209215
2026-01-24T00:00:00Z,362.8709634
2026-01-23T00:00:00Z,1976.06038172
2026-01-22T00:00:00Z,1734.70994802
2026-01-21T00:00:00Z,2281.4683622
2026-01-20T00:00:00Z,1992.29769176
2026-01-19T00:00:00Z,2446.40059643
2026-01-18T00:00:00Z,658.84122792
2026-01-17T00:00:00Z,1074.31285835
2026-01-16T00:00:00Z,1614.71816403
2026-01-15T00:00:00Z,2694.20450062
2026-01-14T00:00:00Z,3948.52788335
2026-01-13T00:00:00Z,2530.67054035
2026-01-12T00:00:00Z,1176.25027243
2026-01-11T00:00:00Z,447.3932865
2026-01-10T00:00:00Z,751.18869101
2026-01-09T00:00:00Z,1704.57884184
2026-01-08T00:00:00Z,2087.73036292
2026-01-07T00:00:00Z,1947.37845594
2026-01-06T00:00:00Z,2326.89996373
2026-01-05T00:00:00Z,2769.09077782
2026-01-04T00:00:00Z,1523.54547983
2026-01-03T00:00:00Z,1220.05952864
2026-01-02T00:00:00Z,2547.63352966
2026-01-01T00:00:00Z,787.32154063
2025-12-31T00:00:00Z,1428.50319719
2025-12-30T00:00:00Z,2414.6552955
2025-12-29T00:00:00Z,2609.92747274
2025-12-28T00:00:00Z,586.94251144
2025-12-27T00:00:00Z,472.47558161
2025-12-26T00:00:00Z,1810.44663003
2025-12-25T00:00:00Z,1054.98113314
2025-12-24T00:00:00Z,1468.14279205
2025-12-23T00:00:00Z,2146.86307991
2025-12-22T00:00:00Z,1387.32195266
2025-12-21T00:00:00Z,567.43010635
2025-12-20T00:00:00Z,1117.86337824
2025-12-19T00:00:00Z,3126.67977614
2025-12-18T00:00:00Z,2070.75938779
2025-12-17T00:00:00Z,3135.6075536
2025-12-16T00:00:00Z,1656.52460453
2025-12-15T00:00:00Z,1961.86617463
2025-12-14T00:00:00Z,938.24286796
2025-12-13T00:00:00Z,611.43656602
2025-12-12T00:00:00Z,2130.82753798
2025-12-11T00:00:00Z,3899.41733668
2025-12-10T00:00:00Z,1879.53825354
2025-12-09T00:00:00Z,2996.90025578
2025-12-08T00:00:00Z,1456.19121665
2025-12-07T00:00:00Z,739.74137216
2025-12-06T00:00:00Z,989.51118496
2025-12-05T00:00:00Z,1649.177878
2025-12-04T00:00:00Z,2524.81316839
2025-12-03T00:00:00Z,3020.94852957
2025-12-02T00:00:00Z,2234.04900136
2025-12-01T00:00:00Z,3516.11965131
2025-11-30T00:00:00Z,1200.31580007
2025-11-29T00:00:00Z,1040.52644406
2025-11-28T00:00:00Z,4000.29075976
2025-11-27T00:00:00Z,5787.87793206
2025-11-26T00:00:00Z,4829.3744042
2025-11-25T00:00:00Z,3042.02923833
2025-11-24T00:00:00Z,4688.1321784
2025-11-23T00:00:00Z,1679.6501009
2025-11-22T00:00:00Z,1099.3182868
2025-11-21T00:00:00Z,6242.23918127
2025-11-20T00:00:00Z,4530.78423859
2025-11-19T00:00:00Z,2764.19214095
2025-11-18T00:00:00Z,3727.57555532
2025-11-17T00:00:00Z,3559.47176369
2025-11-16T00:00:00Z,1488.3482041
2025-11-15T00:00:00Z,1740.39832636
2025-11-14T00:00:00Z,4368.22520588
2025-11-13T00:00:00Z,3251.95999867
2025-11-12T00:00:00Z,3454.3747936
2025-11-11T00:00:00Z,3070.68799867
2025-11-10T00:00:00Z,2306.66340503
2025-11-09T00:00:00Z,1529.70821181
2025-11-08T00:00:00Z,1729.00205097
2025-11-07T00:00:00Z,3976.91539362
2025-11-06T00:00:00Z,2720.02167734
2025-11-05T00:00:00Z,2877.30647299
2025-11-04T00:00:00Z,4372.30096325
2025-11-03T00:00:00Z,3051.6151081
2025-11-02T00:00:00Z,1288.44900116
2025-11-01T00:00:00Z,2241.48485597
2025-10-31T00:00:00Z,3479.28320866
2025-10-30T00:00:00Z,3298.12921128
2025-10-29T00:00:00Z,1896.49328296
2025-10-28T00:00:00Z,1827.27640801
2025-10-27T00:00:00Z,2054.9001547
2025-10-26T00:00:00Z,1026.50367268
2025-10-25T00:00:00Z,877.17583547
2025-10-24T00:00:00Z,2465.80360133
2025-10-23T00:00:00Z,2204.32931162
2025-10-22T00:00:00Z,2832.90203852
2025-10-21T00:00:00Z,8869.84265791
2025-10-20T00:00:00Z,2431.96376816
2025-10-19T00:00:00Z,874.44666421
2025-10-18T00:00:00Z,734.22393167
2025-10-17T00:00:00Z,4652.96788453
2025-10-16T00:00:00Z,2664.21907741
2025-10-15T00:00:00Z,1962.99644333
2025-10-14T00:00:00Z,4656.49292727
2025-10-13T00:00:00Z,2223.40980749
2025-10-12T00:00:00Z,2539.52695414
2025-10-11T00:00:00Z,6798.45335218
