Datetime,Miner Reserve
2026-04-11T00:00:00Z,1805193.41681539
2026-04-10T00:00:00Z,1805406.11988335
2026-04-09T00:00:00Z,1805730.49474839
2026-04-08T00:00:00Z,1804944.46737744
2026-04-07T00:00:00Z,1805881.0685711
2026-04-06T00:00:00Z,1804797.49294047
2026-04-05T00:00:00Z,1805032.83297462
2026-04-04T00:00:00Z,1804842.53180509
2026-04-03T00:00:00Z,1804910.69648748
2026-04-02T00:00:00Z,1804837.76381609
2026-04-01T00:00:00Z,1804768.89722324
2026-03-31T00:00:00Z,1804908.90850778
2026-03-30T00:00:00Z,1804833.31848068
2026-03-29T00:00:00Z,1805030.93399014
2026-03-28T00:00:00Z,1805037.94705476
2026-03-27T00:00:00Z,1804906.80745328
2026-03-26T00:00:00Z,1804885.03045249
2026-03-25T00:00:00Z,1804746.47385176
2026-03-24T00:00:00Z,1804696.87173954
2026-03-23T00:00:00Z,1800701.43889453
2026-03-22T00:00:00Z,1800977.15189323
2026-03-21T00:00:00Z,1800667.2689512
2026-03-20T00:00:00Z,1800647.90734881
2026-03-19T00:00:00Z,1800724.9887807
2026-03-18T00:00:00Z,1800823.6379262
2026-03-17T00:00:00Z,1800782.75214161
2026-03-16T00:00:00Z,1801024.20591718
2026-03-15T00:00:00Z,1801101.27617632
2026-03-14T00:00:00Z,1800952.80275361
2026-03-13T00:00:00Z,1801067.62335208
2026-03-12T00:00:00Z,1801010.22308043
2026-03-11T00:00:00Z,1801089.32721968
2026-03-10T00:00:00Z,1801175.30161937
2026-03-09T00:00:00Z,1801276.72161326
2026-03-08T00:00:00Z,1801289.67306922
2026-03-07T00:00:00Z,1801079.3173671
2026-03-06T00:00:00Z,1801101.32959114
2026-03-05T00:00:00Z,1801020.81257155
2026-03-04T00:00:00Z,1801261.43692812
2026-03-03T00:00:00Z,1801272.45849926
2026-03-02T00:00:00Z,1801457.77338686
2026-03-01T00:00:00Z,1801000.95523617
2026-02-28T00:00:00Z,1800596.51946462
2026-02-27T00:00:00Z,1800691.48999525
2026-02-26T00:00:00Z,1801163.42307555
2026-02-25T00:00:00Z,1801418.72848526
2026-02-24T00:00:00Z,1801114.79554477
2026-02-23T00:00:00Z,1801489.55155483
2026-02-22T00:00:00Z,1801100.4992336
2026-02-21T00:00:00Z,1800957.46742435
2026-02-20T00:00:00Z,1801074.107249
2026-02-19T00:00:00Z,1801094.9186212
2026-02-18T00:00:00Z,1801052.0196289
2026-02-17T00:00:00Z,1801023.88785571
2026-02-16T00:00:00Z,1800995.1571507
2026-02-15T00:00:00Z,1800977.40562557
2026-02-14T00:00:00Z,1801100.98833368
2026-02-13T00:00:00Z,1801470.44349423
2026-02-12T00:00:00Z,1801388.35227075
2026-02-11T00:00:00Z,1801515.374789
2026-02-10T00:00:00Z,1801076.61878943
2026-02-09T00:00:00Z,1800692.3066237
2026-02-08T00:00:00Z,1800740.8818347
2026-02-07T00:00:00Z,1801489.09873338
2026-02-06T00:00:00Z,1801159.33300808
2026-02-05T00:00:00Z,1803858.41417126
2026-02-04T00:00:00Z,1803248.47281808
2026-02-03T00:00:00Z,1804048.17300733
2026-02-02T00:00:00Z,1802300.38818174
2026-02-01T00:00:00Z,1803006.67445868
2026-01-31T00:00:00Z,1802704.62255746
2026-01-30T00:00:00Z,1802808.82893886
2026-01-29T00:00:00Z,1802460.33691182
2026-01-28T00:00:00Z,1802512.71454042
2026-01-27T00:00:00Z,1802475.59248498
2026-01-26T00:00:00Z,1802442.22399005
2026-01-25T00:00:00Z,1802312.65099871
2026-01-24T00:00:00Z,1802128.24508955
2026-01-23T00:00:00Z,1802450.61605968
2026-01-22T00:00:00Z,1802516.38963182
2026-01-21T00:00:00Z,1802860.88208661
2026-01-20T00:00:00Z,1803129.1788105
2026-01-19T00:00:00Z,1803215.53703717
2026-01-18T00:00:00Z,1803024.83168331
2026-01-17T00:00:00Z,1802989.70740099
2026-01-16T00:00:00Z,1803006.79223004
2026-01-15T00:00:00Z,1803078.14908453
2026-01-14T00:00:00Z,1803373.17540498
2026-01-13T00:00:00Z,1803393.23362487
2026-01-12T00:00:00Z,1803700.20892313
2026-01-11T00:00:00Z,1803637.54125453
2026-01-10T00:00:00Z,1803627.63947739
2026-01-09T00:00:00Z,1805651.6934656
2026-01-08T00:00:00Z,1805800.78908097
2026-01-07T00:00:00Z,1804728.25552816
2026-01-06T00:00:00Z,1804307.57765855
2026-01-05T00:00:00Z,1804175.35487478
2026-01-04T00:00:00Z,1804181.16676203
2026-01-03T00:00:00Z,1804156.95011146
2026-01-02T00:00:00Z,1804340.36324593
2026-01-01T00:00:00Z,1804145.97413183
2025-12-31T00:00:00Z,1804177.84390204
2025-12-30T00:00:00Z,1804524.1746105
2025-12-29T00:00:00Z,1804288.81345728
2025-12-28T00:00:00Z,1804534.7908415
2025-12-27T00:00:00Z,1804448.28168219
2025-12-26T00:00:00Z,1804352.07620239
2025-12-25T00:00:00Z,1805147.52652082
2025-12-24T00:00:00Z,1805680.10197708
2025-12-23T00:00:00Z,1805840.33277384
2025-12-22T00:00:00Z,1805599.60672038
2025-12-21T00:00:00Z,1805662.15458219
2025-12-20T00:00:00Z,1805489.06552539
2025-12-19T00:00:00Z,1805624.99701416
2025-12-18T00:00:00Z,1806378.26819557
2025-12-17T00:00:00Z,1805721.17178519
2025-12-16T00:00:00Z,1805413.51381595
2025-12-15T00:00:00Z,1805735.48117617
2025-12-14T00:00:00Z,1805795.48448132
2025-12-13T00:00:00Z,1805618.37167038
2025-12-12T00:00:00Z,1805565.75100543
2025-12-11T00:00:00Z,1807275.21555163
2025-12-10T00:00:00Z,1806969.43775367
2025-12-09T00:00:00Z,1806101.28688303
2025-12-08T00:00:00Z,1805802.61760278
2025-12-07T00:00:00Z,1805844.81966494
2025-12-06T00:00:00Z,1805969.92082772
2025-12-05T00:00:00Z,1805986.93288922
2025-12-04T00:00:00Z,1805915.75135316
2025-12-03T00:00:00Z,1805243.0174746
2025-12-02T00:00:00Z,1805415.5882282
2025-12-01T00:00:00Z,1805096.00726028
2025-11-30T00:00:00Z,1805064.29954048
2025-11-29T00:00:00Z,1804954.68603144
2025-11-28T00:00:00Z,1805052.71199084
2025-11-27T00:00:00Z,1805044.88888951
2025-11-26T00:00:00Z,1804810.78314177
2025-11-25T00:00:00Z,1803813.63268056
2025-11-24T00:00:00Z,1804159.78267519
2025-11-23T00:00:00Z,1803795.44046874
2025-11-22T00:00:00Z,1803946.22941663
2025-11-21T00:00:00Z,1806902.01208817
2025-11-20T00:00:00Z,1806829.85149338
2025-11-19T00:00:00Z,1807056.11003103
2025-11-18T00:00:00Z,1806906.35509128
2025-11-17T00:00:00Z,1807499.43428162
2025-11-16T00:00:00Z,1807690.73123145
2025-11-15T00:00:00Z,1806499.2811846
2025-11-14T00:00:00Z,1807808.94982913
2025-11-13T00:00:00Z,1807114.30409977
2025-11-12T00:00:00Z,1807090.22991627
2025-11-11T00:00:00Z,1806751.83739977
2025-11-10T00:00:00Z,1806664.30899277
2025-11-09T00:00:00Z,1806655.49792152
2025-11-08T00:00:00Z,1806502.35766554
2025-11-07T00:00:00Z,1806701.81450312
2025-11-06T00:00:00Z,1806245.50805877
2025-11-05T00:00:00Z,1808168.97688393
2025-11-04T00:00:00Z,1808536.97608358
2025-11-03T00:00:00Z,1806658.61944299
2025-11-02T00:00:00Z,1806265.88909621
2025-11-01T00:00:00Z,1806107.9987911
2025-10-31T00:00:00Z,1806468.65742556
2025-10-30T00:00:00Z,1806519.72541183
2025-10-29T00:00:00Z,1807923.80701918
