Datetime,Miner Outflow (Top10)
2026-04-11T00:00:00Z,2631.13803604
2026-04-10T00:00:00Z,1745.263548
2026-04-09T00:00:00Z,1736.46443283
2026-04-08T00:00:00Z,2073.39030718
2026-04-07T00:00:00Z,2636.2561854
2026-04-06T00:00:00Z,1719.76504515
2026-04-05T00:00:00Z,1512.09969039
2026-04-04T00:00:00Z,1208.2624539
2026-04-03T00:00:00Z,2479.59181253
2026-04-02T00:00:00Z,2428.26535089
2026-04-01T00:00:00Z,2759.14338251
2026-03-31T00:00:00Z,2375.37800006
2026-03-30T00:00:00Z,2461.26749806
2026-03-29T00:00:00Z,1481.53812133
2026-03-28T00:00:00Z,1165.13930563
2026-03-27T00:00:00Z,7505.45379121
2026-03-26T00:00:00Z,3463.96235874
2026-03-25T00:00:00Z,3278.41157785
2026-03-24T00:00:00Z,2253.8694491
2026-03-23T00:00:00Z,2290.81760823
2026-03-22T00:00:00Z,1497.4617835
2026-03-21T00:00:00Z,1832.70196028
2026-03-20T00:00:00Z,2832.52502203
2026-03-19T00:00:00Z,2382.30903943
2026-03-18T00:00:00Z,3717.70680478
2026-03-17T00:00:00Z,2533.14242164
2026-03-16T00:00:00Z,3329.96970922
2026-03-15T00:00:00Z,1311.59660104
2026-03-14T00:00:00Z,1332.18439451
2026-03-13T00:00:00Z,2740.99904113
2026-03-12T00:00:00Z,3561.97549379
2026-03-11T00:00:00Z,3551.32515026
2026-03-10T00:00:00Z,2996.4119327
2026-03-09T00:00:00Z,4622.21325828
2026-03-08T00:00:00Z,1383.00024637
2026-03-07T00:00:00Z,1179.6058411
2026-03-06T00:00:00Z,4335.94213309
2026-03-05T00:00:00Z,3714.66615292
2026-03-04T00:00:00Z,3662.27434058
2026-03-03T00:00:00Z,4164.70283964
2026-03-02T00:00:00Z,2882.08817517
2026-03-01T00:00:00Z,1689.27895364
2026-02-28T00:00:00Z,1512.96554822
2026-02-27T00:00:00Z,4298.89362864
2026-02-26T00:00:00Z,1963.00415173
2026-02-25T00:00:00Z,2772.34582917
2026-02-24T00:00:00Z,2314.84880046
2026-02-23T00:00:00Z,3135.32936348
2026-02-22T00:00:00Z,1717.14818761
2026-02-21T00:00:00Z,1411.67369461
2026-02-20T00:00:00Z,8389.38428124
2026-02-19T00:00:00Z,2302.39164631
2026-02-18T00:00:00Z,2829.97402884
2026-02-17T00:00:00Z,3665.05786878
2026-02-16T00:00:00Z,2531.70906443
2026-02-15T00:00:00Z,1729.30854036
2026-02-14T00:00:00Z,3200.51661459
2026-02-13T00:00:00Z,5642.57733763
2026-02-12T00:00:00Z,7405.00023638
2026-02-11T00:00:00Z,8681.59171371
2026-02-10T00:00:00Z,3158.16310311
2026-02-09T00:00:00Z,7908.04151676
2026-02-08T00:00:00Z,3251.27673422
2026-02-07T00:00:00Z,3099.93360253
2026-02-06T00:00:00Z,8695.19220686
2026-02-05T00:00:00Z,14345.48798288
2026-02-04T00:00:00Z,9482.51983055
2026-02-03T00:00:00Z,10542.74479135
2026-02-02T00:00:00Z,5558.90484205
2026-02-01T00:00:00Z,5595.00402846
2026-01-31T00:00:00Z,4536.53756831
2026-01-30T00:00:00Z,4498.29024931
2026-01-29T00:00:00Z,4766.17838987
2026-01-28T00:00:00Z,2958.40224818
2026-01-27T00:00:00Z,2964.75830903
2026-01-26T00:00:00Z,2949.55880044
2026-01-25T00:00:00Z,1811.8811649
2026-01-24T00:00:00Z,1426.55779633
2026-01-23T00:00:00Z,3148.17074277
2026-01-22T00:00:00Z,3388.66856431
2026-01-21T00:00:00Z,5716.79243037
2026-01-20T00:00:00Z,5298.55051253
2026-01-19T00:00:00Z,2135.59044257
2026-01-18T00:00:00Z,1373.17137103
2026-01-17T00:00:00Z,2039.19657656
2026-01-16T00:00:00Z,2357.20755913
2026-01-15T00:00:00Z,4907.39019279
2026-01-14T00:00:00Z,3026.20089197
2026-01-13T00:00:00Z,4739.26538217
2026-01-12T00:00:00Z,2650.49157174
2026-01-11T00:00:00Z,1306.70813095
2026-01-10T00:00:00Z,3448.85690532
2026-01-09T00:00:00Z,4976.93974123
2026-01-08T00:00:00Z,2707.04974626
2026-01-07T00:00:00Z,2806.25327529
2026-01-06T00:00:00Z,4156.34970519
2026-01-05T00:00:00Z,4242.53543111
2026-01-04T00:00:00Z,1827.11051973
2026-01-03T00:00:00Z,1987.2966623
2026-01-02T00:00:00Z,2604.30955929
2026-01-01T00:00:00Z,3156.16936944
2025-12-31T00:00:00Z,3363.78438706
2025-12-30T00:00:00Z,3519.36611123
2025-12-29T00:00:00Z,5760.80971206
2025-12-28T00:00:00Z,1329.26756394
2025-12-27T00:00:00Z,1311.13567513
2025-12-26T00:00:00Z,4359.62584661
2025-12-25T00:00:00Z,2292.58190121
2025-12-24T00:00:00Z,2252.81078008
2025-12-23T00:00:00Z,3231.96677549
2025-12-22T00:00:00Z,2877.57325801
2025-12-21T00:00:00Z,1662.83381489
2025-12-20T00:00:00Z,1776.50010747
2025-12-19T00:00:00Z,5087.97373844
2025-12-18T00:00:00Z,4776.20175712
2025-12-17T00:00:00Z,6533.49145581
2025-12-16T00:00:00Z,2545.05401605
2025-12-15T00:00:00Z,4377.1042661
2025-12-14T00:00:00Z,1604.15729005
2025-12-13T00:00:00Z,3590.68239021
2025-12-12T00:00:00Z,4426.80734111
2025-12-11T00:00:00Z,5986.9070284
2025-12-10T00:00:00Z,2568.14656792
2025-12-09T00:00:00Z,3425.38269061
2025-12-08T00:00:00Z,2246.99151137
2025-12-07T00:00:00Z,1784.05103931
2025-12-06T00:00:00Z,3694.65768337
2025-12-05T00:00:00Z,2075.77040163
2025-12-04T00:00:00Z,2483.17949966
2025-12-03T00:00:00Z,3116.44224422
2025-12-02T00:00:00Z,3337.39290861
2025-12-01T00:00:00Z,3971.62105172
2025-11-30T00:00:00Z,1688.05279135
2025-11-29T00:00:00Z,1550.25000752
2025-11-28T00:00:00Z,4013.1872662
2025-11-27T00:00:00Z,5019.2275234
2025-11-26T00:00:00Z,4631.09203483
2025-11-25T00:00:00Z,4265.0291794
2025-11-24T00:00:00Z,1387.20961759
2025-11-23T00:00:00Z,1861.95558103
2025-11-22T00:00:00Z,8132.13788701
2025-11-21T00:00:00Z,8905.7076745
2025-11-20T00:00:00Z,6876.81230738
2025-11-19T00:00:00Z,4601.86767417
2025-11-18T00:00:00Z,5477.08848137
2025-11-17T00:00:00Z,5416.46261082
2025-11-16T00:00:00Z,2168.56375257
2025-11-15T00:00:00Z,3710.01974277
2025-11-14T00:00:00Z,6340.47996481
2025-11-13T00:00:00Z,5343.42522011
2025-11-12T00:00:00Z,3527.34279421
2025-11-11T00:00:00Z,5023.72898677
2025-11-10T00:00:00Z,3081.66175559
2025-11-09T00:00:00Z,2156.26232269
2025-11-08T00:00:00Z,2131.47181275
2025-11-07T00:00:00Z,5570.90348054
2025-11-06T00:00:00Z,6597.2900739
2025-11-05T00:00:00Z,5111.4321937
2025-11-04T00:00:00Z,7106.31312937
2025-11-03T00:00:00Z,4117.22143657
2025-11-02T00:00:00Z,1728.19933361
2025-11-01T00:00:00Z,2392.60275537
2025-10-31T00:00:00Z,6092.92316161
2025-10-30T00:00:00Z,7261.92604628
2025-10-29T00:00:00Z,2722.32776149
2025-10-28T00:00:00Z,2530.17416739
2025-10-27T00:00:00Z,2308.46641397
2025-10-26T00:00:00Z,1926.93039573
2025-10-25T00:00:00Z,1477.49572511
2025-10-24T00:00:00Z,6347.31750273
2025-10-23T00:00:00Z,2591.16856135
2025-10-22T00:00:00Z,4431.90759947
2025-10-21T00:00:00Z,12282.15086076
2025-10-20T00:00:00Z,3552.3192781
2025-10-19T00:00:00Z,1375.4255581
2025-10-18T00:00:00Z,1398.08994881
2025-10-17T00:00:00Z,6974.39671788
2025-10-16T00:00:00Z,6051.27927221
2025-10-15T00:00:00Z,3900.74706782
2025-10-14T00:00:00Z,5421.93618576
2025-10-13T00:00:00Z,3477.44633283
2025-10-12T00:00:00Z,4475.72948538
2025-10-11T00:00:00Z,6766.41046795
2025-10-10T00:00:00Z,4665.80796377
2025-10-09T00:00:00Z,2331.40856058
2025-10-08T00:00:00Z,5021.20525431
2025-10-07T00:00:00Z,2395.4111531
2025-10-06T00:00:00Z,2288.35906006
2025-10-05T00:00:00Z,4412.39594359
2025-10-04T00:00:00Z,2049.79531252
2025-10-03T00:00:00Z,3833.03367457
2025-10-02T00:00:00Z,3432.41675224
2025-10-01T00:00:00Z,3584.32682784
2025-09-30T00:00:00Z,3480.73738017
2025-09-29T00:00:00Z,4780.18442065
2025-09-28T00:00:00Z,1440.51484931
2025-09-27T00:00:00Z,2069.06549089
2025-09-26T00:00:00Z,6372.34827506
2025-09-25T00:00:00Z,3438.21872014
2025-09-24T00:00:00Z,2742.69695425
2025-09-23T00:00:00Z,4074.16443315
2025-09-22T00:00:00Z,2878.69593763
2025-09-21T00:00:00Z,1595.34133811
2025-09-20T00:00:00Z,1373.85762862
2025-09-19T00:00:00Z,2831.5707888
2025-09-18T00:00:00Z,3151.15655423
2025-09-17T00:00:00Z,2263.09385725
2025-09-16T00:00:00Z,3935.42992152
2025-09-15T00:00:00Z,7613.89142059
2025-09-14T00:00:00Z,3656.90709677
2025-09-13T00:00:00Z,6740.41898596
2025-09-12T00:00:00Z,6381.76084601
2025-09-11T00:00:00Z,2320.7115421
2025-09-10T00:00:00Z,5106.26498553
2025-09-09T00:00:00Z,3324.03175093
2025-09-08T00:00:00Z,2872.42460006
2025-09-07T00:00:00Z,1653.52138666
2025-09-06T00:00:00Z,1514.37894141
2025-09-05T00:00:00Z,3009.35329275
2025-09-04T00:00:00Z,2348.84057116
2025-09-03T00:00:00Z,2397.17395924
2025-09-02T00:00:00Z,2399.22336246
2025-09-01T00:00:00Z,4478.80483713
2025-08-31T00:00:00Z,3372.36918642
2025-08-30T00:00:00Z,3081.50756525
2025-08-29T00:00:00Z,3950.9102883
2025-08-28T00:00:00Z,2661.42921511
2025-08-27T00:00:00Z,2656.38391325
2025-08-26T00:00:00Z,4139.52621096
2025-08-25T00:00:00Z,4547.34035901
2025-08-24T00:00:00Z,3538.065578
2025-08-23T00:00:00Z,3834.49995808
2025-08-22T00:00:00Z,4385.55506752
2025-08-21T00:00:00Z,3863.97177115
2025-08-20T00:00:00Z,2753.702579
2025-08-19T00:00:00Z,5695.20630821
2025-08-18T00:00:00Z,3703.04986199
2025-08-17T00:00:00Z,1979.28113573
2025-08-16T00:00:00Z,1534.71803133
2025-08-15T00:00:00Z,2536.95230406
2025-08-14T00:00:00Z,4454.82099249
2025-08-13T00:00:00Z,3812.80094769
2025-08-12T00:00:00Z,2570.21664912
2025-08-11T00:00:00Z,7816.63261545
2025-08-10T00:00:00Z,2079.37248202
2025-08-09T00:00:00Z,1657.98747949
2025-08-08T00:00:00Z,3095.19252603
2025-08-07T00:00:00Z,2362.2054758
2025-08-06T00:00:00Z,1926.11130102
2025-08-05T00:00:00Z,3706.77549952
2025-08-04T00:00:00Z,5797.80490504
2025-08-03T00:00:00Z,1456.24799559
2025-08-02T00:00:00Z,1469.18179436
2025-08-01T00:00:00Z,3113.78130245
2025-07-31T00:00:00Z,3888.15593285
2025-07-30T00:00:00Z,4433.84697617
