Datetime,Miner In-House Flow (Total)
2026-04-11T00:00:00Z,637.53193595
2026-04-10T00:00:00Z,623.21743679
2026-04-09T00:00:00Z,1298.01398046
2026-04-08T00:00:00Z,1347.08302554
2026-04-07T00:00:00Z,1226.09830558
2026-04-06T00:00:00Z,672.84516503
2026-04-05T00:00:00Z,673.0939955
2026-04-04T00:00:00Z,583.43828305
2026-04-03T00:00:00Z,604.09562648
2026-04-02T00:00:00Z,681.24044914
2026-04-01T00:00:00Z,715.2616438
2026-03-31T00:00:00Z,933.36845554
2026-03-30T00:00:00Z,850.46279756
2026-03-29T00:00:00Z,560.3561569
2026-03-28T00:00:00Z,752.29768102
2026-03-27T00:00:00Z,1982.25316719
2026-03-26T00:00:00Z,520.11657668
2026-03-25T00:00:00Z,960.33437487
2026-03-24T00:00:00Z,4518.18143992
2026-03-23T00:00:00Z,604.91138264
2026-03-22T00:00:00Z,538.7830739
2026-03-21T00:00:00Z,339.78989675
2026-03-20T00:00:00Z,447.82731664
2026-03-19T00:00:00Z,392.22010436
2026-03-18T00:00:00Z,566.45497122
2026-03-17T00:00:00Z,496.63235502
2026-03-16T00:00:00Z,588.29214307
2026-03-15T00:00:00Z,445.70977271
2026-03-14T00:00:00Z,351.62256974
2026-03-13T00:00:00Z,552.51715304
2026-03-12T00:00:00Z,2139.92878375
2026-03-11T00:00:00Z,869.97490259
2026-03-10T00:00:00Z,648.14181505
2026-03-09T00:00:00Z,458.52307621
2026-03-08T00:00:00Z,444.90599196
2026-03-07T00:00:00Z,398.69450325
2026-03-06T00:00:00Z,421.01245835
2026-03-05T00:00:00Z,547.71432421
2026-03-04T00:00:00Z,559.52724911
2026-03-03T00:00:00Z,548.72051627
2026-03-02T00:00:00Z,1325.84937478
2026-03-01T00:00:00Z,542.46663417
2026-02-28T00:00:00Z,671.2838337
2026-02-27T00:00:00Z,2112.77483377
2026-02-26T00:00:00Z,741.90485028
2026-02-25T00:00:00Z,500.30671917
2026-02-24T00:00:00Z,591.79018325
2026-02-23T00:00:00Z,658.18212844
2026-02-22T00:00:00Z,378.42786529
2026-02-21T00:00:00Z,520.09776621
2026-02-20T00:00:00Z,701.24216029
2026-02-19T00:00:00Z,679.13785494
2026-02-18T00:00:00Z,520.36459439
2026-02-17T00:00:00Z,809.93155404
2026-02-16T00:00:00Z,606.04823892
2026-02-15T00:00:00Z,843.44940024
2026-02-14T00:00:00Z,458.75261087
2026-02-13T00:00:00Z,1064.80814746
2026-02-12T00:00:00Z,1110.42876972
2026-02-11T00:00:00Z,1255.31451773
2026-02-10T00:00:00Z,602.2844932
2026-02-09T00:00:00Z,1556.62529277
2026-02-08T00:00:00Z,2377.40765669
2026-02-07T00:00:00Z,1394.87973249
2026-02-06T00:00:00Z,13202.37176823
2026-02-05T00:00:00Z,6489.93262353
2026-02-04T00:00:00Z,2270.42326507
2026-02-03T00:00:00Z,1460.7942821
2026-02-02T00:00:00Z,4253.1078394
2026-02-01T00:00:00Z,1602.33339413
2026-01-31T00:00:00Z,538.84497295
2026-01-30T00:00:00Z,871.96795585
2026-01-29T00:00:00Z,816.93371563
2026-01-28T00:00:00Z,833.59080288
2026-01-27T00:00:00Z,568.64704911
2026-01-26T00:00:00Z,705.7929135
2026-01-25T00:00:00Z,411.05251586
2026-01-24T00:00:00Z,481.07852544
2026-01-23T00:00:00Z,1085.55551182
2026-01-22T00:00:00Z,524.1663219
2026-01-21T00:00:00Z,727.91888199
2026-01-20T00:00:00Z,1348.38488171
2026-01-19T00:00:00Z,687.25035777
2026-01-18T00:00:00Z,496.73067596
2026-01-17T00:00:00Z,493.1696369
2026-01-16T00:00:00Z,748.9304208
2026-01-15T00:00:00Z,1574.36548707
2026-01-14T00:00:00Z,696.4516102
2026-01-13T00:00:00Z,3657.82873566
2026-01-12T00:00:00Z,746.9495514
2026-01-11T00:00:00Z,455.63848678
2026-01-10T00:00:00Z,675.20366182
2026-01-09T00:00:00Z,668.10969675
2026-01-08T00:00:00Z,2486.9533086
2026-01-07T00:00:00Z,779.94707557
2026-01-06T00:00:00Z,578.36881817
2026-01-05T00:00:00Z,907.53722802
2026-01-04T00:00:00Z,990.27316248
2026-01-03T00:00:00Z,604.31818957
2026-01-02T00:00:00Z,312.09120343
2026-01-01T00:00:00Z,483.02320558
2025-12-31T00:00:00Z,932.06453966
2025-12-30T00:00:00Z,561.97910212
2025-12-29T00:00:00Z,1581.68880552
2025-12-28T00:00:00Z,447.68952241
2025-12-27T00:00:00Z,601.73361868
2025-12-26T00:00:00Z,2200.97489791
2025-12-25T00:00:00Z,2125.71577799
2025-12-24T00:00:00Z,582.96981682
2025-12-23T00:00:00Z,1175.29107574
2025-12-22T00:00:00Z,1269.50261562
2025-12-21T00:00:00Z,536.5144098
2025-12-20T00:00:00Z,927.16253289
2025-12-19T00:00:00Z,2058.06007062
2025-12-18T00:00:00Z,3215.75060981
2025-12-17T00:00:00Z,1228.88024197
2025-12-16T00:00:00Z,2277.61711481
2025-12-15T00:00:00Z,3422.26970618
2025-12-14T00:00:00Z,357.27093174
2025-12-13T00:00:00Z,6465.54086909
2025-12-12T00:00:00Z,2683.29984024
2025-12-11T00:00:00Z,3808.5548413
2025-12-10T00:00:00Z,2773.0734973
2025-12-09T00:00:00Z,613.36770651
2025-12-08T00:00:00Z,744.57594301
2025-12-07T00:00:00Z,1753.89184913
2025-12-06T00:00:00Z,5358.83872574
2025-12-05T00:00:00Z,1214.76239687
2025-12-04T00:00:00Z,1589.61879837
2025-12-03T00:00:00Z,993.65187978
2025-12-02T00:00:00Z,596.74040986
2025-12-01T00:00:00Z,1182.52883413
2025-11-30T00:00:00Z,484.91799779
2025-11-29T00:00:00Z,597.15574105
2025-11-28T00:00:00Z,815.94104889
2025-11-27T00:00:00Z,3063.13215858
2025-11-26T00:00:00Z,1466.51550605
2025-11-25T00:00:00Z,962.99215113
2025-11-24T00:00:00Z,867.77453666
2025-11-23T00:00:00Z,450.38952745
2025-11-22T00:00:00Z,3936.73861907
2025-11-21T00:00:00Z,9503.0043248
2025-11-20T00:00:00Z,807.89236316
2025-11-19T00:00:00Z,1843.24202828
2025-11-18T00:00:00Z,1122.14684548
2025-11-17T00:00:00Z,688.93658401
2025-11-16T00:00:00Z,569.88536254
2025-11-15T00:00:00Z,1462.4757176
2025-11-14T00:00:00Z,3361.62836418
2025-11-13T00:00:00Z,764.82146021
2025-11-12T00:00:00Z,1552.68716637
2025-11-11T00:00:00Z,1330.56135038
2025-11-10T00:00:00Z,814.28816449
2025-11-09T00:00:00Z,704.03825583
2025-11-08T00:00:00Z,545.44109708
2025-11-07T00:00:00Z,1819.5739965
2025-11-06T00:00:00Z,5864.49405512
2025-11-05T00:00:00Z,2918.85299364
2025-11-04T00:00:00Z,4950.00391461
2025-11-03T00:00:00Z,1403.49935724
2025-11-02T00:00:00Z,522.62323496
2025-11-01T00:00:00Z,548.99917323
2025-10-31T00:00:00Z,2480.60730795
2025-10-30T00:00:00Z,2433.37006286
2025-10-29T00:00:00Z,729.8430513
2025-10-28T00:00:00Z,1196.68479291
2025-10-27T00:00:00Z,597.62797847
2025-10-26T00:00:00Z,601.12179769
2025-10-25T00:00:00Z,563.96216707
2025-10-24T00:00:00Z,2289.29236113
2025-10-23T00:00:00Z,631.76672348
2025-10-22T00:00:00Z,1343.94431027
2025-10-21T00:00:00Z,2069.54379942
2025-10-20T00:00:00Z,950.99609975
2025-10-19T00:00:00Z,463.22428049
2025-10-18T00:00:00Z,343.08793782
2025-10-17T00:00:00Z,1722.86473243
2025-10-16T00:00:00Z,2345.90486935
2025-10-15T00:00:00Z,1082.49571742
2025-10-14T00:00:00Z,1284.40900111
2025-10-13T00:00:00Z,696.18535974
2025-10-12T00:00:00Z,1794.42129356
2025-10-11T00:00:00Z,3835.06183916
