date,Fund Holdings
2020-06-09,365088.04499003815
2020-06-10,365191.0
2020-06-11,365882.0999667956
2020-06-12,365889.0999612626
2020-06-13,365889.0999612626
2020-06-14,365889.0999612626
2020-06-15,366182.8309303925
2020-06-16,367172.1759676021
2020-06-17,368787.173965322
2020-06-18,369040.0532803576
2020-06-19,371273.1420749302
2020-06-20,371273.1420749302
2020-06-21,371273.1420749302
2020-06-22,375767.0898680229
2020-06-23,376254.0527360193
2020-06-24,387112.9234560907
2020-06-25,387089.3095707472
2020-06-26,387069.82549084525
2020-06-27,387069.82549084525
2020-06-28,387069.82549084525
2020-06-29,387005.8156444454
2020-06-30,387036.5308522937
2020-07-01,387017.3123484284
2020-07-02,386997.9859183733
2020-07-03,386973.968484422
2020-07-04,386973.968484422
2020-07-05,386973.968484422
2020-07-06,386908.9111969295
2020-07-07,386888.2079828488
2020-07-08,386873.867213868
2020-07-09,386853.8495097451
2020-07-10,386858.7737454824
2020-07-11,386858.7737454824
2020-07-12,386858.7737454824
2020-07-13,386798.7156704964
2020-07-14,386774.69631431065
2020-07-15,386863.6562432556
2020-07-16,386845.6356726952
2020-07-17,386960.5570533965
2020-07-18,386960.5570533965
2020-07-19,386960.5570533965
2020-07-20,387611.32951375225
2020-07-21,387701.2988942121
2020-07-22,388238.1953094718
2020-07-23,389613.6174842882
2020-07-24,391682.9040413369
2020-07-25,391682.9040413369
2020-07-26,391682.9040413369
2020-07-27,392965.9569267538
2020-07-28,395014.0690149268
2020-07-29,395829.28374230745
2020-07-30,396241.0702480119
2020-07-31,397476.4050797041
2020-08-01,397476.4050797041
2020-08-02,397476.4050797041
2020-08-03,397913.264964139
2020-08-04,398506.0455486092
2020-08-05,399475.4890802805
2020-08-06,403641.2641728595
2020-08-07,403700.83041968907
2020-08-08,403700.83041968907
2020-08-09,403700.83041968907
2020-08-10,405578.72890437
2020-08-11,405578.4967883893
2020-08-12,405636.2012133288
2020-08-13,413381.96591635066
2020-08-14,419777.3439328303
2020-08-15,419777.3439328303
2020-08-16,419777.3439328303
2020-08-17,419975.84445359145
2020-08-18,420433.3897536453
2020-08-19,420594.9317615081
2020-08-20,420974.3591296985
2020-08-21,422060.1013525493
2020-08-22,422060.1013525493
2020-08-23,422060.1013525493
2020-08-24,422059.3281067039
2020-08-25,422575.7975149932
2020-08-26,426890.1704248843
2020-08-27,426884.91708604776
2020-08-28,427084.6637612331
2020-08-29,427084.6637612331
2020-08-30,427084.6637612331
2020-08-31,430075.90387091256
2020-09-01,431045.3104759122
2020-09-02,434245.0533656362
2020-09-03,434584.10059525
2020-09-04,434601.146347344
2020-09-05,434601.146347344
2020-09-06,434601.146347344
